Once upon a time in a shimmering forest, a kind unicorn named Luna discovered a hidden glade where flowers danced under the moonlight. Every night, she would sprinkle magical stardust over the petals, making them glow and inviting all the woodland creatures to join her in a joyful celebration. As the stars twinkled above, they danced and laughed together, dreaming of new adventures in the enchanting night.
[0] Mitochondrial Genome Maintenance → Top-5: Mitochondrial Metabolism, Oxidative Stress, Autophagy, Proteostasis, DNA Repair
[16] Alpha-1,3-Mannosyltransferase Activity → Top-5: Mitochondrial Metabolism, Immune Response, Synapse, Structural Stabilization, Proteostasis
[17] Acyl Binding → Top-5: Mitochondrial Metabolism, Immune Response, Synapse, Structural Stabilization, Proteostasis
[18] Acyl Carrier Activity → Top-5: Mitochondrial Metabolism, Oxidative Stress, Proteostasis, Lipid Metabolism, Autophagy
[19] Very Long-Chain Fatty Acid Metabolic Process → Top-5: Lipid Metabolism, Mitochondrial Metabolism, Oxidative Stress, Proteostasis, Immune Response
[20] Autophagosome Assembly → Top-5: Autophagy, Proteostasis, Mitochondrial Metabolism, Immune Response, Oxidative Stress
[21] Peptidyltransferase Activity → Top-5: Mitochondrial Metabolism, Immune Response, Synapse, Structural Stabilization, Proteostasis
[22] Trna Binding → Top-5: Mitochondrial Metabolism, Immune Response, Synapse, Oxidative Stress, Proteostasis
[23] Urea Cycle → Top-5: Lipid Metabolism, Mitochondrial Metabolism, Autophagy, Proteostasis, Oxidative Stress
[24] Citrulline Metabolic Process → Top-5: Lipid Metabolism, Mitochondrial Metabolism, Oxidative Stress, Proteostasis, Autophagy
[25] Argininosuccinate Metabolic Process → Top-5: Lipid Metabolism, Mitochondrial Metabolism, Oxidative Stress, Proteostasis, Apoptosis
[26] Ribosomal Subunit Export From Nucleus → Top-5: Ribosomal Subunit Export From Nucleus, Proteostasis, Cell Cycle, RNA Spliceosome, Ribosome Biogenesis
[27] Ribosomal Large Subunit Export From Nucleus → Top-5: Ribosomal Metabolism, Proteostasis, Cell Cycle, RNA Spliceosome, Apoptosis
[28] Ribosomal Small Subunit Export From Nucleus → Top-5: Ribosomal Small Subunit Export From Nucleus, Proteostasis, Synapse, Immune Response, Mitochondrial Metabolism
[29] Fatty-Acyl-Coa Binding → Top-5: Lipid Metabolism, Autophagy, Mitochondrial Metabolism, Oxidative Stress, Proteostasis
[30] L-Ornithine Transmembrane Transporter Activity → Top-5: Mitochondrial Metabolism, Immune Response, Synapse, Structural Stabilization, Proteostasis
[31] Mitotic Sister Chromatid Segregation → Top-5: Cell Cycle, Apoptosis, Proteostasis, Autophagy, DNA Repair
[32] Dna Replication Checkpoint Signaling → Top-5: Cell Cycle, DNA Repair, Immune Response, Apoptosis, Proteostasis
[33] Dna Damage Checkpoint Signaling → Top-5: Cell Cycle, DNA Repair, Apoptosis, Oxidative Stress, Immune Response
[34] Regulation Of Cyclin-Dependent Protein Serine/Threonine Kinase Activity → Top-5: Cell Cycle, Apoptosis, Proteostasis, Oxidative Stress, Autophagy
[35] G1/S Transition Of Mitotic Cell Cycle → Top-5: Cell Cycle, Immune Response, Mitochondrial Metabolism, Oxidative Stress, Proteostasis
[36] G2/M Transition Of Mitotic Cell Cycle → Top-5: Cell Cycle, Immune Response, Mitochondrial Metabolism, Structural Stabilization, Proteostasis
[37] S-Adenosyl-L-Methionine Transmembrane Transporter Activity → Top-5: Mitochondrial Metabolism, Oxidative Stress, Proteostasis, Lipid Metabolism, Autophagy
[38] Sulfur Amino Acid Metabolic Process → Top-5: Mitochondrial Metabolism, Lipid Metabolism, Autophagy, Oxidative Stress, Proteostasis
[39] Sulfur Amino Acid Biosynthetic Process → Top-5: Mitochondrial Metabolism, Lipid Metabolism, Autophagy, Proteostasis, Oxidative Stress
[40] Sulfur Amino Acid Catabolic Process → Top-5: Mitochondrial Metabolism, Lipid Metabolism, Autophagy, Oxidative Stress, Proteostasis
[41] Sulfur Amino Acid Transport → Top-5: Mitochondrial Metabolism, Oxidative Stress, Proteostasis, Lipid Metabolism, Autophagy
[42] Sulfate Assimilation → Top-5: Mitochondrial Metabolism, Oxidative Stress, Proteostasis, Lipid Metabolism, Autophagy
[43] L-Histidine Biosynthetic Process → Top-5: Lipid Metabolism, Mitochondrial Metabolism, Proteostasis, Autophagy, DNA Repair
[44] Nucleotide-Excision Repair Complex → Top-5: DNA Repair, Apoptosis, Proteostasis, Oxidative Stress, Autophagy
[45] Nucleotide-Excision Repair Factor 1 Complex → Top-5: DNA Repair, Autophagy, Proteostasis, Epigenetic, Immune Response
[46] Nucleotide-Excision Repair Factor 2 Complex → Top-5: DNA Repair, Proteostasis, Apoptosis, Oxidative Stress, Immune Response
[47] Nucleotide-Excision Repair Factor 3 Complex → Top-5: DNA Repair, Apoptosis, Autophagy, Proteostasis, Oxidative Stress
[48] Histone Deacetylase Complex → Top-5: Epigenetic, Proteostasis, Cell Cycle, DNA Repair, Autophagy
[49] Rna Polymerase I Transcription Regulator Complex → Top-5: Synapse, Immune Response, Mitochondrial Metabolism, Structural Stabilization, Proteostasis
[50] Glycerol-1-Phosphatase Activity → Top-5: Mitochondrial Metabolism, Oxidative Stress, Proteostasis, Synapse, Structural Stabilization
[51] Negative Regulation Of Transcription By Rna Polymerase Ii → Top-5: Mitochondrial Metabolism, Oxidative Stress, Proteostasis, Synapse, Immune Response
[52] Histone Acetyltransferase Complex → Top-5: Epigenetic, Proteostasis, Autophagy, DNA Repair, Synapse
[53] Saga Complex → Top-5: Epigenetic, RNA Spliceosome, Proteostasis, Autophagy, Cell Cycle
[54] Transcription Factor Tfiiib Complex → Top-5: Synapse, Immune Response, Mitochondrial Metabolism, Structural Stabilization, Proteostasis
[55] Transcription Factor Tfiiic Complex → Top-5: Synapse, Immune Response, Mitochondrial Metabolism, Structural Stabilization, Proteostasis
[56] Establishment Of Mitotic Spindle Orientation → Top-5: Cell Cycle, Immune Response, Mitochondrial Metabolism, Structural Stabilization, Oxidative Stress
[57] Golgi Cis Cisterna → Top-5: Synapse, Immune Response, Mitochondrial Metabolism, Structural Stabilization, Proteostasis
[58] Golgi Trans Cisterna → Top-5: Synapse, Immune Response, Mitochondrial Metabolism, Structural Stabilization, Proteostasis
[59] Golgi Membrane → Top-5: Mitochondrial Metabolism, Structural Stabilization, Proteostasis, Oxidative Stress, Immune Response
[60] Acylglycerone-Phosphate Reductase (Nadp+) Activity → Top-5: Oxidative Stress, Mitochondrial Metabolism, Lipid Metabolism, Proteostasis, Apoptosis
[61] Exocyst → Top-5: Synapse, Immune Response, Mitochondrial Metabolism, Structural Stabilization, Proteostasis
[62] Microfilament Motor Activity → Top-5: Synapse, Immune Response, Mitochondrial Metabolism, Structural Stabilization, Proteostasis
[63] Snare Binding → Top-5: Synapse, Immune Response, Mitochondrial Metabolism, Structural Stabilization, Proteostasis
[64] Dna Strand Exchange Activity → Top-5: DNA Repair, Autophagy, Epigenetic, Proteostasis, Oxidative Stress
[65] Ubiquitin Ligase Complex → Top-5: Mitochondrial Metabolism, Structural Stabilization, Proteostasis, Immune Response, Synapse
[66] Nuclear Ubiquitin Ligase Complex → Top-5: Proteostasis, Autophagy, DNA Repair, Oxidative Stress, Immune Response
[67] Rrna Modification → Top-5: RNA Spliceosome, Proteostasis, Apoptosis, Immune Response, Oxidative Stress
[68] Protein Phosphatase Type 2A Complex → Top-5: Synapse, Immune Response, Mitochondrial Metabolism, Structural Stabilization, Proteostasis
[69] Protein Phosphatase Type 1 Complex → Top-5: Synapse, Immune Response, Mitochondrial Metabolism, Structural Stabilization, Proteostasis
[70] Mapk Cascade → Top-5: Mitochondrial Metabolism, Oxidative Stress, Immune Response, Proteostasis, Synapse
[71] Nucleotide Binding → Top-5: Mitochondrial Metabolism, Structural Stabilization, Proteostasis, Immune Response, Oxidative Stress
[72] Ribonuclease Mrp Activity → Top-5: RNA Spliceosome, Proteostasis, Autophagy, Epigenetic, DNA Repair
[73] Ribonuclease Mrp Complex → Top-5: Mitochondrial Metabolism, Oxidative Stress, Proteostasis, Synapse, Structural Stabilization
[74] 3'-5'-Rna Exonuclease Activity → Top-5: RNA Spliceosome, Proteostasis, Apoptosis, Immune Response, DNA Repair
[75] Nuclear Exosome (Rnase Complex) → Top-5: RNA Spliceosome, Proteostasis, Autophagy, Immune Response, Oxidative Stress
[76] Cytoplasmic Exosome (Rnase Complex) → Top-5: Synapse, Immune Response, Mitochondrial Metabolism, Structural Stabilization, Proteostasis
[77] Exosome (Rnase Complex) → Top-5: Synapse, Immune Response, Mitochondrial Metabolism, Structural Stabilization, Proteostasis
[78] Rrna (Adenine-N6,N6-)-Dimethyltransferase Activity → Top-5: RNA Spliceosome, Epigenetic, Proteostasis, Autophagy, DNA Repair
[79] Rdna Binding → Top-5: Synapse, Immune Response, Mitochondrial Metabolism, Structural Stabilization, Proteostasis
[80] Rdna Heterochromatin Formation → Top-5: Epigenetic, Autophagy, Proteostasis, Cell Cycle, Apoptosis
[81] Nuclear-Transcribed Mrna Catabolic Process, Nonsense-Mediated Decay → Top-5: RNA Spliceosome, Proteostasis, Autophagy, Immune Response, Oxidative Stress
[82] Protein Polyubiquitination → Top-5: Mitochondrial Metabolism, Oxidative Stress, Proteostasis, Lipid Metabolism, Immune Response
[83] Nad+ Diphosphatase Activity → Top-5: Mitochondrial Metabolism, Oxidative Stress, Proteostasis, Apoptosis, Autophagy
[84] Meiotic Spindle Organization → Top-5: Cell Cycle, Synapse, Immune Response, Mitochondrial Metabolism, Structural Stabilization
[85] Trna-Intron Lyase Activity → Top-5: RNA Spliceosome, Proteostasis, Apoptosis, Immune Response, Oxidative Stress
[86] Trna-Intron Endonuclease Complex → Top-5: Synapse, Immune Response, Mitochondrial Metabolism, Structural Stabilization, Proteostasis
[87] Trna 2'-Phosphotransferase Activity → Top-5: Synapse, Immune Response, Mitochondrial Metabolism, Structural Stabilization, Proteostasis
[88] Dna Secondary Structure Binding → Top-5: DNA Repair, Synapse, Immune Response, Mitochondrial Metabolism, Structural Stabilization
[89] Vacuolar Proton-Transporting V-Type Atpase, V0 Domain → Top-5: Mitochondrial Metabolism, Oxidative Stress, Proteostasis, Synapse, Structural Stabilization
[90] Vacuolar Proton-Transporting V-Type Atpase, V1 Domain → Top-5: Vasculature, Immune Response, Mitochondrial Metabolism, Proteostasis, Structural Stabilization
[91] Peptide-N4-(N-Acetyl-Beta-Glucosaminyl)Asparagine Amidase Activity → Top-5: Mitochondrial Metabolism, Oxidative Stress, Proteostasis, Synapse, Structural Stabilization
[92] N-Acetylglucosaminylphosphatidylinositol Deacetylase Activity → Top-5: Mitochondrial Metabolism, Immune Response, Synapse, Structural Stabilization, Proteostasis
[93] Microtubule Cytoskeleton Organization → Top-5: Synapse, Immune Response, Mitochondrial Metabolism, Structural Stabilization, Proteostasis
[94] Nuclear Chromosome → Top-5: Nuclear Chromosome, Immune Response, Synapse, Mitochondrial Metabolism, Proteostasis
[95] Astral Microtubule → Top-5: Synapse, Immune Response, Mitochondrial Metabolism, Structural Stabilization, Proteostasis
[96] Pericentriolar Material → Top-5: Synapse, Immune Response, Mitochondrial Metabolism, Structural Stabilization, Proteostasis
[97] Commitment Complex → Top-5: RNA Spliceosome, Proteostasis, Synapse, Immune Response, Structural Stabilization
[98] Spliceosomal Tri-Snrnp Complex Assembly → Top-5: RNA Spliceosome, Proteostasis, Cell Cycle, Immune Response, Apoptosis
[99] Spliceosomal Complex Assembly → Top-5: RNA Spliceosome, Proteostasis, Immune Response, Synapse, Apoptosis
