Running with TEMP=0.0, sub_array_index=3
Changed working directory to: /panfs/compbio/users/xran2/wen/JX/02-AI-BioDomain/git_folder
Processing array index 3: rows 100 to 149
GO Term: Gobp Response To Cold -> Biodomain: Response to Stimulus, Molecular Transport and Homeostasis, Signal Transduction, System and Developmental Process, Lipid Metabolism
GO Term: Gobp Specification Of Animal Organ Identity -> Biodomain: System and Developmental Process, Transcription and Translation Machinery, Structural Stabilization, Neurodevelopment and Neuronal Differentiation, Epigenetic Regulation
GO Term: Gobp Embryonic Body Morphogenesis -> Biodomain: System and Developmental Process, Cell Adhesion and Interaction, Structural Stabilization, Signal Transduction, Response to Stimulus
GO Term: Gobp Sugar Mediated Signaling Pathway -> Biodomain: Signal Transduction, Response to Stimulus, Molecular Transport and Homeostasis, Transcription and Translation Machinery, System and Developmental Process
GO Term: Gobp Response To Ozone -> Biodomain: Response to Stimulus, Immune System and Inflammation, Signal Transduction, Mitochondrial Function and Metabolism, System and Developmental Process
GO Term: Gobp Regulation Of Phosphatidylinositol Biosynthetic Process -> Biodomain: Lipid Metabolism, Signal Transduction, Intracellular Trafficking and Organelle Dynamics, Molecular Transport and Homeostasis, Response to Stimulus
GO Term: Gobp Positive Regulation Of Activation Of Janus Kinase Activity -> Biodomain: Immune System and Inflammation, Signal Transduction, Response to Stimulus, System and Developmental Process, Protein Metabolism and Trafficking
GO Term: Gobp Regulation Of Platelet Activation -> Biodomain: Immune System and Inflammation, Signal Transduction, Response to Stimulus, Cell Adhesion and Interaction, System and Developmental Process
GO Term: Gobp Negative Regulation Of Platelet Activation -> Biodomain: Immune System and Inflammation, Cell Adhesion and Interaction, Signal Transduction, System and Developmental Process, Response to Stimulus
GO Term: Gobp Regulation Of Ketone Biosynthetic Process -> Biodomain: Lipid Metabolism, Molecular Transport and Homeostasis, Mitochondrial Function and Metabolism, System and Developmental Process, Response to Stimulus
GO Term: Gobp Positive Regulation Of Nuclear Cell Cycle Dna Replication -> Biodomain: Cell Cycle, DNA Repair, Transcription and Translation Machinery, Epigenetic Regulation, Signal Transduction
GO Term: Gobp Regulation Of Lamellipodium Assembly -> Biodomain: Cell Adhesion and Interaction, Response to Stimulus, Signal Transduction, System and Developmental Process, Structural Stabilization
GO Term: Gobp Regulation Of Macrophage Derived Foam Cell Differentiation -> Biodomain: Immune System and Inflammation, Lipid Metabolism, Cell Adhesion and Interaction, Response to Stimulus, Signal Transduction
GO Term: Gobp Positive Regulation Of Macrophage Derived Foam Cell Differentiation -> Biodomain: Immune System and Inflammation, Lipid Metabolism, System and Developmental Process, Signal Transduction, Response to Stimulus
GO Term: Gobp Negative Regulation Of Macrophage Derived Foam Cell Differentiation -> Biodomain: Immune System and Inflammation, Lipid Metabolism, System and Developmental Process, Response to Stimulus, Cell Adhesion and Interaction
GO Term: Gobp Regulation Of Macrophage Chemotaxis -> Biodomain: Immune System and Inflammation, Response to Stimulus, Cell Adhesion and Interaction, System and Developmental Process, Signal Transduction
GO Term: Gobp Positive Regulation Of Macrophage Chemotaxis -> Biodomain: Immune System and Inflammation, Signal Transduction, Response to Stimulus, Cell Adhesion and Interaction, System and Developmental Process
GO Term: Gobp Regulation Of Cell Substrate Adhesion -> Biodomain: Cell Adhesion and Interaction, Response to Stimulus, Signal Transduction, System and Developmental Process, Structural Stabilization
GO Term: Gobp Positive Regulation Of Cell Substrate Adhesion -> Biodomain: Cell Adhesion and Interaction, Response to Stimulus, Signal Transduction, System and Developmental Process, Structural Stabilization
GO Term: Gobp Regulation Of Hormone Levels -> Biodomain: Molecular Transport and Homeostasis, Signal Transduction, System and Developmental Process, Response to Stimulus, Lipid Metabolism
GO Term: Gobp T Cell Chemotaxis -> Biodomain: Immune System and Inflammation, Response to Stimulus, Cell Adhesion and Interaction, Signal Transduction, System and Developmental Process
GO Term: Gobp Regulation Of T Cell Chemotaxis -> Biodomain: Immune System and Inflammation, Cell Adhesion and Interaction, Signal Transduction, Response to Stimulus, System and Developmental Process
GO Term: Gobp Lipid Localization -> Biodomain: Lipid Metabolism, Molecular Transport and Homeostasis, Intracellular Trafficking and Organelle Dynamics, System and Developmental Process, Mitochondrial Function and Metabolism
GO Term: Gobp Regulation Of Sequestering Of Triglyceride -> Biodomain: Lipid Metabolism, Signal Transduction, Response to Stimulus, Intracellular Trafficking and Organelle Dynamics, Protein Metabolism and Trafficking
GO Term: Gobp Regulation Of Phosphate Transport -> Biodomain: Molecular Transport and Homeostasis, Signal Transduction, Mitochondrial Function and Metabolism, Response to Stimulus, System and Developmental Process
GO Term: Gobp Peripheral Nervous System Axon Regeneration -> Biodomain: Neurodevelopment and Neuronal Differentiation, System and Developmental Process, Response to Stimulus, Cell Adhesion and Interaction, Signal Transduction
GO Term: Gobp Negative Regulation Of Phosphatidylinositol 3 Kinase Signaling -> Biodomain: Signal Transduction, Molecular Transport and Homeostasis, Response to Stimulus, Protein Metabolism and Trafficking, System and Developmental Process
GO Term: Gobp Response To Organic Cyclic Compound -> Biodomain: Response to Stimulus, Signal Transduction, Immune System and Inflammation, Lipid Metabolism, Molecular Transport and Homeostasis
GO Term: Gobp Vascular Associated Smooth Muscle Contraction -> Biodomain: Molecular Transport and Homeostasis, Signal Transduction, Response to Stimulus, System and Developmental Process, Structural Stabilization
GO Term: Gobp Response To Muscle Activity -> Biodomain: Response to Stimulus, Signal Transduction, System and Developmental Process, Molecular Transport and Homeostasis, Cell Adhesion and Interaction
GO Term: Gobp Regulation Of Lung Blood Pressure -> Biodomain: Response to Stimulus, Signal Transduction, Molecular Transport and Homeostasis, System and Developmental Process, Intracellular Trafficking and Organelle Dynamics
GO Term: Gobp Heparan Sulfate Proteoglycan Biosynthetic Process Enzymatic Modification -> Biodomain: Protein Metabolism and Trafficking, Lipid Metabolism, Structural Stabilization, System and Developmental Process, Cell Adhesion and Interaction
GO Term: Gobp Gas Transport -> Biodomain: Molecular Transport and Homeostasis, Response to Stimulus, System and Developmental Process, Intracellular Trafficking and Organelle Dynamics, Signal Transduction
GO Term: Gobp Carbon Dioxide Transport -> Biodomain: Molecular Transport and Homeostasis, Response to Stimulus, Signal Transduction, Lipid Metabolism, Mitochondrial Function and Metabolism
GO Term: Gobp Copper Ion Import -> Biodomain: Molecular Transport and Homeostasis, Intracellular Trafficking and Organelle Dynamics, Mitochondrial Function and Metabolism, Protein Metabolism and Trafficking, Response to Stimulus
GO Term: Gobp Monocarboxylic Acid Transport -> Biodomain: Molecular Transport and Homeostasis, Lipid Metabolism, Intracellular Trafficking and Organelle Dynamics, Response to Stimulus, System and Developmental Process
GO Term: Gobp Bile Acid And Bile Salt Transport -> Biodomain: Molecular Transport and Homeostasis, Lipid Metabolism, System and Developmental Process, Intracellular Trafficking and Organelle Dynamics, Response to Stimulus
GO Term: Gobp L Alanine Transport -> Biodomain: Molecular Transport and Homeostasis, Protein Metabolism and Trafficking, Intracellular Trafficking and Organelle Dynamics, Response to Stimulus, System and Developmental Process
GO Term: Gobp Nucleoside Transport -> Biodomain: Molecular Transport and Homeostasis, Intracellular Trafficking and Organelle Dynamics, Response to Stimulus, Signal Transduction, System and Developmental Process
Saved results to: Experiment/DeepSeek/03-FXS-padj-0.1/D154/Temp_0.0/go_biodomain_results_part_3.csv
Logged runtime to: Experiment/DeepSeek/03-FXS-padj-0.1/D154/Temp_0.0/runtime_log.csv
