Running with TEMP=0.0, sub_array_index=11
Changed working directory to: /panfs/compbio/users/xran2/wen/JX/02-AI-BioDomain/git_folder
Processing array index 11: rows 500 to 549
GO Term: Gobp Negative Regulation Of Chromatin Organization -> Biodomain: Epigenetic Regulation, Transcription and Translation Machinery, DNA Repair, System and Developmental Process, Response to Stimulus
GO Term: Gobp Regulation Of Skeletal Muscle Cell Differentiation -> Biodomain: Neurodevelopment and Neuronal Differentiation, System and Developmental Process, Cell Cycle, Epigenetic Regulation, Signal Transduction
GO Term: Gobp Regulation Of Phospholipid Transport -> Biodomain: Lipid Metabolism, Signal Transduction, Molecular Transport and Homeostasis, Intracellular Trafficking and Organelle Dynamics, System and Developmental Process
GO Term: Gobp Positive Regulation Of Vasculogenesis -> Biodomain: System and Developmental Process, Signal Transduction, Cell Adhesion and Interaction, Immune System and Inflammation, Transcription and Translation Machinery
GO Term: Gobp Regulation Of Extrinsic Apoptotic Signaling Pathway In Absence Of Ligand -> Biodomain: Apoptosis, Signal Transduction, Response to Stimulus, System and Developmental Process, Cell Cycle
GO Term: Gocc Nucleosome -> Biodomain: Epigenetic Regulation, Transcription and Translation Machinery, DNA Repair, Structural Stabilization, Cell Cycle
GO Term: Gocc Cornified Envelope -> Biodomain: Structural Stabilization, System and Developmental Process, Lipid Metabolism, Cell Adhesion and Interaction, Intracellular Trafficking and Organelle Dynamics
GO Term: Gocc Immunological Synapse -> Biodomain: Immune System and Inflammation, Cell Adhesion and Interaction, Signal Transduction, Intracellular Trafficking and Organelle Dynamics, Response to Stimulus
GO Term: Gocc Secondary Lysosome -> Biodomain: Autophagy, Intracellular Trafficking and Organelle Dynamics, Protein Metabolism and Trafficking, Molecular Transport and Homeostasis, Response to Stimulus
GO Term: Gocc Smooth Endoplasmic Reticulum -> Biodomain: Lipid Metabolism, Intracellular Trafficking and Organelle Dynamics, Response to Stimulus, Protein Metabolism and Trafficking, Molecular Transport and Homeostasis
GO Term: Gocc Golgi Lumen -> Biodomain: Intracellular Trafficking and Organelle Dynamics, Protein Metabolism and Trafficking, Molecular Transport and Homeostasis, Structural Stabilization, System and Developmental Process
GO Term: Gocc Polar Microtubule -> Biodomain: Cell Cycle, Structural Stabilization, System and Developmental Process, Intracellular Trafficking and Organelle Dynamics, Molecular Transport and Homeostasis
GO Term: Gocc Mrna Cleavage And Polyadenylation Specificity Factor Complex -> Biodomain: RNA Metabolism, Transcription and Translation Machinery, Protein Metabolism and Trafficking, Molecular Transport and Homeostasis, Response to Stimulus
GO Term: Gocc Muscle Myosin Complex -> Biodomain: Structural Stabilization, System and Developmental Process, Cell Adhesion and Interaction, Protein Metabolism and Trafficking, Molecular Transport and Homeostasis
GO Term: Gocc Cytoplasmic Dynein Complex -> Biodomain: Intracellular Trafficking and Organelle Dynamics, Protein Metabolism and Trafficking, Mitochondrial Function and Metabolism, Cell Cycle, Structural Stabilization
GO Term: Gocc Caveola -> Biodomain: Intracellular Trafficking and Organelle Dynamics, Structural Stabilization, Molecular Transport and Homeostasis, Cell Adhesion and Interaction, Signal Transduction
GO Term: Gocc Mitochondrial Alpha Ketoglutarate Dehydrogenase Complex -> Biodomain: Mitochondrial Function and Metabolism, Lipid Metabolism, Molecular Transport and Homeostasis, Protein Metabolism and Trafficking, System and Developmental Process
GO Term: Gocc Cyclin Cdk Positive Transcription Elongation Factor Complex -> Biodomain: Transcription and Translation Machinery, Cell Cycle, Signal Transduction, RNA Metabolism, System and Developmental Process
GO Term: Gocc Integrin Complex -> Biodomain: Cell Adhesion and Interaction, Molecular Transport and Homeostasis, Signal Transduction, Immune System and Inflammation, Structural Stabilization
GO Term: Gocc External Side Of Plasma Membrane -> Biodomain: Cell Adhesion and Interaction, Signal Transduction, Immune System and Inflammation, Molecular Transport and Homeostasis, Response to Stimulus
GO Term: Gocc Cell Surface -> Biodomain: Cell Adhesion and Interaction, Structural Stabilization, Signal Transduction, Molecular Transport and Homeostasis, Response to Stimulus
GO Term: Gocc Trans Golgi Network Transport Vesicle -> Biodomain: Intracellular Trafficking and Organelle Dynamics, Protein Metabolism and Trafficking, Molecular Transport and Homeostasis, Structural Stabilization, System and Developmental Process
GO Term: Gocc Dynein Complex -> Biodomain: Intracellular Trafficking and Organelle Dynamics, Protein Metabolism and Trafficking, Structural Stabilization, Molecular Transport and Homeostasis, System and Developmental Process
GO Term: Gocc Endocytic Vesicle Membrane -> Biodomain: Intracellular Trafficking and Organelle Dynamics, Molecular Transport and Homeostasis, Lipid Metabolism, Protein Metabolism and Trafficking, Response to Stimulus
GO Term: Gocc Clathrin Coated Endocytic Vesicle Membrane -> Biodomain: Intracellular Trafficking and Organelle Dynamics, Molecular Transport and Homeostasis, Cell Adhesion and Interaction, Protein Metabolism and Trafficking, Response to Stimulus
GO Term: Gocc Meiotic Cohesin Complex -> Biodomain: Cell Cycle, Structural Stabilization, Protein Metabolism and Trafficking, System and Developmental Process, Epigenetic Regulation
GO Term: Gocc Platelet Alpha Granule -> Biodomain: Protein Metabolism and Trafficking, Intracellular Trafficking and Organelle Dynamics, Molecular Transport and Homeostasis, Immune System and Inflammation, Response to Stimulus
GO Term: Gocc Platelet Alpha Granule Membrane -> Biodomain: Immune System and Inflammation, Protein Metabolism and Trafficking, Intracellular Trafficking and Organelle Dynamics, Signal Transduction, Molecular Transport and Homeostasis
Saved results to: Experiment/DeepSeek/03-FXS-padj-0.1/D154/Temp_0.0/go_biodomain_results_part_11.csv
Logged runtime to: Experiment/DeepSeek/03-FXS-padj-0.1/D154/Temp_0.0/runtime_log.csv
