Running with TEMP=0.0, sub_array_index=7
Changed working directory to: /panfs/compbio/users/xran2/wen/JX/02-AI-BioDomain/git_folder
Processing array index 7: rows 300 to 349
GO Term: Gobp Negative Regulation Of Gene Expression Epigenetic -> Biodomain: Epigenetic Regulation, Transcription and Translation Machinery, Response to Stimulus, Signal Transduction, System and Developmental Process
GO Term: Gobp Regulation Of Viral Transcription -> Biodomain: Transcription and Translation Machinery, Epigenetic Regulation, Response to Stimulus, Signal Transduction, System and Developmental Process
GO Term: Gobp Regulation Of Rna Export From Nucleus -> Biodomain: RNA Metabolism, Intracellular Trafficking and Organelle Dynamics, Molecular Transport and Homeostasis, Transcription and Translation Machinery, Signal Transduction
GO Term: Gobp Positive Regulation Of Rna Export From Nucleus -> Biodomain: RNA Metabolism, Molecular Transport and Homeostasis, Signal Transduction, Intracellular Trafficking and Organelle Dynamics, Transcription and Translation Machinery
GO Term: Gobp Positive Regulation Of Developmental Pigmentation -> Biodomain: System and Developmental Process, Response to Stimulus, Signal Transduction, Transcription and Translation Machinery, Epigenetic Regulation
GO Term: Gobp Behavioral Response To Cocaine -> Biodomain: Neurotransmission and Synaptic Regulation, Response to Stimulus, Signal Transduction, Neurodevelopment and Neuronal Differentiation, System and Developmental Process
GO Term: Gobp Lymphocyte Chemotaxis -> Biodomain: Immune System and Inflammation, Signal Transduction, Cell Adhesion and Interaction, Response to Stimulus, System and Developmental Process
GO Term: Gobp Response To Pain -> Biodomain: Response to Stimulus, Signal Transduction, Immune System and Inflammation, Molecular Transport and Homeostasis, System and Developmental Process
GO Term: Gobp Mesoderm Morphogenesis -> Biodomain: System and Developmental Process, Neurodevelopment and Neuronal Differentiation, Cell Adhesion and Interaction, Structural Stabilization, Signal Transduction
GO Term: Gobp Mesodermal Cell Differentiation -> Biodomain: System and Developmental Process, Neurodevelopment and Neuronal Differentiation, Cell Cycle, Cell Adhesion and Interaction, Transcription and Translation Machinery
GO Term: Gobp Positive Regulation Of Retinoic Acid Receptor Signaling Pathway -> Biodomain: Transcription and Translation Machinery, Signal Transduction, Epigenetic Regulation, System and Developmental Process, Response to Stimulus
GO Term: Gobp Tissue Remodeling -> Biodomain: Structural Stabilization, System and Developmental Process, Response to Stimulus, Cell Adhesion and Interaction, Signal Transduction
GO Term: Gobp Positive Regulation Of Hair Follicle Maturation -> Biodomain: System and Developmental Process, Signal Transduction, Structural Stabilization, Response to Stimulus, Neurodevelopment and Neuronal Differentiation
GO Term: Gobp Forebrain Morphogenesis -> Biodomain: Neurodevelopment and Neuronal Differentiation, System and Developmental Process, Structural Stabilization, Cell Adhesion and Interaction, Response to Stimulus
GO Term: Gobp Formation Of Anatomical Boundary -> Biodomain: System and Developmental Process, Cell Adhesion and Interaction, Structural Stabilization, Neurodevelopment and Neuronal Differentiation, Signal Transduction
GO Term: Gobp Regulation Of Inflammatory Response -> Biodomain: Immune System and Inflammation, Response to Stimulus, Signal Transduction, System and Developmental Process, Autophagy
GO Term: Gobp Negative Regulation Of Inflammatory Response -> Biodomain: Immune System and Inflammation, Response to Stimulus, Signal Transduction, Lipid Metabolism, Molecular Transport and Homeostasis
GO Term: Gobp Positive Regulation Of Inflammatory Response -> Biodomain: Immune System and Inflammation, Response to Stimulus, Signal Transduction, Epigenetic Regulation, System and Developmental Process
GO Term: Gobp Regulation Of Peptidyl Tyrosine Phosphorylation -> Biodomain: Signal Transduction, Protein Metabolism and Trafficking, Response to Stimulus, Epigenetic Regulation, Molecular Transport and Homeostasis
GO Term: Gobp Positive Regulation Of Peptidyl Tyrosine Phosphorylation -> Biodomain: Signal Transduction, Protein Metabolism and Trafficking, Response to Stimulus, Epigenetic Regulation, Molecular Transport and Homeostasis
GO Term: Gobp Negative Regulation Of Lipoprotein Metabolic Process -> Biodomain: Signal Transduction, Lipid Metabolism, Molecular Transport and Homeostasis, Response to Stimulus, Protein Metabolism and Trafficking
GO Term: Gobp Regulation Of Steroid Biosynthetic Process -> Biodomain: Lipid Metabolism, Signal Transduction, Molecular Transport and Homeostasis, Protein Metabolism and Trafficking, Epigenetic Regulation
GO Term: Gobp Regulation Of Coagulation -> Biodomain: Response to Stimulus, System and Developmental Process, Signal Transduction, Molecular Transport and Homeostasis, Immune System and Inflammation
GO Term: Gobp Negative Regulation Of Coagulation -> Biodomain: Response to Stimulus, Immune System and Inflammation, Signal Transduction, Molecular Transport and Homeostasis, System and Developmental Process
GO Term: Gobp Negative Regulation Of B Cell Receptor Signaling Pathway -> Biodomain: Immune System and Inflammation, Signal Transduction, Response to Stimulus, System and Developmental Process, Epigenetic Regulation
GO Term: Gobp Leukocyte Migration -> Biodomain: Immune System and Inflammation, Cell Adhesion and Interaction, Response to Stimulus, Molecular Transport and Homeostasis, System and Developmental Process
GO Term: Gobp Striated Muscle Cell Differentiation -> Biodomain: Neurodevelopment and Neuronal Differentiation, System and Developmental Process, Structural Stabilization, Cell Adhesion and Interaction, Response to Stimulus
GO Term: Gobp Protein Heterotetramerization -> Biodomain: Protein Metabolism and Trafficking, Structural Stabilization, Intracellular Trafficking and Organelle Dynamics, Molecular Transport and Homeostasis, System and Developmental Process
GO Term: Gobp Protein Heterooligomerization -> Biodomain: Protein Metabolism and Trafficking, Intracellular Trafficking and Organelle Dynamics, Molecular Transport and Homeostasis, Structural Stabilization, Signal Transduction
GO Term: Gobp Response To Mineralocorticoid -> Biodomain: Response to Stimulus, Signal Transduction, Molecular Transport and Homeostasis, Transcription and Translation Machinery, Lipid Metabolism
GO Term: Gobp Corticotropin Secretion -> Biodomain: Response to Stimulus, Signal Transduction, Protein Metabolism and Trafficking, System and Developmental Process, Molecular Transport and Homeostasis
GO Term: Gobp Negative Regulation Of Filopodium Assembly -> Biodomain: Cell Adhesion and Interaction, Signal Transduction, Neurodevelopment and Neuronal Differentiation, Structural Stabilization, System and Developmental Process
GO Term: Gobp Elastin Metabolic Process -> Biodomain: Protein Metabolism and Trafficking, Structural Stabilization, System and Developmental Process, Response to Stimulus, Molecular Transport and Homeostasis
GO Term: Gobp Histone H3 K4 Methylation -> Biodomain: Epigenetic Regulation, Transcription and Translation Machinery, Signal Transduction, Response to Stimulus, System and Developmental Process
GO Term: Gobp Positive Regulation Of Histone H3 K4 Methylation -> Biodomain: Epigenetic Regulation, Transcription and Translation Machinery, Signal Transduction, System and Developmental Process, Response to Stimulus
GO Term: Gobp Exocyst Localization -> Biodomain: Intracellular Trafficking and Organelle Dynamics, Protein Metabolism and Trafficking, Cell Adhesion and Interaction, Response to Stimulus, System and Developmental Process
GO Term: Gobp Histamine Transport -> Biodomain: Molecular Transport and Homeostasis, Immune System and Inflammation, Signal Transduction, System and Developmental Process, Intracellular Trafficking and Organelle Dynamics
GO Term: Gobp Pointed End Actin Filament Capping -> Biodomain: Structural Stabilization, Intracellular Trafficking and Organelle Dynamics, Protein Metabolism and Trafficking, Cell Adhesion and Interaction, System and Developmental Process
Saved results to: Experiment/DeepSeek/03-FXS-padj-0.1/D154/Temp_0.0/go_biodomain_results_part_7.csv
Logged runtime to: Experiment/DeepSeek/03-FXS-padj-0.1/D154/Temp_0.0/runtime_log.csv
