Running with TEMP=0.0, sub_array_index=10
Changed working directory to: /panfs/compbio/users/xran2/wen/JX/02-AI-BioDomain/git_folder
Processing array index 10: rows 450 to 499
GO Term: Gobp Receptor Signaling Pathway Via Stat -> Biodomain: Signal Transduction, Immune System and Inflammation, Response to Stimulus, Transcription and Translation Machinery, System and Developmental Process
GO Term: Gobp Regulation Of Chromatin Organization -> Biodomain: Epigenetic Regulation, Transcription and Translation Machinery, System and Developmental Process, DNA Repair, Signal Transduction
GO Term: Gobp Negative Regulation Of Rna Biosynthetic Process -> Biodomain: RNA Metabolism, Transcription and Translation Machinery, Signal Transduction, Epigenetic Regulation, System and Developmental Process
GO Term: Gobp Negative Regulation Of Chondrocyte Proliferation -> Biodomain: Cell Cycle, System and Developmental Process, Signal Transduction, Structural Stabilization, Neurodevelopment and Neuronal Differentiation
GO Term: Gobp Regulation Of Alcohol Biosynthetic Process -> Biodomain: Lipid Metabolism, Signal Transduction, Protein Metabolism and Trafficking, Molecular Transport and Homeostasis, Response to Stimulus
GO Term: Gobp Regulation Of Response To Wounding -> Biodomain: Immune System and Inflammation, Response to Stimulus, System and Developmental Process, Cell Adhesion and Interaction, Signal Transduction
GO Term: Gobp Negative Regulation Of Response To Wounding -> Biodomain: Response to Stimulus, Immune System and Inflammation, Signal Transduction, System and Developmental Process, Structural Stabilization
GO Term: Gobp Regulation Of Trail Activated Apoptotic Signaling Pathway -> Biodomain: Apoptosis, Immune System and Inflammation, Signal Transduction, Response to Stimulus, System and Developmental Process
GO Term: Gobp Mucopolysaccharide Metabolic Process -> Biodomain: Lipid Metabolism, Structural Stabilization, System and Developmental Process, Molecular Transport and Homeostasis, Response to Stimulus
GO Term: Gobp Regulation Of Protein Localization To Cilium -> Biodomain: Intracellular Trafficking and Organelle Dynamics, Protein Metabolism and Trafficking, Signal Transduction, Structural Stabilization, System and Developmental Process
GO Term: Gobp Positive Regulation Of Protein Localization To Cilium -> Biodomain: Signal Transduction, Intracellular Trafficking and Organelle Dynamics, Protein Metabolism and Trafficking, Structural Stabilization, System and Developmental Process
GO Term: Gobp Positive Regulation Of Blood Vessel Endothelial Cell Proliferation Involved In Sprouting Angiogenesis -> Biodomain: System and Developmental Process, Cell Cycle, Signal Transduction, Response to Stimulus, Cell Adhesion and Interaction
GO Term: Gobp Regulation Of Protein Tyrosine Phosphatase Activity -> Biodomain: Signal Transduction, Protein Metabolism and Trafficking, Response to Stimulus, Epigenetic Regulation, Molecular Transport and Homeostasis
GO Term: Gobp Positive Regulation Of Phospholipid Metabolic Process -> Biodomain: Lipid Metabolism, Signal Transduction, System and Developmental Process, Structural Stabilization, Molecular Transport and Homeostasis
GO Term: Gobp Positive Regulation Of Nitric Oxide Metabolic Process -> Biodomain: Signal Transduction, Immune System and Inflammation, Molecular Transport and Homeostasis, Response to Stimulus, Mitochondrial Function and Metabolism
GO Term: Gobp Regulation Of Xenophagy -> Biodomain: Autophagy, Signal Transduction, Immune System and Inflammation, Intracellular Trafficking and Organelle Dynamics, Response to Stimulus
GO Term: Gobp Positive Regulation Of Vascular Associated Smooth Muscle Cell Proliferation -> Biodomain: Cell Cycle, System and Developmental Process, Signal Transduction, Response to Stimulus, Structural Stabilization
GO Term: Gobp Regulation Of Leukocyte Adhesion To Arterial Endothelial Cell -> Biodomain: Cell Adhesion and Interaction, Immune System and Inflammation, Response to Stimulus, Signal Transduction, System and Developmental Process
GO Term: Gobp Positive Regulation Of Epithelial To Mesenchymal Transition Involved In Endocardial Cushion Formation -> Biodomain: System and Developmental Process, Cell Adhesion and Interaction, Signal Transduction, Response to Stimulus, Structural Stabilization
GO Term: Gobp Regulation Of Metallopeptidase Activity -> Biodomain: Signal Transduction, Response to Stimulus, Protein Metabolism and Trafficking, Molecular Transport and Homeostasis, System and Developmental Process
GO Term: Gobp Positive Regulation Of Connective Tissue Replacement -> Biodomain: System and Developmental Process, Response to Stimulus, Cell Adhesion and Interaction, Structural Stabilization, Signal Transduction
Saved results to: Experiment/DeepSeek/03-FXS-padj-0.1/D154/Temp_0.0/go_biodomain_results_part_10.csv
Logged runtime to: Experiment/DeepSeek/03-FXS-padj-0.1/D154/Temp_0.0/runtime_log.csv
