Running with TEMP=0.0, sub_array_index=12
Changed working directory to: /panfs/compbio/users/xran2/wen/JX/02-AI-BioDomain/git_folder
Processing array index 12: rows 550 to 599
GO Term: Gocc Extrinsic Component Of Mitochondrial Inner Membrane -> Biodomain: Mitochondrial Function and Metabolism, Protein Metabolism and Trafficking, Intracellular Trafficking and Organelle Dynamics, Molecular Transport and Homeostasis, Structural Stabilization
GO Term: Gocc Sperm Mitochondrial Sheath -> Biodomain: Mitochondrial Function and Metabolism, System and Developmental Process, Structural Stabilization, Molecular Transport and Homeostasis, Cell Adhesion and Interaction
GO Term: Gocc Astrocyte End Foot -> Biodomain: Cell Adhesion and Interaction, Gliogenesis and Glial Differentiation, Structural Stabilization, Neurodevelopment and Neuronal Differentiation, Molecular Transport and Homeostasis
GO Term: Gocc Side Of Membrane -> Biodomain: Structural Stabilization, Cell Adhesion and Interaction, Intracellular Trafficking and Organelle Dynamics, Molecular Transport and Homeostasis, Protein Metabolism and Trafficking
GO Term: Gocc Protein Complex Involved In Cell Adhesion -> Biodomain: Cell Adhesion and Interaction, Structural Stabilization, System and Developmental Process, Intracellular Trafficking and Organelle Dynamics, Signal Transduction
GO Term: Gocc Serotonin Receptor Complex -> Biodomain: Neurotransmission and Synaptic Regulation, Signal Transduction, Cell Adhesion and Interaction, Response to Stimulus, Protein Metabolism and Trafficking
GO Term: Gocc Dopaminergic Synapse -> Biodomain: Neurotransmission and Synaptic Regulation, Neurodevelopment and Neuronal Differentiation, Signal Transduction, Cell Adhesion and Interaction, System and Developmental Process
GO Term: Gocc Membrane Microdomain -> Biodomain: Lipid Metabolism, Signal Transduction, Protein Metabolism and Trafficking, Structural Stabilization, System and Developmental Process
GO Term: Gocc Secretory Vesicle -> Biodomain: Intracellular Trafficking and Organelle Dynamics, Protein Metabolism and Trafficking, Molecular Transport and Homeostasis, System and Developmental Process, Response to Stimulus
GO Term: Gocc Rod Photoreceptor Outer Segment -> Biodomain: Neurotransmission and Synaptic Regulation, Structural Stabilization, Intracellular Trafficking and Organelle Dynamics, Response to Stimulus, Cell Adhesion and Interaction
GO Term: Gocc Bbaf Complex -> Biodomain: Epigenetic Regulation, Neurodevelopment and Neuronal Differentiation, Transcription and Translation Machinery, Signal Transduction, System and Developmental Process
GO Term: Gocc Gbaf Complex -> Biodomain: Epigenetic Regulation, Transcription and Translation Machinery, Signal Transduction, DNA Repair, System and Developmental Process
GO Term: Gocc Acetyltransferase Complex -> Biodomain: Epigenetic Regulation, Protein Metabolism and Trafficking, Signal Transduction, Transcription and Translation Machinery, Molecular Transport and Homeostasis
GO Term: Gocc H4 Histone Acetyltransferase Complex -> Biodomain: Epigenetic Regulation, Transcription and Translation Machinery, Protein Metabolism and Trafficking, Response to Stimulus, Structural Stabilization
GO Term: Gocc Hfe Transferrin Receptor Complex -> Biodomain: Molecular Transport and Homeostasis, Signal Transduction, Immune System and Inflammation, Protein Metabolism and Trafficking, Response to Stimulus
GO Term: Gomf Rna Polymerase Ii Transcription Regulatory Region Sequence Specific Dna Binding -> Biodomain: Transcription and Translation Machinery, Epigenetic Regulation, Signal Transduction, Response to Stimulus, System and Developmental Process
GO Term: Gomf Rna Polymerase Iii Type 3 Promoter Sequence Specific Dna Binding -> Biodomain: Transcription and Translation Machinery, DNA Repair, Signal Transduction, Epigenetic Regulation, Response to Stimulus
GO Term: Gomf Rna Polymerase Ii Intronic Transcription Regulatory Region Sequence Specific Dna Binding -> Biodomain: Transcription and Translation Machinery, Epigenetic Regulation, Signal Transduction, Molecular Transport and Homeostasis, System and Developmental Process
GO Term: Gomf Dna Binding Transcription Repressor Activity -> Biodomain: Transcription and Translation Machinery, Epigenetic Regulation, Signal Transduction, Response to Stimulus, System and Developmental Process
GO Term: Gomf Complement Binding -> Biodomain: Immune System and Inflammation, Protein Metabolism and Trafficking, Signal Transduction, Molecular Transport and Homeostasis, Response to Stimulus
GO Term: Gomf Nucleoside Binding -> Biodomain: Molecular Transport and Homeostasis, RNA Metabolism, Transcription and Translation Machinery, Signal Transduction, Response to Stimulus
GO Term: Gomf Fibronectin Binding -> Biodomain: Cell Adhesion and Interaction, Molecular Transport and Homeostasis, Protein Metabolism and Trafficking, Response to Stimulus, Structural Stabilization
GO Term: Gomf Protease Binding -> Biodomain: Protein Metabolism and Trafficking, Signal Transduction, Apoptosis, Immune System and Inflammation, Response to Stimulus
GO Term: Gomf Dna Binding Transcription Factor Activity -> Biodomain: Transcription and Translation Machinery, Epigenetic Regulation, Signal Transduction, System and Developmental Process, Response to Stimulus
Saved results to: Experiment/DeepSeek/03-FXS-padj-0.1/D154/Temp_0.0/go_biodomain_results_part_12.csv
Logged runtime to: Experiment/DeepSeek/03-FXS-padj-0.1/D154/Temp_0.0/runtime_log.csv
