Running with TEMP=0.0, sub_array_index=13
Changed working directory to: /panfs/compbio/users/xran2/wen/JX/02-AI-BioDomain/git_folder
Processing array index 13: rows 600 to 649
GO Term: Gomf Dna Topoisomerase Activity -> Biodomain: DNA Repair, Transcription and Translation Machinery, Molecular Transport and Homeostasis, Signal Transduction, Response to Stimulus
GO Term: Gomf L Alanine Transmembrane Transporter Activity -> Biodomain: Molecular Transport and Homeostasis, Protein Metabolism and Trafficking, Response to Stimulus, Intracellular Trafficking and Organelle Dynamics, Lipid Metabolism
GO Term: Gomf Choline Transmembrane Transporter Activity -> Biodomain: Molecular Transport and Homeostasis, Neurotransmission and Synaptic Regulation, Lipid Metabolism, Intracellular Trafficking and Organelle Dynamics, Response to Stimulus
GO Term: Gomf Water Channel Activity -> Biodomain: Molecular Transport and Homeostasis, Intracellular Trafficking and Organelle Dynamics, Response to Stimulus, Protein Metabolism and Trafficking, Structural Stabilization
GO Term: Gomf Store Operated Calcium Channel Activity -> Biodomain: Molecular Transport and Homeostasis, Signal Transduction, Response to Stimulus, System and Developmental Process, Neurotransmission and Synaptic Regulation
GO Term: Gomf Organophosphate Ester Transmembrane Transporter Activity -> Biodomain: Molecular Transport and Homeostasis, Lipid Metabolism, Intracellular Trafficking and Organelle Dynamics, System and Developmental Process, Response to Stimulus
GO Term: Gomf Peptidoglycan Immune Receptor Activity -> Biodomain: Immune System and Inflammation, Response to Stimulus, Signal Transduction, Molecular Transport and Homeostasis, Protein Metabolism and Trafficking
GO Term: Gomf Lysine N Methyltransferase Activity -> Biodomain: Epigenetic Regulation, Protein Metabolism and Trafficking, Transcription and Translation Machinery, Signal Transduction, Response to Stimulus
GO Term: Gomf Kinase Activity -> Biodomain: Signal Transduction, Protein Metabolism and Trafficking, Cell Cycle, Response to Stimulus, Molecular Transport and Homeostasis
Saved results to: Experiment/DeepSeek/03-FXS-padj-0.1/D154/Temp_0.0/go_biodomain_results_part_13.csv
Logged runtime to: Experiment/DeepSeek/03-FXS-padj-0.1/D154/Temp_0.0/runtime_log.csv
