Running with TEMP=0.0, sub_array_index=1
Changed working directory to: /panfs/compbio/users/xran2/wen/JX/02-AI-BioDomain/git_folder
Processing array index 1: rows 0 to 49
GO Term: Gobp Alternative Mrna Splicing Via Spliceosome -> Biodomain: RNA Metabolism, Transcription and Translation Machinery, System and Developmental Process, Response to Stimulus, Epigenetic Regulation
GO Term: Gobp Antigen Processing And Presentation Of Peptide Or Polysaccharide Antigen Via Mhc Class Ii -> Biodomain: Immune System and Inflammation, Protein Metabolism and Trafficking, Intracellular Trafficking and Organelle Dynamics, Response to Stimulus, Signal Transduction
GO Term: Gobp Acute Inflammatory Response -> Biodomain: Immune System and Inflammation, Response to Stimulus, Signal Transduction, System and Developmental Process, Molecular Transport and Homeostasis
GO Term: Gobp Monocyte Chemotaxis -> Biodomain: Immune System and Inflammation, Cell Adhesion and Interaction, Response to Stimulus, Signal Transduction, System and Developmental Process
GO Term: Gobp Positive Regulation Of Acute Inflammatory Response -> Biodomain: Immune System and Inflammation, Response to Stimulus, Signal Transduction, System and Developmental Process, Autophagy
GO Term: Gobp Positive Regulation Of Leukocyte Migration -> Biodomain: Immune System and Inflammation, Cell Adhesion and Interaction, Signal Transduction, Response to Stimulus, System and Developmental Process
GO Term: Gobp Negative Regulation Of Lymphocyte Mediated Immunity -> Biodomain: Immune System and Inflammation, Signal Transduction, Response to Stimulus, System and Developmental Process, Molecular Transport and Homeostasis
GO Term: Gobp Regulation Of T Cell Mediated Immunity -> Biodomain: Immune System and Inflammation, Signal Transduction, Response to Stimulus, System and Developmental Process, Epigenetic Regulation
GO Term: Gobp Negative Regulation Of T Cell Mediated Immunity -> Biodomain: Immune System and Inflammation, Signal Transduction, Response to Stimulus, System and Developmental Process, Cell Adhesion and Interaction
GO Term: Gobp Negative Regulation Of Adaptive Immune Response -> Biodomain: Immune System and Inflammation, Response to Stimulus, Signal Transduction, System and Developmental Process, Transcription and Translation Machinery
GO Term: Gobp Regulation Of T Helper 1 Type Immune Response -> Biodomain: Immune System and Inflammation, Signal Transduction, Response to Stimulus, System and Developmental Process, Transcription and Translation Machinery
GO Term: Gobp Vascular Process In Circulatory System -> Biodomain: System and Developmental Process, Molecular Transport and Homeostasis, Response to Stimulus, Signal Transduction, Cell Adhesion and Interaction
GO Term: Gobp Regulation Of Systemic Arterial Blood Pressure Mediated By A Chemical Signal -> Biodomain: Signal Transduction, Response to Stimulus, Molecular Transport and Homeostasis, Immune System and Inflammation, System and Developmental Process
GO Term: Gobp Regulation Of Systemic Arterial Blood Pressure -> Biodomain: Molecular Transport and Homeostasis, Signal Transduction, Response to Stimulus, System and Developmental Process, Cell Adhesion and Interaction
GO Term: Gobp Heart Field Specification -> Biodomain: System and Developmental Process, Structural Stabilization, Neurodevelopment and Neuronal Differentiation, Cell Adhesion and Interaction, Signal Transduction
GO Term: Gobp Secondary Heart Field Specification -> Biodomain: System and Developmental Process, Cell Cycle, Cell Adhesion and Interaction, Signal Transduction, Neurodevelopment and Neuronal Differentiation
GO Term: Gobp Atrioventricular Valve Formation -> Biodomain: System and Developmental Process, Structural Stabilization, Neurodevelopment and Neuronal Differentiation, Cell Adhesion and Interaction, Signal Transduction
GO Term: Gobp Cardiac Ventricle Morphogenesis -> Biodomain: System and Developmental Process, Structural Stabilization, Cell Adhesion and Interaction, Signal Transduction, Response to Stimulus
GO Term: Gobp Endocardial Cushion Formation -> Biodomain: System and Developmental Process, Cell Adhesion and Interaction, Structural Stabilization, Response to Stimulus, Signal Transduction
GO Term: Gobp Endocardial Cushion Fusion -> Biodomain: Cell Adhesion and Interaction, System and Developmental Process, Structural Stabilization, Neurodevelopment and Neuronal Differentiation, Response to Stimulus
GO Term: Gobp Apoptotic Process Involved In Heart Morphogenesis -> Biodomain: Apoptosis, System and Developmental Process, Structural Stabilization, Response to Stimulus, Signal Transduction
GO Term: Gobp Muscle Hypertrophy In Response To Stress -> Biodomain: Response to Stimulus, System and Developmental Process, Structural Stabilization, Signal Transduction, Protein Metabolism and Trafficking
GO Term: Gobp Wnt Signaling Pathway Involved In Heart Development -> Biodomain: Signal Transduction, System and Developmental Process, Neurodevelopment and Neuronal Differentiation, Cell Cycle, Transcription and Translation Machinery
GO Term: Gobp Regulation Of Wnt Signaling Pathway Involved In Heart Development -> Biodomain: System and Developmental Process, Signal Transduction, Response to Stimulus, Transcription and Translation Machinery, Neurodevelopment and Neuronal Differentiation
GO Term: Gobp Negative Regulation Of Wnt Signaling Pathway Involved In Heart Development -> Biodomain: System and Developmental Process, Signal Transduction, Cell Cycle, Transcription and Translation Machinery, Response to Stimulus
GO Term: Gobp Positive Regulation Of Blood Pressure By Epinephrine Norepinephrine -> Biodomain: Signal Transduction, Molecular Transport and Homeostasis, Response to Stimulus, Neurotransmission and Synaptic Regulation, System and Developmental Process
Saved results to: Experiment/DeepSeek/03-FXS-padj-0.1/D154/Temp_0.0/go_biodomain_results_part_1.csv
Logged runtime to: Experiment/DeepSeek/03-FXS-padj-0.1/D154/Temp_0.0/runtime_log.csv
