Running with TEMP=0.0, sub_array_index=2
Changed working directory to: /panfs/compbio/users/xran2/wen/JX/02-AI-BioDomain/git_folder
Processing array index 2: rows 50 to 99
GO Term: Gobp Regulation Of Extracellular Matrix Constituent Secretion -> Biodomain: Structural Stabilization, Intracellular Trafficking and Organelle Dynamics, Signal Transduction, Response to Stimulus, System and Developmental Process
GO Term: Gobp Sphingomyelin Biosynthetic Process -> Biodomain: Lipid Metabolism, Intracellular Trafficking and Organelle Dynamics, Protein Metabolism and Trafficking, Molecular Transport and Homeostasis, System and Developmental Process
GO Term: Gobp Steroid Biosynthetic Process -> Biodomain: Lipid Metabolism, System and Developmental Process, Molecular Transport and Homeostasis, Intracellular Trafficking and Organelle Dynamics, Mitochondrial Function and Metabolism
GO Term: Gobp Cholesterol Catabolic Process -> Biodomain: Lipid Metabolism, Molecular Transport and Homeostasis, System and Developmental Process, Response to Stimulus, Signal Transduction
GO Term: Gobp Copper Ion Transport -> Biodomain: Molecular Transport and Homeostasis, Intracellular Trafficking and Organelle Dynamics, Response to Stimulus, Signal Transduction, System and Developmental Process
GO Term: Gobp Intracellular Iron Ion Homeostasis -> Biodomain: Molecular Transport and Homeostasis, Intracellular Trafficking and Organelle Dynamics, Mitochondrial Function and Metabolism, Protein Metabolism and Trafficking, Response to Stimulus
GO Term: Gobp Inflammatory Cell Apoptotic Process -> Biodomain: Apoptosis, Immune System and Inflammation, Response to Stimulus, Cell Cycle, System and Developmental Process
GO Term: Gobp Substrate Dependent Cell Migration Cell Extension -> Biodomain: Cell Adhesion and Interaction, Signal Transduction, Structural Stabilization, System and Developmental Process, Intracellular Trafficking and Organelle Dynamics
GO Term: Gobp Acute Phase Response -> Biodomain: Immune System and Inflammation, Response to Stimulus, Protein Metabolism and Trafficking, Signal Transduction, Molecular Transport and Homeostasis
GO Term: Gobp Inflammatory Response -> Biodomain: Immune System and Inflammation, Response to Stimulus, Cell Adhesion and Interaction, Signal Transduction, Autophagy
GO Term: Gobp Response To Osmotic Stress -> Biodomain: Response to Stimulus, Molecular Transport and Homeostasis, Signal Transduction, System and Developmental Process, Intracellular Trafficking and Organelle Dynamics
GO Term: Gobp Hyperosmotic Response -> Biodomain: Response to Stimulus, Signal Transduction, Transcription and Translation Machinery, Molecular Transport and Homeostasis, System and Developmental Process
GO Term: Gobp Plasma Membrane Organization -> Biodomain: Structural Stabilization, Cell Adhesion and Interaction, Molecular Transport and Homeostasis, Signal Transduction, System and Developmental Process
GO Term: Gobp Activation Of Transmembrane Receptor Protein Tyrosine Kinase Activity -> Biodomain: Signal Transduction, Response to Stimulus, Protein Metabolism and Trafficking, Molecular Transport and Homeostasis, System and Developmental Process
GO Term: Gobp Activation Of Adenylate Cyclase Activity -> Biodomain: Signal Transduction, Response to Stimulus, Neurotransmission and Synaptic Regulation, System and Developmental Process, Epigenetic Regulation
GO Term: Gobp Adenylate Cyclase Inhibiting Dopamine Receptor Signaling Pathway -> Biodomain: Signal Transduction, Neurotransmission and Synaptic Regulation, Molecular Transport and Homeostasis, Response to Stimulus, System and Developmental Process
GO Term: Gobp Activation Of Phospholipase C Activity -> Biodomain: Signal Transduction, Response to Stimulus, Molecular Transport and Homeostasis, Intracellular Trafficking and Organelle Dynamics, Protein Metabolism and Trafficking
GO Term: Gobp Wnt Signaling Pathway Calcium Modulating Pathway -> Biodomain: Signal Transduction, Calcium Signaling, Wnt Signaling Pathway, Cell Signaling, Intracellular Signaling
GO Term: Gobp Sex Determination -> Biodomain: System and Developmental Process, Epigenetic Regulation, Signal Transduction, Transcription and Translation Machinery, Response to Stimulus
GO Term: Gobp Hemostasis -> Biodomain: Response to Stimulus, Immune System and Inflammation, Cell Adhesion and Interaction, Signal Transduction, System and Developmental Process
GO Term: Gobp Mechanosensory Behavior -> Biodomain: Response to Stimulus, System and Developmental Process, Signal Transduction, Neurotransmission and Synaptic Regulation, Cell Adhesion and Interaction
GO Term: Gobp Mesodermal Cell Migration -> Biodomain: Cell Adhesion and Interaction, System and Developmental Process, Neurodevelopment and Neuronal Differentiation, Response to Stimulus, Signal Transduction
GO Term: Gobp Bile Acid Metabolic Process -> Biodomain: Lipid Metabolism, Molecular Transport and Homeostasis, Protein Metabolism and Trafficking, System and Developmental Process, Response to Stimulus
GO Term: Gobp C21 Steroid Hormone Metabolic Process -> Biodomain: Lipid Metabolism, Signal Transduction, Response to Stimulus, System and Developmental Process, Transcription and Translation Machinery
GO Term: Gobp Estrogen Metabolic Process -> Biodomain: Lipid Metabolism, Molecular Transport and Homeostasis, Response to Stimulus, Signal Transduction, System and Developmental Process
GO Term: Gobp Regulation Of Blood Pressure -> Biodomain: System and Developmental Process, Molecular Transport and Homeostasis, Signal Transduction, Response to Stimulus, Intracellular Trafficking and Organelle Dynamics
GO Term: Gobp Germ Cell Migration -> Biodomain: System and Developmental Process, Cell Adhesion and Interaction, Neurodevelopment and Neuronal Differentiation, Response to Stimulus, Molecular Transport and Homeostasis
GO Term: Gobp Vitamin Biosynthetic Process -> Biodomain: Lipid Metabolism, Protein Metabolism and Trafficking, Molecular Transport and Homeostasis, System and Developmental Process, Response to Stimulus
GO Term: Gobp Pyrimidine Ribonucleoside Triphosphate Biosynthetic Process -> Biodomain: RNA Metabolism, Transcription and Translation Machinery, Molecular Transport and Homeostasis, System and Developmental Process, Lipid Metabolism
GO Term: Gobp Pyrimidine Ribonucleotide Catabolic Process -> Biodomain: RNA Metabolism, Molecular Transport and Homeostasis, Protein Metabolism and Trafficking, Response to Stimulus, Signal Transduction
Saved results to: Experiment/DeepSeek/03-FXS-padj-0.1/D154/Temp_0.0/go_biodomain_results_part_2.csv
Logged runtime to: Experiment/DeepSeek/03-FXS-padj-0.1/D154/Temp_0.0/runtime_log.csv
