Running with TEMP=0.0, sub_array_index=6
Changed working directory to: /panfs/compbio/users/xran2/wen/JX/02-AI-BioDomain/git_folder
Processing array index 6: rows 250 to 299
GO Term: Gobp Replacement Ossification -> Biodomain: System and Developmental Process, Structural Stabilization, Response to Stimulus, Cell Adhesion and Interaction, Signal Transduction
GO Term: Gobp Positive Regulation Of Neuron Apoptotic Process -> Biodomain: Apoptosis, Neurodevelopment and Neuronal Differentiation, Neurotransmission and Synaptic Regulation, System and Developmental Process, Response to Stimulus
GO Term: Gobp Regulation Of Phosphatidylinositol 3 Kinase Activity -> Biodomain: Signal Transduction, Lipid Metabolism, Intracellular Trafficking and Organelle Dynamics, Response to Stimulus, Cell Cycle
GO Term: Gobp Positive Regulation By Host Of Viral Transcription -> Biodomain: Transcription and Translation Machinery, Response to Stimulus, Signal Transduction, Immune System and Inflammation, System and Developmental Process
GO Term: Gobp Histone H3 Acetylation -> Biodomain: Epigenetic Regulation, Protein Metabolism and Trafficking, Transcription and Translation Machinery, Response to Stimulus, Signal Transduction
GO Term: Gobp Multi Multicellular Organism Process -> Biodomain: System and Developmental Process, Cell Adhesion and Interaction, Response to Stimulus, Signal Transduction, Immune System and Inflammation
GO Term: Gobp Protein Localization To Plasma Membrane Raft -> Biodomain: Intracellular Trafficking and Organelle Dynamics, Signal Transduction, Protein Metabolism and Trafficking, Molecular Transport and Homeostasis, Response to Stimulus
GO Term: Gobp Depyrimidination -> Biodomain: DNA Repair, Response to Stimulus, Molecular Transport and Homeostasis, System and Developmental Process, Signal Transduction
GO Term: Gobp Protein Insertion Into Mitochondrial Inner Membrane -> Biodomain: Mitochondrial Function and Metabolism, Protein Metabolism and Trafficking, Intracellular Trafficking and Organelle Dynamics, Molecular Transport and Homeostasis, System and Developmental Process
GO Term: Gobp Intermediate Filament Based Process -> Biodomain: Structural Stabilization, Cell Adhesion and Interaction, Intracellular Trafficking and Organelle Dynamics, Response to Stimulus, System and Developmental Process
GO Term: Gobp Intermediate Filament Organization -> Biodomain: Structural Stabilization, Cell Adhesion and Interaction, Intracellular Trafficking and Organelle Dynamics, System and Developmental Process, Response to Stimulus
GO Term: Gobp Intermediate Filament Bundle Assembly -> Biodomain: Structural Stabilization, Cell Adhesion and Interaction, Intracellular Trafficking and Organelle Dynamics, System and Developmental Process, Response to Stimulus
GO Term: Gobp Neuronal Ion Channel Clustering -> Biodomain: Neurotransmission and Synaptic Regulation, Neurodevelopment and Neuronal Differentiation, Structural Stabilization, Molecular Transport and Homeostasis, Cell Adhesion and Interaction
GO Term: Gobp Clustering Of Voltage Gated Sodium Channels -> Biodomain: Neurotransmission and Synaptic Regulation, Neurodevelopment and Neuronal Differentiation, Structural Stabilization, Cell Adhesion and Interaction, Intracellular Trafficking and Organelle Dynamics
GO Term: Gobp Sarcomere Organization -> Biodomain: Structural Stabilization, System and Developmental Process, Cell Adhesion and Interaction, Protein Metabolism and Trafficking, Response to Stimulus
GO Term: Gobp Response To Ethanol -> Biodomain: Response to Stimulus, Signal Transduction, Molecular Transport and Homeostasis, System and Developmental Process, Lipid Metabolism
GO Term: Gobp Mast Cell Activation -> Biodomain: Immune System and Inflammation, Signal Transduction, Response to Stimulus, Intracellular Trafficking and Organelle Dynamics, Structural Stabilization
GO Term: Gobp Regulation Of T Helper 1 Cell Differentiation -> Biodomain: Immune System and Inflammation, Signal Transduction, System and Developmental Process, Response to Stimulus, Epigenetic Regulation
GO Term: Gobp Negative Regulation Of Gluconeogenesis -> Biodomain: Mitochondrial Function and Metabolism, Signal Transduction, Response to Stimulus, Molecular Transport and Homeostasis, System and Developmental Process
GO Term: Gobp Positive Regulation Of Ossification -> Biodomain: System and Developmental Process, Signal Transduction, Epigenetic Regulation, Response to Stimulus, Structural Stabilization
GO Term: Gobp Positive Regulation Of Cell Size -> Biodomain: Cell Cycle, Signal Transduction, Molecular Transport and Homeostasis, System and Developmental Process, Response to Stimulus
Saved results to: Experiment/DeepSeek/03-FXS-padj-0.1/D154/Temp_0.0/go_biodomain_results_part_6.csv
Logged runtime to: Experiment/DeepSeek/03-FXS-padj-0.1/D154/Temp_0.0/runtime_log.csv
