Running with TEMP=0.0, sub_array_index=3
Changed working directory to: /panfs/compbio/users/xran2/wen/JX/02-AI-BioDomain/git_folder
Processing array index 3: rows 100 to 149
GO Term: Gobp Positive Regulation Of Striated Muscle Cell Apoptotic Process -> Biodomain: Apoptosis, Response to Stimulus, System and Developmental Process, Structural Stabilization, Cell Adhesion and Interaction
GO Term: Gobp Schwann Cell Development -> Biodomain: Neurodevelopment and Neuronal Differentiation, Gliogenesis and Glial Differentiation, System and Developmental Process, Structural Stabilization, Cell Adhesion and Interaction
GO Term: Gobp Gamma Aminobutyric Acid Secretion -> Biodomain: Neurotransmission and Synaptic Regulation, Neurodevelopment and Neuronal Differentiation, Molecular Transport and Homeostasis, Gliogenesis and Glial Differentiation, Signal Transduction
GO Term: Gobp Negative Regulation Of Serotonin Secretion -> Biodomain: Neurotransmission and Synaptic Regulation, Signal Transduction, Molecular Transport and Homeostasis, Response to Stimulus, System and Developmental Process
GO Term: Gobp Regulation Of Skeletal Muscle Contraction By Calcium Ion Signaling -> Biodomain: Neurotransmission and Synaptic Regulation, Signal Transduction, Molecular Transport and Homeostasis, Response to Stimulus, System and Developmental Process
GO Term: Gobp Norepinephrine Transport -> Biodomain: Neurotransmission and Synaptic Regulation, Molecular Transport and Homeostasis, System and Developmental Process, Response to Stimulus, Signal Transduction
GO Term: Gobp Vesicle Organization -> Biodomain: Neurotransmission and Synaptic Regulation, Intracellular Trafficking and Organelle Dynamics, Protein Metabolism and Trafficking, Molecular Transport and Homeostasis, System and Developmental Process
GO Term: Gobp Terpenoid Catabolic Process -> Biodomain: Lipid Metabolism, Signal Transduction, Intracellular Trafficking and Organelle Dynamics, Molecular Transport and Homeostasis, System and Developmental Process
GO Term: Gobp Positive Regulation Of Macroautophagy -> Biodomain: Autophagy, Protein Metabolism and Trafficking, Intracellular Trafficking and Organelle Dynamics, Neurotransmission and Synaptic Regulation, Response to Stimulus
GO Term: Gobp Protein Import -> Biodomain: Protein Metabolism and Trafficking, Intracellular Trafficking and Organelle Dynamics, Molecular Transport and Homeostasis, Mitochondrial Function and Metabolism, Neurotransmission and Synaptic Regulation
GO Term: Gobp Peptidyl Proline Modification -> Biodomain: Protein Metabolism and Trafficking, RNA Metabolism, Signal Transduction, Transcription and Translation Machinery, Neurotransmission and Synaptic Regulation
GO Term: Gobp Peptidyl Proline Hydroxylation To 4 Hydroxy L Proline -> Biodomain: Protein Metabolism and Trafficking, Cell Adhesion and Interaction, Structural Stabilization, Neurodevelopment and Neuronal Differentiation, System and Developmental Process
GO Term: Gobp Viral Release From Host Cell -> Biodomain: Intracellular Trafficking and Organelle Dynamics, Cell Adhesion and Interaction, Immune System and Inflammation, Molecular Transport and Homeostasis, System and Developmental Process
GO Term: Gobp Dolichol Metabolic Process -> Biodomain: Protein Metabolism and Trafficking, Intracellular Trafficking and Organelle Dynamics, Lipid Metabolism, Molecular Transport and Homeostasis, System and Developmental Process
GO Term: Gobp Lipoxygenase Pathway -> Biodomain: Lipid Metabolism, Immune System and Inflammation, Neurotransmission and Synaptic Regulation, Signal Transduction, Response to Stimulus
GO Term: Gobp Glial Cell Fate Commitment -> Biodomain: Neurodevelopment and Neuronal Differentiation, Gliogenesis and Glial Differentiation, System and Developmental Process, Response to Stimulus, Immune System and Inflammation
GO Term: Gobp Glial Cell Development -> Biodomain: Gliogenesis and Glial Differentiation, Neurodevelopment and Neuronal Differentiation, Molecular Transport and Homeostasis, Signal Transduction, Neurotransmission and Synaptic Regulation
GO Term: Gobp Protein To Membrane Docking -> Biodomain: Neurotransmission and Synaptic Regulation, Intracellular Trafficking and Organelle Dynamics, Protein Metabolism and Trafficking, Molecular Transport and Homeostasis, Signal Transduction
GO Term: Gobp Negative Regulation Of Signaling -> Biodomain: Signal Transduction, Neurotransmission and Synaptic Regulation, Response to Stimulus, System and Developmental Process, Transcription and Translation Machinery
GO Term: Gobp Natural Killer Cell Activation -> Biodomain: Immune System and Inflammation, Signal Transduction, Response to Stimulus, Cell Adhesion and Interaction, System and Developmental Process
GO Term: Gobp Protein Import Into Mitochondrial Matrix -> Biodomain: Mitochondrial Function and Metabolism, Protein Metabolism and Trafficking, Intracellular Trafficking and Organelle Dynamics, Molecular Transport and Homeostasis, Structural Stabilization
GO Term: Gobp Protein Catabolic Process -> Biodomain: Protein Metabolism and Trafficking, Autophagy, Intracellular Trafficking and Organelle Dynamics, Neurotransmission and Synaptic Regulation, Molecular Transport and Homeostasis
GO Term: Gobp Regulation Of Dna Templated Dna Replication Initiation -> Biodomain: Cell Cycle, DNA Repair, Epigenetic Regulation, System and Developmental Process, Transcription and Translation Machinery
GO Term: Gobp Megakaryocyte Differentiation -> Biodomain: System and Developmental Process, Cell Adhesion and Interaction, Cell Cycle, Response to Stimulus, Neurodevelopment and Neuronal Differentiation
GO Term: Gobp Negative Regulation Of Cell Growth -> Biodomain: Neurodevelopment and Neuronal Differentiation, Signal Transduction, Cell Cycle, System and Developmental Process, Transcription and Translation Machinery
GO Term: Gobp Ubiquitin Dependent Erad Pathway -> Biodomain: Protein Metabolism and Trafficking, Intracellular Trafficking and Organelle Dynamics, Molecular Transport and Homeostasis, Response to Stimulus, Signal Transduction
GO Term: Gobp Maturation Of Ssu Rrna -> Biodomain: RNA Metabolism, Transcription and Translation Machinery, Protein Metabolism and Trafficking, Neurotransmission and Synaptic Regulation, Molecular Transport and Homeostasis
GO Term: Gobp Intracellular Receptor Signaling Pathway -> Biodomain: Signal Transduction, Transcription and Translation Machinery, Neurotransmission and Synaptic Regulation, System and Developmental Process, Response to Stimulus
GO Term: Gobp Exocrine Pancreas Development -> Biodomain: System and Developmental Process, Cell Adhesion and Interaction, Structural Stabilization, Molecular Transport and Homeostasis, Neurodevelopment and Neuronal Differentiation
GO Term: Gobp Endocrine Pancreas Development -> Biodomain: Neurodevelopment and Neuronal Differentiation, System and Developmental Process, Molecular Transport and Homeostasis, Signal Transduction, Response to Stimulus
GO Term: Gobp Negative Regulation Of Histone Deacetylation -> Biodomain: Epigenetic Regulation, Transcription and Translation Machinery, Neurodevelopment and Neuronal Differentiation, Signal Transduction, System and Developmental Process
GO Term: Gobp Stress Activated Protein Kinase Signaling Cascade -> Biodomain: Signal Transduction, Neurotransmission and Synaptic Regulation, Response to Stimulus, Neurodevelopment and Neuronal Differentiation, Protein Metabolism and Trafficking
GO Term: Gobp Rrna Pseudouridine Synthesis -> Biodomain: RNA Metabolism, Protein Metabolism and Trafficking, Transcription and Translation Machinery, Neurotransmission and Synaptic Regulation, Neurodevelopment and Neuronal Differentiation
GO Term: Gobp Rrna 3 End Processing -> Biodomain: RNA Metabolism, Transcription and Translation Machinery, Protein Metabolism and Trafficking, Neurotransmission and Synaptic Regulation, Molecular Transport and Homeostasis
GO Term: Gobp Regulation Of Axon Diameter -> Biodomain: Neurodevelopment and Neuronal Differentiation, Structural Stabilization, System and Developmental Process, Cell Adhesion and Interaction, Neurotransmission and Synaptic Regulation
GO Term: Gobp Post Translational Protein Targeting To Membrane Translocation -> Biodomain: Protein Metabolism and Trafficking, Intracellular Trafficking and Organelle Dynamics, Molecular Transport and Homeostasis, Neurotransmission and Synaptic Regulation, RNA Metabolism
GO Term: Gobp Replication Fork Processing -> Biodomain: DNA Repair, Response to Stimulus, Cell Cycle, Transcription and Translation Machinery, Signal Transduction
GO Term: Gobp Negative Regulation Of Defense Response -> Biodomain: Immune System and Inflammation, Response to Stimulus, Signal Transduction, System and Developmental Process, Epigenetic Regulation
GO Term: Gobp Killing Of Cells Of Another Organism -> Biodomain: Immune System and Inflammation, Response to Stimulus, Cell Adhesion and Interaction, System and Developmental Process, Autophagy
Saved results to: EExperiment/DeepSeek/02-FXS/04-FXS/Unknown_Temp_0.0/go_biodomain_results_part_3.csv
Logged runtime to: EExperiment/DeepSeek/02-FXS/04-FXS/Unknown_Temp_0.0/runtime_log.csv
