Running with TEMP=0.1, sub_array_index=4
Changed working directory to: /panfs/compbio/users/xran2/wen/JX/02-AI-BioDomain/git_folder
Processing array index 4: rows 150 to 199
GO Term: Gobp Regulation Of Protein Stability -> Biodomain: Protein Metabolism and Trafficking, Neurotransmission and Synaptic Regulation, Intracellular Trafficking and Organelle Dynamics, RNA Metabolism, Response to Stimulus
GO Term: Gobp Positive Regulation Of Interleukin 17 Production -> Biodomain: Immune System and Inflammation, Signal Transduction, Response to Stimulus, System and Developmental Process, Neurodevelopment and Neuronal Differentiation
GO Term: Gobp Positive Regulation Of Interleukin 18 Production -> Biodomain: Immune System and Inflammation, Response to Stimulus, Signal Transduction, System and Developmental Process, RNA Metabolism
GO Term: Gobp Regulation Of Natural Killer Cell Activation -> Biodomain: Immune System and Inflammation, Signal Transduction, Response to Stimulus, System and Developmental Process, Cell Adhesion and Interaction
GO Term: Gobp Negative Regulation Of Natural Killer Cell Activation -> Biodomain: Immune System and Inflammation, Response to Stimulus, Signal Transduction, System and Developmental Process, Cell Adhesion and Interaction
GO Term: Gobp Positive Regulation Of Natural Killer Cell Activation -> Biodomain: Immune System and Inflammation, Response to Stimulus, Signal Transduction, System and Developmental Process, Cell Adhesion and Interaction
GO Term: Gobp Regulation Of Intracellular Protein Transport -> Biodomain: Protein Metabolism and Trafficking, Intracellular Trafficking and Organelle Dynamics, Neurotransmission and Synaptic Regulation, Molecular Transport and Homeostasis, RNA Metabolism
GO Term: Gobp Adiponectin Activated Signaling Pathway -> Biodomain: Signal Transduction, Molecular Transport and Homeostasis, Immune System and Inflammation, Lipid Metabolism, Mitochondrial Function and Metabolism
GO Term: Gobp Regulation Of Nuclear Cell Cycle Dna Replication -> Biodomain: Cell Cycle, DNA Repair, Epigenetic Regulation, Signal Transduction, System and Developmental Process
GO Term: Gobp Meiotic Cell Cycle Checkpoint Signaling -> Biodomain: Cell Cycle, Signal Transduction, System and Developmental Process, Response to Stimulus, DNA Repair
GO Term: Gobp Mitotic Dna Replication Checkpoint Signaling -> Biodomain: Cell Cycle, DNA Repair, Signal Transduction, Transcription and Translation Machinery, Response to Stimulus
GO Term: Gobp Unsaturated Fatty Acid Metabolic Process -> Biodomain: Lipid Metabolism, Mitochondrial Function and Metabolism, Intracellular Trafficking and Organelle Dynamics, Molecular Transport and Homeostasis, Response to Stimulus
GO Term: Gobp Protein Localization To Golgi Apparatus -> Biodomain: Intracellular Trafficking and Organelle Dynamics, Protein Metabolism and Trafficking, Molecular Transport and Homeostasis, Neurotransmission and Synaptic Regulation, Structural Stabilization
GO Term: Gobp Establishment Of Sister Chromatid Cohesion -> Biodomain: Cell Cycle, DNA Repair, Epigenetic Regulation, Transcription and Translation Machinery, System and Developmental Process
GO Term: Gobp Toll Like Receptor 9 Signaling Pathway -> Biodomain: Immune System and Inflammation, Signal Transduction, Response to Stimulus, Neurotransmission and Synaptic Regulation, Neurodevelopment and Neuronal Differentiation
GO Term: Gobp Response To Type Iii Interferon -> Biodomain: Immune System and Inflammation, Response to Stimulus, Signal Transduction, Transcription and Translation Machinery, System and Developmental Process
GO Term: Gobp Lipid Droplet Organization -> Biodomain: Lipid Metabolism, Intracellular Trafficking and Organelle Dynamics, Mitochondrial Function and Metabolism, Molecular Transport and Homeostasis, System and Developmental Process
GO Term: Gobp Early Endosome To Golgi Transport -> Biodomain: Intracellular Trafficking and Organelle Dynamics, Protein Metabolism and Trafficking, Neurotransmission and Synaptic Regulation, Molecular Transport and Homeostasis, Signal Transduction
GO Term: Gobp Centromere Complex Assembly -> Biodomain: Cell Cycle, Epigenetic Regulation, DNA Repair, Structural Stabilization, System and Developmental Process
GO Term: Gobp Cellular Response To Heat -> Biodomain: Response to Stimulus, Protein Metabolism and Trafficking, Intracellular Trafficking and Organelle Dynamics, Autophagy, Signal Transduction
GO Term: Gobp Response To Endoplasmic Reticulum Stress -> Biodomain: Protein Metabolism and Trafficking, Intracellular Trafficking and Organelle Dynamics, Molecular Transport and Homeostasis, Response to Stimulus, Neurotransmission and Synaptic Regulation
GO Term: Gobp Regulation Of Rho Protein Signal Transduction -> Biodomain: Signal Transduction, Neurotransmission and Synaptic Regulation, Neurodevelopment and Neuronal Differentiation, Cell Adhesion and Interaction, Structural Stabilization
GO Term: Gobp Mirna Mediated Gene Silencing By Inhibition Of Translation -> Biodomain: RNA Metabolism, Neurotransmission and Synaptic Regulation, Protein Metabolism and Trafficking, Signal Transduction, Epigenetic Regulation
GO Term: Gobp Intracellular Triglyceride Homeostasis -> Biodomain: Lipid Metabolism, Protein Metabolism and Trafficking, Molecular Transport and Homeostasis, Mitochondrial Function and Metabolism, System and Developmental Process
GO Term: Gobp Regulation Of Peroxisome Proliferator Activated Receptor Signaling Pathway -> Biodomain: Molecular Transport and Homeostasis, Lipid Metabolism, Signal Transduction, Mitochondrial Function and Metabolism, Immune System and Inflammation
GO Term: Gobp Maintenance Of Protein Localization In Endoplasmic Reticulum -> Biodomain: Protein Metabolism and Trafficking, Intracellular Trafficking and Organelle Dynamics, Neurotransmission and Synaptic Regulation, Molecular Transport and Homeostasis, Structural Stabilization
GO Term: Gobp Vesicle Cargo Loading -> Biodomain: Protein Metabolism and Trafficking, Intracellular Trafficking and Organelle Dynamics, Molecular Transport and Homeostasis, Neurotransmission and Synaptic Regulation, Signal Transduction
GO Term: Gobp Trif Dependent Toll Like Receptor Signaling Pathway -> Biodomain: Immune System and Inflammation, Signal Transduction, Transcription and Translation Machinery, Response to Stimulus, Neurotransmission and Synaptic Regulation
GO Term: Gobp Regulation Of Urine Volume -> Biodomain: System and Developmental Process, Molecular Transport and Homeostasis, Response to Stimulus, Signal Transduction, Protein Metabolism and Trafficking
GO Term: Gobp Positive Regulation Of Urine Volume -> Biodomain: Molecular Transport and Homeostasis, Response to Stimulus, System and Developmental Process, Signal Transduction, Neurotransmission and Synaptic Regulation
Saved results to: Experiment/DeepSeek/02-FXS/04-FXS/Temp_0.1/go_biodomain_results_part_4.csv
Logged runtime to: Experiment/DeepSeek/02-FXS/04-FXS/Temp_0.1/runtime_log.csv
