Running with TEMP=0.0, sub_array_index=5
Changed working directory to: /panfs/compbio/users/xran2/wen/JX/02-AI-BioDomain/git_folder
Processing array index 5: rows 200 to 249
GO Term: Gobp Renal Sodium Excretion -> Biodomain: Molecular Transport and Homeostasis, System and Developmental Process, Response to Stimulus, Signal Transduction, Intracellular Trafficking and Organelle Dynamics
GO Term: Gobp Snrna Modification -> Biodomain: RNA Metabolism, Transcription and Translation Machinery, Intracellular Trafficking and Organelle Dynamics, Protein Metabolism and Trafficking, Response to Stimulus
GO Term: Gobp Protein Refolding -> Biodomain: Protein Metabolism and Trafficking, Molecular Transport and Homeostasis, Response to Stimulus, Intracellular Trafficking and Organelle Dynamics, Structural Stabilization
GO Term: Gobp Fluid Transport -> Biodomain: Molecular Transport and Homeostasis, Neurotransmission and Synaptic Regulation, Intracellular Trafficking and Organelle Dynamics, Mitochondrial Function and Metabolism, System and Developmental Process
GO Term: Gobp Epithelial Fluid Transport -> Biodomain: Molecular Transport and Homeostasis, System and Developmental Process, Response to Stimulus, Intracellular Trafficking and Organelle Dynamics, Cell Adhesion and Interaction
GO Term: Gobp Negative Regulation Of Epidermal Growth Factor Receptor Signaling Pathway -> Biodomain: Neurotransmission and Synaptic Regulation, Signal Transduction, Neurodevelopment and Neuronal Differentiation, System and Developmental Process, Response to Stimulus
GO Term: Gobp Regulation Of Catecholamine Metabolic Process -> Biodomain: Neurotransmission and Synaptic Regulation, Protein Metabolism and Trafficking, Molecular Transport and Homeostasis, Signal Transduction, Response to Stimulus
GO Term: Gobp Strand Invasion -> Biodomain: DNA Repair, Signal Transduction, System and Developmental Process, Transcription and Translation Machinery, Response to Stimulus
GO Term: Gobp Regulation Of Protein Catabolic Process -> Biodomain: Protein Metabolism and Trafficking, Autophagy, Neurotransmission and Synaptic Regulation, Intracellular Trafficking and Organelle Dynamics, Response to Stimulus
GO Term: Gobp Ribosome Biogenesis -> Biodomain: Transcription and Translation Machinery, RNA Metabolism, Protein Metabolism and Trafficking, Neurotransmission and Synaptic Regulation, Neurodevelopment and Neuronal Differentiation
GO Term: Gobp Protection From Natural Killer Cell Mediated Cytotoxicity -> Biodomain: Immune System and Inflammation, Response to Stimulus, Cell Adhesion and Interaction, Signal Transduction, System and Developmental Process
GO Term: Gobp Ribosomal Small Subunit Biogenesis -> Biodomain: RNA Metabolism, Protein Metabolism and Trafficking, Transcription and Translation Machinery, Molecular Transport and Homeostasis, Intracellular Trafficking and Organelle Dynamics
GO Term: Gobp Negative Regulation Of Protein Import Into Nucleus -> Biodomain: Protein Metabolism and Trafficking, Intracellular Trafficking and Organelle Dynamics, Molecular Transport and Homeostasis, Signal Transduction, Transcription and Translation Machinery
GO Term: Gobp Dopamine Biosynthetic Process -> Biodomain: Neurotransmission and Synaptic Regulation, RNA Metabolism, Signal Transduction, Molecular Transport and Homeostasis, Neurodevelopment and Neuronal Differentiation
GO Term: Gobp Middle Ear Morphogenesis -> Biodomain: Neurodevelopment and Neuronal Differentiation, System and Developmental Process, Structural Stabilization, Cell Adhesion and Interaction, Response to Stimulus
GO Term: Gobp Negative Regulation Of Tyrosine Phosphorylation Of Stat Protein -> Biodomain: Signal Transduction, Neurotransmission and Synaptic Regulation, Transcription and Translation Machinery, Response to Stimulus, Protein Metabolism and Trafficking
GO Term: Gobp Activation Of Janus Kinase Activity -> Biodomain: Signal Transduction, Immune System and Inflammation, Neurotransmission and Synaptic Regulation, Response to Stimulus, Transcription and Translation Machinery
GO Term: Gobp Negative Regulation Of I Kappab Kinase Nf Kappab Signaling -> Biodomain: Immune System and Inflammation, Signal Transduction, Molecular Transport and Homeostasis, Transcription and Translation Machinery, Neurotransmission and Synaptic Regulation
GO Term: Gobp Apoptotic Cell Clearance -> Biodomain: Apoptosis, Immune System and Inflammation, Cell Adhesion and Interaction, Neurodevelopment and Neuronal Differentiation, Response to Stimulus
GO Term: Gobp Natural Killer Cell Degranulation -> Biodomain: Immune System and Inflammation, Response to Stimulus, Intracellular Trafficking and Organelle Dynamics, Signal Transduction, Protein Metabolism and Trafficking
GO Term: Gobp Steroid Hormone Mediated Signaling Pathway -> Biodomain: Signal Transduction, Transcription and Translation Machinery, Neurodevelopment and Neuronal Differentiation, Epigenetic Regulation, Response to Stimulus
GO Term: Gobp Regulation Of Map Kinase Activity -> Biodomain: Signal Transduction, Neurotransmission and Synaptic Regulation, Response to Stimulus, Neurodevelopment and Neuronal Differentiation, Transcription and Translation Machinery
GO Term: Gobp Negative Regulation Of Map Kinase Activity -> Biodomain: Signal Transduction, Neurotransmission and Synaptic Regulation, Neurodevelopment and Neuronal Differentiation, Protein Metabolism and Trafficking, Response to Stimulus
GO Term: Gobp Negative Regulation Of Mapk Cascade -> Biodomain: Signal Transduction, Neurotransmission and Synaptic Regulation, Neurodevelopment and Neuronal Differentiation, Transcription and Translation Machinery, Protein Metabolism and Trafficking
GO Term: Gobp Mitochondrial Dna Repair -> Biodomain: Mitochondrial Function and Metabolism, DNA Repair, Intracellular Trafficking and Organelle Dynamics, RNA Metabolism, Response to Stimulus
GO Term: Gobp Regulation Of Jun Kinase Activity -> Biodomain: Signal Transduction, Neurotransmission and Synaptic Regulation, Neurodevelopment and Neuronal Differentiation, Response to Stimulus, Transcription and Translation Machinery
GO Term: Gobp Positive Regulation Of Jun Kinase Activity -> Biodomain: Signal Transduction, Apoptosis, Response to Stimulus, Neurotransmission and Synaptic Regulation, Neurodevelopment and Neuronal Differentiation
GO Term: Gobp Negative Regulation Of Jun Kinase Activity -> Biodomain: Signal Transduction, Neurotransmission and Synaptic Regulation, Response to Stimulus, Epigenetic Regulation, RNA Metabolism
GO Term: Gobp Linoleic Acid Metabolic Process -> Biodomain: Lipid Metabolism, Mitochondrial Function and Metabolism, Molecular Transport and Homeostasis, Neurodevelopment and Neuronal Differentiation, Protein Metabolism and Trafficking
GO Term: Gobp Engulfment Of Apoptotic Cell -> Biodomain: Neurodevelopment and Neuronal Differentiation, Apoptosis, Cell Adhesion and Interaction, Immune System and Inflammation, Gliogenesis and Glial Differentiation
GO Term: Gobp Recognition Of Apoptotic Cell -> Biodomain: Neurodevelopment and Neuronal Differentiation, Neurotransmission and Synaptic Regulation, Immune System and Inflammation, Cell Adhesion and Interaction, Response to Stimulus
Saved results to: Experiment/DeepSeek/02-FXS/04-FXS/Temp_0.0/go_biodomain_results_part_5.csv
Logged runtime to: Experiment/DeepSeek/02-FXS/04-FXS/Temp_0.0/runtime_log.csv
