Running with TEMP=0.0, sub_array_index=4
Changed working directory to: /panfs/compbio/users/xran2/wen/JX/02-AI-BioDomain/git_folder
Processing array index 4: rows 150 to 199
GO Term: Gobp Regulation Of Protein Stability -> Biodomain: Protein Metabolism and Trafficking, Neurotransmission and Synaptic Regulation, Signal Transduction, Molecular Transport and Homeostasis, RNA Metabolism
GO Term: Gobp Positive Regulation Of Proteasomal Ubiquitin Dependent Protein Catabolic Process -> Biodomain: Protein Metabolism and Trafficking, Neurotransmission and Synaptic Regulation, Molecular Transport and Homeostasis, Response to Stimulus, Structural Stabilization
GO Term: Gobp Negative Regulation Of Type I Interferon Production -> Biodomain: Immune System and Inflammation, Response to Stimulus, Signal Transduction, System and Developmental Process, Transcription and Translation Machinery
GO Term: Gobp Maintenance Of Protein Location In Cell -> Biodomain: Protein Metabolism and Trafficking, Intracellular Trafficking and Organelle Dynamics, Neurotransmission and Synaptic Regulation, Molecular Transport and Homeostasis, Signal Transduction
GO Term: Gobp Protein Exit From Endoplasmic Reticulum -> Biodomain: Protein Metabolism and Trafficking, Intracellular Trafficking and Organelle Dynamics, Neurotransmission and Synaptic Regulation, Molecular Transport and Homeostasis, Signal Transduction
GO Term: Gobp Protein Transport Within Lipid Bilayer -> Biodomain: Neurotransmission and Synaptic Regulation, Intracellular Trafficking and Organelle Dynamics, Protein Metabolism and Trafficking, Molecular Transport and Homeostasis, Signal Transduction
GO Term: Gobp Interferon Alpha Production -> Biodomain: Immune System and Inflammation, Response to Stimulus, Signal Transduction, Protein Metabolism and Trafficking, System and Developmental Process
GO Term: Gobp Interferon Beta Production -> Biodomain: Immune System and Inflammation, Response to Stimulus, Signal Transduction, System and Developmental Process, Transcription and Translation Machinery
GO Term: Gobp Interleukin 18 Production -> Biodomain: Immune System and Inflammation, Response to Stimulus, Signal Transduction, Neurotransmission and Synaptic Regulation, System and Developmental Process
GO Term: Gobp Interleukin 23 Production -> Biodomain: Immune System and Inflammation, Response to Stimulus, Signal Transduction, System and Developmental Process, Epigenetic Regulation
GO Term: Gobp Negative Regulation Of Interferon Beta Production -> Biodomain: Immune System and Inflammation, Signal Transduction, Transcription and Translation Machinery, Response to Stimulus, Neurotransmission and Synaptic Regulation
GO Term: Gobp Positive Regulation Of Interleukin 17 Production -> Biodomain: Immune System and Inflammation, Response to Stimulus, Signal Transduction, System and Developmental Process, Neurodevelopment and Neuronal Differentiation
GO Term: Gobp Positive Regulation Of Interleukin 18 Production -> Biodomain: Immune System and Inflammation, Neurotransmission and Synaptic Regulation, Signal Transduction, Response to Stimulus, System and Developmental Process
GO Term: Gobp Regulation Of Natural Killer Cell Activation -> Biodomain: Immune System and Inflammation, Response to Stimulus, Signal Transduction, System and Developmental Process, Cell Adhesion and Interaction
GO Term: Gobp Negative Regulation Of Natural Killer Cell Activation -> Biodomain: Immune System and Inflammation, Signal Transduction, Response to Stimulus, System and Developmental Process, Molecular Transport and Homeostasis
GO Term: Gobp Positive Regulation Of Natural Killer Cell Activation -> Biodomain: Immune System and Inflammation, Response to Stimulus, System and Developmental Process, Signal Transduction, Cell Adhesion and Interaction
GO Term: Gobp Regulation Of Intracellular Protein Transport -> Biodomain: Intracellular Trafficking and Organelle Dynamics, Protein Metabolism and Trafficking, Neurotransmission and Synaptic Regulation, Molecular Transport and Homeostasis, Signal Transduction
GO Term: Gobp Adiponectin Activated Signaling Pathway -> Biodomain: Neurotransmission and Synaptic Regulation, Signal Transduction, Molecular Transport and Homeostasis, Response to Stimulus, Protein Metabolism and Trafficking
GO Term: Gobp Regulation Of Nuclear Cell Cycle Dna Replication -> Biodomain: Cell Cycle, DNA Repair, Epigenetic Regulation, Transcription and Translation Machinery, Signal Transduction
GO Term: Gobp Meiotic Cell Cycle Checkpoint Signaling -> Biodomain: Cell Cycle, Signal Transduction, System and Developmental Process, Response to Stimulus, Transcription and Translation Machinery
GO Term: Gobp Mitotic Dna Replication Checkpoint Signaling -> Biodomain: Cell Cycle, Signal Transduction, DNA Repair, System and Developmental Process, Response to Stimulus
GO Term: Gobp Unsaturated Fatty Acid Metabolic Process -> Biodomain: Lipid Metabolism, Neurotransmission and Synaptic Regulation, Molecular Transport and Homeostasis, Intracellular Trafficking and Organelle Dynamics, Mitochondrial Function and Metabolism
GO Term: Gobp Protein Localization To Golgi Apparatus -> Biodomain: Protein Metabolism and Trafficking, Intracellular Trafficking and Organelle Dynamics, Neurotransmission and Synaptic Regulation, Neurodevelopment and Neuronal Differentiation, Molecular Transport and Homeostasis
GO Term: Gobp Establishment Of Sister Chromatid Cohesion -> Biodomain: Cell Cycle, DNA Repair, Transcription and Translation Machinery, Epigenetic Regulation, System and Developmental Process
GO Term: Gobp Toll Like Receptor 9 Signaling Pathway -> Biodomain: Immune System and Inflammation, Signal Transduction, Response to Stimulus, Neurotransmission and Synaptic Regulation, Neurodevelopment and Neuronal Differentiation
GO Term: Gobp Response To Type Iii Interferon -> Biodomain: Immune System and Inflammation, Response to Stimulus, Signal Transduction, Neurodevelopment and Neuronal Differentiation, System and Developmental Process
GO Term: Gobp Lipid Droplet Organization -> Biodomain: Lipid Metabolism, Intracellular Trafficking and Organelle Dynamics, Protein Metabolism and Trafficking, Mitochondrial Function and Metabolism, Neurotransmission and Synaptic Regulation
GO Term: Gobp Early Endosome To Golgi Transport -> Biodomain: Intracellular Trafficking and Organelle Dynamics, Protein Metabolism and Trafficking, Molecular Transport and Homeostasis, Neurotransmission and Synaptic Regulation, Signal Transduction
GO Term: Gobp Centromere Complex Assembly -> Biodomain: Cell Cycle, Epigenetic Regulation, Structural Stabilization, Transcription and Translation Machinery, System and Developmental Process
GO Term: Gobp Cellular Response To Heat -> Biodomain: Response to Stimulus, Protein Metabolism and Trafficking, Molecular Transport and Homeostasis, Signal Transduction, Neurotransmission and Synaptic Regulation
GO Term: Gobp Response To Endoplasmic Reticulum Stress -> Biodomain: Protein Metabolism and Trafficking, Intracellular Trafficking and Organelle Dynamics, Apoptosis, Molecular Transport and Homeostasis, Response to Stimulus
GO Term: Gobp Regulation Of Rho Protein Signal Transduction -> Biodomain: Neurotransmission and Synaptic Regulation, Signal Transduction, Neurodevelopment and Neuronal Differentiation, Cell Adhesion and Interaction, Structural Stabilization
GO Term: Gobp Mirna Mediated Gene Silencing By Inhibition Of Translation -> Biodomain: Neurotransmission and Synaptic Regulation, RNA Metabolism, Protein Metabolism and Trafficking, Signal Transduction, Epigenetic Regulation
GO Term: Gobp Intracellular Triglyceride Homeostasis -> Biodomain: Lipid Metabolism, Mitochondrial Function and Metabolism, Molecular Transport and Homeostasis, Intracellular Trafficking and Organelle Dynamics, Protein Metabolism and Trafficking
GO Term: Gobp Regulation Of Peroxisome Proliferator Activated Receptor Signaling Pathway -> Biodomain: Lipid Metabolism, Immune System and Inflammation, Transcription and Translation Machinery, Epigenetic Regulation, Neurodevelopment and Neuronal Differentiation
GO Term: Gobp Maintenance Of Protein Localization In Endoplasmic Reticulum -> Biodomain: Protein Metabolism and Trafficking, Intracellular Trafficking and Organelle Dynamics, Molecular Transport and Homeostasis, Neurotransmission and Synaptic Regulation, RNA Metabolism
GO Term: Gobp Vesicle Cargo Loading -> Biodomain: Intracellular Trafficking and Organelle Dynamics, Protein Metabolism and Trafficking, Neurotransmission and Synaptic Regulation, Molecular Transport and Homeostasis, Neurodevelopment and Neuronal Differentiation
GO Term: Gobp Trif Dependent Toll Like Receptor Signaling Pathway -> Biodomain: Immune System and Inflammation, Signal Transduction, Response to Stimulus, Neurotransmission and Synaptic Regulation, System and Developmental Process
GO Term: Gobp Regulation Of Urine Volume -> Biodomain: Neurotransmission and Synaptic Regulation, System and Developmental Process, Molecular Transport and Homeostasis, Response to Stimulus, Signal Transduction
GO Term: Gobp Positive Regulation Of Urine Volume -> Biodomain: Molecular Transport and Homeostasis, System and Developmental Process, Response to Stimulus, Signal Transduction, Intracellular Trafficking and Organelle Dynamics
Saved results to: EExperiment/DeepSeek/02-FXS/04-FXS/Unknown_Temp_0.0/go_biodomain_results_part_4.csv
Logged runtime to: EExperiment/DeepSeek/02-FXS/04-FXS/Unknown_Temp_0.0/runtime_log.csv
