Running with TEMP=0.1, sub_array_index=2
Changed working directory to: /panfs/compbio/users/xran2/wen/JX/02-AI-BioDomain/git_folder
Processing array index 2: rows 50 to 99
GO Term: Gobp Srp Dependent Cotranslational Protein Targeting To Membrane Translocation -> Biodomain: Protein Metabolism and Trafficking, Intracellular Trafficking and Organelle Dynamics, Transcription and Translation Machinery, Molecular Transport and Homeostasis, Signal Transduction
GO Term: Gobp Intracellular Iron Ion Homeostasis -> Biodomain: Molecular Transport and Homeostasis, Mitochondrial Function and Metabolism, Response to Stimulus, Neurotransmission and Synaptic Regulation, Protein Metabolism and Trafficking
GO Term: Gobp Intracellular Sodium Ion Homeostasis -> Biodomain: Neurotransmission and Synaptic Regulation, Molecular Transport and Homeostasis, Signal Transduction, Intracellular Trafficking and Organelle Dynamics, Response to Stimulus
GO Term: Gobp Endoplasmic Reticulum To Golgi Vesicle Mediated Transport -> Biodomain: Intracellular Trafficking and Organelle Dynamics, Protein Metabolism and Trafficking, RNA Metabolism, Signal Transduction, Molecular Transport and Homeostasis
GO Term: Gobp Retrograde Vesicle Mediated Transport Golgi To Endoplasmic Reticulum -> Biodomain: Intracellular Trafficking and Organelle Dynamics, Protein Metabolism and Trafficking, Neurotransmission and Synaptic Regulation, Molecular Transport and Homeostasis, Signal Transduction
GO Term: Gobp Intra Golgi Vesicle Mediated Transport -> Biodomain: Intracellular Trafficking and Organelle Dynamics, Protein Metabolism and Trafficking, Neurotransmission and Synaptic Regulation, Molecular Transport and Homeostasis, Signal Transduction
GO Term: Gobp Vesicle Budding From Membrane -> Biodomain: Intracellular Trafficking and Organelle Dynamics, Protein Metabolism and Trafficking, Neurotransmission and Synaptic Regulation, Molecular Transport and Homeostasis, Signal Transduction
GO Term: Gobp Vesicle Coating -> Biodomain: Intracellular Trafficking and Organelle Dynamics, Protein Metabolism and Trafficking, Neurotransmission and Synaptic Regulation, Molecular Transport and Homeostasis, RNA Metabolism
GO Term: Gobp Phagocytosis Recognition -> Biodomain: Neurotransmission and Synaptic Regulation, Immune System and Inflammation, Cell Adhesion and Interaction, Signal Transduction, Response to Stimulus
GO Term: Gobp Response To Osmotic Stress -> Biodomain: Molecular Transport and Homeostasis, Response to Stimulus, Signal Transduction, Protein Metabolism and Trafficking, Intracellular Trafficking and Organelle Dynamics
GO Term: Gobp Er Nucleus Signaling Pathway -> Biodomain: Signal Transduction, Transcription and Translation Machinery, Intracellular Trafficking and Organelle Dynamics, Protein Metabolism and Trafficking, Response to Stimulus
GO Term: Gobp Response To Sterol Depletion -> Biodomain: Neurotransmission and Synaptic Regulation, Lipid Metabolism, Molecular Transport and Homeostasis, Response to Stimulus, Signal Transduction
GO Term: Gobp Cellular Response To Nitrogen Starvation -> Biodomain: Molecular Transport and Homeostasis, Response to Stimulus, Signal Transduction, Protein Metabolism and Trafficking, Mitochondrial Function and Metabolism
GO Term: Gobp Nucleolus Organization -> Biodomain: RNA Metabolism, Transcription and Translation Machinery, Protein Metabolism and Trafficking, Intracellular Trafficking and Organelle Dynamics, Neurodevelopment and Neuronal Differentiation
GO Term: Gobp Microtubule Depolymerization -> Biodomain: Neurotransmission and Synaptic Regulation, Intracellular Trafficking and Organelle Dynamics, Structural Stabilization, Neurodevelopment and Neuronal Differentiation, Protein Metabolism and Trafficking
GO Term: Gobp Endoplasmic Reticulum Organization -> Biodomain: Protein Metabolism and Trafficking, Intracellular Trafficking and Organelle Dynamics, Molecular Transport and Homeostasis, Structural Stabilization, Neurotransmission and Synaptic Regulation
GO Term: Gobp Endosome Organization -> Biodomain: Intracellular Trafficking and Organelle Dynamics, Protein Metabolism and Trafficking, Neurotransmission and Synaptic Regulation, Neurodevelopment and Neuronal Differentiation, Signal Transduction
GO Term: Gobp Mitotic Sister Chromatid Cohesion -> Biodomain: Cell Cycle, DNA Repair, Neurodevelopment and Neuronal Differentiation, Epigenetic Regulation, System and Developmental Process
GO Term: Gobp Female Meiotic Nuclear Division -> Biodomain: Cell Cycle, Neurodevelopment and Neuronal Differentiation, System and Developmental Process, Epigenetic Regulation, DNA Repair
GO Term: Gobp Female Meiosis I -> Biodomain: Cell Cycle, RNA Metabolism, Epigenetic Regulation, Transcription and Translation Machinery, System and Developmental Process
GO Term: Gobp Homophilic Cell Adhesion Via Plasma Membrane Adhesion Molecules -> Biodomain: Cell Adhesion and Interaction, Neurodevelopment and Neuronal Differentiation, Neurotransmission and Synaptic Regulation, System and Developmental Process, Structural Stabilization
GO Term: Gobp Receptor Guanylyl Cyclase Signaling Pathway -> Biodomain: Signal Transduction, Neurotransmission and Synaptic Regulation, Transcription and Translation Machinery, Molecular Transport and Homeostasis, Response to Stimulus
GO Term: Gobp Jnk Cascade -> Biodomain: Signal Transduction, Apoptosis, Immune System and Inflammation, Neurotransmission and Synaptic Regulation, Response to Stimulus
GO Term: Gobp Ectoderm Development -> Biodomain: Neurodevelopment and Neuronal Differentiation, System and Developmental Process, Cell Adhesion and Interaction, Transcription and Translation Machinery, Signal Transduction
GO Term: Gobp Adult Heart Development -> Biodomain: System and Developmental Process, Signal Transduction, Transcription and Translation Machinery, Molecular Transport and Homeostasis, Structural Stabilization
GO Term: Gobp Mesodermal Cell Migration -> Biodomain: System and Developmental Process, Cell Adhesion and Interaction, Structural Stabilization, Response to Stimulus, Signal Transduction
GO Term: Gobp Isoprenoid Catabolic Process -> Biodomain: Lipid Metabolism, Protein Metabolism and Trafficking, Intracellular Trafficking and Organelle Dynamics, Molecular Transport and Homeostasis, Response to Stimulus
GO Term: Gobp Apoptotic Mitochondrial Changes -> Biodomain: Apoptosis, Mitochondrial Function and Metabolism, Neurotransmission and Synaptic Regulation, Neurodevelopment and Neuronal Differentiation, Signal Transduction
GO Term: Gobp Phospholipid Biosynthetic Process -> Biodomain: Lipid Metabolism, Intracellular Trafficking and Organelle Dynamics, Neurotransmission and Synaptic Regulation, Molecular Transport and Homeostasis, Protein Metabolism and Trafficking
GO Term: Gobp Response To Temperature Stimulus -> Biodomain: Neurotransmission and Synaptic Regulation, Response to Stimulus, System and Developmental Process, Signal Transduction, Molecular Transport and Homeostasis
GO Term: Gobp Response To Heat -> Biodomain: Response to Stimulus, RNA Metabolism, Protein Metabolism and Trafficking, Molecular Transport and Homeostasis, Signal Transduction
GO Term: Gobp Anterior Posterior Axis Specification -> Biodomain: Neurodevelopment and Neuronal Differentiation, System and Developmental Process, Transcription and Translation Machinery, Signal Transduction, Molecular Transport and Homeostasis
GO Term: Gobp Meiotic Chromosome Condensation -> Biodomain: Epigenetic Regulation, DNA Repair, Cell Cycle, Transcription and Translation Machinery, System and Developmental Process
GO Term: Gobp Negative Regulation Of Gene Expression Via Chromosomal Dna Cytosine Methylation -> Biodomain: Epigenetic Regulation, Transcription and Translation Machinery, Neurodevelopment and Neuronal Differentiation, Signal Transduction, System and Developmental Process
GO Term: Gobp Response To Acidic Ph -> Biodomain: Neurotransmission and Synaptic Regulation, Signal Transduction, Molecular Transport and Homeostasis, Response to Stimulus, System and Developmental Process
GO Term: Gobp Regulation Of Gastrulation -> Biodomain: System and Developmental Process, Cell Adhesion and Interaction, Signal Transduction, Neurodevelopment and Neuronal Differentiation, Structural Stabilization
GO Term: Gobp Proteasomal Protein Catabolic Process -> Biodomain: Protein Metabolism and Trafficking, Intracellular Trafficking and Organelle Dynamics, Molecular Transport and Homeostasis, Response to Stimulus, Neurotransmission and Synaptic Regulation
GO Term: Gobp Positive Regulation Of Autophagy -> Biodomain: Autophagy, Protein Metabolism and Trafficking, Intracellular Trafficking and Organelle Dynamics, Response to Stimulus, Neurotransmission and Synaptic Regulation
Saved results to: Experiment/DeepSeek/02-FXS/04-FXS/Temp_0.1/go_biodomain_results_part_2.csv
Logged runtime to: Experiment/DeepSeek/02-FXS/04-FXS/Temp_0.1/runtime_log.csv
