Running with TEMP=0.5, sub_array_index=4
Changed working directory to: /panfs/compbio/users/xran2/wen/JX/02-AI-BioDomain/git_folder
Processing array index 4: rows 150 to 199
GO Term: Gobp Regulation Of Protein Stability -> Biodomain: Protein Metabolism and Trafficking, Neurotransmission and Synaptic Regulation, Molecular Transport and Homeostasis, RNA Metabolism, Signal Transduction
GO Term: Gobp Positive Regulation Of Proteasomal Ubiquitin Dependent Protein Catabolic Process -> Biodomain: Protein Metabolism and Trafficking, RNA Metabolism, Neurotransmission and Synaptic Regulation, Intracellular Trafficking and Organelle Dynamics, Molecular Transport and Homeostasis
GO Term: Gobp Negative Regulation Of Type I Interferon Production -> Biodomain: Immune System and Inflammation, Response to Stimulus, RNA Metabolism, Signal Transduction, Epigenetic Regulation
GO Term: Gobp Maintenance Of Protein Location In Cell -> Biodomain: Protein Metabolism and Trafficking, Intracellular Trafficking and Organelle Dynamics, Neurotransmission and Synaptic Regulation, Structural Stabilization, Molecular Transport and Homeostasis
GO Term: Gobp Protein Exit From Endoplasmic Reticulum -> Biodomain: Protein Metabolism and Trafficking, Intracellular Trafficking and Organelle Dynamics, Neurotransmission and Synaptic Regulation, Molecular Transport and Homeostasis, Signal Transduction
GO Term: Gobp Protein Transport Within Lipid Bilayer -> Biodomain: Protein Metabolism and Trafficking, Intracellular Trafficking and Organelle Dynamics, Molecular Transport and Homeostasis, Neurotransmission and Synaptic Regulation, Signal Transduction
GO Term: Gobp Interferon Alpha Production -> Biodomain: Immune System and Inflammation, Response to Stimulus, Signal Transduction, Transcription and Translation Machinery, Protein Metabolism and Trafficking
GO Term: Gobp Interferon Beta Production -> Biodomain: Immune System and Inflammation, Response to Stimulus, Signal Transduction, Transcription and Translation Machinery, Epigenetic Regulation
GO Term: Gobp Interleukin 18 Production -> Biodomain: Immune System and Inflammation, Response to Stimulus, Signal Transduction, Epigenetic Regulation, Neurotransmission and Synaptic Regulation
GO Term: Gobp Interleukin 23 Production -> Biodomain: Immune System and Inflammation, Response to Stimulus, Signal Transduction, System and Developmental Process, Epigenetic Regulation
GO Term: Gobp Negative Regulation Of Interferon Beta Production -> Biodomain: Immune System and Inflammation, Neurodevelopment and Neuronal Differentiation, Response to Stimulus, Signal Transduction, System and Developmental Process
GO Term: Gobp Positive Regulation Of Interleukin 17 Production -> Biodomain: Immune System and Inflammation, Signal Transduction, System and Developmental Process, Response to Stimulus, Neurotransmission and Synaptic Regulation
GO Term: Gobp Positive Regulation Of Interleukin 18 Production -> Biodomain: Immune System and Inflammation, Response to Stimulus, Signal Transduction, Neurotransmission and Synaptic Regulation, Transcription and Translation Machinery
GO Term: Gobp Regulation Of Natural Killer Cell Activation -> Biodomain: Immune System and Inflammation, Signal Transduction, Response to Stimulus, System and Developmental Process, Molecular Transport and Homeostasis
GO Term: Gobp Negative Regulation Of Natural Killer Cell Activation -> Biodomain: Immune System and Inflammation, Response to Stimulus, Signal Transduction, System and Developmental Process, Cell Adhesion and Interaction
GO Term: Gobp Positive Regulation Of Natural Killer Cell Activation -> Biodomain: Immune System and Inflammation, Response to Stimulus, Signal Transduction, System and Developmental Process, Cell Adhesion and Interaction
GO Term: Gobp Regulation Of Intracellular Protein Transport -> Biodomain: Intracellular Trafficking and Organelle Dynamics, Protein Metabolism and Trafficking, Neurotransmission and Synaptic Regulation, Signal Transduction, Molecular Transport and Homeostasis
GO Term: Gobp Adiponectin Activated Signaling Pathway -> Biodomain: Signal Transduction, Neurotransmission and Synaptic Regulation, Molecular Transport and Homeostasis, Response to Stimulus, Transcription and Translation Machinery
GO Term: Gobp Regulation Of Nuclear Cell Cycle Dna Replication -> Biodomain: Cell Cycle, DNA Repair, Epigenetic Regulation, System and Developmental Process, Signal Transduction
GO Term: Gobp Meiotic Cell Cycle Checkpoint Signaling -> Biodomain: Cell Cycle, Signal Transduction, System and Developmental Process, Response to Stimulus, DNA Repair
GO Term: Gobp Mitotic Dna Replication Checkpoint Signaling -> Biodomain: Cell Cycle, Signal Transduction, DNA Repair, Epigenetic Regulation, Intracellular Trafficking and Organelle Dynamics
GO Term: Gobp Unsaturated Fatty Acid Metabolic Process -> Biodomain: Lipid Metabolism, Neurodevelopment and Neuronal Differentiation, Mitochondrial Function and Metabolism, Intracellular Trafficking and Organelle Dynamics, Molecular Transport and Homeostasis
GO Term: Gobp Protein Localization To Golgi Apparatus -> Biodomain: Intracellular Trafficking and Organelle Dynamics, Protein Metabolism and Trafficking, Molecular Transport and Homeostasis, System and Developmental Process, Neurotransmission and Synaptic Regulation
GO Term: Gobp Establishment Of Sister Chromatid Cohesion -> Biodomain: Cell Cycle, System and Developmental Process, Epigenetic Regulation, Neurodevelopment and Neuronal Differentiation, DNA Repair
GO Term: Gobp Toll Like Receptor 9 Signaling Pathway -> Biodomain: Immune System and Inflammation, Signal Transduction, Response to Stimulus, Neurotransmission and Synaptic Regulation, System and Developmental Process
GO Term: Gobp Response To Type Iii Interferon -> Biodomain: Immune System and Inflammation, Response to Stimulus, Signal Transduction, System and Developmental Process, Transcription and Translation Machinery
GO Term: Gobp Lipid Droplet Organization -> Biodomain: Lipid Metabolism, Intracellular Trafficking and Organelle Dynamics, Mitochondrial Function and Metabolism, Protein Metabolism and Trafficking, Molecular Transport and Homeostasis
GO Term: Gobp Early Endosome To Golgi Transport -> Biodomain: Intracellular Trafficking and Organelle Dynamics, Protein Metabolism and Trafficking, Molecular Transport and Homeostasis, Neurotransmission and Synaptic Regulation, Signal Transduction
GO Term: Gobp Centromere Complex Assembly -> Biodomain: Epigenetic Regulation, DNA Repair, Cell Cycle, Structural Stabilization, Transcription and Translation Machinery
GO Term: Gobp Cellular Response To Heat -> Biodomain: Response to Stimulus, Protein Metabolism and Trafficking, Molecular Transport and Homeostasis, Mitochondrial Function and Metabolism, Signal Transduction
GO Term: Gobp Response To Endoplasmic Reticulum Stress -> Biodomain: Protein Metabolism and Trafficking, Intracellular Trafficking and Organelle Dynamics, Molecular Transport and Homeostasis, Response to Stimulus, RNA Metabolism
GO Term: Gobp Regulation Of Rho Protein Signal Transduction -> Biodomain: Signal Transduction, Neurotransmission and Synaptic Regulation, Cell Adhesion and Interaction, Neurodevelopment and Neuronal Differentiation, Structural Stabilization
GO Term: Gobp Mirna Mediated Gene Silencing By Inhibition Of Translation -> Biodomain: RNA Metabolism, Protein Metabolism and Trafficking, Neurotransmission and Synaptic Regulation, Transcription and Translation Machinery, Signal Transduction
GO Term: Gobp Intracellular Triglyceride Homeostasis -> Biodomain: Lipid Metabolism, Molecular Transport and Homeostasis, Mitochondrial Function and Metabolism, Intracellular Trafficking and Organelle Dynamics, System and Developmental Process
GO Term: Gobp Regulation Of Peroxisome Proliferator Activated Receptor Signaling Pathway -> Biodomain: Neurodevelopment and Neuronal Differentiation, Lipid Metabolism, Signal Transduction, Transcription and Translation Machinery, Molecular Transport and Homeostasis
GO Term: Gobp Maintenance Of Protein Localization In Endoplasmic Reticulum -> Biodomain: Protein Metabolism and Trafficking, Intracellular Trafficking and Organelle Dynamics, Neurotransmission and Synaptic Regulation, Molecular Transport and Homeostasis, Response to Stimulus
GO Term: Gobp Vesicle Cargo Loading -> Biodomain: Intracellular Trafficking and Organelle Dynamics, Protein Metabolism and Trafficking, RNA Metabolism, Neurotransmission and Synaptic Regulation, Signal Transduction
GO Term: Gobp Trif Dependent Toll Like Receptor Signaling Pathway -> Biodomain: Immune System and Inflammation, Signal Transduction, Response to Stimulus, Neurotransmission and Synaptic Regulation, System and Developmental Process
GO Term: Gobp Regulation Of Urine Volume -> Biodomain: Molecular Transport and Homeostasis, System and Developmental Process, Response to Stimulus, Signal Transduction, Structural Stabilization
GO Term: Gobp Positive Regulation Of Urine Volume -> Biodomain: Molecular Transport and Homeostasis, System and Developmental Process, Response to Stimulus, Signal Transduction, Intracellular Trafficking and Organelle Dynamics
Saved results to: Experiment/DeepSeek/02-FXS/04-FXS/Temp_0.5/go_biodomain_results_part_4.csv
Logged runtime to: Experiment/DeepSeek/02-FXS/04-FXS/Temp_0.5/runtime_log.csv
