Running with TEMP=0.0, sub_array_index=5
Changed working directory to: /panfs/compbio/users/xran2/wen/JX/02-AI-BioDomain/git_folder
Processing array index 5: rows 200 to 249
GO Term: Gobp Renal Sodium Excretion -> Biodomain: Molecular Transport and Homeostasis, System and Developmental Process, Response to Stimulus, Signal Transduction, Structural Stabilization
GO Term: Gobp Regulation Of Growth -> Biodomain: Neurodevelopment and Neuronal Differentiation, System and Developmental Process, Signal Transduction, Transcription and Translation Machinery, Molecular Transport and Homeostasis
GO Term: Gobp Snrna Modification -> Biodomain: RNA Metabolism, Transcription and Translation Machinery, Epigenetic Regulation, Neurodevelopment and Neuronal Differentiation, Intracellular Trafficking and Organelle Dynamics
GO Term: Gobp Protein Refolding -> Biodomain: Protein Metabolism and Trafficking, Molecular Transport and Homeostasis, Response to Stimulus, Intracellular Trafficking and Organelle Dynamics, Neurotransmission and Synaptic Regulation
GO Term: Gobp Fluid Transport -> Biodomain: Neurotransmission and Synaptic Regulation, Molecular Transport and Homeostasis, Intracellular Trafficking and Organelle Dynamics, System and Developmental Process, Response to Stimulus
GO Term: Gobp Epithelial Fluid Transport -> Biodomain: Molecular Transport and Homeostasis, Response to Stimulus, System and Developmental Process, Intracellular Trafficking and Organelle Dynamics, Signal Transduction
GO Term: Gobp Negative Regulation Of Epidermal Growth Factor Receptor Signaling Pathway -> Biodomain: Signal Transduction, Neurotransmission and Synaptic Regulation, Neurodevelopment and Neuronal Differentiation, Transcription and Translation Machinery, Molecular Transport and Homeostasis
GO Term: Gobp Regulation Of Catecholamine Metabolic Process -> Biodomain: Neurotransmission and Synaptic Regulation, Molecular Transport and Homeostasis, Signal Transduction, Protein Metabolism and Trafficking, Response to Stimulus
GO Term: Gobp Strand Invasion -> Biodomain: DNA Repair, Epigenetic Regulation, Transcription and Translation Machinery, RNA Metabolism, Signal Transduction
GO Term: Gobp Regulation Of Protein Catabolic Process -> Biodomain: Protein Metabolism and Trafficking, Neurotransmission and Synaptic Regulation, Molecular Transport and Homeostasis, Intracellular Trafficking and Organelle Dynamics, Response to Stimulus
GO Term: Gobp Ribosome Biogenesis -> Biodomain: RNA Metabolism, Transcription and Translation Machinery, Protein Metabolism and Trafficking, Intracellular Trafficking and Organelle Dynamics, Molecular Transport and Homeostasis
GO Term: Gobp Protection From Natural Killer Cell Mediated Cytotoxicity -> Biodomain: Immune System and Inflammation, Response to Stimulus, Cell Adhesion and Interaction, System and Developmental Process, Signal Transduction
GO Term: Gobp Ribosomal Small Subunit Biogenesis -> Biodomain: Protein Metabolism and Trafficking, Transcription and Translation Machinery, RNA Metabolism, Intracellular Trafficking and Organelle Dynamics, System and Developmental Process
GO Term: Gobp Negative Regulation Of Protein Import Into Nucleus -> Biodomain: Protein Metabolism and Trafficking, Intracellular Trafficking and Organelle Dynamics, Molecular Transport and Homeostasis, Transcription and Translation Machinery, Signal Transduction
GO Term: Gobp Dopamine Biosynthetic Process -> Biodomain: Neurotransmission and Synaptic Regulation, Neurodevelopment and Neuronal Differentiation, Signal Transduction, Response to Stimulus, System and Developmental Process
GO Term: Gobp Middle Ear Morphogenesis -> Biodomain: Neurodevelopment and Neuronal Differentiation, System and Developmental Process, Structural Stabilization, Response to Stimulus, Cell Adhesion and Interaction
GO Term: Gobp Negative Regulation Of Tyrosine Phosphorylation Of Stat Protein -> Biodomain: Signal Transduction, Neurotransmission and Synaptic Regulation, Transcription and Translation Machinery, Response to Stimulus, System and Developmental Process
GO Term: Gobp Activation Of Janus Kinase Activity -> Biodomain: Signal Transduction, Neurotransmission and Synaptic Regulation, Immune System and Inflammation, Response to Stimulus, Transcription and Translation Machinery
GO Term: Gobp Negative Regulation Of I Kappab Kinase Nf Kappab Signaling -> Biodomain: Neurotransmission and Synaptic Regulation, Immune System and Inflammation, Signal Transduction, Response to Stimulus, System and Developmental Process
GO Term: Gobp Apoptotic Cell Clearance -> Biodomain: Neurodevelopment and Neuronal Differentiation, Apoptosis, Cell Adhesion and Interaction, Immune System and Inflammation, System and Developmental Process
GO Term: Gobp Natural Killer Cell Degranulation -> Biodomain: Immune System and Inflammation, Response to Stimulus, Cell Adhesion and Interaction, System and Developmental Process, Intracellular Trafficking and Organelle Dynamics
GO Term: Gobp Steroid Hormone Mediated Signaling Pathway -> Biodomain: Signal Transduction, Transcription and Translation Machinery, Epigenetic Regulation, Neurotransmission and Synaptic Regulation, Neurodevelopment and Neuronal Differentiation
GO Term: Gobp Regulation Of Map Kinase Activity -> Biodomain: Signal Transduction, Neurotransmission and Synaptic Regulation, Neurodevelopment and Neuronal Differentiation, Response to Stimulus, Transcription and Translation Machinery
GO Term: Gobp Negative Regulation Of Map Kinase Activity -> Biodomain: Neurotransmission and Synaptic Regulation, Signal Transduction, Neurodevelopment and Neuronal Differentiation, Response to Stimulus, System and Developmental Process
GO Term: Gobp Negative Regulation Of Mapk Cascade -> Biodomain: Neurotransmission and Synaptic Regulation, Signal Transduction, Neurodevelopment and Neuronal Differentiation, Response to Stimulus, Intracellular Trafficking and Organelle Dynamics
GO Term: Gobp Mitochondrial Dna Repair -> Biodomain: Mitochondrial Function and Metabolism, DNA Repair, Molecular Transport and Homeostasis, Response to Stimulus, System and Developmental Process
GO Term: Gobp Regulation Of Jun Kinase Activity -> Biodomain: Signal Transduction, Neurotransmission and Synaptic Regulation, Response to Stimulus, Neurodevelopment and Neuronal Differentiation, Transcription and Translation Machinery
GO Term: Gobp Positive Regulation Of Jun Kinase Activity -> Biodomain: Signal Transduction, Response to Stimulus, Neurotransmission and Synaptic Regulation, Apoptosis, Transcription and Translation Machinery
GO Term: Gobp Negative Regulation Of Jun Kinase Activity -> Biodomain: Signal Transduction, Neurotransmission and Synaptic Regulation, Response to Stimulus, Apoptosis, Cell Adhesion and Interaction
GO Term: Gobp Linoleic Acid Metabolic Process -> Biodomain: Lipid Metabolism, Molecular Transport and Homeostasis, Neurotransmission and Synaptic Regulation, Mitochondrial Function and Metabolism, System and Developmental Process
GO Term: Gobp Engulfment Of Apoptotic Cell -> Biodomain: Neurotransmission and Synaptic Regulation, Response to Stimulus, Cell Adhesion and Interaction, Intracellular Trafficking and Organelle Dynamics, System and Developmental Process
GO Term: Gobp Recognition Of Apoptotic Cell -> Biodomain: Apoptosis, Immune System and Inflammation, Neurodevelopment and Neuronal Differentiation, Cell Adhesion and Interaction, Response to Stimulus
Saved results to: EExperiment/DeepSeek/02-FXS/04-FXS/Unknown_Temp_0.0/go_biodomain_results_part_5.csv
Logged runtime to: EExperiment/DeepSeek/02-FXS/04-FXS/Unknown_Temp_0.0/runtime_log.csv
