Running with TEMP=0.0, sub_array_index=8
Changed working directory to: /panfs/compbio/users/xran2/wen/JX/02-AI-BioDomain/git_folder
Processing array index 8: rows 350 to 399
GO Term: Gobp Lens Fiber Cell Differentiation -> Biodomain: Neurodevelopment and Neuronal Differentiation, System and Developmental Process, Cell Adhesion and Interaction, Structural Stabilization, Protein Metabolism and Trafficking
GO Term: Gobp Protein Localization To Chromosome Centromeric Region -> Biodomain: Cell Cycle, Epigenetic Regulation, DNA Repair, Structural Stabilization, Transcription and Translation Machinery
GO Term: Gobp Cellular Response To Acidic Ph -> Biodomain: Molecular Transport and Homeostasis, Response to Stimulus, Signal Transduction, Intracellular Trafficking and Organelle Dynamics, Protein Metabolism and Trafficking
GO Term: Gobp Cellular Response To Sterol Depletion -> Biodomain: Neurotransmission and Synaptic Regulation, Intracellular Trafficking and Organelle Dynamics, Lipid Metabolism, Signal Transduction, Neurodevelopment and Neuronal Differentiation
GO Term: Gobp Protein Transmembrane Transport -> Biodomain: Protein Metabolism and Trafficking, Intracellular Trafficking and Organelle Dynamics, Molecular Transport and Homeostasis, Neurotransmission and Synaptic Regulation, Signal Transduction
GO Term: Gobp Tail Anchored Membrane Protein Insertion Into Er Membrane -> Biodomain: Protein Metabolism and Trafficking, Intracellular Trafficking and Organelle Dynamics, Molecular Transport and Homeostasis, System and Developmental Process, Transcription and Translation Machinery
GO Term: Gobp Negative Regulation Of Protein Serine Threonine Kinase Activity -> Biodomain: Signal Transduction, Neurotransmission and Synaptic Regulation, Protein Metabolism and Trafficking, Epigenetic Regulation, Response to Stimulus
GO Term: Gobp Maintenance Of Protein Localization In Organelle -> Biodomain: Protein Metabolism and Trafficking, Intracellular Trafficking and Organelle Dynamics, Neurotransmission and Synaptic Regulation, Mitochondrial Function and Metabolism, Molecular Transport and Homeostasis
GO Term: Gobp Establishment Of Protein Localization To Endoplasmic Reticulum -> Biodomain: Protein Metabolism and Trafficking, Intracellular Trafficking and Organelle Dynamics, Molecular Transport and Homeostasis, Signal Transduction, Neurotransmission and Synaptic Regulation
GO Term: Gobp Maintenance Of Protein Location In Mitochondrion -> Biodomain: Mitochondrial Function and Metabolism, Intracellular Trafficking and Organelle Dynamics, Protein Metabolism and Trafficking, Structural Stabilization, Molecular Transport and Homeostasis
GO Term: Gobp T Cell Extravasation -> Biodomain: Immune System and Inflammation, Cell Adhesion and Interaction, Response to Stimulus, Signal Transduction, System and Developmental Process
GO Term: Gobp Protein K6 Linked Ubiquitination -> Biodomain: DNA Repair, Protein Metabolism and Trafficking, Intracellular Trafficking and Organelle Dynamics, Signal Transduction, Epigenetic Regulation
GO Term: Gobp Endothelin Receptor Signaling Pathway -> Biodomain: Signal Transduction, Neurotransmission and Synaptic Regulation, Molecular Transport and Homeostasis, Response to Stimulus, Transcription and Translation Machinery
GO Term: Gobp Regulation Of Protein Deubiquitination -> Biodomain: Protein Metabolism and Trafficking, Signal Transduction, Neurotransmission and Synaptic Regulation, RNA Metabolism, Transcription and Translation Machinery
GO Term: Gobp Copii Coated Vesicle Budding -> Biodomain: Protein Metabolism and Trafficking, Intracellular Trafficking and Organelle Dynamics, Molecular Transport and Homeostasis, System and Developmental Process, Signal Transduction
GO Term: Gobp C 5 Methylation Of Cytosine -> Biodomain: Epigenetic Regulation, Transcription and Translation Machinery, Neurodevelopment and Neuronal Differentiation, System and Developmental Process, Response to Stimulus
GO Term: Gobp Establishment Of Epithelial Cell Polarity -> Biodomain: Neurodevelopment and Neuronal Differentiation, Cell Adhesion and Interaction, Signal Transduction, Protein Metabolism and Trafficking, Molecular Transport and Homeostasis
GO Term: Gobp Establishment Of Planar Polarity Involved In Neural Tube Closure -> Biodomain: Neurodevelopment and Neuronal Differentiation, System and Developmental Process, Cell Adhesion and Interaction, Signal Transduction, Structural Stabilization
GO Term: Gobp Positive Regulation Of Triglyceride Metabolic Process -> Biodomain: Lipid Metabolism, Mitochondrial Function and Metabolism, Molecular Transport and Homeostasis, Intracellular Trafficking and Organelle Dynamics, Protein Metabolism and Trafficking
GO Term: Gobp Regulation Of Metaphase Plate Congression -> Biodomain: Cell Cycle, Signal Transduction, System and Developmental Process, Epigenetic Regulation, DNA Repair
GO Term: Gobp Positive Regulation Of Histone H4 Acetylation -> Biodomain: Epigenetic Regulation, Transcription and Translation Machinery, Neurodevelopment and Neuronal Differentiation, Signal Transduction, System and Developmental Process
GO Term: Gobp Negative Regulation Of Histone H4 Acetylation -> Biodomain: Epigenetic Regulation, Transcription and Translation Machinery, Signal Transduction, System and Developmental Process, RNA Metabolism
GO Term: Gobp Negative Regulation Of Calcium Ion Import -> Biodomain: Neurotransmission and Synaptic Regulation, Signal Transduction, Molecular Transport and Homeostasis, Response to Stimulus, Intracellular Trafficking and Organelle Dynamics
GO Term: Gobp Regulation Of Osteoclast Proliferation -> Biodomain: Neurodevelopment and Neuronal Differentiation, RNA Metabolism, Signal Transduction, System and Developmental Process, Cell Cycle
GO Term: Gobp Positive Regulation Of Intracellular Protein Transport -> Biodomain: Protein Metabolism and Trafficking, Intracellular Trafficking and Organelle Dynamics, Neurotransmission and Synaptic Regulation, Molecular Transport and Homeostasis, Signal Transduction
GO Term: Gobp Negative Regulation Of Intracellular Protein Transport -> Biodomain: Intracellular Trafficking and Organelle Dynamics, Protein Metabolism and Trafficking, Neurotransmission and Synaptic Regulation, Molecular Transport and Homeostasis, Signal Transduction
GO Term: Gobp Regulation Of Dna Templated Dna Replication -> Biodomain: DNA Repair, Cell Cycle, Epigenetic Regulation, System and Developmental Process, Transcription and Translation Machinery
GO Term: Gobp Intracellular Glutamate Homeostasis -> Biodomain: Neurotransmission and Synaptic Regulation, Molecular Transport and Homeostasis, Intracellular Trafficking and Organelle Dynamics, Response to Stimulus, Signal Transduction
GO Term: Gobp Regulation Of Membrane Permeability -> Biodomain: Neurotransmission and Synaptic Regulation, Molecular Transport and Homeostasis, Intracellular Trafficking and Organelle Dynamics, RNA Metabolism, Signal Transduction
GO Term: Gobp Endothelial Cell Matrix Adhesion -> Biodomain: Cell Adhesion and Interaction, System and Developmental Process, Structural Stabilization, Molecular Transport and Homeostasis, Response to Stimulus
GO Term: Gobp Response To Thyroid Hormone -> Biodomain: Neurotransmission and Synaptic Regulation, Signal Transduction, Transcription and Translation Machinery, Mitochondrial Function and Metabolism, Neurodevelopment and Neuronal Differentiation
GO Term: Gobp Cellular Response To Thyroid Hormone Stimulus -> Biodomain: Transcription and Translation Machinery, Signal Transduction, Neurotransmission and Synaptic Regulation, Neurodevelopment and Neuronal Differentiation, Molecular Transport and Homeostasis
GO Term: Gobp Vascular Associated Smooth Muscle Cell Development -> Biodomain: Neurodevelopment and Neuronal Differentiation, System and Developmental Process, Cell Adhesion and Interaction, Structural Stabilization, Molecular Transport and Homeostasis
Saved results to: Experiment/DeepSeek/02-FXS/04-FXS/Temp_0.0/go_biodomain_results_part_8.csv
Logged runtime to: Experiment/DeepSeek/02-FXS/04-FXS/Temp_0.0/runtime_log.csv
