Running with TEMP=0.1, sub_array_index=8
Changed working directory to: /panfs/compbio/users/xran2/wen/JX/02-AI-BioDomain/git_folder
Processing array index 8: rows 350 to 399
GO Term: Gobp Lens Fiber Cell Differentiation -> Biodomain: Neurodevelopment and Neuronal Differentiation, System and Developmental Process, Structural Stabilization, Protein Metabolism and Trafficking, Cell Adhesion and Interaction
GO Term: Gobp Cellular Response To Sterol Depletion -> Biodomain: Lipid Metabolism, Molecular Transport and Homeostasis, Response to Stimulus, Signal Transduction, Intracellular Trafficking and Organelle Dynamics
GO Term: Gobp Protein Transmembrane Transport -> Biodomain: Neurotransmission and Synaptic Regulation, Intracellular Trafficking and Organelle Dynamics, Protein Metabolism and Trafficking, Molecular Transport and Homeostasis, Signal Transduction
GO Term: Gobp Tail Anchored Membrane Protein Insertion Into Er Membrane -> Biodomain: Protein Metabolism and Trafficking, Intracellular Trafficking and Organelle Dynamics, Molecular Transport and Homeostasis, System and Developmental Process, RNA Metabolism
GO Term: Gobp Negative Regulation Of Protein Serine Threonine Kinase Activity -> Biodomain: Signal Transduction, Neurotransmission and Synaptic Regulation, Protein Metabolism and Trafficking, Intracellular Trafficking and Organelle Dynamics, Response to Stimulus
GO Term: Gobp Maintenance Of Protein Localization In Organelle -> Biodomain: Protein Metabolism and Trafficking, Intracellular Trafficking and Organelle Dynamics, Molecular Transport and Homeostasis, Neurotransmission and Synaptic Regulation, RNA Metabolism
GO Term: Gobp Establishment Of Protein Localization To Endoplasmic Reticulum -> Biodomain: Protein Metabolism and Trafficking, Intracellular Trafficking and Organelle Dynamics, Neurotransmission and Synaptic Regulation, Transcription and Translation Machinery, Molecular Transport and Homeostasis
GO Term: Gobp Maintenance Of Protein Location In Mitochondrion -> Biodomain: Mitochondrial Function and Metabolism, Intracellular Trafficking and Organelle Dynamics, Protein Metabolism and Trafficking, Neurotransmission and Synaptic Regulation, Molecular Transport and Homeostasis
GO Term: Gobp T Cell Extravasation -> Biodomain: Immune System and Inflammation, Response to Stimulus, Cell Adhesion and Interaction, Signal Transduction, System and Developmental Process
GO Term: Gobp Protein K6 Linked Ubiquitination -> Biodomain: DNA Repair, Protein Metabolism and Trafficking, Intracellular Trafficking and Organelle Dynamics, Signal Transduction, Response to Stimulus
GO Term: Gobp Endothelin Receptor Signaling Pathway -> Biodomain: Signal Transduction, Neurotransmission and Synaptic Regulation, Response to Stimulus, Transcription and Translation Machinery, Intracellular Trafficking and Organelle Dynamics
GO Term: Gobp Regulation Of Protein Deubiquitination -> Biodomain: Protein Metabolism and Trafficking, Intracellular Trafficking and Organelle Dynamics, Signal Transduction, Response to Stimulus, Molecular Transport and Homeostasis
GO Term: Gobp Copii Coated Vesicle Budding -> Biodomain: Intracellular Trafficking and Organelle Dynamics, Protein Metabolism and Trafficking, Neurotransmission and Synaptic Regulation, RNA Metabolism, Molecular Transport and Homeostasis
GO Term: Gobp C 5 Methylation Of Cytosine -> Biodomain: Epigenetic Regulation, Transcription and Translation Machinery, RNA Metabolism, Signal Transduction, Neurodevelopment and Neuronal Differentiation
GO Term: Gobp Establishment Of Epithelial Cell Polarity -> Biodomain: Cell Adhesion and Interaction, Neurodevelopment and Neuronal Differentiation, Structural Stabilization, Signal Transduction, System and Developmental Process
GO Term: Gobp Establishment Of Planar Polarity Involved In Neural Tube Closure -> Biodomain: Neurodevelopment and Neuronal Differentiation, System and Developmental Process, Cell Adhesion and Interaction, Structural Stabilization, Signal Transduction
GO Term: Gobp Positive Regulation Of Triglyceride Metabolic Process -> Biodomain: RNA Metabolism, Lipid Metabolism, Molecular Transport and Homeostasis, Signal Transduction, System and Developmental Process
GO Term: Gobp Regulation Of Metaphase Plate Congression -> Biodomain: Cell Cycle, System and Developmental Process, Structural Stabilization, Signal Transduction, Response to Stimulus
GO Term: Gobp Positive Regulation Of Histone H4 Acetylation -> Biodomain: Epigenetic Regulation, Transcription and Translation Machinery, Signal Transduction, Neurodevelopment and Neuronal Differentiation, RNA Metabolism
GO Term: Gobp Negative Regulation Of Histone H4 Acetylation -> Biodomain: Epigenetic Regulation, Neurodevelopment and Neuronal Differentiation, Transcription and Translation Machinery, DNA Repair, Signal Transduction
GO Term: Gobp Negative Regulation Of Calcium Ion Import -> Biodomain: Neurotransmission and Synaptic Regulation, Molecular Transport and Homeostasis, Signal Transduction, Intracellular Trafficking and Organelle Dynamics, Response to Stimulus
GO Term: Gobp Regulation Of Osteoclast Proliferation -> Biodomain: System and Developmental Process, Cell Cycle, Neurodevelopment and Neuronal Differentiation, Signal Transduction, Molecular Transport and Homeostasis
GO Term: Gobp Positive Regulation Of Intracellular Protein Transport -> Biodomain: Protein Metabolism and Trafficking, Intracellular Trafficking and Organelle Dynamics, Neurotransmission and Synaptic Regulation, Signal Transduction, Molecular Transport and Homeostasis
GO Term: Gobp Negative Regulation Of Intracellular Protein Transport -> Biodomain: Protein Metabolism and Trafficking, Intracellular Trafficking and Organelle Dynamics, Neurotransmission and Synaptic Regulation, Signal Transduction, Molecular Transport and Homeostasis
GO Term: Gobp Regulation Of Dna Templated Dna Replication -> Biodomain: Cell Cycle, DNA Repair, Epigenetic Regulation, System and Developmental Process, Transcription and Translation Machinery
GO Term: Gobp Intracellular Glutamate Homeostasis -> Biodomain: Neurotransmission and Synaptic Regulation, Molecular Transport and Homeostasis, Neurodevelopment and Neuronal Differentiation, Intracellular Trafficking and Organelle Dynamics, Signal Transduction
GO Term: Gobp Regulation Of Membrane Permeability -> Biodomain: Neurotransmission and Synaptic Regulation, Molecular Transport and Homeostasis, Signal Transduction, Intracellular Trafficking and Organelle Dynamics, Response to Stimulus
GO Term: Gobp Endothelial Cell Matrix Adhesion -> Biodomain: Cell Adhesion and Interaction, Neurodevelopment and Neuronal Differentiation, System and Developmental Process, Structural Stabilization, Signal Transduction
GO Term: Gobp Response To Thyroid Hormone -> Biodomain: Neurodevelopment and Neuronal Differentiation, Neurotransmission and Synaptic Regulation, Transcription and Translation Machinery, Signal Transduction, Molecular Transport and Homeostasis
GO Term: Gobp Cellular Response To Thyroid Hormone Stimulus -> Biodomain: Neurodevelopment and Neuronal Differentiation, Neurotransmission and Synaptic Regulation, Transcription and Translation Machinery, Signal Transduction, Molecular Transport and Homeostasis
GO Term: Gobp Vascular Associated Smooth Muscle Cell Development -> Biodomain: Neurodevelopment and Neuronal Differentiation, System and Developmental Process, Cell Adhesion and Interaction, Structural Stabilization, Response to Stimulus
Saved results to: Experiment/DeepSeek/02-FXS/04-FXS/Temp_0.1/go_biodomain_results_part_8.csv
Logged runtime to: Experiment/DeepSeek/02-FXS/04-FXS/Temp_0.1/runtime_log.csv
