Running with TEMP=0.9, sub_array_index=2
Changed working directory to: /panfs/compbio/users/xran2/wen/JX/02-AI-BioDomain/git_folder
Processing array index 2: rows 50 to 99
GO Term: Gobp Srp Dependent Cotranslational Protein Targeting To Membrane Translocation -> Biodomain: Protein Metabolism and Trafficking, Intracellular Trafficking and Organelle Dynamics, Transcription and Translation Machinery, Molecular Transport and Homeostasis, Signal Transduction
GO Term: Gobp Er Nucleus Signaling Pathway -> Biodomain: Signal Transduction, Transcription and Translation Machinery, Intracellular Trafficking and Organelle Dynamics, Molecular Transport and Homeostasis, Response to Stimulus
GO Term: Gobp Response To Sterol Depletion -> Biodomain: Lipid Metabolism, Molecular Transport and Homeostasis, Response to Stimulus, System and Developmental Process, Signal Transduction
GO Term: Gobp Cellular Response To Nitrogen Starvation -> Biodomain: Protein Metabolism and Trafficking, Signal Transduction, RNA Metabolism, Molecular Transport and Homeostasis, Response to Stimulus
GO Term: Gobp Nucleolus Organization -> Biodomain: RNA Metabolism, Protein Metabolism and Trafficking, Transcription and Translation Machinery, Intracellular Trafficking and Organelle Dynamics, Epigenetic Regulation
GO Term: Gobp Microtubule Depolymerization -> Biodomain: Neurodevelopment and Neuronal Differentiation, Neurotransmission and Synaptic Regulation, Intracellular Trafficking and Organelle Dynamics, Structural Stabilization, Cell Adhesion and Interaction
GO Term: Gobp Endoplasmic Reticulum Organization -> Biodomain: Intracellular Trafficking and Organelle Dynamics, Protein Metabolism and Trafficking, Molecular Transport and Homeostasis, Neurotransmission and Synaptic Regulation, Structural Stabilization
GO Term: Gobp Endosome Organization -> Biodomain: Intracellular Trafficking and Organelle Dynamics, Protein Metabolism and Trafficking, Neurotransmission and Synaptic Regulation, Molecular Transport and Homeostasis, Signal Transduction
GO Term: Gobp Mitotic Sister Chromatid Cohesion -> Biodomain: Cell Cycle, Neurodevelopment and Neuronal Differentiation, System and Developmental Process, Structural Stabilization, DNA Repair
GO Term: Gobp Female Meiotic Nuclear Division -> Biodomain: Cell Cycle, System and Developmental Process, Neurodevelopment and Neuronal Differentiation, Transcription and Translation Machinery, Signal Transduction
GO Term: Gobp Female Meiosis I -> Biodomain: Cell Cycle, System and Developmental Process, Neurodevelopment and Neuronal Differentiation, Transcription and Translation Machinery, Epigenetic Regulation
GO Term: Gobp Homophilic Cell Adhesion Via Plasma Membrane Adhesion Molecules -> Biodomain: Cell Adhesion and Interaction, Neurodevelopment and Neuronal Differentiation, Neurotransmission and Synaptic Regulation, Structural Stabilization, System and Developmental Process
GO Term: Gobp Receptor Guanylyl Cyclase Signaling Pathway -> Biodomain: Neurotransmission and Synaptic Regulation, Signal Transduction, Molecular Transport and Homeostasis, Transcription and Translation Machinery, Neurodevelopment and Neuronal Differentiation
GO Term: Gobp Jnk Cascade -> Biodomain: Neurotransmission and Synaptic Regulation, Signal Transduction, Apoptosis, Immune System and Inflammation, Response to Stimulus
GO Term: Gobp Ectoderm Development -> Biodomain: Neurodevelopment and Neuronal Differentiation, System and Developmental Process, Structural Stabilization, Cell Adhesion and Interaction, Molecular Transport and Homeostasis
GO Term: Gobp Adult Heart Development -> Biodomain: System and Developmental Process, Neurodevelopment and Neuronal Differentiation, Structural Stabilization, Cell Adhesion and Interaction, Signal Transduction
GO Term: Gobp Mesodermal Cell Migration -> Biodomain: Neurodevelopment and Neuronal Differentiation, System and Developmental Process, Cell Adhesion and Interaction, Signal Transduction, Structural Stabilization
GO Term: Gobp Isoprenoid Catabolic Process -> Biodomain: Lipid Metabolism, Intracellular Trafficking and Organelle Dynamics, Protein Metabolism and Trafficking, Mitochondrial Function and Metabolism, Molecular Transport and Homeostasis
GO Term: Gobp Apoptotic Mitochondrial Changes -> Biodomain: Apoptosis, Mitochondrial Function and Metabolism, Structural Stabilization, Neurodevelopment and Neuronal Differentiation, Signal Transduction
GO Term: Gobp Phospholipid Biosynthetic Process -> Biodomain: Lipid Metabolism, Intracellular Trafficking and Organelle Dynamics, Neurotransmission and Synaptic Regulation, Mitochondrial Function and Metabolism, Molecular Transport and Homeostasis
GO Term: Gobp Response To Temperature Stimulus -> Biodomain: Response to Stimulus, Molecular Transport and Homeostasis, Signal Transduction, Neurotransmission and Synaptic Regulation, System and Developmental Process
GO Term: Gobp Response To Heat -> Biodomain: Response to Stimulus, Molecular Transport and Homeostasis, Protein Metabolism and Trafficking, Signal Transduction, Epigenetic Regulation
GO Term: Gobp Anterior Posterior Axis Specification -> Biodomain: Neurodevelopment and Neuronal Differentiation, System and Developmental Process, Transcription and Translation Machinery, Signal Transduction, Molecular Transport and Homeostasis
GO Term: Gobp Meiotic Chromosome Condensation -> Biodomain: Epigenetic Regulation, Cell Cycle, DNA Repair, Transcription and Translation Machinery, Structural Stabilization
GO Term: Gobp Negative Regulation Of Gene Expression Via Chromosomal Dna Cytosine Methylation -> Biodomain: Epigenetic Regulation, RNA Metabolism, Response to Stimulus, Transcription and Translation Machinery, Signal Transduction
GO Term: Gobp Response To Acidic Ph -> Biodomain: Response to Stimulus, Molecular Transport and Homeostasis, Neurotransmission and Synaptic Regulation, Signal Transduction, System and Developmental Process
GO Term: Gobp Regulation Of Gastrulation -> Biodomain: Neurodevelopment and Neuronal Differentiation, System and Developmental Process, Signal Transduction, Structural Stabilization, Cell Adhesion and Interaction
GO Term: Gobp Proteasomal Protein Catabolic Process -> Biodomain: Protein Metabolism and Trafficking, Intracellular Trafficking and Organelle Dynamics, Molecular Transport and Homeostasis, Response to Stimulus, Neurotransmission and Synaptic Regulation
GO Term: Gobp Positive Regulation Of Autophagy -> Biodomain: Autophagy, Protein Metabolism and Trafficking, Intracellular Trafficking and Organelle Dynamics, Neurotransmission and Synaptic Regulation, Neurodevelopment and Neuronal Differentiation
Saved results to: Experiment/DeepSeek/02-FXS/04-FXS/Temp_0.9/go_biodomain_results_part_2.csv
Logged runtime to: Experiment/DeepSeek/02-FXS/04-FXS/Temp_0.9/runtime_log.csv
