Running with TEMP=0.1, sub_array_index=9
Changed working directory to: /panfs/compbio/users/xran2/wen/JX/02-AI-BioDomain/git_folder
Processing array index 9: rows 400 to 449
GO Term: Gobp Negative Regulation Of Transcription From Rna Polymerase Ii Promoter In Response To Stress -> Biodomain: Response to Stimulus, Transcription and Translation Machinery, Epigenetic Regulation, Signal Transduction, RNA Metabolism
GO Term: Gobp Positive Regulation Of Er Associated Ubiquitin Dependent Protein Catabolic Process -> Biodomain: Protein Metabolism and Trafficking, Intracellular Trafficking and Organelle Dynamics, Molecular Transport and Homeostasis, Response to Stimulus, Signal Transduction
GO Term: Gobp Protein Localization To Condensed Chromosome -> Biodomain: Cell Cycle, Intracellular Trafficking and Organelle Dynamics, Structural Stabilization, Protein Metabolism and Trafficking, Transcription and Translation Machinery
GO Term: Gobp Regulation Of Trail Activated Apoptotic Signaling Pathway -> Biodomain: Apoptosis, Signal Transduction, Response to Stimulus, Protein Metabolism and Trafficking, Neurotransmission and Synaptic Regulation
GO Term: Gobp Liposaccharide Metabolic Process -> Biodomain: Lipid Metabolism, Molecular Transport and Homeostasis, Neurotransmission and Synaptic Regulation, Intracellular Trafficking and Organelle Dynamics, Structural Stabilization
GO Term: Gobp Endoplasmic Reticulum To Cytosol Transport -> Biodomain: Protein Metabolism and Trafficking, Intracellular Trafficking and Organelle Dynamics, Molecular Transport and Homeostasis, Response to Stimulus, Signal Transduction
GO Term: Gobp Negative Regulation Of Response To Endoplasmic Reticulum Stress -> Biodomain: Protein Metabolism and Trafficking, Response to Stimulus, Intracellular Trafficking and Organelle Dynamics, Apoptosis, Neurotransmission and Synaptic Regulation
GO Term: Gobp Negative Regulation Of P38Mapk Cascade -> Biodomain: Signal Transduction, Neurotransmission and Synaptic Regulation, Immune System and Inflammation, Response to Stimulus, Epigenetic Regulation
GO Term: Gobp Regulation Of Amino Acid Transmembrane Transport -> Biodomain: Neurotransmission and Synaptic Regulation, Protein Metabolism and Trafficking, Molecular Transport and Homeostasis, Signal Transduction, System and Developmental Process
Saved results to: Experiment/DeepSeek/02-FXS/04-FXS/Temp_0.1/go_biodomain_results_part_9.csv
Logged runtime to: Experiment/DeepSeek/02-FXS/04-FXS/Temp_0.1/runtime_log.csv
