Running with TEMP=0.9, sub_array_index=9
Changed working directory to: /panfs/compbio/users/xran2/wen/JX/02-AI-BioDomain/git_folder
Processing array index 9: rows 400 to 449
GO Term: Gobp Negative Regulation Of Transcription From Rna Polymerase Ii Promoter In Response To Stress -> Biodomain: RNA Metabolism, Transcription and Translation Machinery, Response to Stimulus, Signal Transduction, Epigenetic Regulation
GO Term: Gobp Positive Regulation Of Proteasomal Protein Catabolic Process -> Biodomain: Protein Metabolism and Trafficking, Neurotransmission and Synaptic Regulation, Molecular Transport and Homeostasis, Response to Stimulus, Signal Transduction
GO Term: Gobp Regulation Of Cell Cycle Checkpoint -> Biodomain: Cell Cycle, Neurodevelopment and Neuronal Differentiation, Signal Transduction, DNA Repair, System and Developmental Process
GO Term: Gobp Negative Regulation Of Cell Cycle Checkpoint -> Biodomain: Cell Cycle, Neurodevelopment and Neuronal Differentiation, System and Developmental Process, Signal Transduction, Transcription and Translation Machinery
GO Term: Gobp Regulation Of Oxidative Stress Induced Intrinsic Apoptotic Signaling Pathway -> Biodomain: Apoptosis, Mitochondrial Function and Metabolism, Response to Stimulus, Neurodevelopment and Neuronal Differentiation, Signal Transduction
GO Term: Gobp Regulation Of Endoplasmic Reticulum Stress Induced Intrinsic Apoptotic Signaling Pathway -> Biodomain: Apoptosis, Intracellular Trafficking and Organelle Dynamics, Signal Transduction, Protein Metabolism and Trafficking, Neurodevelopment and Neuronal Differentiation
GO Term: Gobp Negative Regulation Of Endoplasmic Reticulum Stress Induced Intrinsic Apoptotic Signaling Pathway -> Biodomain: Apoptosis, Protein Metabolism and Trafficking, Intracellular Trafficking and Organelle Dynamics, Molecular Transport and Homeostasis, Response to Stimulus
GO Term: Gobp Positive Regulation Of Intrinsic Apoptotic Signaling Pathway By P53 Class Mediator -> Biodomain: Apoptosis, Signal Transduction, Protein Metabolism and Trafficking, Transcription and Translation Machinery, Neurodevelopment and Neuronal Differentiation
GO Term: Gobp Cell Cycle Dna Replication Initiation -> Biodomain: Cell Cycle, DNA Repair, Epigenetic Regulation, Neurodevelopment and Neuronal Differentiation, Transcription and Translation Machinery
GO Term: Gobp Regulation Of Mrna Binding -> Biodomain: RNA Metabolism, Protein Metabolism and Trafficking, Neurotransmission and Synaptic Regulation, Signal Transduction, Transcription and Translation Machinery
GO Term: Gobp Regulation Of Protein Autoubiquitination -> Biodomain: Protein Metabolism and Trafficking, Neurotransmission and Synaptic Regulation, RNA Metabolism, Signal Transduction, Intracellular Trafficking and Organelle Dynamics
GO Term: Gobp Negative Regulation Of Intracellular Signal Transduction -> Biodomain: Signal Transduction, Neurotransmission and Synaptic Regulation, Protein Metabolism and Trafficking, Molecular Transport and Homeostasis, System and Developmental Process
GO Term: Gobp Negative Regulation Of Cellular Response To Vascular Endothelial Growth Factor Stimulus -> Biodomain: Signal Transduction, Response to Stimulus, Neurodevelopment and Neuronal Differentiation, Molecular Transport and Homeostasis, Transcription and Translation Machinery
GO Term: Gobp Mitochondrial Outer Membrane Permeabilization Involved In Programmed Cell Death -> Biodomain: Apoptosis, Mitochondrial Function and Metabolism, Protein Metabolism and Trafficking, Signal Transduction, Molecular Transport and Homeostasis
GO Term: Gobp Regulation Of Cell Cycle G2 M Phase Transition -> Biodomain: Cell Cycle, Neurodevelopment and Neuronal Differentiation, Signal Transduction, System and Developmental Process, Transcription and Translation Machinery
GO Term: Gobp Regulation Of Mitochondrial Electron Transport Nadh To Ubiquinone -> Biodomain: Mitochondrial Function and Metabolism, Signal Transduction, Molecular Transport and Homeostasis, Protein Metabolism and Trafficking, Response to Stimulus
GO Term: Gobp Mitotic Dna Replication -> Biodomain: Cell Cycle, Neurodevelopment and Neuronal Differentiation, System and Developmental Process, DNA Repair, Transcription and Translation Machinery
GO Term: Gobp Positive Regulation Of Protein Deubiquitination -> Biodomain: Protein Metabolism and Trafficking, Neurotransmission and Synaptic Regulation, Intracellular Trafficking and Organelle Dynamics, Signal Transduction, Response to Stimulus
GO Term: Gobp Regulation Of Proteolysis Involved In Protein Catabolic Process -> Biodomain: Protein Metabolism and Trafficking, Intracellular Trafficking and Organelle Dynamics, Neurotransmission and Synaptic Regulation, Mitochondrial Function and Metabolism, Signal Transduction
GO Term: Gobp Negative Regulation Of Proteolysis Involved In Protein Catabolic Process -> Biodomain: Protein Metabolism and Trafficking, Neurotransmission and Synaptic Regulation, Molecular Transport and Homeostasis, Intracellular Trafficking and Organelle Dynamics, Response to Stimulus
GO Term: Gobp Positive Regulation Of Proteolysis Involved In Protein Catabolic Process -> Biodomain: Protein Metabolism and Trafficking, Autophagy, Neurotransmission and Synaptic Regulation, Response to Stimulus, Intracellular Trafficking and Organelle Dynamics
GO Term: Gobp Positive Regulation Of Er Associated Ubiquitin Dependent Protein Catabolic Process -> Biodomain: Protein Metabolism and Trafficking, Intracellular Trafficking and Organelle Dynamics, Molecular Transport and Homeostasis, Response to Stimulus, RNA Metabolism
GO Term: Gobp Protein Localization To Condensed Chromosome -> Biodomain: Cell Cycle, Protein Metabolism and Trafficking, Intracellular Trafficking and Organelle Dynamics, Epigenetic Regulation, Transcription and Translation Machinery
GO Term: Gobp Regulation Of Trail Activated Apoptotic Signaling Pathway -> Biodomain: Apoptosis, Signal Transduction, Response to Stimulus, Neurotransmission and Synaptic Regulation, System and Developmental Process
GO Term: Gobp Liposaccharide Metabolic Process -> Biodomain: Lipid Metabolism, Molecular Transport and Homeostasis, Intracellular Trafficking and Organelle Dynamics, Protein Metabolism and Trafficking, Mitochondrial Function and Metabolism
GO Term: Gobp Endoplasmic Reticulum To Cytosol Transport -> Biodomain: Intracellular Trafficking and Organelle Dynamics, Protein Metabolism and Trafficking, Molecular Transport and Homeostasis, System and Developmental Process, Response to Stimulus
GO Term: Gobp Negative Regulation Of Response To Endoplasmic Reticulum Stress -> Biodomain: Intracellular Trafficking and Organelle Dynamics, Protein Metabolism and Trafficking, Molecular Transport and Homeostasis, Response to Stimulus, Signal Transduction
GO Term: Gobp Negative Regulation Of P38Mapk Cascade -> Biodomain: Neurotransmission and Synaptic Regulation, Signal Transduction, Response to Stimulus, Neurodevelopment and Neuronal Differentiation, Immune System and Inflammation
GO Term: Gobp Regulation Of Amino Acid Transmembrane Transport -> Biodomain: Neurotransmission and Synaptic Regulation, Molecular Transport and Homeostasis, Protein Metabolism and Trafficking, Signal Transduction, System and Developmental Process
Saved results to: Experiment/DeepSeek/02-FXS/04-FXS/Temp_0.9/go_biodomain_results_part_9.csv
Logged runtime to: Experiment/DeepSeek/02-FXS/04-FXS/Temp_0.9/runtime_log.csv
