Running with TEMP=0.0, sub_array_index=6
Changed working directory to: /panfs/compbio/users/xran2/wen/JX/02-AI-BioDomain/git_folder
Processing array index 6: rows 250 to 299
GO Term: Gobp Protein Transmembrane Import Into Intracellular Organelle -> Biodomain: Intracellular Trafficking and Organelle Dynamics, Protein Metabolism and Trafficking, Mitochondrial Function and Metabolism, Molecular Transport and Homeostasis, RNA Metabolism
GO Term: Gobp Regulation Of Megakaryocyte Differentiation -> Biodomain: Neurodevelopment and Neuronal Differentiation, System and Developmental Process, Signal Transduction, Transcription and Translation Machinery, Response to Stimulus
GO Term: Gobp Positive Regulation Of Megakaryocyte Differentiation -> Biodomain: Signal Transduction, Transcription and Translation Machinery, System and Developmental Process, Response to Stimulus, Molecular Transport and Homeostasis
GO Term: Gobp Respiratory Burst -> Biodomain: Immune System and Inflammation, Mitochondrial Function and Metabolism, Signal Transduction, Response to Stimulus, System and Developmental Process
GO Term: Gobp Positive Regulation Of Protein Catabolic Process -> Biodomain: Protein Metabolism and Trafficking, Autophagy, Neurotransmission and Synaptic Regulation, Signal Transduction, Molecular Transport and Homeostasis
GO Term: Gobp Negative Regulation Of Innate Immune Response -> Biodomain: Immune System and Inflammation, Response to Stimulus, Signal Transduction, RNA Metabolism, Epigenetic Regulation
GO Term: Gobp Negative Regulation Of Meiotic Nuclear Division -> Biodomain: Neurodevelopment and Neuronal Differentiation, Cell Cycle, Signal Transduction, Transcription and Translation Machinery, System and Developmental Process
GO Term: Gobp Negative Regulation Of Growth -> Biodomain: Neurodevelopment and Neuronal Differentiation, System and Developmental Process, Signal Transduction, Transcription and Translation Machinery, Protein Metabolism and Trafficking
GO Term: Gobp Positive Regulation Of Natural Killer Cell Mediated Cytotoxicity -> Biodomain: Immune System and Inflammation, Response to Stimulus, Signal Transduction, System and Developmental Process, Neurotransmission and Synaptic Regulation
GO Term: Gobp Positive Regulation Of Striated Muscle Contraction -> Biodomain: Neurotransmission and Synaptic Regulation, Signal Transduction, System and Developmental Process, Molecular Transport and Homeostasis, Response to Stimulus
GO Term: Gobp Regulation Of Glucose Import -> Biodomain: Mitochondrial Function and Metabolism, Molecular Transport and Homeostasis, Neurotransmission and Synaptic Regulation, Signal Transduction, System and Developmental Process
GO Term: Gobp Regulation Of Jnk Cascade -> Biodomain: Signal Transduction, Neurotransmission and Synaptic Regulation, Response to Stimulus, System and Developmental Process, Apoptosis
GO Term: Gobp Positive Regulation Of Jnk Cascade -> Biodomain: Signal Transduction, Neurotransmission and Synaptic Regulation, Response to Stimulus, Neurodevelopment and Neuronal Differentiation, Apoptosis
GO Term: Gobp Negative Regulation Of Receptor Signaling Pathway Via Jak Stat -> Biodomain: Neurotransmission and Synaptic Regulation, Signal Transduction, Immune System and Inflammation, Response to Stimulus, System and Developmental Process
GO Term: Gobp Icosanoid Biosynthetic Process -> Biodomain: Immune System and Inflammation, Lipid Metabolism, Signal Transduction, Response to Stimulus, System and Developmental Process
GO Term: Gobp Prostanoid Biosynthetic Process -> Biodomain: Immune System and Inflammation, Response to Stimulus, Lipid Metabolism, Signal Transduction, Molecular Transport and Homeostasis
GO Term: Gobp Phosphatidylcholine Metabolic Process -> Biodomain: Lipid Metabolism, Neurotransmission and Synaptic Regulation, Intracellular Trafficking and Organelle Dynamics, Molecular Transport and Homeostasis, Structural Stabilization
GO Term: Gobp Glycerophospholipid Biosynthetic Process -> Biodomain: Lipid Metabolism, Intracellular Trafficking and Organelle Dynamics, Neurotransmission and Synaptic Regulation, Structural Stabilization, Molecular Transport and Homeostasis
GO Term: Gobp Phosphatidylinositol Metabolic Process -> Biodomain: Signal Transduction, Neurotransmission and Synaptic Regulation, Intracellular Trafficking and Organelle Dynamics, Lipid Metabolism, Molecular Transport and Homeostasis
GO Term: Gobp Regulation Of Protein Export From Nucleus -> Biodomain: Protein Metabolism and Trafficking, Intracellular Trafficking and Organelle Dynamics, RNA Metabolism, Transcription and Translation Machinery, Signal Transduction
GO Term: Gobp Regulation Of Mitochondrial Membrane Permeability -> Biodomain: Mitochondrial Function and Metabolism, Intracellular Trafficking and Organelle Dynamics, Molecular Transport and Homeostasis, Apoptosis, Signal Transduction
GO Term: Gobp Golgi Vesicle Transport -> Biodomain: Intracellular Trafficking and Organelle Dynamics, Protein Metabolism and Trafficking, Neurotransmission and Synaptic Regulation, Molecular Transport and Homeostasis, Signal Transduction
GO Term: Gobp Golgi Vesicle Budding -> Biodomain: Intracellular Trafficking and Organelle Dynamics, Protein Metabolism and Trafficking, Neurotransmission and Synaptic Regulation, Molecular Transport and Homeostasis, System and Developmental Process
GO Term: Gobp Vesicle Targeting To From Or Within Golgi -> Biodomain: Intracellular Trafficking and Organelle Dynamics, Protein Metabolism and Trafficking, Neurotransmission and Synaptic Regulation, Molecular Transport and Homeostasis, Signal Transduction
GO Term: Gobp Vesicle Targeting Rough Er To Cis Golgi -> Biodomain: Intracellular Trafficking and Organelle Dynamics, Protein Metabolism and Trafficking, Molecular Transport and Homeostasis, Neurotransmission and Synaptic Regulation, Signal Transduction
GO Term: Gobp Golgi Vesicle Fusion To Target Membrane -> Biodomain: Intracellular Trafficking and Organelle Dynamics, Protein Metabolism and Trafficking, Neurotransmission and Synaptic Regulation, Molecular Transport and Homeostasis, Signal Transduction
GO Term: Gobp Negative Regulation Of Receptor Mediated Endocytosis -> Biodomain: Neurotransmission and Synaptic Regulation, Protein Metabolism and Trafficking, Intracellular Trafficking and Organelle Dynamics, Signal Transduction, Molecular Transport and Homeostasis
GO Term: Gobp Vesicle Fusion With Golgi Apparatus -> Biodomain: Intracellular Trafficking and Organelle Dynamics, Protein Metabolism and Trafficking, Molecular Transport and Homeostasis, Signal Transduction, Neurotransmission and Synaptic Regulation
GO Term: Gobp Hematopoietic Or Lymphoid Organ Development -> Biodomain: Immune System and Inflammation, System and Developmental Process, Cell Adhesion and Interaction, Response to Stimulus, Transcription and Translation Machinery
GO Term: Gobp Otolith Development -> Biodomain: Neurodevelopment and Neuronal Differentiation, System and Developmental Process, Structural Stabilization, Cell Adhesion and Interaction, Molecular Transport and Homeostasis
Saved results to: Experiment/DeepSeek/02-FXS/04-FXS/Temp_0.0/go_biodomain_results_part_6.csv
Logged runtime to: Experiment/DeepSeek/02-FXS/04-FXS/Temp_0.0/runtime_log.csv
