Running with TEMP=0.0, sub_array_index=10
Changed working directory to: /panfs/compbio/users/xran2/wen/JX/02-AI-BioDomain/git_folder
Processing array index 10: rows 450 to 499
GO Term: Gobp Regulation Of Ire1 Mediated Unfolded Protein Response -> Biodomain: Protein Metabolism and Trafficking, Intracellular Trafficking and Organelle Dynamics, Neurotransmission and Synaptic Regulation, Response to Stimulus, Signal Transduction
GO Term: Gobp Regulation Of Autophagy Of Mitochondrion In Response To Mitochondrial Depolarization -> Biodomain: Autophagy, Mitochondrial Function and Metabolism, Response to Stimulus, Protein Metabolism and Trafficking, Intracellular Trafficking and Organelle Dynamics
GO Term: Gobp Positive Regulation Of Rna Binding -> Biodomain: RNA Metabolism, Neurotransmission and Synaptic Regulation, Protein Metabolism and Trafficking, Transcription and Translation Machinery, Signal Transduction
GO Term: Gobp Regulation Of Snrna Transcription By Rna Polymerase Ii -> Biodomain: RNA Metabolism, Transcription and Translation Machinery, Intracellular Trafficking and Organelle Dynamics, Signal Transduction, Neurodevelopment and Neuronal Differentiation
GO Term: Gobp Regulation Of Lymphoid Progenitor Cell Differentiation -> Biodomain: Immune System and Inflammation, System and Developmental Process, Cell Adhesion and Interaction, Response to Stimulus, Signal Transduction
GO Term: Gobp Positive Regulation Of Membrane Permeability -> Biodomain: Neurotransmission and Synaptic Regulation, Molecular Transport and Homeostasis, Protein Metabolism and Trafficking, Signal Transduction, Response to Stimulus
GO Term: Gobp Positive Regulation Of Chromosome Condensation -> Biodomain: Cell Cycle, Epigenetic Regulation, DNA Repair, Transcription and Translation Machinery, Signal Transduction
GO Term: Gobp Regulation Of 3 Utr Mediated Mrna Stabilization -> Biodomain: RNA Metabolism, Protein Metabolism and Trafficking, Neurotransmission and Synaptic Regulation, Neurodevelopment and Neuronal Differentiation, Transcription and Translation Machinery
GO Term: Gobp Regulation Of Response To Endoplasmic Reticulum Stress -> Biodomain: Protein Metabolism and Trafficking, Intracellular Trafficking and Organelle Dynamics, Autophagy, Molecular Transport and Homeostasis, Response to Stimulus
GO Term: Gobp Regulation Of Amyloid Fibril Formation -> Biodomain: Neurotransmission and Synaptic Regulation, Protein Metabolism and Trafficking, Response to Stimulus, Structural Stabilization, System and Developmental Process
GO Term: Gobp Intrinsic Apoptotic Signaling Pathway In Response To Hypoxia -> Biodomain: Apoptosis, Mitochondrial Function and Metabolism, Response to Stimulus, Neurotransmission and Synaptic Regulation, Signal Transduction
GO Term: Gobp Embryonic Brain Development -> Biodomain: Neurodevelopment and Neuronal Differentiation, System and Developmental Process, Neurotransmission and Synaptic Regulation, Transcription and Translation Machinery, Cell Adhesion and Interaction
GO Term: Gobp Mitochondrial Transmembrane Transport -> Biodomain: Mitochondrial Function and Metabolism, Molecular Transport and Homeostasis, Intracellular Trafficking and Organelle Dynamics, Protein Metabolism and Trafficking, Neurotransmission and Synaptic Regulation
GO Term: Gobp Protein Polyufmylation -> Biodomain: Protein Metabolism and Trafficking, Intracellular Trafficking and Organelle Dynamics, Molecular Transport and Homeostasis, RNA Metabolism, Signal Transduction
GO Term: Gobp Presynaptic Active Zone Organization -> Biodomain: Neurotransmission and Synaptic Regulation, Protein Metabolism and Trafficking, Neurodevelopment and Neuronal Differentiation, Intracellular Trafficking and Organelle Dynamics, Structural Stabilization
GO Term: Gobp Dorsal Root Ganglion Development -> Biodomain: Neurodevelopment and Neuronal Differentiation, System and Developmental Process, Neurotransmission and Synaptic Regulation, Structural Stabilization, Response to Stimulus
GO Term: Gobp Double Strand Break Repair Involved In Meiotic Recombination -> Biodomain: DNA Repair, Cell Cycle, Epigenetic Regulation, Transcription and Translation Machinery, Signal Transduction
GO Term: Gobp Regulation Of Dna Damage Checkpoint -> Biodomain: DNA Repair, Cell Cycle, Epigenetic Regulation, Signal Transduction, Neurodevelopment and Neuronal Differentiation
GO Term: Gobp Negative Regulation Of Dna Damage Checkpoint -> Biodomain: DNA Repair, Cell Cycle, Response to Stimulus, Epigenetic Regulation, Signal Transduction
GO Term: Gobp Positive Regulation Of Dna Templated Dna Replication -> Biodomain: DNA Repair, Cell Cycle, Epigenetic Regulation, Transcription and Translation Machinery, System and Developmental Process
GO Term: Gobp Regulation Of Actin Cytoskeleton Reorganization -> Biodomain: Neurotransmission and Synaptic Regulation, Neurodevelopment and Neuronal Differentiation, Cell Adhesion and Interaction, Signal Transduction, Structural Stabilization
GO Term: Gobp Positive Regulation Of Actin Cytoskeleton Reorganization -> Biodomain: Neurotransmission and Synaptic Regulation, Neurodevelopment and Neuronal Differentiation, Cell Adhesion and Interaction, Structural Stabilization, Signal Transduction
GO Term: Gobp Negative Regulation Of T Cell Migration -> Biodomain: Immune System and Inflammation, Response to Stimulus, Signal Transduction, Cell Adhesion and Interaction, System and Developmental Process
GO Term: Gobp Regulation Of Apoptotic Cell Clearance -> Biodomain: Neurodevelopment and Neuronal Differentiation, Gliogenesis and Glial Differentiation, Immune System and Inflammation, Protein Metabolism and Trafficking, Signal Transduction
GO Term: Gobp Positive Regulation Of Apoptotic Cell Clearance -> Biodomain: Neurodevelopment and Neuronal Differentiation, Immune System and Inflammation, System and Developmental Process, Response to Stimulus, Cell Adhesion and Interaction
GO Term: Gobp Regulation Of T Cell Costimulation -> Biodomain: Immune System and Inflammation, Signal Transduction, Response to Stimulus, System and Developmental Process, Transcription and Translation Machinery
GO Term: Gobp Negative Regulation Of Mirna Metabolic Process -> Biodomain: RNA Metabolism, Intracellular Trafficking and Organelle Dynamics, Signal Transduction, Protein Metabolism and Trafficking, Transcription and Translation Machinery
GO Term: Gobp Regulation Of Srebp Signaling Pathway -> Biodomain: Lipid Metabolism, Transcription and Translation Machinery, Signal Transduction, Mitochondrial Function and Metabolism, Molecular Transport and Homeostasis
GO Term: Gobp Regulation Of Early Endosome To Late Endosome Transport -> Biodomain: Intracellular Trafficking and Organelle Dynamics, Protein Metabolism and Trafficking, Neurotransmission and Synaptic Regulation, Molecular Transport and Homeostasis, Signal Transduction
GO Term: Gobp Positive Regulation Of Early Endosome To Late Endosome Transport -> Biodomain: Intracellular Trafficking and Organelle Dynamics, Protein Metabolism and Trafficking, Neurotransmission and Synaptic Regulation, Molecular Transport and Homeostasis, Signal Transduction
GO Term: Gobp Regulation Of Forebrain Neuron Differentiation -> Biodomain: Neurodevelopment and Neuronal Differentiation, Neurotransmission and Synaptic Regulation, Signal Transduction, System and Developmental Process, Cell Adhesion and Interaction
GO Term: Gobp Negative Regulation Of Atp Biosynthetic Process -> Biodomain: Neurotransmission and Synaptic Regulation, Mitochondrial Function and Metabolism, Molecular Transport and Homeostasis, Response to Stimulus, Signal Transduction
GO Term: Gobp Positive Regulation Of Cd8 Positive Alpha Beta T Cell Activation -> Biodomain: Immune System and Inflammation, Response to Stimulus, Signal Transduction, System and Developmental Process, Cell Adhesion and Interaction
GO Term: Gobp Regulation Of Dendritic Cell Differentiation -> Biodomain: Immune System and Inflammation, System and Developmental Process, Gliogenesis and Glial Differentiation, Signal Transduction, Response to Stimulus
GO Term: Gobp Positive Regulation Of Dendritic Cell Differentiation -> Biodomain: Immune System and Inflammation, System and Developmental Process, Response to Stimulus, Signal Transduction, Neurodevelopment and Neuronal Differentiation
GO Term: Gobp Regulation Of Apoptotic Signaling Pathway -> Biodomain: Apoptosis, Signal Transduction, Neurodevelopment and Neuronal Differentiation, System and Developmental Process, Response to Stimulus
GO Term: Gobp Positive Regulation Of Apoptotic Signaling Pathway -> Biodomain: Apoptosis, Neurodevelopment and Neuronal Differentiation, Signal Transduction, System and Developmental Process, Response to Stimulus
GO Term: Gobp Positive Regulation Of Intrinsic Apoptotic Signaling Pathway -> Biodomain: Apoptosis, Mitochondrial Function and Metabolism, Neurodevelopment and Neuronal Differentiation, Signal Transduction, Protein Metabolism and Trafficking
GO Term: Gobp Regulation Of Unsaturated Fatty Acid Biosynthetic Process -> Biodomain: Lipid Metabolism, Molecular Transport and Homeostasis, System and Developmental Process, Mitochondrial Function and Metabolism, Protein Metabolism and Trafficking
GO Term: Gocc Dna Replication Preinitiation Complex -> Biodomain: Cell Cycle, Transcription and Translation Machinery, Structural Stabilization, DNA Repair, Epigenetic Regulation
Saved results to: Experiment/DeepSeek/02-FXS/04-FXS/Temp_0.0/go_biodomain_results_part_10.csv
Logged runtime to: Experiment/DeepSeek/02-FXS/04-FXS/Temp_0.0/runtime_log.csv
