Running with TEMP=0.5, sub_array_index=10
Changed working directory to: /panfs/compbio/users/xran2/wen/JX/02-AI-BioDomain/git_folder
Processing array index 10: rows 450 to 499
GO Term: Gobp Regulation Of Ire1 Mediated Unfolded Protein Response -> Biodomain: Protein Metabolism and Trafficking, Response to Stimulus, Intracellular Trafficking and Organelle Dynamics, Signal Transduction, RNA Metabolism
GO Term: Gobp Regulation Of Amyloid Fibril Formation -> Biodomain: Neurotransmission and Synaptic Regulation, Protein Metabolism and Trafficking, RNA Metabolism, Molecular Transport and Homeostasis, Response to Stimulus
GO Term: Gobp Intrinsic Apoptotic Signaling Pathway In Response To Hypoxia -> Biodomain: Apoptosis, Mitochondrial Function and Metabolism, Response to Stimulus, Signal Transduction, Neurodevelopment and Neuronal Differentiation
GO Term: Gobp Embryonic Brain Development -> Biodomain: Neurodevelopment and Neuronal Differentiation, System and Developmental Process, Cell Adhesion and Interaction, Structural Stabilization, Neurotransmission and Synaptic Regulation
GO Term: Gobp Mitochondrial Transmembrane Transport -> Biodomain: Mitochondrial Function and Metabolism, Molecular Transport and Homeostasis, Intracellular Trafficking and Organelle Dynamics, Protein Metabolism and Trafficking, Response to Stimulus
GO Term: Gobp Protein Polyufmylation -> Biodomain: Protein Metabolism and Trafficking, Intracellular Trafficking and Organelle Dynamics, Neurotransmission and Synaptic Regulation, Response to Stimulus, RNA Metabolism
GO Term: Gobp Presynaptic Active Zone Organization -> Biodomain: Neurotransmission and Synaptic Regulation, Neurodevelopment and Neuronal Differentiation, Structural Stabilization, Protein Metabolism and Trafficking, Intracellular Trafficking and Organelle Dynamics
GO Term: Gobp Dorsal Root Ganglion Development -> Biodomain: Neurodevelopment and Neuronal Differentiation, System and Developmental Process, Structural Stabilization, Cell Adhesion and Interaction, Neurotransmission and Synaptic Regulation
GO Term: Gobp Double Strand Break Repair Involved In Meiotic Recombination -> Biodomain: DNA Repair, Epigenetic Regulation, Transcription and Translation Machinery, System and Developmental Process, Cell Cycle
GO Term: Gobp Regulation Of Dna Damage Checkpoint -> Biodomain: DNA Repair, Cell Cycle, Epigenetic Regulation, Signal Transduction, Response to Stimulus
GO Term: Gobp Negative Regulation Of Dna Damage Checkpoint -> Biodomain: DNA Repair, Cell Cycle, Signal Transduction, Epigenetic Regulation, Response to Stimulus
GO Term: Gobp Positive Regulation Of Dna Templated Dna Replication -> Biodomain: DNA Repair, Cell Cycle, Transcription and Translation Machinery, Epigenetic Regulation, System and Developmental Process
GO Term: Gobp Regulation Of Actin Cytoskeleton Reorganization -> Biodomain: Neurotransmission and Synaptic Regulation, Structural Stabilization, Neurodevelopment and Neuronal Differentiation, Signal Transduction, Cell Adhesion and Interaction
GO Term: Gobp Positive Regulation Of Actin Cytoskeleton Reorganization -> Biodomain: Neurotransmission and Synaptic Regulation, Neurodevelopment and Neuronal Differentiation, Cell Adhesion and Interaction, Structural Stabilization, Signal Transduction
GO Term: Gobp Negative Regulation Of T Cell Migration -> Biodomain: Immune System and Inflammation, Response to Stimulus, Cell Adhesion and Interaction, Signal Transduction, System and Developmental Process
GO Term: Gobp Regulation Of Apoptotic Cell Clearance -> Biodomain: Apoptosis, Immune System and Inflammation, Neurotransmission and Synaptic Regulation, Neurodevelopment and Neuronal Differentiation, Response to Stimulus
GO Term: Gobp Positive Regulation Of Apoptotic Cell Clearance -> Biodomain: Apoptosis, Immune System and Inflammation, Response to Stimulus, System and Developmental Process, Neurodevelopment and Neuronal Differentiation
GO Term: Gobp Regulation Of T Cell Costimulation -> Biodomain: Immune System and Inflammation, Response to Stimulus, Signal Transduction, System and Developmental Process, Cell Adhesion and Interaction
GO Term: Gobp Negative Regulation Of Mirna Metabolic Process -> Biodomain: RNA Metabolism, Transcription and Translation Machinery, Neurotransmission and Synaptic Regulation, Protein Metabolism and Trafficking, Epigenetic Regulation
GO Term: Gobp Regulation Of Srebp Signaling Pathway -> Biodomain: Lipid Metabolism, Signal Transduction, Protein Metabolism and Trafficking, Transcription and Translation Machinery, Molecular Transport and Homeostasis
GO Term: Gobp Regulation Of Early Endosome To Late Endosome Transport -> Biodomain: Intracellular Trafficking and Organelle Dynamics, Protein Metabolism and Trafficking, Neurotransmission and Synaptic Regulation, Molecular Transport and Homeostasis, Signal Transduction
GO Term: Gobp Positive Regulation Of Early Endosome To Late Endosome Transport -> Biodomain: Intracellular Trafficking and Organelle Dynamics, Protein Metabolism and Trafficking, Neurotransmission and Synaptic Regulation, Molecular Transport and Homeostasis, Signal Transduction
GO Term: Gobp Regulation Of Forebrain Neuron Differentiation -> Biodomain: Neurodevelopment and Neuronal Differentiation, Neurotransmission and Synaptic Regulation, System and Developmental Process, Signal Transduction, Transcription and Translation Machinery
GO Term: Gobp Negative Regulation Of Atp Biosynthetic Process -> Biodomain: Mitochondrial Function and Metabolism, Neurotransmission and Synaptic Regulation, Signal Transduction, RNA Metabolism, Protein Metabolism and Trafficking
GO Term: Gobp Positive Regulation Of Cd8 Positive Alpha Beta T Cell Activation -> Biodomain: Immune System and Inflammation, Signal Transduction, Cell Adhesion and Interaction, Response to Stimulus, System and Developmental Process
GO Term: Gobp Regulation Of Dendritic Cell Differentiation -> Biodomain: Immune System and Inflammation, System and Developmental Process, Response to Stimulus, Cell Adhesion and Interaction, Signal Transduction
GO Term: Gobp Positive Regulation Of Dendritic Cell Differentiation -> Biodomain: Immune System and Inflammation, System and Developmental Process, Signal Transduction, Cell Adhesion and Interaction, Response to Stimulus
GO Term: Gobp Regulation Of Apoptotic Signaling Pathway -> Biodomain: Apoptosis, Signal Transduction, Neurodevelopment and Neuronal Differentiation, RNA Metabolism, System and Developmental Process
GO Term: Gobp Positive Regulation Of Apoptotic Signaling Pathway -> Biodomain: Apoptosis, Neurotransmission and Synaptic Regulation, Neurodevelopment and Neuronal Differentiation, Signal Transduction, System and Developmental Process
GO Term: Gobp Positive Regulation Of Intrinsic Apoptotic Signaling Pathway -> Biodomain: Apoptosis, Mitochondrial Function and Metabolism, Neurodevelopment and Neuronal Differentiation, Signal Transduction, Response to Stimulus
GO Term: Gobp Regulation Of Unsaturated Fatty Acid Biosynthetic Process -> Biodomain: Lipid Metabolism, Neurotransmission and Synaptic Regulation, Protein Metabolism and Trafficking, Molecular Transport and Homeostasis, Signal Transduction
GO Term: Gocc Dna Replication Preinitiation Complex -> Biodomain: DNA Repair, Transcription and Translation Machinery, Cell Cycle, Epigenetic Regulation, Molecular Transport and Homeostasis
Saved results to: Experiment/DeepSeek/02-FXS/04-FXS/Temp_0.5/go_biodomain_results_part_10.csv
Logged runtime to: Experiment/DeepSeek/02-FXS/04-FXS/Temp_0.5/runtime_log.csv
