Running with TEMP=0.0, sub_array_index=7
Changed working directory to: /panfs/compbio/users/xran2/wen/JX/02-AI-BioDomain/git_folder
Processing array index 7: rows 300 to 349
GO Term: Gobp Forebrain Morphogenesis -> Biodomain: Neurodevelopment and Neuronal Differentiation, System and Developmental Process, Structural Stabilization, Cell Adhesion and Interaction, Transcription and Translation Machinery
GO Term: Gobp Chaperone Mediated Protein Complex Assembly -> Biodomain: Protein Metabolism and Trafficking, Intracellular Trafficking and Organelle Dynamics, Neurotransmission and Synaptic Regulation, Structural Stabilization, Molecular Transport and Homeostasis
GO Term: Gobp Nk T Cell Activation -> Biodomain: Immune System and Inflammation, Response to Stimulus, Signal Transduction, Cell Adhesion and Interaction, System and Developmental Process
GO Term: Gobp Protein Insertion Into Membrane -> Biodomain: Neurotransmission and Synaptic Regulation, Protein Metabolism and Trafficking, Intracellular Trafficking and Organelle Dynamics, Molecular Transport and Homeostasis, Signal Transduction
GO Term: Gobp Kinetochore Assembly -> Biodomain: Cell Cycle, Structural Stabilization, System and Developmental Process, DNA Repair, Transcription and Translation Machinery
GO Term: Gobp Regulation Of Neurotrophin Trk Receptor Signaling Pathway -> Biodomain: Neurotransmission and Synaptic Regulation, Neurodevelopment and Neuronal Differentiation, Signal Transduction, System and Developmental Process, Response to Stimulus
GO Term: Gobp Regulation Of Cytosolic Calcium Ion Concentration -> Biodomain: Neurotransmission and Synaptic Regulation, Signal Transduction, Molecular Transport and Homeostasis, System and Developmental Process, Intracellular Trafficking and Organelle Dynamics
GO Term: Gobp Positive Regulation Of Mitochondrial Calcium Ion Concentration -> Biodomain: Mitochondrial Function and Metabolism, Neurotransmission and Synaptic Regulation, Molecular Transport and Homeostasis, Signal Transduction, Response to Stimulus
GO Term: Gobp Positive Regulation Of Histone H3 K9 Methylation -> Biodomain: Epigenetic Regulation, Transcription and Translation Machinery, RNA Metabolism, Signal Transduction, Neurodevelopment and Neuronal Differentiation
GO Term: Gobp Proteolysis Involved In Protein Catabolic Process -> Biodomain: Protein Metabolism and Trafficking, Neurotransmission and Synaptic Regulation, Intracellular Trafficking and Organelle Dynamics, Molecular Transport and Homeostasis, Response to Stimulus
GO Term: Gobp Norepinephrine Uptake -> Biodomain: Neurotransmission and Synaptic Regulation, Molecular Transport and Homeostasis, Response to Stimulus, System and Developmental Process, Cell Adhesion and Interaction
GO Term: Gobp Protein Delipidation -> Biodomain: Protein Metabolism and Trafficking, Lipid Metabolism, Intracellular Trafficking and Organelle Dynamics, Molecular Transport and Homeostasis, Signal Transduction
GO Term: Gobp Response To Misfolded Protein -> Biodomain: Protein Metabolism and Trafficking, Autophagy, Intracellular Trafficking and Organelle Dynamics, Molecular Transport and Homeostasis, Response to Stimulus
GO Term: Gobp Catecholamine Uptake Involved In Synaptic Transmission -> Biodomain: Neurotransmission and Synaptic Regulation, Molecular Transport and Homeostasis, System and Developmental Process, Response to Stimulus, Intracellular Trafficking and Organelle Dynamics
GO Term: Gobp Glutamate Reuptake -> Biodomain: Neurotransmission and Synaptic Regulation, Molecular Transport and Homeostasis, Gliogenesis and Glial Differentiation, Neurodevelopment and Neuronal Differentiation, Protein Metabolism and Trafficking
GO Term: Gobp Positive Regulation Of Chromosome Segregation -> Biodomain: Cell Cycle, System and Developmental Process, Intracellular Trafficking and Organelle Dynamics, Molecular Transport and Homeostasis, Epigenetic Regulation
GO Term: Gobp Asymmetric Neuroblast Division -> Biodomain: Neurodevelopment and Neuronal Differentiation, System and Developmental Process, Cell Adhesion and Interaction, Structural Stabilization, Signal Transduction
GO Term: Gobp Sodium Ion Homeostasis -> Biodomain: Neurotransmission and Synaptic Regulation, Molecular Transport and Homeostasis, System and Developmental Process, Response to Stimulus, Signal Transduction
GO Term: Gobp Bergmann Glial Cell Differentiation -> Biodomain: Neurodevelopment and Neuronal Differentiation, Gliogenesis and Glial Differentiation, System and Developmental Process, Structural Stabilization, Neurotransmission and Synaptic Regulation
GO Term: Gobp Regulation Of Glial Cell Proliferation -> Biodomain: Gliogenesis and Glial Differentiation, Neurodevelopment and Neuronal Differentiation, System and Developmental Process, Cell Cycle, Signal Transduction
GO Term: Gobp Regulation Of Respiratory Burst -> Biodomain: Immune System and Inflammation, Signal Transduction, Response to Stimulus, Molecular Transport and Homeostasis, System and Developmental Process
GO Term: Gobp Cardiac Epithelial To Mesenchymal Transition -> Biodomain: Neurodevelopment and Neuronal Differentiation, System and Developmental Process, Cell Adhesion and Interaction, Structural Stabilization, Response to Stimulus
GO Term: Gobp Positive Regulation Of Cardiac Muscle Contraction -> Biodomain: Signal Transduction, Molecular Transport and Homeostasis, Response to Stimulus, System and Developmental Process, Structural Stabilization
GO Term: Gobp Regulation Of Chromosome Condensation -> Biodomain: Cell Cycle, Signal Transduction, Neurodevelopment and Neuronal Differentiation, Epigenetic Regulation, Apoptosis
GO Term: Gobp Placenta Blood Vessel Development -> Biodomain: System and Developmental Process, Structural Stabilization, Cell Adhesion and Interaction, Neurodevelopment and Neuronal Differentiation, Response to Stimulus
GO Term: Gobp Labyrinthine Layer Blood Vessel Development -> Biodomain: Neurodevelopment and Neuronal Differentiation, System and Developmental Process, Response to Stimulus, Cell Adhesion and Interaction, Structural Stabilization
GO Term: Gobp Blood Vessel Endothelial Cell Differentiation -> Biodomain: Neurodevelopment and Neuronal Differentiation, System and Developmental Process, Cell Adhesion and Interaction, Signal Transduction, Structural Stabilization
GO Term: Gobp Arterial Endothelial Cell Differentiation -> Biodomain: Neurodevelopment and Neuronal Differentiation, System and Developmental Process, Signal Transduction, Cell Adhesion and Interaction, Structural Stabilization
GO Term: Gobp Establishment Of Blood Brain Barrier -> Biodomain: Neurodevelopment and Neuronal Differentiation, Cell Adhesion and Interaction, Structural Stabilization, Molecular Transport and Homeostasis, System and Developmental Process
GO Term: Gobp Chaperone Mediated Protein Folding -> Biodomain: Protein Metabolism and Trafficking, Intracellular Trafficking and Organelle Dynamics, Neurotransmission and Synaptic Regulation, Structural Stabilization, Molecular Transport and Homeostasis
GO Term: Gobp Regulation Of Proteasomal Protein Catabolic Process -> Biodomain: Protein Metabolism and Trafficking, Intracellular Trafficking and Organelle Dynamics, Neurotransmission and Synaptic Regulation, Molecular Transport and Homeostasis, Response to Stimulus
GO Term: Gobp Notch Signaling Involved In Heart Development -> Biodomain: Signal Transduction, System and Developmental Process, Neurodevelopment and Neuronal Differentiation, Transcription and Translation Machinery, Structural Stabilization
GO Term: Gobp Chaperone Mediated Autophagy -> Biodomain: Autophagy, Protein Metabolism and Trafficking, Neurotransmission and Synaptic Regulation, Intracellular Trafficking and Organelle Dynamics, Response to Stimulus
GO Term: Gobp Selective Autophagy -> Biodomain: Autophagy, Neurotransmission and Synaptic Regulation, Protein Metabolism and Trafficking, Intracellular Trafficking and Organelle Dynamics, Neurodevelopment and Neuronal Differentiation
GO Term: Gobp Process Utilizing Autophagic Mechanism -> Biodomain: Autophagy, Protein Metabolism and Trafficking, Intracellular Trafficking and Organelle Dynamics, Response to Stimulus, Molecular Transport and Homeostasis
GO Term: Gobp Meiosis I Cell Cycle Process -> Biodomain: Neurodevelopment and Neuronal Differentiation, Cell Cycle, System and Developmental Process, Transcription and Translation Machinery, RNA Metabolism
GO Term: Gobp Intracellular Protein Transmembrane Transport -> Biodomain: Protein Metabolism and Trafficking, Intracellular Trafficking and Organelle Dynamics, Molecular Transport and Homeostasis, Neurotransmission and Synaptic Regulation, Signal Transduction
GO Term: Gobp Chromosome Organization Involved In Meiotic Cell Cycle -> Biodomain: Cell Cycle, System and Developmental Process, DNA Repair, Epigenetic Regulation, Transcription and Translation Machinery
GO Term: Gobp Regulation Of Stress Activated Protein Kinase Signaling Cascade -> Biodomain: Signal Transduction, Response to Stimulus, Neurotransmission and Synaptic Regulation, Cell Adhesion and Interaction, System and Developmental Process
Saved results to: EExperiment/DeepSeek/02-FXS/04-FXS/Unknown_Temp_0.0/go_biodomain_results_part_7.csv
Logged runtime to: EExperiment/DeepSeek/02-FXS/04-FXS/Unknown_Temp_0.0/runtime_log.csv
