Running with TEMP=0.0, sub_array_index=9
Changed working directory to: /panfs/compbio/users/xran2/wen/JX/02-AI-BioDomain/git_folder
Processing array index 9: rows 400 to 449
GO Term: Gobp Negative Regulation Of Transcription From Rna Polymerase Ii Promoter In Response To Stress -> Biodomain: Transcription and Translation Machinery, Response to Stimulus, Signal Transduction, Epigenetic Regulation, Neurotransmission and Synaptic Regulation
GO Term: Gobp Negative Regulation Of Proteasomal Protein Catabolic Process -> Biodomain: Protein Metabolism and Trafficking, Neurotransmission and Synaptic Regulation, Molecular Transport and Homeostasis, Response to Stimulus, System and Developmental Process
GO Term: Gobp Positive Regulation Of Proteasomal Protein Catabolic Process -> Biodomain: Protein Metabolism and Trafficking, Intracellular Trafficking and Organelle Dynamics, Molecular Transport and Homeostasis, Neurotransmission and Synaptic Regulation, Response to Stimulus
GO Term: Gobp Regulation Of Cell Cycle Checkpoint -> Biodomain: Cell Cycle, Neurodevelopment and Neuronal Differentiation, System and Developmental Process, Signal Transduction, Transcription and Translation Machinery
GO Term: Gobp Negative Regulation Of Cell Cycle Checkpoint -> Biodomain: Cell Cycle, Neurodevelopment and Neuronal Differentiation, System and Developmental Process, DNA Repair, Signal Transduction
GO Term: Gobp Regulation Of Oxidative Stress Induced Intrinsic Apoptotic Signaling Pathway -> Biodomain: Apoptosis, Mitochondrial Function and Metabolism, Response to Stimulus, Neurodevelopment and Neuronal Differentiation, Signal Transduction
GO Term: Gobp Regulation Of Endoplasmic Reticulum Stress Induced Intrinsic Apoptotic Signaling Pathway -> Biodomain: Apoptosis, Neurotransmission and Synaptic Regulation, Protein Metabolism and Trafficking, Intracellular Trafficking and Organelle Dynamics, Response to Stimulus
GO Term: Gobp Negative Regulation Of Endoplasmic Reticulum Stress Induced Intrinsic Apoptotic Signaling Pathway -> Biodomain: Apoptosis, Intracellular Trafficking and Organelle Dynamics, Signal Transduction, Protein Metabolism and Trafficking, Response to Stimulus
GO Term: Gobp Positive Regulation Of Intrinsic Apoptotic Signaling Pathway By P53 Class Mediator -> Biodomain: Apoptosis, Signal Transduction, Mitochondrial Function and Metabolism, Cell Cycle, Response to Stimulus
GO Term: Gobp Cell Cycle Dna Replication Initiation -> Biodomain: Cell Cycle, System and Developmental Process, DNA Repair, Neurodevelopment and Neuronal Differentiation, Transcription and Translation Machinery
GO Term: Gobp Regulation Of Mrna Binding -> Biodomain: RNA Metabolism, Protein Metabolism and Trafficking, Neurotransmission and Synaptic Regulation, Transcription and Translation Machinery, Intracellular Trafficking and Organelle Dynamics
GO Term: Gobp Regulation Of Protein Autoubiquitination -> Biodomain: Protein Metabolism and Trafficking, Ubiquitin-Proteasome System, Neurotransmission and Synaptic Regulation, Signal Transduction, Epigenetic Regulation
GO Term: Gobp Negative Regulation Of Intracellular Signal Transduction -> Biodomain: Signal Transduction, Neurotransmission and Synaptic Regulation, Protein Metabolism and Trafficking, Molecular Transport and Homeostasis, Intracellular Trafficking and Organelle Dynamics
GO Term: Gobp Negative Regulation Of Cellular Response To Vascular Endothelial Growth Factor Stimulus -> Biodomain: Neurodevelopment and Neuronal Differentiation, Signal Transduction, Neurotransmission and Synaptic Regulation, Response to Stimulus, System and Developmental Process
GO Term: Gobp Mitochondrial Outer Membrane Permeabilization Involved In Programmed Cell Death -> Biodomain: Apoptosis, Mitochondrial Function and Metabolism, Neurodevelopment and Neuronal Differentiation, System and Developmental Process, Molecular Transport and Homeostasis
GO Term: Gobp Regulation Of Cell Cycle G2 M Phase Transition -> Biodomain: Cell Cycle, System and Developmental Process, Neurodevelopment and Neuronal Differentiation, Signal Transduction, Transcription and Translation Machinery
GO Term: Gobp Regulation Of Mitochondrial Electron Transport Nadh To Ubiquinone -> Biodomain: Mitochondrial Function and Metabolism, Signal Transduction, Molecular Transport and Homeostasis, Neurotransmission and Synaptic Regulation, System and Developmental Process
GO Term: Gobp Mitotic Dna Replication -> Biodomain: Cell Cycle, DNA Repair, Transcription and Translation Machinery, System and Developmental Process, Neurodevelopment and Neuronal Differentiation
GO Term: Gobp Positive Regulation Of Protein Deubiquitination -> Biodomain: Protein Metabolism and Trafficking, Neurotransmission and Synaptic Regulation, Intracellular Trafficking and Organelle Dynamics, Signal Transduction, Epigenetic Regulation
GO Term: Gobp Regulation Of Proteolysis Involved In Protein Catabolic Process -> Biodomain: Protein Metabolism and Trafficking, Neurotransmission and Synaptic Regulation, Intracellular Trafficking and Organelle Dynamics, Molecular Transport and Homeostasis, Response to Stimulus
GO Term: Gobp Negative Regulation Of Proteolysis Involved In Protein Catabolic Process -> Biodomain: Protein Metabolism and Trafficking, Autophagy, Intracellular Trafficking and Organelle Dynamics, Molecular Transport and Homeostasis, Response to Stimulus
GO Term: Gobp Positive Regulation Of Proteolysis Involved In Protein Catabolic Process -> Biodomain: Protein Metabolism and Trafficking, Autophagy, Neurotransmission and Synaptic Regulation, Intracellular Trafficking and Organelle Dynamics, Response to Stimulus
GO Term: Gobp Positive Regulation Of Er Associated Ubiquitin Dependent Protein Catabolic Process -> Biodomain: Protein Metabolism and Trafficking, Intracellular Trafficking and Organelle Dynamics, Molecular Transport and Homeostasis, Response to Stimulus, Signal Transduction
GO Term: Gobp Protein Localization To Condensed Chromosome -> Biodomain: Cell Cycle, Protein Metabolism and Trafficking, Epigenetic Regulation, DNA Repair, Structural Stabilization
GO Term: Gobp Regulation Of Trail Activated Apoptotic Signaling Pathway -> Biodomain: Apoptosis, Signal Transduction, Neurodevelopment and Neuronal Differentiation, System and Developmental Process, Immune System and Inflammation
GO Term: Gobp Liposaccharide Metabolic Process -> Biodomain: Lipid Metabolism, Molecular Transport and Homeostasis, System and Developmental Process, Response to Stimulus, Intracellular Trafficking and Organelle Dynamics
GO Term: Gobp Endoplasmic Reticulum To Cytosol Transport -> Biodomain: Protein Metabolism and Trafficking, Intracellular Trafficking and Organelle Dynamics, Molecular Transport and Homeostasis, Neurotransmission and Synaptic Regulation, Signal Transduction
GO Term: Gobp Negative Regulation Of Response To Endoplasmic Reticulum Stress -> Biodomain: Protein Metabolism and Trafficking, Intracellular Trafficking and Organelle Dynamics, Neurotransmission and Synaptic Regulation, Molecular Transport and Homeostasis, Response to Stimulus
GO Term: Gobp Negative Regulation Of P38Mapk Cascade -> Biodomain: Neurotransmission and Synaptic Regulation, Signal Transduction, Response to Stimulus, System and Developmental Process, Epigenetic Regulation
GO Term: Gobp Regulation Of Amino Acid Transmembrane Transport -> Biodomain: Molecular Transport and Homeostasis, Neurotransmission and Synaptic Regulation, Protein Metabolism and Trafficking, Signal Transduction, Response to Stimulus
Saved results to: EExperiment/DeepSeek/02-FXS/04-FXS/Unknown_Temp_0.0/go_biodomain_results_part_9.csv
Logged runtime to: EExperiment/DeepSeek/02-FXS/04-FXS/Unknown_Temp_0.0/runtime_log.csv
