Running with TEMP=0.9, sub_array_index=6
Changed working directory to: /panfs/compbio/users/xran2/wen/JX/02-AI-BioDomain/git_folder
Processing array index 6: rows 250 to 299
GO Term: Gobp Protein Transmembrane Import Into Intracellular Organelle -> Biodomain: Intracellular Trafficking and Organelle Dynamics, Protein Metabolism and Trafficking, Molecular Transport and Homeostasis, Neurotransmission and Synaptic Regulation, RNA Metabolism
GO Term: Gobp Mhc Class I Biosynthetic Process -> Biodomain: Immune System and Inflammation, Neurodevelopment and Neuronal Differentiation, Signal Transduction, Response to Stimulus, Transcription and Translation Machinery
GO Term: Gobp Positive Regulation Of Mhc Class I Biosynthetic Process -> Biodomain: Immune System and Inflammation, Protein Metabolism and Trafficking, Signal Transduction, Molecular Transport and Homeostasis, Response to Stimulus
GO Term: Gobp Regulation Of Gamma Delta T Cell Differentiation -> Biodomain: Immune System and Inflammation, Response to Stimulus, System and Developmental Process, Cell Adhesion and Interaction, Signal Transduction
GO Term: Gobp Regulation Of Megakaryocyte Differentiation -> Biodomain: System and Developmental Process, Cell Adhesion and Interaction, Transcription and Translation Machinery, Epigenetic Regulation, Signal Transduction
GO Term: Gobp Positive Regulation Of Megakaryocyte Differentiation -> Biodomain: System and Developmental Process, Transcription and Translation Machinery, Signal Transduction, Cell Adhesion and Interaction, Structural Stabilization
GO Term: Gobp Respiratory Burst -> Biodomain: Immune System and Inflammation, Mitochondrial Function and Metabolism, Response to Stimulus, Signal Transduction, System and Developmental Process
GO Term: Gobp Positive Regulation Of Protein Catabolic Process -> Biodomain: Protein Metabolism and Trafficking, Neurotransmission and Synaptic Regulation, Intracellular Trafficking and Organelle Dynamics, Signal Transduction, Molecular Transport and Homeostasis
GO Term: Gobp Negative Regulation Of Innate Immune Response -> Biodomain: Immune System and Inflammation, Response to Stimulus, Signal Transduction, Epigenetic Regulation, Neurodevelopment and Neuronal Differentiation
GO Term: Gobp Negative Regulation Of Meiotic Nuclear Division -> Biodomain: Cell Cycle, Transcription and Translation Machinery, Epigenetic Regulation, RNA Metabolism, System and Developmental Process
GO Term: Gobp Negative Regulation Of Growth -> Biodomain: Neurodevelopment and Neuronal Differentiation, Neurotransmission and Synaptic Regulation, System and Developmental Process, Response to Stimulus, Signal Transduction
GO Term: Gobp Positive Regulation Of Natural Killer Cell Mediated Cytotoxicity -> Biodomain: Immune System and Inflammation, Response to Stimulus, Cell Adhesion and Interaction, Signal Transduction, System and Developmental Process
GO Term: Gobp Positive Regulation Of Striated Muscle Contraction -> Biodomain: Neurotransmission and Synaptic Regulation, Structural Stabilization, System and Developmental Process, Response to Stimulus, Signal Transduction
GO Term: Gobp Regulation Of Glucose Import -> Biodomain: Molecular Transport and Homeostasis, Mitochondrial Function and Metabolism, Neurotransmission and Synaptic Regulation, System and Developmental Process, Signal Transduction
GO Term: Gobp Regulation Of Jnk Cascade -> Biodomain: Signal Transduction, Response to Stimulus, Neurotransmission and Synaptic Regulation, Epigenetic Regulation, System and Developmental Process
GO Term: Gobp Positive Regulation Of Jnk Cascade -> Biodomain: Signal Transduction, Neurotransmission and Synaptic Regulation, Response to Stimulus, Apoptosis, Immune System and Inflammation
GO Term: Gobp Negative Regulation Of Receptor Signaling Pathway Via Jak Stat -> Biodomain: Signal Transduction, Neurotransmission and Synaptic Regulation, Immune System and Inflammation, Transcription and Translation Machinery, Response to Stimulus
GO Term: Gobp Icosanoid Biosynthetic Process -> Biodomain: Lipid Metabolism, Signal Transduction, Immune System and Inflammation, Response to Stimulus, Molecular Transport and Homeostasis
GO Term: Gobp Prostanoid Biosynthetic Process -> Biodomain: Lipid Metabolism, Immune System and Inflammation, Neurotransmission and Synaptic Regulation, Signal Transduction, Response to Stimulus
GO Term: Gobp Phosphatidylcholine Metabolic Process -> Biodomain: Lipid Metabolism, Neurotransmission and Synaptic Regulation, Molecular Transport and Homeostasis, Mitochondrial Function and Metabolism, Structural Stabilization
GO Term: Gobp Glycerophospholipid Biosynthetic Process -> Biodomain: Lipid Metabolism, Neurotransmission and Synaptic Regulation, Intracellular Trafficking and Organelle Dynamics, Molecular Transport and Homeostasis, Structural Stabilization
GO Term: Gobp Phosphatidylinositol Metabolic Process -> Biodomain: Signal Transduction, Neurotransmission and Synaptic Regulation, Intracellular Trafficking and Organelle Dynamics, Protein Metabolism and Trafficking, Lipid Metabolism
GO Term: Gobp Regulation Of Protein Export From Nucleus -> Biodomain: Protein Metabolism and Trafficking, Intracellular Trafficking and Organelle Dynamics, Transcription and Translation Machinery, Signal Transduction, Molecular Transport and Homeostasis
GO Term: Gobp Regulation Of Mitochondrial Membrane Permeability -> Biodomain: Mitochondrial Function and Metabolism, Molecular Transport and Homeostasis, Apoptosis, Intracellular Trafficking and Organelle Dynamics, Response to Stimulus
GO Term: Gobp Golgi Vesicle Transport -> Biodomain: Intracellular Trafficking and Organelle Dynamics, Protein Metabolism and Trafficking, Neurotransmission and Synaptic Regulation, Molecular Transport and Homeostasis, Signal Transduction
GO Term: Gobp Golgi Vesicle Budding -> Biodomain: Intracellular Trafficking and Organelle Dynamics, Protein Metabolism and Trafficking, Neurotransmission and Synaptic Regulation, Molecular Transport and Homeostasis, Signal Transduction
GO Term: Gobp Vesicle Targeting To From Or Within Golgi -> Biodomain: Intracellular Trafficking and Organelle Dynamics, Protein Metabolism and Trafficking, Molecular Transport and Homeostasis, Neurotransmission and Synaptic Regulation, Signal Transduction
GO Term: Gobp Vesicle Targeting Rough Er To Cis Golgi -> Biodomain: Intracellular Trafficking and Organelle Dynamics, Protein Metabolism and Trafficking, Molecular Transport and Homeostasis, Neurotransmission and Synaptic Regulation, Signal Transduction
GO Term: Gobp Golgi Vesicle Fusion To Target Membrane -> Biodomain: Intracellular Trafficking and Organelle Dynamics, Protein Metabolism and Trafficking, Molecular Transport and Homeostasis, Neurotransmission and Synaptic Regulation, Structural Stabilization
GO Term: Gobp Negative Regulation Of Receptor Mediated Endocytosis -> Biodomain: Neurotransmission and Synaptic Regulation, Intracellular Trafficking and Organelle Dynamics, Protein Metabolism and Trafficking, Signal Transduction, Molecular Transport and Homeostasis
GO Term: Gobp Vesicle Fusion With Golgi Apparatus -> Biodomain: Intracellular Trafficking and Organelle Dynamics, Protein Metabolism and Trafficking, Neurotransmission and Synaptic Regulation, Molecular Transport and Homeostasis, Structural Stabilization
GO Term: Gobp Hematopoietic Or Lymphoid Organ Development -> Biodomain: Immune System and Inflammation, System and Developmental Process, Cell Adhesion and Interaction, Signal Transduction, Transcription and Translation Machinery
GO Term: Gobp Otolith Development -> Biodomain: Neurodevelopment and Neuronal Differentiation, System and Developmental Process, Structural Stabilization, Signal Transduction, Response to Stimulus
Saved results to: Experiment/DeepSeek/02-FXS/04-FXS/Temp_0.9/go_biodomain_results_part_6.csv
Logged runtime to: Experiment/DeepSeek/02-FXS/04-FXS/Temp_0.9/runtime_log.csv
