Running with TEMP=0.0, sub_array_index=2
Changed working directory to: /panfs/compbio/users/xran2/wen/JX/02-AI-BioDomain/git_folder
Processing array index 2: rows 50 to 99
GO Term: Gobp Srp Dependent Cotranslational Protein Targeting To Membrane Translocation -> Biodomain: Protein Metabolism and Trafficking, Intracellular Trafficking and Organelle Dynamics, Transcription and Translation Machinery, Neurotransmission and Synaptic Regulation, Molecular Transport and Homeostasis
GO Term: Gobp Mitochondrial Transport -> Biodomain: Mitochondrial Function and Metabolism, Intracellular Trafficking and Organelle Dynamics, Neurotransmission and Synaptic Regulation, Molecular Transport and Homeostasis, System and Developmental Process
GO Term: Gobp Intracellular Iron Ion Homeostasis -> Biodomain: Molecular Transport and Homeostasis, Neurotransmission and Synaptic Regulation, Mitochondrial Function and Metabolism, System and Developmental Process, Response to Stimulus
GO Term: Gobp Intracellular Sodium Ion Homeostasis -> Biodomain: Neurotransmission and Synaptic Regulation, Molecular Transport and Homeostasis, Signal Transduction, Response to Stimulus, System and Developmental Process
GO Term: Gobp Endoplasmic Reticulum To Golgi Vesicle Mediated Transport -> Biodomain: Protein Metabolism and Trafficking, Intracellular Trafficking and Organelle Dynamics, Neurotransmission and Synaptic Regulation, Molecular Transport and Homeostasis, Signal Transduction
GO Term: Gobp Retrograde Vesicle Mediated Transport Golgi To Endoplasmic Reticulum -> Biodomain: Intracellular Trafficking and Organelle Dynamics, Protein Metabolism and Trafficking, Molecular Transport and Homeostasis, Neurotransmission and Synaptic Regulation, Structural Stabilization
GO Term: Gobp Intra Golgi Vesicle Mediated Transport -> Biodomain: Intracellular Trafficking and Organelle Dynamics, Protein Metabolism and Trafficking, Molecular Transport and Homeostasis, Neurotransmission and Synaptic Regulation, Signal Transduction
GO Term: Gobp Vesicle Budding From Membrane -> Biodomain: Intracellular Trafficking and Organelle Dynamics, Neurotransmission and Synaptic Regulation, Protein Metabolism and Trafficking, Molecular Transport and Homeostasis, Signal Transduction
GO Term: Gobp Vesicle Coating -> Biodomain: Neurotransmission and Synaptic Regulation, Intracellular Trafficking and Organelle Dynamics, Protein Metabolism and Trafficking, Molecular Transport and Homeostasis, System and Developmental Process
GO Term: Gobp Phagocytosis Recognition -> Biodomain: Neurotransmission and Synaptic Regulation, Gliogenesis and Glial Differentiation, Immune System and Inflammation, Signal Transduction, Cell Adhesion and Interaction
GO Term: Gobp Response To Osmotic Stress -> Biodomain: Neurotransmission and Synaptic Regulation, RNA Metabolism, Signal Transduction, Molecular Transport and Homeostasis, Response to Stimulus
GO Term: Gobp Er Nucleus Signaling Pathway -> Biodomain: Signal Transduction, Transcription and Translation Machinery, Intracellular Trafficking and Organelle Dynamics, Neurotransmission and Synaptic Regulation, Protein Metabolism and Trafficking
GO Term: Gobp Response To Sterol Depletion -> Biodomain: Neurotransmission and Synaptic Regulation, Lipid Metabolism, Molecular Transport and Homeostasis, Signal Transduction, Response to Stimulus
GO Term: Gobp Cellular Response To Nitrogen Starvation -> Biodomain: Neurotransmission and Synaptic Regulation, Autophagy, Signal Transduction, RNA Metabolism, Protein Metabolism and Trafficking
GO Term: Gobp Nucleolus Organization -> Biodomain: Protein Metabolism and Trafficking, RNA Metabolism, Transcription and Translation Machinery, Epigenetic Regulation, Intracellular Trafficking and Organelle Dynamics
GO Term: Gobp Microtubule Depolymerization -> Biodomain: Neurodevelopment and Neuronal Differentiation, Structural Stabilization, Neurotransmission and Synaptic Regulation, Intracellular Trafficking and Organelle Dynamics, Cell Adhesion and Interaction
GO Term: Gobp Endoplasmic Reticulum Organization -> Biodomain: Protein Metabolism and Trafficking, Intracellular Trafficking and Organelle Dynamics, Neurotransmission and Synaptic Regulation, Structural Stabilization, Molecular Transport and Homeostasis
GO Term: Gobp Endosome Organization -> Biodomain: Intracellular Trafficking and Organelle Dynamics, Protein Metabolism and Trafficking, Neurotransmission and Synaptic Regulation, Molecular Transport and Homeostasis, System and Developmental Process
GO Term: Gobp Mitotic Sister Chromatid Cohesion -> Biodomain: Cell Cycle, System and Developmental Process, Structural Stabilization, Transcription and Translation Machinery, Neurodevelopment and Neuronal Differentiation
GO Term: Gobp Female Meiotic Nuclear Division -> Biodomain: Cell Cycle, System and Developmental Process, Structural Stabilization, DNA Repair, Epigenetic Regulation
GO Term: Gobp Female Meiosis I -> Biodomain: System and Developmental Process, Cell Cycle, Epigenetic Regulation, Transcription and Translation Machinery, Neurodevelopment and Neuronal Differentiation
GO Term: Gobp Homophilic Cell Adhesion Via Plasma Membrane Adhesion Molecules -> Biodomain: Neurotransmission and Synaptic Regulation, Neurodevelopment and Neuronal Differentiation, Cell Adhesion and Interaction, System and Developmental Process, Structural Stabilization
GO Term: Gobp Receptor Guanylyl Cyclase Signaling Pathway -> Biodomain: Neurotransmission and Synaptic Regulation, Signal Transduction, Molecular Transport and Homeostasis, Transcription and Translation Machinery, Response to Stimulus
GO Term: Gobp Jnk Cascade -> Biodomain: Neurotransmission and Synaptic Regulation, Apoptosis, Signal Transduction, Response to Stimulus, Immune System and Inflammation
GO Term: Gobp Ectoderm Development -> Biodomain: Neurodevelopment and Neuronal Differentiation, System and Developmental Process, Cell Adhesion and Interaction, Structural Stabilization, Transcription and Translation Machinery
GO Term: Gobp Adult Heart Development -> Biodomain: System and Developmental Process, Structural Stabilization, Cell Adhesion and Interaction, Molecular Transport and Homeostasis, Response to Stimulus
GO Term: Gobp Mesodermal Cell Migration -> Biodomain: System and Developmental Process, Cell Adhesion and Interaction, Neurodevelopment and Neuronal Differentiation, Structural Stabilization, Response to Stimulus
GO Term: Gobp Isoprenoid Catabolic Process -> Biodomain: Lipid Metabolism, Neurotransmission and Synaptic Regulation, Molecular Transport and Homeostasis, Protein Metabolism and Trafficking, Neurodevelopment and Neuronal Differentiation
GO Term: Gobp Apoptotic Mitochondrial Changes -> Biodomain: Apoptosis, Mitochondrial Function and Metabolism, Signal Transduction, Cell Cycle, Neurotransmission and Synaptic Regulation
GO Term: Gobp Phospholipid Biosynthetic Process -> Biodomain: Lipid Metabolism, Structural Stabilization, Neurotransmission and Synaptic Regulation, Intracellular Trafficking and Organelle Dynamics, Molecular Transport and Homeostasis
GO Term: Gobp Response To Temperature Stimulus -> Biodomain: Neurotransmission and Synaptic Regulation, Response to Stimulus, System and Developmental Process, Molecular Transport and Homeostasis, Signal Transduction
GO Term: Gobp Response To Heat -> Biodomain: Response to Stimulus, Neurotransmission and Synaptic Regulation, Molecular Transport and Homeostasis, Protein Metabolism and Trafficking, Signal Transduction
GO Term: Gobp Anterior Posterior Axis Specification -> Biodomain: Neurodevelopment and Neuronal Differentiation, System and Developmental Process, Signal Transduction, Transcription and Translation Machinery, Structural Stabilization
GO Term: Gobp Meiotic Chromosome Condensation -> Biodomain: Cell Cycle, DNA Repair, Epigenetic Regulation, Transcription and Translation Machinery, Structural Stabilization
GO Term: Gobp Negative Regulation Of Gene Expression Via Chromosomal Dna Cytosine Methylation -> Biodomain: Epigenetic Regulation, Transcription and Translation Machinery, System and Developmental Process, Neurodevelopment and Neuronal Differentiation, Response to Stimulus
GO Term: Gobp Response To Acidic Ph -> Biodomain: Response to Stimulus, Neurotransmission and Synaptic Regulation, Molecular Transport and Homeostasis, Intracellular Trafficking and Organelle Dynamics, Signal Transduction
GO Term: Gobp Regulation Of Gastrulation -> Biodomain: Neurodevelopment and Neuronal Differentiation, System and Developmental Process, Cell Adhesion and Interaction, Signal Transduction, Response to Stimulus
GO Term: Gobp Proteasomal Protein Catabolic Process -> Biodomain: Protein Metabolism and Trafficking, Intracellular Trafficking and Organelle Dynamics, Molecular Transport and Homeostasis, Response to Stimulus, Cell Cycle
GO Term: Gobp Positive Regulation Of Autophagy -> Biodomain: Autophagy, Intracellular Trafficking and Organelle Dynamics, Protein Metabolism and Trafficking, Neurotransmission and Synaptic Regulation, Response to Stimulus
Saved results to: EExperiment/DeepSeek/02-FXS/04-FXS/Unknown_Temp_0.0/go_biodomain_results_part_2.csv
Logged runtime to: EExperiment/DeepSeek/02-FXS/04-FXS/Unknown_Temp_0.0/runtime_log.csv
