Running with TEMP=0.9, sub_array_index=1
Changed working directory to: /panfs/compbio/users/xran2/wen/JX/02-AI-BioDomain/git_folder
Processing array index 1: rows 0 to 49
GO Term: Gobp Autophagy Of Mitochondrion -> Biodomain: Autophagy, Mitochondrial Function and Metabolism, Intracellular Trafficking and Organelle Dynamics, Response to Stimulus, Protein Metabolism and Trafficking
GO Term: Gobp Regulation Of Natural Killer Cell Mediated Immunity -> Biodomain: Immune System and Inflammation, Response to Stimulus, Signal Transduction, System and Developmental Process, Cell Adhesion and Interaction
GO Term: Gobp Negative Regulation Of Natural Killer Cell Mediated Immunity -> Biodomain: Immune System and Inflammation, Response to Stimulus, Signal Transduction, System and Developmental Process, Cell Adhesion and Interaction
GO Term: Gobp Negative Regulation Of T Helper 1 Type Immune Response -> Biodomain: Immune System and Inflammation, Signal Transduction, Response to Stimulus, System and Developmental Process, Transcription and Translation Machinery
GO Term: Gobp Positive Regulation Of Acute Inflammatory Response To Antigenic Stimulus -> Biodomain: Immune System and Inflammation, Response to Stimulus, Signal Transduction, System and Developmental Process, Molecular Transport and Homeostasis
GO Term: Gobp Regulation Of Hypersensitivity -> Biodomain: Immune System and Inflammation, Response to Stimulus, Signal Transduction, Epigenetic Regulation, Intracellular Trafficking and Organelle Dynamics
GO Term: Gobp Skeletal Muscle Contraction -> Biodomain: System and Developmental Process, Structural Stabilization, Response to Stimulus, Signal Transduction, Molecular Transport and Homeostasis
GO Term: Gobp Regulation Of The Force Of Heart Contraction By Chemical Signal -> Biodomain: Signal Transduction, Molecular Transport and Homeostasis, Response to Stimulus, System and Developmental Process, Neurotransmission and Synaptic Regulation
GO Term: Gobp Renal System Process Involved In Regulation Of Systemic Arterial Blood Pressure -> Biodomain: Molecular Transport and Homeostasis, System and Developmental Process, Response to Stimulus, Signal Transduction, Cell Adhesion and Interaction
GO Term: Gobp Heart Valve Formation -> Biodomain: System and Developmental Process, Structural Stabilization, Cell Adhesion and Interaction, Signal Transduction, Neurodevelopment and Neuronal Differentiation
GO Term: Gobp Atrioventricular Valve Formation -> Biodomain: System and Developmental Process, Structural Stabilization, Cell Adhesion and Interaction, Signal Transduction, Transcription and Translation Machinery
GO Term: Gobp Epithelial To Mesenchymal Transition Involved In Endocardial Cushion Formation -> Biodomain: System and Developmental Process, Cell Adhesion and Interaction, Structural Stabilization, Signal Transduction, Response to Stimulus
GO Term: Gobp Cardiac Left Ventricle Morphogenesis -> Biodomain: System and Developmental Process, Structural Stabilization, Cell Adhesion and Interaction, Molecular Transport and Homeostasis, Neurodevelopment and Neuronal Differentiation
GO Term: Gobp Endocardial Cushion Fusion -> Biodomain: Cell Adhesion and Interaction, System and Developmental Process, Structural Stabilization, Neurodevelopment and Neuronal Differentiation, Signal Transduction
GO Term: Gobp Noradrenergic Neuron Development -> Biodomain: Neurodevelopment and Neuronal Differentiation, Neurotransmission and Synaptic Regulation, System and Developmental Process, Cell Adhesion and Interaction, Signal Transduction
GO Term: Gobp Growth Plate Cartilage Chondrocyte Differentiation -> Biodomain: System and Developmental Process, Signal Transduction, Cell Adhesion and Interaction, Structural Stabilization, Neurodevelopment and Neuronal Differentiation
GO Term: Gobp Succinyl Coa Metabolic Process -> Biodomain: Mitochondrial Function and Metabolism, Protein Metabolism and Trafficking, Molecular Transport and Homeostasis, System and Developmental Process, Lipid Metabolism
GO Term: Gobp Mitochondrial Electron Transport Succinate To Ubiquinone -> Biodomain: Mitochondrial Function and Metabolism, Molecular Transport and Homeostasis, System and Developmental Process, Signal Transduction, Response to Stimulus
GO Term: Gobp Dna Templated Dna Replication -> Biodomain: Cell Cycle, DNA Repair, Transcription and Translation Machinery, Neurodevelopment and Neuronal Differentiation, System and Developmental Process
GO Term: Gobp Dna Unwinding Involved In Dna Replication -> Biodomain: DNA Repair, Cell Cycle, Transcription and Translation Machinery, System and Developmental Process, Molecular Transport and Homeostasis
GO Term: Gobp Dna Replication Initiation -> Biodomain: DNA Repair, Epigenetic Regulation, Cell Cycle, Transcription and Translation Machinery, Response to Stimulus
GO Term: Gobp Dna Strand Elongation Involved In Dna Replication -> Biodomain: DNA Repair, Transcription and Translation Machinery, Cell Cycle, System and Developmental Process, Response to Stimulus
GO Term: Gobp Base Excision Repair Gap Filling -> Biodomain: DNA Repair, Epigenetic Regulation, Molecular Transport and Homeostasis, Response to Stimulus, Transcription and Translation Machinery
GO Term: Gobp Dna Recombination -> Biodomain: DNA Repair, Epigenetic Regulation, Transcription and Translation Machinery, Response to Stimulus, System and Developmental Process
GO Term: Gobp Rrna Processing -> Biodomain: RNA Metabolism, Protein Metabolism and Trafficking, Transcription and Translation Machinery, Intracellular Trafficking and Organelle Dynamics, Neurodevelopment and Neuronal Differentiation
GO Term: Gobp Translational Elongation -> Biodomain: RNA Metabolism, Transcription and Translation Machinery, Protein Metabolism and Trafficking, Neurotransmission and Synaptic Regulation, Neurodevelopment and Neuronal Differentiation
GO Term: Gobp Translational Termination -> Biodomain: Translation and Translation Machinery, RNA Metabolism, Protein Metabolism and Trafficking, Neurotransmission and Synaptic Regulation, Molecular Transport and Homeostasis
GO Term: Gobp Protein Folding -> Biodomain: Protein Metabolism and Trafficking, Intracellular Trafficking and Organelle Dynamics, Neurotransmission and Synaptic Regulation, Molecular Transport and Homeostasis, Structural Stabilization
GO Term: Gobp De Novo Protein Folding -> Biodomain: Protein Metabolism and Trafficking, Intracellular Trafficking and Organelle Dynamics, Molecular Transport and Homeostasis, Structural Stabilization, Transcription and Translation Machinery
GO Term: Gobp Gpi Anchor Metabolic Process -> Biodomain: Neurotransmission and Synaptic Regulation, Lipid Metabolism, Intracellular Trafficking and Organelle Dynamics, Cell Adhesion and Interaction, Protein Metabolism and Trafficking
GO Term: Gobp Proteolysis -> Biodomain: Protein Metabolism and Trafficking, Neurotransmission and Synaptic Regulation, Intracellular Trafficking and Organelle Dynamics, RNA Metabolism, Molecular Transport and Homeostasis
GO Term: Gobp Protein Quality Control For Misfolded Or Incompletely Synthesized Proteins -> Biodomain: Protein Metabolism and Trafficking, Autophagy, Intracellular Trafficking and Organelle Dynamics, RNA Metabolism, Neurotransmission and Synaptic Regulation
GO Term: Gobp Cotranslational Protein Targeting To Membrane -> Biodomain: Protein Metabolism and Trafficking, Intracellular Trafficking and Organelle Dynamics, Transcription and Translation Machinery, Molecular Transport and Homeostasis, Neurotransmission and Synaptic Regulation
GO Term: Gobp Srp Dependent Cotranslational Protein Targeting To Membrane -> Biodomain: Protein Metabolism and Trafficking, Intracellular Trafficking and Organelle Dynamics, Transcription and Translation Machinery, Molecular Transport and Homeostasis, Neurotransmission and Synaptic Regulation
Saved results to: Experiment/DeepSeek/02-FXS/04-FXS/Temp_0.9/go_biodomain_results_part_1.csv
Logged runtime to: Experiment/DeepSeek/02-FXS/04-FXS/Temp_0.9/runtime_log.csv
