[0] Autophagy Of Mitochondrion → Mitochondrial Metabolism, Autophagy, Oxidative Stress, Proteostasis, Structural Stabilization
[206] Negative Regulation Of Natural Killer Cell Activation → Immune Response, Vasculature, Apoptosis, Oxidative Stress, Proteostasis
[207] Positive Regulation Of Natural Killer Cell Activation → Immune Response, Vasculature, Apoptosis, Oxidative Stress, Proteostasis
[208] Regulation Of Superoxide Anion Generation → Oxidative Stress, Mitochondrial Metabolism, Immune Response, Proteostasis, Structural Stabilization
[209] Regulation Of Intracellular Protein Transport → Proteostasis, Endolysosome, Autophagy, Structural Stabilization, Immune Response
[210] Adiponectin Activated Signaling Pathway → Lipid Metabolism, Immune Response, Mitochondrial Metabolism, Oxidative Stress, Vasculature
[211] Regulation Of Nuclear Cell Cycle Dna Replication → Cell Cycle, DNA Repair, Epigenetic, Autophagy, Proteostasis
[212] Meiotic Cell Cycle Checkpoint Signaling → Cell Cycle, DNA Repair, Apoptosis, Proteostasis, Epigenetic
[213] Mitotic Dna Replication Checkpoint Signaling → Cell Cycle, DNA Repair, Mitochondrial Metabolism, Apoptosis, Proteostasis
[214] S Adenosylmethionine Cycle → Lipid Metabolism, Mitochondrial Metabolism, Metal Binding and Homeostasis, Proteostasis, Epigenetic
[215] Carbohydrate Homeostasis → Lipid Metabolism, Mitochondrial Metabolism, Oxidative Stress, Autophagy, Proteostasis
[216] Unsaturated Fatty Acid Metabolic Process → Lipid Metabolism, Oxidative Stress, Autophagy, Immune Response, Mitochondrial Metabolism
[217] Regulation Of Nad P H Oxidase Activity → Oxidative Stress, Immune Response, Mitochondrial Metabolism, Proteostasis, Lipid Metabolism
[218] Positive Regulation Of Nad P H Oxidase Activity → Oxidative Stress, Immune Response, Mitochondrial Metabolism, Proteostasis, Lipid Metabolism
[219] Protein Localization To Golgi Apparatus → Proteostasis, Structural Stabilization, RNA Spliceosome, Autophagy, Endolysosome
[220] Establishment Of Sister Chromatid Cohesion → Cell Cycle, DNA Repair, Proteostasis, Apoptosis, Structural Stabilization
[221] Erythrocyte Homeostasis → Vasculature, Immune Response, Lipid Metabolism, Oxidative Stress, Proteostasis
[222] Toll Like Receptor 9 Signaling Pathway → Immune Response, Oxidative Stress, Vasculature, Structural Stabilization, Apoptosis
[223] Response To Type Iii Interferon → Immune Response, Oxidative Stress, Vasculature, Apoptosis, Proteostasis
[224] Lipid Droplet Organization → Lipid Metabolism, Endolysosome, Autophagy, Oxidative Stress, Proteostasis
[225] Early Endosome To Golgi Transport → Endolysosome, Autophagy, Proteostasis, Mitochondrial Metabolism, Lipid Metabolism
[226] Centromere Complex Assembly → Cell Cycle, Structural Stabilization, DNA Repair, Epigenetic, Proteostasis
[227] Cellular Response To Heat → Oxidative Stress, Proteostasis, Immune Response, Autophagy, Epigenetic
[228] Cellular Macromolecule Biosynthetic Process → Proteostasis, RNA Spliceosome, Autophagy, Epigenetic, DNA Repair
[229] Response To Endoplasmic Reticulum Stress → Proteostasis, Oxidative Stress, Autophagy, Immune Response, Epigenetic
[230] Regulation Of Rho Protein Signal Transduction → Synapse, Structural Stabilization, Immune Response, Oxidative Stress, Proteostasis
[231] Mirna Mediated Gene Silencing By Inhibition Of Translation → RNA Spliceosome, Epigenetic, Proteostasis, Immune Response, Autophagy
[232] Intracellular Triglyceride Homeostasis → Lipid Metabolism, Oxidative Stress, Proteostasis, Endolysosome, Autophagy
[233] Regulation Of Peroxisome Proliferator Activated Receptor Signaling Pathway → Lipid Metabolism, Oxidative Stress, Immune Response, Mitochondrial Metabolism, Endolysosome
[234] Maintenance Of Protein Localization In Endoplasmic Reticulum → Proteostasis, Autophagy, Endolysosome, Epigenetic, DNA Repair
[235] Vesicle Cargo Loading → Endolysosome, Autophagy, Proteostasis, Synapse, Structural Stabilization
