Running with TEMP=0.0, sub_array_index=28
Changed working directory to: /panfs/compbio/users/xran2/wen/JX/02-AI-BioDomain/git_folder
Processing array index 28: rows 1350 to 1399
GO Term: Gomf Leukotriene C4 Synthase Activity -> Biodomain: Immune System and Inflammation, Protein Metabolism and Trafficking, Lipid Metabolism, Signal Transduction, Molecular Transport and Homeostasis
GO Term: Gomf Primary Active Transmembrane Transporter Activity -> Biodomain: Molecular Transport and Homeostasis, Mitochondrial Function and Metabolism, Protein Metabolism and Trafficking, Signal Transduction, Response to Stimulus
GO Term: Gomf Oxidoreduction Driven Active Transmembrane Transporter Activity -> Biodomain: Mitochondrial Function and Metabolism, Molecular Transport and Homeostasis, Protein Metabolism and Trafficking, Signal Transduction, Response to Stimulus
GO Term: Gomf Cholesterol Binding -> Biodomain: Lipid Metabolism, Molecular Transport and Homeostasis, Signal Transduction, Intracellular Trafficking and Organelle Dynamics, Response to Stimulus
GO Term: Gomf Cyclosporin A Binding -> Biodomain: Immune System and Inflammation, Protein Metabolism and Trafficking, Signal Transduction, Molecular Transport and Homeostasis, Epigenetic Regulation
GO Term: Gomf Rna Polymerase Ii General Transcription Initiation Factor Activity -> Biodomain: Transcription and Translation Machinery, System and Developmental Process, Epigenetic Regulation, Signal Transduction, Response to Stimulus
GO Term: Gomf Phosphatidylinositol 3 4 5 Trisphosphate 3 Phosphatase Activity -> Biodomain: Lipid Metabolism, Signal Transduction, Molecular Transport and Homeostasis, Mitochondrial Function and Metabolism, Response to Stimulus
GO Term: Gomf Metallochaperone Activity -> Biodomain: Molecular Transport and Homeostasis, Protein Metabolism and Trafficking, Signal Transduction, Response to Stimulus, Intracellular Trafficking and Organelle Dynamics
GO Term: Gomf Copper Chaperone Activity -> Biodomain: Molecular Transport and Homeostasis, Mitochondrial Function and Metabolism, Protein Metabolism and Trafficking, Response to Stimulus, Structural Stabilization
GO Term: Gomf Oxidoreductase Activity Acting On The Ch Ch Group Of Donors Nad Or Nadp As Acceptor -> Biodomain: Mitochondrial Function and Metabolism, Lipid Metabolism, Protein Metabolism and Trafficking, Molecular Transport and Homeostasis, Response to Stimulus
Saved results to: Experiment/DeepSeek/03-FXS-padj-0.1/D56/Temp_0.0/go_biodomain_results_part_28.csv
Logged runtime to: Experiment/DeepSeek/03-FXS-padj-0.1/D56/Temp_0.0/runtime_log.csv
