Running with TEMP=0.0, sub_array_index=30
Changed working directory to: /panfs/compbio/users/xran2/wen/JX/02-AI-BioDomain/git_folder
Processing array index 30: rows 1450 to 1499
GO Term: Gomf Protein Kinase A Regulatory Subunit Binding -> Biodomain: Signal Transduction, Molecular Transport and Homeostasis, Protein Metabolism and Trafficking, Intracellular Trafficking and Organelle Dynamics, Response to Stimulus
GO Term: Gomf Gamma Tubulin Binding -> Biodomain: Structural Stabilization, Intracellular Trafficking and Organelle Dynamics, Cell Cycle, Molecular Transport and Homeostasis, System and Developmental Process
GO Term: Gomf Ribosome Binding -> Biodomain: Transcription and Translation Machinery, Molecular Transport and Homeostasis, Protein Metabolism and Trafficking, Intracellular Trafficking and Organelle Dynamics, System and Developmental Process
GO Term: Gomf 3 5 Dna Helicase Activity -> Biodomain: DNA Repair, Transcription and Translation Machinery, Mitochondrial Function and Metabolism, Signal Transduction, Response to Stimulus
GO Term: Gomf Kinetochore Binding -> Biodomain: Cell Cycle, Protein Metabolism and Trafficking, Structural Stabilization, System and Developmental Process, Signal Transduction
GO Term: Gomf Leucine Zipper Domain Binding -> Biodomain: Transcription and Translation Machinery, Protein Metabolism and Trafficking, Signal Transduction, Structural Stabilization, Molecular Transport and Homeostasis
GO Term: Gomf Protein Folding Chaperone -> Biodomain: Protein Metabolism and Trafficking, Intracellular Trafficking and Organelle Dynamics, Molecular Transport and Homeostasis, Signal Transduction, Response to Stimulus
GO Term: Gomf Ubiquitin Like Protein Ligase Binding -> Biodomain: Protein Metabolism and Trafficking, Intracellular Trafficking and Organelle Dynamics, Signal Transduction, Response to Stimulus, Epigenetic Regulation
GO Term: Gomf S100 Protein Binding -> Biodomain: Signal Transduction, Neurotransmission and Synaptic Regulation, Gliogenesis and Glial Differentiation, Protein Metabolism and Trafficking, Response to Stimulus
GO Term: Gomf Smad Binding -> Biodomain: Signal Transduction, Transcription and Translation Machinery, Response to Stimulus, Cell Cycle, Epigenetic Regulation
GO Term: Gomf Sphingolipid Binding -> Biodomain: Lipid Metabolism, Signal Transduction, Structural Stabilization, Intracellular Trafficking and Organelle Dynamics, Protein Metabolism and Trafficking
GO Term: Gomf Virion Binding -> Biodomain: Molecular Transport and Homeostasis, Immune System and Inflammation, Cell Adhesion and Interaction, Response to Stimulus, Signal Transduction
GO Term: Gomf Er Retention Sequence Binding -> Biodomain: Intracellular Trafficking and Organelle Dynamics, Protein Metabolism and Trafficking, Transcription and Translation Machinery, Molecular Transport and Homeostasis, Response to Stimulus
GO Term: Gomf Protein Heterodimerization Activity -> Biodomain: Protein Metabolism and Trafficking, Signal Transduction, Transcription and Translation Machinery, Structural Stabilization, Response to Stimulus
GO Term: Gomf Protein Dimerization Activity -> Biodomain: Protein Metabolism and Trafficking, Structural Stabilization, Signal Transduction, Transcription and Translation Machinery, Molecular Transport and Homeostasis
GO Term: Gomf 3 5 Cyclic Gmp Phosphodiesterase Activity -> Biodomain: Signal Transduction, Neurotransmission and Synaptic Regulation, Molecular Transport and Homeostasis, Response to Stimulus, Epigenetic Regulation
GO Term: Gomf Glycine N Acyltransferase Activity -> Biodomain: Protein Metabolism and Trafficking, Lipid Metabolism, Molecular Transport and Homeostasis, Mitochondrial Function and Metabolism, Response to Stimulus
GO Term: Gomf Flap Endonuclease Activity -> Biodomain: DNA Repair, DNA Replication, Nucleic Acid Metabolism, Molecular Transport and Homeostasis, System and Developmental Process
GO Term: Gomf Nuclear Androgen Receptor Binding -> Biodomain: Signal Transduction, Transcription and Translation Machinery, Protein Metabolism and Trafficking, Epigenetic Regulation, Response to Stimulus
GO Term: Gomf Ww Domain Binding -> Biodomain: Protein Metabolism and Trafficking, Signal Transduction, Intracellular Trafficking and Organelle Dynamics, Molecular Transport and Homeostasis, Response to Stimulus
GO Term: Gomf Low Density Lipoprotein Particle Receptor Binding -> Biodomain: Lipid Metabolism, Molecular Transport and Homeostasis, Cell Adhesion and Interaction, Signal Transduction, Response to Stimulus
GO Term: Gomf Microtubule Minus End Binding -> Biodomain: Intracellular Trafficking and Organelle Dynamics, Structural Stabilization, Molecular Transport and Homeostasis, Cell Cycle, Signal Transduction
GO Term: Gomf Gdp Dissociation Inhibitor Binding -> Biodomain: Signal Transduction, Intracellular Trafficking and Organelle Dynamics, Protein Metabolism and Trafficking, Molecular Transport and Homeostasis, Cell Adhesion and Interaction
GO Term: Gomf Unfolded Protein Binding -> Biodomain: Protein Metabolism and Trafficking, Intracellular Trafficking and Organelle Dynamics, Molecular Transport and Homeostasis, Response to Stimulus, Structural Stabilization
GO Term: Gomf Chaperone Binding -> Biodomain: Protein Metabolism and Trafficking, Structural Stabilization, Intracellular Trafficking and Organelle Dynamics, Mitochondrial Function and Metabolism, Response to Stimulus
GO Term: Gomf Atpase Binding -> Biodomain: Molecular Transport and Homeostasis, Protein Metabolism and Trafficking, Intracellular Trafficking and Organelle Dynamics, Mitochondrial Function and Metabolism, Signal Transduction
GO Term: Gomf Epinephrine Binding -> Biodomain: Signal Transduction, Molecular Transport and Homeostasis, Response to Stimulus, System and Developmental Process, Transcription and Translation Machinery
GO Term: Gomf Misfolded Protein Binding -> Biodomain: Protein Metabolism and Trafficking, Response to Stimulus, Intracellular Trafficking and Organelle Dynamics, Autophagy, Molecular Transport and Homeostasis
GO Term: Gomf Inositol Tetrakisphosphate Phosphatase Activity -> Biodomain: Molecular Transport and Homeostasis, Signal Transduction, Protein Metabolism and Trafficking, Lipid Metabolism, Intracellular Trafficking and Organelle Dynamics
GO Term: Gomf Phosphatidylinositol Phosphate Phosphatase Activity -> Biodomain: Signal Transduction, Molecular Transport and Homeostasis, Lipid Metabolism, Intracellular Trafficking and Organelle Dynamics, Response to Stimulus
GO Term: Gomf Atpase Regulator Activity -> Biodomain: Mitochondrial Function and Metabolism, Molecular Transport and Homeostasis, Signal Transduction, Protein Metabolism and Trafficking, Response to Stimulus
GO Term: Gomf K63 Linked Deubiquitinase Activity -> Biodomain: Protein Metabolism and Trafficking, Immune System and Inflammation, Signal Transduction, Epigenetic Regulation, Response to Stimulus
GO Term: Gomf Rna Polymerase Ii Specific Dna Binding Transcription Factor Binding -> Biodomain: Transcription and Translation Machinery, Epigenetic Regulation, Signal Transduction, Protein Metabolism and Trafficking, Response to Stimulus
GO Term: Gomf Telomerase Rna Binding -> Biodomain: DNA Repair, Cell Cycle, RNA Metabolism, Protein Metabolism and Trafficking, System and Developmental Process
GO Term: Gomf Chromo Shadow Domain Binding -> Biodomain: Epigenetic Regulation, Protein Metabolism and Trafficking, Transcription and Translation Machinery, Signal Transduction, System and Developmental Process
GO Term: Gomf Phosphatidylinositol 4 Phosphate Binding -> Biodomain: Lipid Metabolism, Intracellular Trafficking and Organelle Dynamics, Signal Transduction, Molecular Transport and Homeostasis, Protein Metabolism and Trafficking
Saved results to: Experiment/DeepSeek/03-FXS-padj-0.1/D56/Temp_0.0/go_biodomain_results_part_30.csv
Logged runtime to: Experiment/DeepSeek/03-FXS-padj-0.1/D56/Temp_0.0/runtime_log.csv
