Running with TEMP=0.0, sub_array_index=7
Changed working directory to: /panfs/compbio/users/xran2/wen/JX/02-AI-BioDomain/git_folder
Processing array index 7: rows 300 to 349
GO Term: Gobp Glyceraldehyde 3 Phosphate Metabolic Process -> Biodomain: Carbohydrate Metabolism, Metabolism, Energy Metabolism, ATP Metabolism, Biochemical Pathways
GO Term: Gobp Prostate Gland Development -> Biodomain: System and Developmental Process, Cell Adhesion and Interaction, Molecular Transport and Homeostasis, Signal Transduction, Structural Stabilization
GO Term: Gobp Endoplasmic Reticulum Unfolded Protein Response -> Biodomain: Protein Metabolism and Trafficking, Intracellular Trafficking and Organelle Dynamics, Molecular Transport and Homeostasis, Response to Stimulus, Signal Transduction
GO Term: Gobp Pancreas Development -> Biodomain: System and Developmental Process, Neurodevelopment and Neuronal Differentiation, Response to Stimulus, Signal Transduction, Molecular Transport and Homeostasis
GO Term: Gobp Exocrine Pancreas Development -> Biodomain: System and Developmental Process, Cell Adhesion and Interaction, Molecular Transport and Homeostasis, Protein Metabolism and Trafficking, Response to Stimulus
GO Term: Gobp Endocrine Pancreas Development -> Biodomain: System and Developmental Process, Neurodevelopment and Neuronal Differentiation, Cell Adhesion and Interaction, Signal Transduction, Molecular Transport and Homeostasis
GO Term: Gobp Negative Regulation Of Histone Deacetylation -> Biodomain: Epigenetic Regulation, Signal Transduction, Transcription and Translation Machinery, Cell Cycle, System and Developmental Process
GO Term: Gobp Positive Regulation Of Histone Deacetylation -> Biodomain: Epigenetic Regulation, Signal Transduction, System and Developmental Process, Transcription and Translation Machinery, Response to Stimulus
GO Term: Gobp Stress Activated Protein Kinase Signaling Cascade -> Biodomain: Signal Transduction, Response to Stimulus, Immune System and Inflammation, Apoptosis, Cell Cycle
GO Term: Gobp Microtubule Polymerization Or Depolymerization -> Biodomain: Structural Stabilization, Cell Cycle, Intracellular Trafficking and Organelle Dynamics, Neurodevelopment and Neuronal Differentiation, System and Developmental Process
GO Term: Gobp Regulation Of Microtubule Polymerization Or Depolymerization -> Biodomain: Structural Stabilization, Intracellular Trafficking and Organelle Dynamics, Cell Cycle, System and Developmental Process, Response to Stimulus
GO Term: Gobp Negative Regulation Of Microtubule Polymerization Or Depolymerization -> Biodomain: Structural Stabilization, Molecular Transport and Homeostasis, Cell Cycle, Signal Transduction, System and Developmental Process
GO Term: Gobp Regulation Of Microtubule Depolymerization -> Biodomain: Structural Stabilization, Signal Transduction, Cell Cycle, Intracellular Trafficking and Organelle Dynamics, System and Developmental Process
GO Term: Gobp Rrna Pseudouridine Synthesis -> Biodomain: RNA Metabolism, Transcription and Translation Machinery, Protein Metabolism and Trafficking, Intracellular Trafficking and Organelle Dynamics, Epigenetic Regulation
GO Term: Gobp Rrna 3 End Processing -> Biodomain: RNA Metabolism, Transcription and Translation Machinery, Molecular Transport and Homeostasis, Intracellular Trafficking and Organelle Dynamics, System and Developmental Process
GO Term: Gobp Regulation Of Axon Diameter -> Biodomain: Neurodevelopment and Neuronal Differentiation, Signal Transduction, Structural Stabilization, Intracellular Trafficking and Organelle Dynamics, System and Developmental Process
GO Term: Gobp Scf Dependent Proteasomal Ubiquitin Dependent Protein Catabolic Process -> Biodomain: Protein Metabolism and Trafficking, Epigenetic Regulation, Signal Transduction, Intracellular Trafficking and Organelle Dynamics, Response to Stimulus
GO Term: Gobp Post Translational Protein Targeting To Membrane Translocation -> Biodomain: Protein Metabolism and Trafficking, Intracellular Trafficking and Organelle Dynamics, Molecular Transport and Homeostasis, System and Developmental Process, Response to Stimulus
GO Term: Gobp Replication Fork Processing -> Biodomain: DNA Repair, Cell Cycle, Transcription and Translation Machinery, Signal Transduction, Epigenetic Regulation
GO Term: Gobp Positive Regulation Of Cellular Catabolic Process -> Biodomain: Autophagy, Protein Metabolism and Trafficking, Intracellular Trafficking and Organelle Dynamics, Response to Stimulus, Signal Transduction
GO Term: Gobp Regulation Of Cell Killing -> Biodomain: Apoptosis, Immune System and Inflammation, Signal Transduction, Response to Stimulus, Cell Adhesion and Interaction
GO Term: Gobp Negative Regulation Of Cell Killing -> Biodomain: Apoptosis, Immune System and Inflammation, Response to Stimulus, Signal Transduction, System and Developmental Process
GO Term: Gobp Negative Regulation Of Defense Response -> Biodomain: Immune System and Inflammation, Signal Transduction, Response to Stimulus, System and Developmental Process, Epigenetic Regulation
GO Term: Gobp Negative Regulation Of Protein Modification Process -> Biodomain: Protein Metabolism and Trafficking, Signal Transduction, Response to Stimulus, Molecular Transport and Homeostasis, Epigenetic Regulation
Saved results to: Experiment/DeepSeek/03-FXS-padj-0.1/D56/Temp_0.0/go_biodomain_results_part_7.csv
Logged runtime to: Experiment/DeepSeek/03-FXS-padj-0.1/D56/Temp_0.0/runtime_log.csv
