Running with TEMP=0.0, sub_array_index=13
Changed working directory to: /panfs/compbio/users/xran2/wen/JX/02-AI-BioDomain/git_folder
Processing array index 13: rows 600 to 649
GO Term: Gobp Establishment Of Protein Localization -> Biodomain: Protein Metabolism and Trafficking, Intracellular Trafficking and Organelle Dynamics, Molecular Transport and Homeostasis, Signal Transduction, Response to Stimulus
GO Term: Gobp Glycerolipid Metabolic Process -> Biodomain: Lipid Metabolism, Mitochondrial Function and Metabolism, Intracellular Trafficking and Organelle Dynamics, Protein Metabolism and Trafficking, Molecular Transport and Homeostasis
GO Term: Gobp Phosphatidylinositol Metabolic Process -> Biodomain: Lipid Metabolism, Signal Transduction, Intracellular Trafficking and Organelle Dynamics, Molecular Transport and Homeostasis, Response to Stimulus
GO Term: Gobp Acid Secretion -> Biodomain: Molecular Transport and Homeostasis, Response to Stimulus, System and Developmental Process, Intracellular Trafficking and Organelle Dynamics, Protein Metabolism and Trafficking
GO Term: Gobp Regulation Of Nucleocytoplasmic Transport -> Biodomain: Molecular Transport and Homeostasis, Intracellular Trafficking and Organelle Dynamics, Protein Metabolism and Trafficking, Signal Transduction, Response to Stimulus
GO Term: Gobp Regulation Of Protein Export From Nucleus -> Biodomain: Intracellular Trafficking and Organelle Dynamics, Protein Metabolism and Trafficking, Molecular Transport and Homeostasis, Signal Transduction, Transcription and Translation Machinery
GO Term: Gobp Lipid Phosphorylation -> Biodomain: Lipid Metabolism, Mitochondrial Function and Metabolism, Molecular Transport and Homeostasis, Signal Transduction, Response to Stimulus
GO Term: Gobp Phosphatidylinositol Dephosphorylation -> Biodomain: Lipid Metabolism, Mitochondrial Function and Metabolism, Signal Transduction, Intracellular Trafficking and Organelle Dynamics, Molecular Transport and Homeostasis
GO Term: Gobp Follicle Stimulating Hormone Secretion -> Biodomain: Signal Transduction, Molecular Transport and Homeostasis, Protein Metabolism and Trafficking, Response to Stimulus, System and Developmental Process
GO Term: Gobp Positive Regulation Of Lipid Biosynthetic Process -> Biodomain: Lipid Metabolism, Signal Transduction, Molecular Transport and Homeostasis, Protein Metabolism and Trafficking, Response to Stimulus
GO Term: Gobp Regulation Of Mitochondrial Membrane Permeability -> Biodomain: Mitochondrial Function and Metabolism, Molecular Transport and Homeostasis, Intracellular Trafficking and Organelle Dynamics, Response to Stimulus, Signal Transduction
GO Term: Gobp Nucleoside Monophosphate Phosphorylation -> Biodomain: RNA Metabolism, Protein Metabolism and Trafficking, Molecular Transport and Homeostasis, Signal Transduction, Epigenetic Regulation
GO Term: Gobp Neurotrophin Trk Receptor Signaling Pathway -> Biodomain: Signal Transduction, Neurotransmission and Synaptic Regulation, Neurodevelopment and Neuronal Differentiation, Response to Stimulus, Cell Adhesion and Interaction
GO Term: Gobp Post Embryonic Eye Morphogenesis -> Biodomain: System and Developmental Process, Neurodevelopment and Neuronal Differentiation, Structural Stabilization, Cell Adhesion and Interaction, Response to Stimulus
Saved results to: Experiment/DeepSeek/03-FXS-padj-0.1/D56/Temp_0.0/go_biodomain_results_part_13.csv
Logged runtime to: Experiment/DeepSeek/03-FXS-padj-0.1/D56/Temp_0.0/runtime_log.csv
