Running with TEMP=0.0, sub_array_index=22
Changed working directory to: /panfs/compbio/users/xran2/wen/JX/02-AI-BioDomain/git_folder
Processing array index 22: rows 1050 to 1099
GO Term: Gobp Negative Regulation Of Receptor Signaling Pathway Via Stat -> Biodomain: Signal Transduction, Immune System and Inflammation, Response to Stimulus, System and Developmental Process, Epigenetic Regulation
GO Term: Gobp Regulation Of Female Gonad Development -> Biodomain: System and Developmental Process, Response to Stimulus, Signal Transduction, Epigenetic Regulation, Transcription and Translation Machinery
GO Term: Gobp Positive Regulation Of Rrna Processing -> Biodomain: RNA Metabolism, Transcription and Translation Machinery, Epigenetic Regulation, System and Developmental Process, Molecular Transport and Homeostasis
GO Term: Gobp Regulation Of Actin Cytoskeleton Reorganization -> Biodomain: Cell Adhesion and Interaction, Structural Stabilization, Signal Transduction, Response to Stimulus, System and Developmental Process
GO Term: Gobp Positive Regulation Of Actin Cytoskeleton Reorganization -> Biodomain: Structural Stabilization, Cell Adhesion and Interaction, Signal Transduction, Neurodevelopment and Neuronal Differentiation, System and Developmental Process
GO Term: Gobp Negative Regulation Of Signaling Receptor Activity -> Biodomain: Signal Transduction, Immune System and Inflammation, Response to Stimulus, Molecular Transport and Homeostasis, System and Developmental Process
GO Term: Gobp Positive Regulation Of Myoblast Proliferation -> Biodomain: Cell Cycle, System and Developmental Process, Signal Transduction, Transcription and Translation Machinery, Response to Stimulus
GO Term: Gobp Regulation Of Myoblast Proliferation -> Biodomain: Cell Cycle, System and Developmental Process, Signal Transduction, Response to Stimulus, Structural Stabilization
GO Term: Gobp Regulation Of Rho Dependent Protein Serine Threonine Kinase Activity -> Biodomain: Signal Transduction, Cell Adhesion and Interaction, Structural Stabilization, Protein Metabolism and Trafficking, Response to Stimulus
GO Term: Gobp Regulation Of T Helper 17 Type Immune Response -> Biodomain: Immune System and Inflammation, Signal Transduction, System and Developmental Process, Response to Stimulus, Transcription and Translation Machinery
Saved results to: Experiment/DeepSeek/03-FXS-padj-0.1/D56/Temp_0.0/go_biodomain_results_part_22.csv
Logged runtime to: Experiment/DeepSeek/03-FXS-padj-0.1/D56/Temp_0.0/runtime_log.csv
