Running with TEMP=0.0, sub_array_index=14
Changed working directory to: /panfs/compbio/users/xran2/wen/JX/02-AI-BioDomain/git_folder
Processing array index 14: rows 650 to 699
GO Term: Gobp Eye Pigmentation -> Biodomain: System and Developmental Process, Response to Stimulus, Structural Stabilization, Cell Adhesion and Interaction, Epigenetic Regulation
GO Term: Gobp Skeletal Muscle Tissue Growth -> Biodomain: System and Developmental Process, Structural Stabilization, Cell Adhesion and Interaction, Response to Stimulus, Signal Transduction
GO Term: Gobp Negative Regulation Of Smooth Muscle Cell Proliferation -> Biodomain: Cell Cycle, Signal Transduction, System and Developmental Process, Response to Stimulus, Molecular Transport and Homeostasis
GO Term: Gobp Astrocyte Differentiation -> Biodomain: Gliogenesis and Glial Differentiation, Neurodevelopment and Neuronal Differentiation, Molecular Transport and Homeostasis, System and Developmental Process, Signal Transduction
GO Term: Gobp Sebaceous Gland Development -> Biodomain: Lipid Metabolism, System and Developmental Process, Neurodevelopment and Neuronal Differentiation, Cell Adhesion and Interaction, Response to Stimulus
GO Term: Gobp Pigment Granule Maturation -> Biodomain: Intracellular Trafficking and Organelle Dynamics, System and Developmental Process, Response to Stimulus, Structural Stabilization, Protein Metabolism and Trafficking
GO Term: Gobp Pronephros Development -> Biodomain: System and Developmental Process, Structural Stabilization, Cell Adhesion and Interaction, Signal Transduction, Response to Stimulus
GO Term: Gobp Otolith Development -> Biodomain: Neurodevelopment and Neuronal Differentiation, System and Developmental Process, Structural Stabilization, Cell Adhesion and Interaction, Response to Stimulus
GO Term: Gobp Forebrain Morphogenesis -> Biodomain: Neurodevelopment and Neuronal Differentiation, System and Developmental Process, Cell Adhesion and Interaction, Structural Stabilization, Response to Stimulus
GO Term: Gobp Formation Of Anatomical Boundary -> Biodomain: System and Developmental Process, Neurodevelopment and Neuronal Differentiation, Cell Adhesion and Interaction, Structural Stabilization, Response to Stimulus
GO Term: Gobp Homeostasis Of Number Of Cells -> Biodomain: System and Developmental Process, Cell Cycle, Apoptosis, Response to Stimulus, Cell Adhesion and Interaction
GO Term: Gobp Host Mediated Regulation Of Intestinal Microbiota Composition -> Biodomain: Molecular Transport and Homeostasis, Immune System and Inflammation, Response to Stimulus, System and Developmental Process, Signal Transduction
GO Term: Gobp Amyloid Beta Metabolic Process -> Biodomain: Protein Metabolism and Trafficking, Response to Stimulus, Neurotransmission and Synaptic Regulation, Intracellular Trafficking and Organelle Dynamics, System and Developmental Process
GO Term: Gobp Negative Regulation Of Defense Response To Virus -> Biodomain: Immune System and Inflammation, Signal Transduction, Response to Stimulus, System and Developmental Process, Epigenetic Regulation
GO Term: Gobp Regulation Of Defense Response To Virus -> Biodomain: Immune System and Inflammation, Response to Stimulus, Signal Transduction, Transcription and Translation Machinery, System and Developmental Process
GO Term: Gobp Negative Regulation Of Inflammatory Response -> Biodomain: Immune System and Inflammation, Response to Stimulus, Signal Transduction, System and Developmental Process, Molecular Transport and Homeostasis
GO Term: Gobp Regulation Of Phagocytosis -> Biodomain: Immune System and Inflammation, Response to Stimulus, Cell Adhesion and Interaction, Signal Transduction, System and Developmental Process
GO Term: Gobp Negative Regulation Of Phagocytosis -> Biodomain: Immune System and Inflammation, Response to Stimulus, Signal Transduction, Cell Adhesion and Interaction, System and Developmental Process
GO Term: Gobp Negative Regulation Of Immune Response -> Biodomain: Immune System and Inflammation, Signal Transduction, Response to Stimulus, System and Developmental Process, Epigenetic Regulation
GO Term: Gobp Regulation Of Behavior -> Biodomain: Response to Stimulus, Neurotransmission and Synaptic Regulation, Neurodevelopment and Neuronal Differentiation, System and Developmental Process, Signal Transduction
GO Term: Gobp Regulation Of Steroid Biosynthetic Process -> Biodomain: Lipid Metabolism, Signal Transduction, Transcription and Translation Machinery, Epigenetic Regulation, System and Developmental Process
GO Term: Gobp Protein Stabilization -> Biodomain: Protein Metabolism and Trafficking, Structural Stabilization, Intracellular Trafficking and Organelle Dynamics, Molecular Transport and Homeostasis, Response to Stimulus
GO Term: Gobp White Fat Cell Differentiation -> Biodomain: System and Developmental Process, Cell Adhesion and Interaction, Signal Transduction, Transcription and Translation Machinery, Lipid Metabolism
GO Term: Gobp Leukocyte Tethering Or Rolling -> Biodomain: Cell Adhesion and Interaction, Immune System and Inflammation, Response to Stimulus, Intracellular Trafficking and Organelle Dynamics, System and Developmental Process
GO Term: Gobp Positive Regulation Of Nitric Oxide Synthase Activity -> Biodomain: Immune System and Inflammation, Signal Transduction, Response to Stimulus, Molecular Transport and Homeostasis, System and Developmental Process
GO Term: Gobp Microtubule Severing -> Biodomain: Structural Stabilization, Intracellular Trafficking and Organelle Dynamics, Cell Cycle, System and Developmental Process, Response to Stimulus
GO Term: Gobp Trna Transport -> Biodomain: Molecular Transport and Homeostasis, Transcription and Translation Machinery, RNA Metabolism, Intracellular Trafficking and Organelle Dynamics, Protein Metabolism and Trafficking
GO Term: Gobp Regulation Of Membrane Protein Ectodomain Proteolysis -> Biodomain: Protein Metabolism and Trafficking, Signal Transduction, Intracellular Trafficking and Organelle Dynamics, Cell Adhesion and Interaction, Response to Stimulus
GO Term: Gobp Negative Regulation Of Membrane Protein Ectodomain Proteolysis -> Biodomain: Protein Metabolism and Trafficking, Signal Transduction, Intracellular Trafficking and Organelle Dynamics, Response to Stimulus, Cell Adhesion and Interaction
GO Term: Gobp Negative Regulation Of Transport -> Biodomain: Molecular Transport and Homeostasis, Signal Transduction, Intracellular Trafficking and Organelle Dynamics, Response to Stimulus, System and Developmental Process
GO Term: Gobp Positive Regulation Of Small Gtpase Mediated Signal Transduction -> Biodomain: Signal Transduction, Molecular Transport and Homeostasis, Intracellular Trafficking and Organelle Dynamics, Response to Stimulus, System and Developmental Process
GO Term: Gobp Chaperone Cofactor Dependent Protein Refolding -> Biodomain: Protein Metabolism and Trafficking, Molecular Transport and Homeostasis, Intracellular Trafficking and Organelle Dynamics, Response to Stimulus, Structural Stabilization
GO Term: Gobp Negative Regulation Of Binding -> Biodomain: Signal Transduction, Protein Metabolism and Trafficking, Response to Stimulus, Molecular Transport and Homeostasis, Cell Adhesion and Interaction
GO Term: Gobp Hepoxilin Metabolic Process -> Biodomain: Lipid Metabolism, Signal Transduction, Molecular Transport and Homeostasis, Response to Stimulus, System and Developmental Process
Saved results to: Experiment/DeepSeek/03-FXS-padj-0.1/D56/Temp_0.0/go_biodomain_results_part_14.csv
Logged runtime to: Experiment/DeepSeek/03-FXS-padj-0.1/D56/Temp_0.0/runtime_log.csv
