Running with TEMP=0.0, sub_array_index=1
Changed working directory to: /panfs/compbio/users/xran2/wen/JX/02-AI-BioDomain/git_folder
Processing array index 1: rows 0 to 49
GO Term: Gobp Transition Metal Ion Transport -> Biodomain: Molecular Transport and Homeostasis, Mitochondrial Function and Metabolism, Signal Transduction, Response to Stimulus, Intracellular Trafficking and Organelle Dynamics
GO Term: Gobp Dna Double Strand Break Processing -> Biodomain: DNA Repair, DNA Replication and Recombination, Signal Transduction, Cell Cycle, Epigenetic Regulation
GO Term: Gobp Formation Of Extrachromosomal Circular Dna -> Biodomain: DNA Repair, Epigenetic Regulation, Cell Cycle, Molecular Transport and Homeostasis, Response to Stimulus
GO Term: Gobp Pseudouridine Synthesis -> Biodomain: RNA Metabolism, Epigenetic Regulation, Transcription and Translation Machinery, Molecular Transport and Homeostasis, Response to Stimulus
GO Term: Gobp Ovulation From Ovarian Follicle -> Biodomain: Signal Transduction, System and Developmental Process, Cell Cycle, Structural Stabilization, Response to Stimulus
GO Term: Gobp Fatty Acid Alpha Oxidation -> Biodomain: Lipid Metabolism, Intracellular Trafficking and Organelle Dynamics, Mitochondrial Function and Metabolism, System and Developmental Process, Response to Stimulus
GO Term: Gobp Urogenital System Development -> Biodomain: System and Developmental Process, Cell Adhesion and Interaction, Cell Cycle, Structural Stabilization, Response to Stimulus
GO Term: Gobp Natural Killer Cell Proliferation -> Biodomain: Immune System and Inflammation, Cell Cycle, System and Developmental Process, Response to Stimulus, Signal Transduction
GO Term: Gobp Negative Regulation Of Cytokine Production -> Biodomain: Immune System and Inflammation, Signal Transduction, Response to Stimulus, Protein Metabolism and Trafficking, Epigenetic Regulation
GO Term: Gobp Blastocyst Formation -> Biodomain: System and Developmental Process, Cell Adhesion and Interaction, Cell Cycle, Structural Stabilization, Molecular Transport and Homeostasis
GO Term: Gobp Release Of Cytochrome C From Mitochondria -> Biodomain: Apoptosis, Mitochondrial Function and Metabolism, Signal Transduction, System and Developmental Process, Response to Stimulus
GO Term: Gobp Receptor Recycling -> Biodomain: Intracellular Trafficking and Organelle Dynamics, Protein Metabolism and Trafficking, Signal Transduction, Response to Stimulus, Molecular Transport and Homeostasis
GO Term: Gobp Maternal Placenta Development -> Biodomain: System and Developmental Process, Cell Adhesion and Interaction, Immune System and Inflammation, Response to Stimulus, Signal Transduction
GO Term: Gobp Cell Killing -> Biodomain: Apoptosis, Immune System and Inflammation, Response to Stimulus, System and Developmental Process, Cell Adhesion and Interaction
GO Term: Gobp Leukocyte Mediated Cytotoxicity -> Biodomain: Immune System and Inflammation, Signal Transduction, Cell Adhesion and Interaction, Response to Stimulus, Apoptosis
GO Term: Gobp Blood Vessel Maturation -> Biodomain: System and Developmental Process, Structural Stabilization, Cell Adhesion and Interaction, Signal Transduction, Response to Stimulus
GO Term: Gobp Regulation Of Systemic Arterial Blood Pressure By Circulatory Renin Angiotensin -> Biodomain: Signal Transduction, Molecular Transport and Homeostasis, Response to Stimulus, System and Developmental Process, Immune System and Inflammation
GO Term: Gobp Regulation Of Angiotensin Levels In Blood -> Biodomain: Molecular Transport and Homeostasis, Signal Transduction, Response to Stimulus, System and Developmental Process, Protein Metabolism and Trafficking
GO Term: Gobp Regulation Of L Glutamate Import Across Plasma Membrane -> Biodomain: Neurotransmission and Synaptic Regulation, Molecular Transport and Homeostasis, Signal Transduction, Response to Stimulus, Intracellular Trafficking and Organelle Dynamics
GO Term: Gobp Columnar Cuboidal Epithelial Cell Differentiation -> Biodomain: System and Developmental Process, Cell Adhesion and Interaction, Structural Stabilization, Neurodevelopment and Neuronal Differentiation, Response to Stimulus
GO Term: Gobp Columnar Cuboidal Epithelial Cell Maturation -> Biodomain: System and Developmental Process, Cell Adhesion and Interaction, Neurodevelopment and Neuronal Differentiation, Intracellular Trafficking and Organelle Dynamics, Molecular Transport and Homeostasis
GO Term: Gobp Osteoblast Development -> Biodomain: System and Developmental Process, Structural Stabilization, Cell Adhesion and Interaction, Signal Transduction, Response to Stimulus
GO Term: Gobp Regulation Of Oxidative Phosphorylation -> Biodomain: Mitochondrial Function and Metabolism, Signal Transduction, System and Developmental Process, Protein Metabolism and Trafficking, Molecular Transport and Homeostasis
GO Term: Gobp Auditory Receptor Cell Morphogenesis -> Biodomain: Neurodevelopment and Neuronal Differentiation, Structural Stabilization, System and Developmental Process, Response to Stimulus, Neurotransmission and Synaptic Regulation
GO Term: Gobp Osteoclast Proliferation -> Biodomain: Cell Cycle, System and Developmental Process, Immune System and Inflammation, Structural Stabilization, Signal Transduction
GO Term: Gobp Cytoplasmic Translation -> Biodomain: Transcription and Translation Machinery, Protein Metabolism and Trafficking, RNA Metabolism, Molecular Transport and Homeostasis, System and Developmental Process
GO Term: Gobp Cytoplasmic Translational Initiation -> Biodomain: Transcription and Translation Machinery, Protein Metabolism and Trafficking, Molecular Transport and Homeostasis, RNA Metabolism, System and Developmental Process
GO Term: Gobp Cap Dependent Translational Initiation -> Biodomain: Translation Machinery, Protein Metabolism and Trafficking, RNA Metabolism, Molecular Transport and Homeostasis, Signal Transduction
GO Term: Gobp Natural Killer Cell Mediated Immunity -> Biodomain: Immune System and Inflammation, Signal Transduction, Response to Stimulus, Cell Adhesion and Interaction, System and Developmental Process
GO Term: Gobp Organ Or Tissue Specific Immune Response -> Biodomain: Immune System and Inflammation, System and Developmental Process, Cell Adhesion and Interaction, Response to Stimulus, Signal Transduction
GO Term: Gobp T Cell Cytokine Production -> Biodomain: Immune System and Inflammation, Signal Transduction, Response to Stimulus, Cell Adhesion and Interaction, Epigenetic Regulation
GO Term: Gobp T Cell Mediated Immune Response To Tumor Cell -> Biodomain: Immune System and Inflammation, Signal Transduction, Response to Stimulus, Cell Adhesion and Interaction, System and Developmental Process
GO Term: Gobp Complement Receptor Mediated Signaling Pathway -> Biodomain: Immune System and Inflammation, Signal Transduction, Cell Adhesion and Interaction, Response to Stimulus, System and Developmental Process
GO Term: Gobp Immune Complex Clearance -> Biodomain: Immune System and Inflammation, Response to Stimulus, Molecular Transport and Homeostasis, Intracellular Trafficking and Organelle Dynamics, Protein Metabolism and Trafficking
GO Term: Gobp Tolerance Induction -> Biodomain: Immune System and Inflammation, Response to Stimulus, System and Developmental Process, Cell Adhesion and Interaction, Signal Transduction
GO Term: Gobp Production Of Molecular Mediator Involved In Inflammatory Response -> Biodomain: Immune System and Inflammation, Protein Metabolism and Trafficking, Response to Stimulus, Signal Transduction, Molecular Transport and Homeostasis
GO Term: Gobp Cytokine Production Involved In Inflammatory Response -> Biodomain: Immune System and Inflammation, Signal Transduction, Protein Metabolism and Trafficking, Response to Stimulus, Cell Adhesion and Interaction
GO Term: Gobp Monocyte Chemotaxis -> Biodomain: Immune System and Inflammation, Cell Adhesion and Interaction, Response to Stimulus, Signal Transduction, Molecular Transport and Homeostasis
GO Term: Gobp Somatic Diversification Of Immune Receptors Via Somatic Mutation -> Biodomain: Immune System and Inflammation, DNA Repair, Response to Stimulus, Signal Transduction, System and Developmental Process
GO Term: Gobp Regulation Of Immunoglobulin Production -> Biodomain: Immune System and Inflammation, Protein Metabolism and Trafficking, Signal Transduction, Response to Stimulus, Epigenetic Regulation
Saved results to: Experiment/DeepSeek/03-FXS-padj-0.1/D56/Temp_0.0/go_biodomain_results_part_1.csv
Logged runtime to: Experiment/DeepSeek/03-FXS-padj-0.1/D56/Temp_0.0/runtime_log.csv
