Running with TEMP=0.0, sub_array_index=2
Changed working directory to: /panfs/compbio/users/xran2/wen/JX/02-AI-BioDomain/git_folder
Processing array index 2: rows 50 to 99
GO Term: Gobp Regulation Of Tolerance Induction -> Biodomain: Immune System and Inflammation, Signal Transduction, System and Developmental Process, Epigenetic Regulation, Response to Stimulus
GO Term: Gobp Negative Regulation Of T Helper 1 Type Immune Response -> Biodomain: Immune System and Inflammation, Response to Stimulus, Signal Transduction, System and Developmental Process, Autophagy
GO Term: Gobp Positive Regulation Of T Helper 1 Type Immune Response -> Biodomain: Immune System and Inflammation, Signal Transduction, Response to Stimulus, Cell Adhesion and Interaction, System and Developmental Process
GO Term: Gobp Negative Regulation Of Response To Biotic Stimulus -> Biodomain: Immune System and Inflammation, Response to Stimulus, Signal Transduction, System and Developmental Process, Epigenetic Regulation
GO Term: Gobp Regulation Of Acute Inflammatory Response To Antigenic Stimulus -> Biodomain: Immune System and Inflammation, Response to Stimulus, Signal Transduction, Epigenetic Regulation, System and Developmental Process
GO Term: Gobp Positive Regulation Of Acute Inflammatory Response To Antigenic Stimulus -> Biodomain: Immune System and Inflammation, Signal Transduction, Response to Stimulus, Cell Adhesion and Interaction, System and Developmental Process
GO Term: Gobp Regulation Of Hypersensitivity -> Biodomain: Immune System and Inflammation, Signal Transduction, Response to Stimulus, Autophagy, Cell Adhesion and Interaction
GO Term: Gobp Desmosome Organization -> Biodomain: Cell Adhesion and Interaction, Structural Stabilization, System and Developmental Process, Intracellular Trafficking and Organelle Dynamics, Response to Stimulus
GO Term: Gobp Skeletal Muscle Contraction -> Biodomain: System and Developmental Process, Mitochondrial Function and Metabolism, Structural Stabilization, Neurotransmission and Synaptic Regulation, Response to Stimulus
GO Term: Gobp Voluntary Skeletal Muscle Contraction -> Biodomain: Structural Stabilization, System and Developmental Process, Molecular Transport and Homeostasis, Response to Stimulus, Signal Transduction
GO Term: Gobp Regulation Of The Force Of Heart Contraction By Chemical Signal -> Biodomain: Signal Transduction, Response to Stimulus, Molecular Transport and Homeostasis, System and Developmental Process, Neurotransmission and Synaptic Regulation
GO Term: Gobp Renal System Process Involved In Regulation Of Systemic Arterial Blood Pressure -> Biodomain: System and Developmental Process, Molecular Transport and Homeostasis, Response to Stimulus, Signal Transduction, Intracellular Trafficking and Organelle Dynamics
GO Term: Gobp Renal Control Of Peripheral Vascular Resistance Involved In Regulation Of Systemic Arterial Blood Pressure -> Biodomain: Response to Stimulus, Molecular Transport and Homeostasis, Signal Transduction, System and Developmental Process, Intracellular Trafficking and Organelle Dynamics
GO Term: Gobp Positive Regulation Of Systemic Arterial Blood Pressure -> Biodomain: Response to Stimulus, Signal Transduction, Molecular Transport and Homeostasis, System and Developmental Process, Intracellular Trafficking and Organelle Dynamics
GO Term: Gobp Negative Regulation Of Systemic Arterial Blood Pressure -> Biodomain: Signal Transduction, Response to Stimulus, System and Developmental Process, Molecular Transport and Homeostasis, Autophagy
GO Term: Gobp Morphogenesis Of An Endothelium -> Biodomain: System and Developmental Process, Cell Adhesion and Interaction, Structural Stabilization, Signal Transduction, Response to Stimulus
GO Term: Gobp Heart Valve Formation -> Biodomain: System and Developmental Process, Structural Stabilization, Cell Adhesion and Interaction, Signal Transduction, Response to Stimulus
GO Term: Gobp Atrioventricular Valve Formation -> Biodomain: System and Developmental Process, Cell Adhesion and Interaction, Structural Stabilization, Response to Stimulus, Signal Transduction
GO Term: Gobp Epithelial To Mesenchymal Transition Involved In Endocardial Cushion Formation -> Biodomain: System and Developmental Process, Cell Adhesion and Interaction, Structural Stabilization, Response to Stimulus, Signal Transduction
GO Term: Gobp Cardiac Atrium Morphogenesis -> Biodomain: System and Developmental Process, Structural Stabilization, Cell Adhesion and Interaction, Signal Transduction, Epigenetic Regulation
GO Term: Gobp Cardiac Left Ventricle Morphogenesis -> Biodomain: System and Developmental Process, Structural Stabilization, Molecular Transport and Homeostasis, Cell Adhesion and Interaction, Signal Transduction
GO Term: Gobp Cardiac Right Ventricle Morphogenesis -> Biodomain: System and Developmental Process, Structural Stabilization, Cell Adhesion and Interaction, Response to Stimulus, Signal Transduction
GO Term: Gobp Endocardial Cushion Formation -> Biodomain: System and Developmental Process, Neurodevelopment and Neuronal Differentiation, Structural Stabilization, Cell Adhesion and Interaction, Signal Transduction
GO Term: Gobp Endocardial Cushion Fusion -> Biodomain: Cell Adhesion and Interaction, System and Developmental Process, Structural Stabilization, Neurodevelopment and Neuronal Differentiation, Response to Stimulus
GO Term: Gobp Noradrenergic Neuron Differentiation -> Biodomain: Neurodevelopment and Neuronal Differentiation, Neurotransmission and Synaptic Regulation, System and Developmental Process, Cell Adhesion and Interaction, Signal Transduction
GO Term: Gobp Noradrenergic Neuron Development -> Biodomain: Neurodevelopment and Neuronal Differentiation, Neurotransmission and Synaptic Regulation, System and Developmental Process, Signal Transduction, Response to Stimulus
GO Term: Gobp Chondrocyte Hypertrophy -> Biodomain: System and Developmental Process, Structural Stabilization, Neurodevelopment and Neuronal Differentiation, Cell Adhesion and Interaction, Response to Stimulus
GO Term: Gobp Growth Plate Cartilage Development -> Biodomain: System and Developmental Process, Cell Adhesion and Interaction, Structural Stabilization, Response to Stimulus, Signal Transduction
GO Term: Gobp Growth Plate Cartilage Chondrocyte Differentiation -> Biodomain: System and Developmental Process, Neurodevelopment and Neuronal Differentiation, Structural Stabilization, Cell Adhesion and Interaction, Response to Stimulus
GO Term: Gobp Growth Plate Cartilage Chondrocyte Development -> Biodomain: System and Developmental Process, Structural Stabilization, Response to Stimulus, Cell Adhesion and Interaction, Signal Transduction
GO Term: Gobp Galactose Metabolic Process -> Biodomain: Metabolism, Enzyme Activity, Biochemical Pathways, Cellular Process, System and Developmental Process
GO Term: Gobp Mannose Metabolic Process -> Biodomain: Protein Metabolism and Trafficking, Lipid Metabolism, Molecular Transport and Homeostasis, System and Developmental Process, Response to Stimulus
GO Term: Gobp Cellular Glucan Metabolic Process -> Biodomain: Carbohydrate Metabolism, Molecular Transport and Homeostasis, Intracellular Trafficking and Organelle Dynamics, System and Developmental Process, Response to Stimulus
GO Term: Gobp Acetyl Coa Biosynthetic Process -> Biodomain: Lipid Metabolism, Mitochondrial Function and Metabolism, Molecular Transport and Homeostasis, Protein Metabolism and Trafficking, System and Developmental Process
GO Term: Gobp Acetyl Coa Biosynthetic Process From Pyruvate -> Biodomain: Mitochondrial Function and Metabolism, Metabolic Pathways, Energy Metabolism, Cellular Respiration, Biosynthetic Process
GO Term: Gobp Succinyl Coa Metabolic Process -> Biodomain: Mitochondrial Function and Metabolism, Lipid Metabolism, Protein Metabolism and Trafficking, Molecular Transport and Homeostasis, System and Developmental Process
GO Term: Gobp Succinate Metabolic Process -> Biodomain: Mitochondrial Function and Metabolism, Lipid Metabolism, Protein Metabolism and Trafficking, Molecular Transport and Homeostasis, System and Developmental Process
GO Term: Gobp Energy Reserve Metabolic Process -> Biodomain: Lipid Metabolism, Mitochondrial Function and Metabolism, Molecular Transport and Homeostasis, System and Developmental Process, Response to Stimulus
GO Term: Gobp Oxidative Phosphorylation -> Biodomain: Mitochondrial Function and Metabolism, Molecular Transport and Homeostasis, Signal Transduction, Protein Metabolism and Trafficking, Response to Stimulus
Saved results to: Experiment/DeepSeek/03-FXS-padj-0.1/D56/Temp_0.0/go_biodomain_results_part_2.csv
Logged runtime to: Experiment/DeepSeek/03-FXS-padj-0.1/D56/Temp_0.0/runtime_log.csv
