Running with TEMP=0.0, sub_array_index=11
Changed working directory to: /panfs/compbio/users/xran2/wen/JX/02-AI-BioDomain/git_folder
Processing array index 11: rows 500 to 549
GO Term: Gobp Perk Mediated Unfolded Protein Response -> Biodomain: Signal Transduction, Response to Stimulus, Transcription and Translation Machinery, Protein Metabolism and Trafficking, Molecular Transport and Homeostasis
GO Term: Gobp Gliogenesis -> Biodomain: Gliogenesis and Glial Differentiation, Neurodevelopment and Neuronal Differentiation, System and Developmental Process, Cell Cycle, Cell Adhesion and Interaction
GO Term: Gobp Regulation Of Catecholamine Metabolic Process -> Biodomain: Neurotransmission and Synaptic Regulation, Signal Transduction, Molecular Transport and Homeostasis, Response to Stimulus, System and Developmental Process
GO Term: Gobp Cell Migration Involved In Gastrulation -> Biodomain: System and Developmental Process, Cell Adhesion and Interaction, Neurodevelopment and Neuronal Differentiation, Response to Stimulus, Structural Stabilization
GO Term: Gobp Strand Invasion -> Biodomain: DNA Repair, Cell Cycle, Epigenetic Regulation, Transcription and Translation Machinery, Signal Transduction
GO Term: Gobp Lipoprotein Metabolic Process -> Biodomain: Lipid Metabolism, Molecular Transport and Homeostasis, Protein Metabolism and Trafficking, System and Developmental Process, Response to Stimulus
GO Term: Gobp Regulation Of Protein Catabolic Process -> Biodomain: Protein Metabolism and Trafficking, Signal Transduction, Intracellular Trafficking and Organelle Dynamics, Response to Stimulus, Molecular Transport and Homeostasis
GO Term: Gobp Ribosome Biogenesis -> Biodomain: Transcription and Translation Machinery, RNA Metabolism, Protein Metabolism and Trafficking, Intracellular Trafficking and Organelle Dynamics, Molecular Transport and Homeostasis
GO Term: Gobp Protection From Natural Killer Cell Mediated Cytotoxicity -> Biodomain: Immune System and Inflammation, Signal Transduction, Response to Stimulus, Cell Adhesion and Interaction, System and Developmental Process
GO Term: Gobp Ribosomal Small Subunit Biogenesis -> Biodomain: Protein Metabolism and Trafficking, Transcription and Translation Machinery, Intracellular Trafficking and Organelle Dynamics, RNA Metabolism, System and Developmental Process
GO Term: Gobp Negative Regulation Of Protein Import Into Nucleus -> Biodomain: Molecular Transport and Homeostasis, Intracellular Trafficking and Organelle Dynamics, Protein Metabolism and Trafficking, Signal Transduction, Response to Stimulus
GO Term: Gobp Negative Regulation Of Phosphorylation -> Biodomain: Signal Transduction, Response to Stimulus, Protein Metabolism and Trafficking, System and Developmental Process, Molecular Transport and Homeostasis
GO Term: Gobp Keratan Sulfate Metabolic Process -> Biodomain: Lipid Metabolism, Protein Metabolism and Trafficking, Molecular Transport and Homeostasis, System and Developmental Process, Response to Stimulus
GO Term: Gobp Water Soluble Vitamin Biosynthetic Process -> Biodomain: Molecular Transport and Homeostasis, Mitochondrial Function and Metabolism, System and Developmental Process, Lipid Metabolism, Protein Metabolism and Trafficking
GO Term: Gobp Dopamine Biosynthetic Process -> Biodomain: Neurotransmission and Synaptic Regulation, Protein Metabolism and Trafficking, Molecular Transport and Homeostasis, Response to Stimulus, Lipid Metabolism
GO Term: Gobp Serotonin Metabolic Process -> Biodomain: Monoamine and Amine Metabolism, Neurotransmitter Metabolism, Neurotransmission and Synaptic Regulation, Hormonal and Regulatory Processes, Small Molecule Metabolism
GO Term: Gobp Ribonucleoside Catabolic Process -> Biodomain: RNA Metabolism, Lipid Metabolism, Molecular Transport and Homeostasis, Mitochondrial Function and Metabolism, Response to Stimulus
GO Term: Gobp Middle Ear Morphogenesis -> Biodomain: System and Developmental Process, Structural Stabilization, Neurodevelopment and Neuronal Differentiation, Cell Adhesion and Interaction, Response to Stimulus
GO Term: Gobp Inner Ear Auditory Receptor Cell Differentiation -> Biodomain: Neurodevelopment and Neuronal Differentiation, System and Developmental Process, Neurotransmission and Synaptic Regulation, Cell Adhesion and Interaction, Response to Stimulus
GO Term: Gobp Positive Regulation Of Tyrosine Phosphorylation Of Stat Protein -> Biodomain: Signal Transduction, Immune System and Inflammation, Response to Stimulus, Protein Metabolism and Trafficking, Transcription and Translation Machinery
GO Term: Gobp Negative Regulation Of Tyrosine Phosphorylation Of Stat Protein -> Biodomain: Signal Transduction, Immune System and Inflammation, Protein Metabolism and Trafficking, Epigenetic Regulation, Response to Stimulus
GO Term: Gobp Superoxide Anion Generation -> Biodomain: Response to Stimulus, Signal Transduction, Mitochondrial Function and Metabolism, Molecular Transport and Homeostasis, Immune System and Inflammation
GO Term: Gobp Sperm Ejaculation -> Biodomain: System and Developmental Process, Response to Stimulus, Cell Adhesion and Interaction, Molecular Transport and Homeostasis, Signal Transduction
GO Term: Gobp Circadian Sleep Wake Cycle Rem Sleep -> Biodomain: Neurotransmission and Synaptic Regulation, System and Developmental Process, Response to Stimulus, Molecular Transport and Homeostasis, Cell Cycle
GO Term: Gobp Eating Behavior -> Biodomain: System and Developmental Process, Response to Stimulus, Molecular Transport and Homeostasis, Signal Transduction, Lipid Metabolism
GO Term: Gobp Atp Synthesis Coupled Electron Transport -> Biodomain: Mitochondrial Function and Metabolism, Molecular Transport and Homeostasis, Signal Transduction, Response to Stimulus, System and Developmental Process
GO Term: Gobp Activation Of Janus Kinase Activity -> Biodomain: Signal Transduction, Immune System and Inflammation, Transcription and Translation Machinery, Intracellular Trafficking and Organelle Dynamics, Response to Stimulus
GO Term: Gobp Dna Methylation Involved In Embryo Development -> Biodomain: Epigenetic Regulation, System and Developmental Process, Transcription and Translation Machinery, Response to Stimulus, Neurodevelopment and Neuronal Differentiation
GO Term: Gobp Amino Acid Salvage -> Biodomain: Protein Metabolism and Trafficking, Molecular Transport and Homeostasis, Lipid Metabolism, Response to Stimulus, System and Developmental Process
GO Term: Gobp Receptor Metabolic Process -> Biodomain: Signal Transduction, Protein Metabolism and Trafficking, Molecular Transport and Homeostasis, Response to Stimulus, System and Developmental Process
GO Term: Gobp Positive Regulation Of I Kappab Kinase Nf Kappab Signaling -> Biodomain: Immune System and Inflammation, Signal Transduction, Response to Stimulus, Transcription and Translation Machinery, Intracellular Trafficking and Organelle Dynamics
GO Term: Gobp Negative Regulation Of I Kappab Kinase Nf Kappab Signaling -> Biodomain: Immune System and Inflammation, Signal Transduction, Response to Stimulus, Transcription and Translation Machinery, System and Developmental Process
GO Term: Gobp Apoptotic Cell Clearance -> Biodomain: Apoptosis, Immune System and Inflammation, Cell Adhesion and Interaction, Response to Stimulus, System and Developmental Process
Saved results to: Experiment/DeepSeek/03-FXS-padj-0.1/D56/Temp_0.0/go_biodomain_results_part_11.csv
Logged runtime to: Experiment/DeepSeek/03-FXS-padj-0.1/D56/Temp_0.0/runtime_log.csv
