Running with TEMP=0.0, sub_array_index=6
Changed working directory to: /panfs/compbio/users/xran2/wen/JX/02-AI-BioDomain/git_folder
Processing array index 6: rows 250 to 299
GO Term: Gobp Positive Regulation Of Triglyceride Biosynthetic Process -> Biodomain: Lipid Metabolism, Molecular Transport and Homeostasis, Intracellular Trafficking and Organelle Dynamics, Protein Metabolism and Trafficking, Signal Transduction
GO Term: Gobp Regulation Of Serotonin Secretion -> Biodomain: Neurotransmission and Synaptic Regulation, Molecular Transport and Homeostasis, Signal Transduction, Intracellular Trafficking and Organelle Dynamics, System and Developmental Process
GO Term: Gobp Negative Regulation Of Serotonin Secretion -> Biodomain: Neurotransmission and Synaptic Regulation, Signal Transduction, Molecular Transport and Homeostasis, Response to Stimulus, System and Developmental Process
GO Term: Gobp Negative Regulation Of Phosphatidylinositol 3 Kinase Signaling -> Biodomain: Signal Transduction, Intracellular Trafficking and Organelle Dynamics, System and Developmental Process, Lipid Metabolism, Response to Stimulus
GO Term: Gobp Skeletal Muscle Satellite Cell Activation -> Biodomain: Cell Cycle, Signal Transduction, Response to Stimulus, System and Developmental Process, Neurodevelopment and Neuronal Differentiation
GO Term: Gobp Regulation Of Skeletal Muscle Contraction By Calcium Ion Signaling -> Biodomain: Signal Transduction, System and Developmental Process, Molecular Transport and Homeostasis, Response to Stimulus, Intracellular Trafficking and Organelle Dynamics
GO Term: Gobp Regulation Of Muscle Hypertrophy -> Biodomain: System and Developmental Process, Response to Stimulus, Signal Transduction, Protein Metabolism and Trafficking, Molecular Transport and Homeostasis
GO Term: Gobp Smooth Muscle Adaptation -> Biodomain: Response to Stimulus, System and Developmental Process, Structural Stabilization, Mitochondrial Function and Metabolism, Signal Transduction
GO Term: Gobp Skeletal Muscle Satellite Cell Differentiation -> Biodomain: System and Developmental Process, Neurodevelopment and Neuronal Differentiation, Cell Cycle, Cell Adhesion and Interaction, Signal Transduction
GO Term: Gobp Regulation Of Skeletal Muscle Contraction -> Biodomain: System and Developmental Process, Response to Stimulus, Signal Transduction, Molecular Transport and Homeostasis, Structural Stabilization
GO Term: Gobp Negative Regulation Of Skeletal Muscle Cell Proliferation -> Biodomain: Cell Cycle, System and Developmental Process, Signal Transduction, Structural Stabilization, Response to Stimulus
GO Term: Gobp Response To Muscle Inactivity -> Biodomain: Response to Stimulus, System and Developmental Process, Signal Transduction, Molecular Transport and Homeostasis, Cell Adhesion and Interaction
GO Term: Gobp Myoblast Fusion Involved In Skeletal Muscle Regeneration -> Biodomain: Cell Adhesion and Interaction, Neurodevelopment and Neuronal Differentiation, System and Developmental Process, Structural Stabilization, Response to Stimulus
GO Term: Gobp Myotube Differentiation Involved In Skeletal Muscle Regeneration -> Biodomain: System and Developmental Process, Neurodevelopment and Neuronal Differentiation, Cell Adhesion and Interaction, Cell Cycle, Structural Stabilization
GO Term: Gobp Carbon Dioxide Transport -> Biodomain: Molecular Transport and Homeostasis, System and Developmental Process, Mitochondrial Function and Metabolism, Signal Transduction, Response to Stimulus
GO Term: Gobp Tryptophan Transport -> Biodomain: Molecular Transport and Homeostasis, Protein Metabolism and Trafficking, Intracellular Trafficking and Organelle Dynamics, Lipid Metabolism, Response to Stimulus
GO Term: Gobp Atp Transport -> Biodomain: Molecular Transport and Homeostasis, Mitochondrial Function and Metabolism, Intracellular Trafficking and Organelle Dynamics, Protein Metabolism and Trafficking, Signal Transduction
GO Term: Gobp Norepinephrine Transport -> Biodomain: Neurotransmission and Synaptic Regulation, Molecular Transport and Homeostasis, System and Developmental Process, Neurodevelopment and Neuronal Differentiation, Signal Transduction
GO Term: Gobp Nucleobase Containing Small Molecule Interconversion -> Biodomain: RNA Metabolism, Mitochondrial Function and Metabolism, Molecular Transport and Homeostasis, Protein Metabolism and Trafficking, Signal Transduction
GO Term: Gobp Viral Process -> Biodomain: Immune System and Inflammation, Transcription and Translation Machinery, Intracellular Trafficking and Organelle Dynamics, Response to Stimulus, Signal Transduction
GO Term: Gobp Cell Growth -> Biodomain: Cell Cycle, System and Developmental Process, Protein Metabolism and Trafficking, Molecular Transport and Homeostasis, Response to Stimulus
GO Term: Gobp Vesicle Organization -> Biodomain: Intracellular Trafficking and Organelle Dynamics, Protein Metabolism and Trafficking, Molecular Transport and Homeostasis, Mitochondrial Function and Metabolism, Signal Transduction
GO Term: Gobp Terpenoid Catabolic Process -> Biodomain: Lipid Metabolism, Protein Metabolism and Trafficking, Response to Stimulus, Intracellular Trafficking and Organelle Dynamics, Molecular Transport and Homeostasis
GO Term: Gobp Positive Regulation Of Macroautophagy -> Biodomain: Autophagy, Signal Transduction, Intracellular Trafficking and Organelle Dynamics, Protein Metabolism and Trafficking, Response to Stimulus
GO Term: Gobp Female Meiosis Chromosome Segregation -> Biodomain: Cell Cycle, System and Developmental Process, Response to Stimulus, Structural Stabilization, DNA Repair
GO Term: Gobp Protein Import Into Peroxisome Matrix Receptor Recycling -> Biodomain: Intracellular Trafficking and Organelle Dynamics, Protein Metabolism and Trafficking, Molecular Transport and Homeostasis, Response to Stimulus, System and Developmental Process
GO Term: Gobp Protein Import -> Biodomain: Intracellular Trafficking and Organelle Dynamics, Protein Metabolism and Trafficking, Molecular Transport and Homeostasis, Mitochondrial Function and Metabolism, System and Developmental Process
GO Term: Gobp Peptidyl Proline Modification -> Biodomain: Protein Metabolism and Trafficking, Signal Transduction, Molecular Transport and Homeostasis, Epigenetic Regulation, Response to Stimulus
GO Term: Gobp Peptidyl Proline Hydroxylation To 4 Hydroxy L Proline -> Biodomain: Protein Metabolism and Trafficking, Signal Transduction, Structural Stabilization, Cell Adhesion and Interaction, Molecular Transport and Homeostasis
GO Term: Gobp Viral Release From Host Cell -> Biodomain: Cell Adhesion and Interaction, System and Developmental Process, Response to Stimulus, Immune System and Inflammation, Structural Stabilization
GO Term: Gobp Reproductive Behavior -> Biodomain: System and Developmental Process, Response to Stimulus, Signal Transduction, Neurotransmission and Synaptic Regulation, Cell Adhesion and Interaction
GO Term: Gobp Pentose Metabolic Process -> Biodomain: RNA Metabolism, Molecular Transport and Homeostasis, Mitochondrial Function and Metabolism, System and Developmental Process, Response to Stimulus
GO Term: Gobp Dolichol Metabolic Process -> Biodomain: Lipid Metabolism, Protein Metabolism and Trafficking, Intracellular Trafficking and Organelle Dynamics, Molecular Transport and Homeostasis, System and Developmental Process
GO Term: Gobp Lipoxygenase Pathway -> Biodomain: Lipid Metabolism, Immune System and Inflammation, Signal Transduction, Molecular Transport and Homeostasis, Response to Stimulus
GO Term: Gobp Peptidyl Proline Hydroxylation -> Biodomain: Protein Metabolism and Trafficking, Structural Stabilization, Intracellular Trafficking and Organelle Dynamics, Signal Transduction, Molecular Transport and Homeostasis
GO Term: Gobp Taurine Metabolic Process -> Biodomain: Lipid Metabolism, Protein Metabolism and Trafficking, Molecular Transport and Homeostasis, Mitochondrial Function and Metabolism, System and Developmental Process
Saved results to: Experiment/DeepSeek/03-FXS-padj-0.1/D56/Temp_0.0/go_biodomain_results_part_6.csv
Logged runtime to: Experiment/DeepSeek/03-FXS-padj-0.1/D56/Temp_0.0/runtime_log.csv
