Running with TEMP=0.0, sub_array_index=21
Changed working directory to: /panfs/compbio/users/xran2/wen/JX/02-AI-BioDomain/git_folder
Processing array index 21: rows 1000 to 1049
GO Term: Gobp Mitochondrial Outer Membrane Permeabilization Involved In Programmed Cell Death -> Biodomain: Apoptosis, Mitochondrial Function and Metabolism, Intracellular Trafficking and Organelle Dynamics, Immune System and Inflammation, Signal Transduction
GO Term: Gobp Positive Regulation Of Er Associated Ubiquitin Dependent Protein Catabolic Process -> Biodomain: Protein Metabolism and Trafficking, Intracellular Trafficking and Organelle Dynamics, Autophagy, Response to Stimulus, Epigenetic Regulation
GO Term: Gobp Protein Localization To Condensed Chromosome -> Biodomain: Cell Cycle, Structural Stabilization, Epigenetic Regulation, Transcription and Translation Machinery, DNA Repair
GO Term: Gobp Regulation Of Trail Activated Apoptotic Signaling Pathway -> Biodomain: Apoptosis, Signal Transduction, Immune System and Inflammation, Cell Cycle, Response to Stimulus
GO Term: Gobp Negative Regulation Of Protein Targeting To Mitochondrion -> Biodomain: Mitochondrial Function and Metabolism, Protein Metabolism and Trafficking, Intracellular Trafficking and Organelle Dynamics, Molecular Transport and Homeostasis, Signal Transduction
GO Term: Gobp Negative Regulation Of Protein Modification By Small Protein Conjugation Or Removal -> Biodomain: Protein Metabolism and Trafficking, Signal Transduction, Response to Stimulus, Epigenetic Regulation, System and Developmental Process
GO Term: Gobp Regulation Of Endoplasmic Reticulum Tubular Network Organization -> Biodomain: Intracellular Trafficking and Organelle Dynamics, Protein Metabolism and Trafficking, Lipid Metabolism, Structural Stabilization, Molecular Transport and Homeostasis
GO Term: Gobp Liposaccharide Metabolic Process -> Biodomain: Immune System and Inflammation, Lipid Metabolism, Response to Stimulus, Molecular Transport and Homeostasis, Signal Transduction
GO Term: Gobp Endoplasmic Reticulum To Cytosol Transport -> Biodomain: Intracellular Trafficking and Organelle Dynamics, Protein Metabolism and Trafficking, Molecular Transport and Homeostasis, Response to Stimulus, System and Developmental Process
GO Term: Gobp Negative Regulation Of Response To Endoplasmic Reticulum Stress -> Biodomain: Protein Metabolism and Trafficking, Response to Stimulus, Signal Transduction, Intracellular Trafficking and Organelle Dynamics, Autophagy
GO Term: Gobp Regulation Of Gap Junction Assembly -> Biodomain: Cell Adhesion and Interaction, Signal Transduction, Molecular Transport and Homeostasis, System and Developmental Process, Response to Stimulus
GO Term: Gobp Positive Regulation Of Gap Junction Assembly -> Biodomain: Cell Adhesion and Interaction, Signal Transduction, Molecular Transport and Homeostasis, System and Developmental Process, Response to Stimulus
GO Term: Gobp Regulation Of Aerobic Respiration -> Biodomain: Mitochondrial Function and Metabolism, Signal Transduction, System and Developmental Process, Molecular Transport and Homeostasis, Response to Stimulus
GO Term: Gobp Negative Regulation Of P38Mapk Cascade -> Biodomain: Signal Transduction, Response to Stimulus, Immune System and Inflammation, Cell Cycle, Transcription and Translation Machinery
GO Term: Gobp Regulation Of Amino Acid Transmembrane Transport -> Biodomain: Molecular Transport and Homeostasis, Protein Metabolism and Trafficking, Signal Transduction, Response to Stimulus, System and Developmental Process
GO Term: Gobp Negative Regulation Of Voltage Gated Potassium Channel Activity -> Biodomain: Neurotransmission and Synaptic Regulation, Signal Transduction, Molecular Transport and Homeostasis, Response to Stimulus, System and Developmental Process
GO Term: Gobp Regulation Of Cellular Response To Transforming Growth Factor Beta Stimulus -> Biodomain: Signal Transduction, Response to Stimulus, Intracellular Trafficking and Organelle Dynamics, System and Developmental Process, Cell Adhesion and Interaction
GO Term: Gobp Regulation Of Ire1 Mediated Unfolded Protein Response -> Biodomain: Response to Stimulus, Protein Metabolism and Trafficking, Signal Transduction, Intracellular Trafficking and Organelle Dynamics, Apoptosis
GO Term: Gobp Negative Regulation Of Ire1 Mediated Unfolded Protein Response -> Biodomain: Protein Metabolism and Trafficking, Response to Stimulus, Signal Transduction, Intracellular Trafficking and Organelle Dynamics, Molecular Transport and Homeostasis
GO Term: Gobp Positive Regulation Of Ire1 Mediated Unfolded Protein Response -> Biodomain: Protein Metabolism and Trafficking, Intracellular Trafficking and Organelle Dynamics, Response to Stimulus, Signal Transduction, Molecular Transport and Homeostasis
GO Term: Gobp Regulation Of Perk Mediated Unfolded Protein Response -> Biodomain: Response to Stimulus, Protein Metabolism and Trafficking, Signal Transduction, Intracellular Trafficking and Organelle Dynamics, Apoptosis
GO Term: Gobp Negative Regulation Of Perk Mediated Unfolded Protein Response -> Biodomain: Signal Transduction, Protein Metabolism and Trafficking, Response to Stimulus, Molecular Transport and Homeostasis, Intracellular Trafficking and Organelle Dynamics
GO Term: Gobp Positive Regulation Of Viral Life Cycle -> Biodomain: Response to Stimulus, Immune System and Inflammation, Signal Transduction, Transcription and Translation Machinery, Intracellular Trafficking and Organelle Dynamics
GO Term: Gobp Positive Regulation Of Receptor Clustering -> Biodomain: Signal Transduction, Cell Adhesion and Interaction, System and Developmental Process, Protein Metabolism and Trafficking, Response to Stimulus
GO Term: Gobp Negative Regulation Of Endoplasmic Reticulum Stress Induced Eif2 Alpha Phosphorylation -> Biodomain: Protein Metabolism and Trafficking, Signal Transduction, Transcription and Translation Machinery, Response to Stimulus, Apoptosis
GO Term: Gobp Regulation Of Dna Primase Activity -> Biodomain: DNA Repair, Cell Cycle, Transcription and Translation Machinery, Signal Transduction, Response to Stimulus
GO Term: Gobp Regulation Of Hepatocyte Apoptotic Process -> Biodomain: Apoptosis, System and Developmental Process, Signal Transduction, Response to Stimulus, Cell Cycle
GO Term: Gobp Regulation Of Retrograde Protein Transport Er To Cytosol -> Biodomain: Intracellular Trafficking and Organelle Dynamics, Protein Metabolism and Trafficking, Molecular Transport and Homeostasis, Response to Stimulus, Signal Transduction
GO Term: Gobp Regulation Of Erad Pathway -> Biodomain: Protein Metabolism and Trafficking, Intracellular Trafficking and Organelle Dynamics, Response to Stimulus, Signal Transduction, Molecular Transport and Homeostasis
GO Term: Gobp Positive Regulation Of Erad Pathway -> Biodomain: Protein Metabolism and Trafficking, Intracellular Trafficking and Organelle Dynamics, Molecular Transport and Homeostasis, Response to Stimulus, Mitochondrial Function and Metabolism
GO Term: Gobp Negative Regulation Of Protein Localization To Cell Periphery -> Biodomain: Intracellular Trafficking and Organelle Dynamics, Signal Transduction, Response to Stimulus, Structural Stabilization, Protein Metabolism and Trafficking
GO Term: Gobp Positive Regulation Of Nitric Oxide Metabolic Process -> Biodomain: Signal Transduction, Immune System and Inflammation, Response to Stimulus, Molecular Transport and Homeostasis, Neurotransmission and Synaptic Regulation
GO Term: Gobp Negative Regulation Of Somatic Stem Cell Population Maintenance -> Biodomain: System and Developmental Process, Neurodevelopment and Neuronal Differentiation, Cell Cycle, Signal Transduction, Epigenetic Regulation
GO Term: Gobp Regulation Of Metalloendopeptidase Activity -> Biodomain: Protein Metabolism and Trafficking, Signal Transduction, Molecular Transport and Homeostasis, Response to Stimulus, Intracellular Trafficking and Organelle Dynamics
GO Term: Gobp Negative Regulation Of Metalloendopeptidase Activity -> Biodomain: Protein Metabolism and Trafficking, Signal Transduction, Response to Stimulus, Molecular Transport and Homeostasis, System and Developmental Process
GO Term: Gobp Positive Regulation Of Telomerase Rna Localization To Cajal Body -> Biodomain: RNA Metabolism, DNA Repair, Intracellular Trafficking and Organelle Dynamics, Epigenetic Regulation, Response to Stimulus
GO Term: Gobp Regulation Of Receptor Signaling Pathway Via Stat -> Biodomain: Signal Transduction, Immune System and Inflammation, Response to Stimulus, Epigenetic Regulation, Transcription and Translation Machinery
Saved results to: Experiment/DeepSeek/03-FXS-padj-0.1/D56/Temp_0.0/go_biodomain_results_part_21.csv
Logged runtime to: Experiment/DeepSeek/03-FXS-padj-0.1/D56/Temp_0.0/runtime_log.csv
