Running with TEMP=0.0, sub_array_index=20
Changed working directory to: /panfs/compbio/users/xran2/wen/JX/02-AI-BioDomain/git_folder
Processing array index 20: rows 950 to 999
GO Term: Gobp Negative Regulation Of Cold Induced Thermogenesis -> Biodomain: Response to Stimulus, Mitochondrial Function and Metabolism, Signal Transduction, System and Developmental Process, Molecular Transport and Homeostasis
GO Term: Gobp Positive Regulation Of Endoplasmic Reticulum Unfolded Protein Response -> Biodomain: Protein Metabolism and Trafficking, Intracellular Trafficking and Organelle Dynamics, Response to Stimulus, Signal Transduction, Molecular Transport and Homeostasis
GO Term: Gobp Regulation Of Nodal Signaling Pathway -> Biodomain: Signal Transduction, System and Developmental Process, Response to Stimulus, Cell Adhesion and Interaction, Transcription and Translation Machinery
GO Term: Gobp Regulation Of Receptor Binding -> Biodomain: Signal Transduction, Response to Stimulus, Molecular Transport and Homeostasis, Cell Adhesion and Interaction, Immune System and Inflammation
GO Term: Gobp Regulation Of Phenotypic Switching -> Biodomain: Response to Stimulus, Cell Cycle, Signal Transduction, System and Developmental Process, Epigenetic Regulation
GO Term: Gobp Regulation Of Dna Directed Dna Polymerase Activity -> Biodomain: DNA Repair, Signal Transduction, Epigenetic Regulation, Cell Cycle, Transcription and Translation Machinery
GO Term: Gobp Regulation Of Mitochondrial Outer Membrane Permeabilization Involved In Apoptotic Signaling Pathway -> Biodomain: Apoptosis, Mitochondrial Function and Metabolism, Signal Transduction, Response to Stimulus, Cell Cycle
GO Term: Gobp Negative Regulation Of Mitochondrial Outer Membrane Permeabilization Involved In Apoptotic Signaling Pathway -> Biodomain: Apoptosis, Mitochondrial Function and Metabolism, Signal Transduction, Response to Stimulus, Protein Metabolism and Trafficking
GO Term: Gobp Negative Regulation Of Nik Nf Kappab Signaling -> Biodomain: Immune System and Inflammation, Signal Transduction, Response to Stimulus, System and Developmental Process, Transcription and Translation Machinery
GO Term: Gobp Succinyl Coa Catabolic Process -> Biodomain: Mitochondrial Function and Metabolism, Lipid Metabolism, Protein Metabolism and Trafficking, Molecular Transport and Homeostasis, System and Developmental Process
GO Term: Gobp Regulation Of Hydrogen Peroxide Mediated Programmed Cell Death -> Biodomain: Apoptosis, Response to Stimulus, Signal Transduction, Mitochondrial Function and Metabolism, Cell Cycle
GO Term: Gobp Negative Regulation Of Potassium Ion Transmembrane Transport -> Biodomain: Molecular Transport and Homeostasis, Signal Transduction, Response to Stimulus, Neurotransmission and Synaptic Regulation, System and Developmental Process
GO Term: Gobp Organonitrogen Compound Catabolic Process -> Biodomain: Protein Metabolism and Trafficking, Lipid Metabolism, Molecular Transport and Homeostasis, Response to Stimulus, System and Developmental Process
GO Term: Gobp Organonitrogen Compound Biosynthetic Process -> Biodomain: Protein Metabolism and Trafficking, RNA Metabolism, Transcription and Translation Machinery, Molecular Transport and Homeostasis, System and Developmental Process
GO Term: Gobp Fatty Acid Derivative Biosynthetic Process -> Biodomain: Lipid Metabolism, Molecular Transport and Homeostasis, Protein Metabolism and Trafficking, Signal Transduction, Response to Stimulus
GO Term: Gobp Regulation Of Superoxide Dismutase Activity -> Biodomain: Response to Stimulus, Signal Transduction, Mitochondrial Function and Metabolism, Molecular Transport and Homeostasis, System and Developmental Process
GO Term: Gobp Positive Regulation Of Signal Transduction By P53 Class Mediator -> Biodomain: Signal Transduction, DNA Repair, Apoptosis, Cell Cycle, Response to Stimulus
GO Term: Gobp Negative Regulation Of Proteasomal Protein Catabolic Process -> Biodomain: Protein Metabolism and Trafficking, Signal Transduction, Intracellular Trafficking and Organelle Dynamics, Molecular Transport and Homeostasis, System and Developmental Process
GO Term: Gobp Positive Regulation Of Proteasomal Protein Catabolic Process -> Biodomain: Protein Metabolism and Trafficking, Intracellular Trafficking and Organelle Dynamics, Molecular Transport and Homeostasis, Response to Stimulus, System and Developmental Process
GO Term: Gobp Regulation Of Cell Cycle Checkpoint -> Biodomain: Cell Cycle, Signal Transduction, DNA Repair, Response to Stimulus, System and Developmental Process
GO Term: Gobp Negative Regulation Of Cell Cycle Checkpoint -> Biodomain: Cell Cycle, Signal Transduction, DNA Repair, System and Developmental Process, Response to Stimulus
GO Term: Gobp Toxin Transport -> Biodomain: Molecular Transport and Homeostasis, Response to Stimulus, Intracellular Trafficking and Organelle Dynamics, Signal Transduction, Immune System and Inflammation
GO Term: Gobp Negative Regulation Of Cilium Assembly -> Biodomain: Structural Stabilization, Signal Transduction, System and Developmental Process, Response to Stimulus, Intracellular Trafficking and Organelle Dynamics
GO Term: Gobp Regulation Of Mitochondrial Membrane Permeability Involved In Apoptotic Process -> Biodomain: Apoptosis, Mitochondrial Function and Metabolism, Molecular Transport and Homeostasis, Signal Transduction, Response to Stimulus
GO Term: Gobp Regulation Of Oxidative Stress Induced Intrinsic Apoptotic Signaling Pathway -> Biodomain: Apoptosis, Response to Stimulus, Signal Transduction, Mitochondrial Function and Metabolism, DNA Repair
GO Term: Gobp Negative Regulation Of Oxidative Stress Induced Intrinsic Apoptotic Signaling Pathway -> Biodomain: Apoptosis, Response to Stimulus, Signal Transduction, Molecular Transport and Homeostasis, Mitochondrial Function and Metabolism
GO Term: Gobp Regulation Of Endoplasmic Reticulum Stress Induced Intrinsic Apoptotic Signaling Pathway -> Biodomain: Apoptosis, Intracellular Trafficking and Organelle Dynamics, Protein Metabolism and Trafficking, Response to Stimulus, Signal Transduction
GO Term: Gobp Negative Regulation Of Endoplasmic Reticulum Stress Induced Intrinsic Apoptotic Signaling Pathway -> Biodomain: Apoptosis, Intracellular Trafficking and Organelle Dynamics, Signal Transduction, Protein Metabolism and Trafficking, Response to Stimulus
GO Term: Gobp Positive Regulation Of Endoplasmic Reticulum Stress Induced Intrinsic Apoptotic Signaling Pathway -> Biodomain: Apoptosis, Intracellular Trafficking and Organelle Dynamics, Signal Transduction, Response to Stimulus, System and Developmental Process
GO Term: Gobp Positive Regulation Of Intrinsic Apoptotic Signaling Pathway By P53 Class Mediator -> Biodomain: Apoptosis, Signal Transduction, DNA Repair, Response to Stimulus, Transcription and Translation Machinery
GO Term: Gobp Cell Cycle Dna Replication Initiation -> Biodomain: Cell Cycle, DNA Repair, Transcription and Translation Machinery, Signal Transduction, System and Developmental Process
GO Term: Gobp Positive Regulation Of Sodium Ion Transmembrane Transport -> Biodomain: Molecular Transport and Homeostasis, Response to Stimulus, Signal Transduction, System and Developmental Process, Intracellular Trafficking and Organelle Dynamics
GO Term: Gobp Regulation Of Mrna Binding -> Biodomain: RNA Metabolism, Epigenetic Regulation, Transcription and Translation Machinery, Protein Metabolism and Trafficking, Molecular Transport and Homeostasis
GO Term: Gobp Regulation Of Attachment Of Mitotic Spindle Microtubules To Kinetochore -> Biodomain: Cell Cycle, Structural Stabilization, Signal Transduction, Intracellular Trafficking and Organelle Dynamics, System and Developmental Process
GO Term: Gobp Regulation Of Protein Autoubiquitination -> Biodomain: Protein Metabolism and Trafficking, Intracellular Trafficking and Organelle Dynamics, Signal Transduction, Response to Stimulus, Epigenetic Regulation
GO Term: Gobp Regulation Of Intracellular Signal Transduction -> Biodomain: Signal Transduction, Molecular Transport and Homeostasis, Protein Metabolism and Trafficking, Intracellular Trafficking and Organelle Dynamics, System and Developmental Process
GO Term: Gobp Negative Regulation Of Intracellular Signal Transduction -> Biodomain: Signal Transduction, Response to Stimulus, Intracellular Trafficking and Organelle Dynamics, Molecular Transport and Homeostasis, System and Developmental Process
GO Term: Gobp Positive Regulation Of Intracellular Signal Transduction -> Biodomain: Signal Transduction, Intracellular Trafficking and Organelle Dynamics, Response to Stimulus, Protein Metabolism and Trafficking, System and Developmental Process
GO Term: Gobp Negative Regulation Of Cellular Response To Vascular Endothelial Growth Factor Stimulus -> Biodomain: Signal Transduction, Response to Stimulus, System and Developmental Process, Molecular Transport and Homeostasis, Cell Adhesion and Interaction
GO Term: Gobp Proton Transmembrane Transport -> Biodomain: Molecular Transport and Homeostasis, Mitochondrial Function and Metabolism, Intracellular Trafficking and Organelle Dynamics, Signal Transduction, Response to Stimulus
Saved results to: Experiment/DeepSeek/03-FXS-padj-0.1/D56/Temp_0.0/go_biodomain_results_part_20.csv
Logged runtime to: Experiment/DeepSeek/03-FXS-padj-0.1/D56/Temp_0.0/runtime_log.csv
