Running with TEMP=0.0, sub_array_index=25
Changed working directory to: /panfs/compbio/users/xran2/wen/JX/02-AI-BioDomain/git_folder
Processing array index 25: rows 1200 to 1249
GO Term: Gocc Copi Vesicle Coat -> Biodomain: Intracellular Trafficking and Organelle Dynamics, Protein Metabolism and Trafficking, Molecular Transport and Homeostasis, Structural Stabilization, System and Developmental Process
GO Term: Gocc 90S Preribosome -> Biodomain: Transcription and Translation Machinery, RNA Metabolism, Protein Metabolism and Trafficking, Intracellular Trafficking and Organelle Dynamics, Molecular Transport and Homeostasis
GO Term: Gocc Rough Endoplasmic Reticulum Membrane -> Biodomain: Protein Metabolism and Trafficking, Intracellular Trafficking and Organelle Dynamics, Structural Stabilization, Lipid Metabolism, System and Developmental Process
GO Term: Gocc Dna Replication Preinitiation Complex -> Biodomain: DNA Repair, Cell Cycle, Transcription and Translation Machinery, Signal Transduction, System and Developmental Process
GO Term: Gocc Extrinsic Component Of Endosome Membrane -> Biodomain: Intracellular Trafficking and Organelle Dynamics, Protein Metabolism and Trafficking, Cell Adhesion and Interaction, Structural Stabilization, Molecular Transport and Homeostasis
GO Term: Gocc Ctf18 Rfc Like Complex -> Biodomain: DNA Repair, Cell Cycle, Transcription and Translation Machinery, Epigenetic Regulation, System and Developmental Process
GO Term: Gocc Box H Aca Snornp Complex -> Biodomain: RNA Metabolism, Transcription and Translation Machinery, Intracellular Trafficking and Organelle Dynamics, System and Developmental Process, Molecular Transport and Homeostasis
GO Term: Gocc Cul5 Ring Ubiquitin Ligase Complex -> Biodomain: Protein Metabolism and Trafficking, Signal Transduction, Apoptosis, DNA Repair, Epigenetic Regulation
GO Term: Gocc Mannosyltransferase Complex -> Biodomain: Protein Metabolism and Trafficking, Intracellular Trafficking and Organelle Dynamics, Molecular Transport and Homeostasis, Structural Stabilization, System and Developmental Process
GO Term: Gocc Early Endosome Membrane -> Biodomain: Intracellular Trafficking and Organelle Dynamics, Molecular Transport and Homeostasis, Protein Metabolism and Trafficking, Cell Adhesion and Interaction, Structural Stabilization
GO Term: Gocc Late Endosome Membrane -> Biodomain: Intracellular Trafficking and Organelle Dynamics, Protein Metabolism and Trafficking, Lipid Metabolism, Response to Stimulus, Molecular Transport and Homeostasis
GO Term: Gocc Organelle Subcompartment -> Biodomain: Intracellular Trafficking and Organelle Dynamics, Structural Stabilization, Protein Metabolism and Trafficking, Molecular Transport and Homeostasis, System and Developmental Process
GO Term: Gocc Small Subunit Processome -> Biodomain: Transcription and Translation Machinery, RNA Metabolism, Protein Metabolism and Trafficking, Intracellular Trafficking and Organelle Dynamics, System and Developmental Process
GO Term: Gocc Stereocilium Tip -> Biodomain: Signal Transduction, Structural Stabilization, Cell Adhesion and Interaction, Intracellular Trafficking and Organelle Dynamics, Neurotransmission and Synaptic Regulation
GO Term: Gocc Filopodium Tip -> Biodomain: Cell Adhesion and Interaction, System and Developmental Process, Signal Transduction, Structural Stabilization, Neurodevelopment and Neuronal Differentiation
GO Term: Gocc Cbm Complex -> Biodomain: Signal Transduction, Immune System and Inflammation, Protein Metabolism and Trafficking, Response to Stimulus, System and Developmental Process
GO Term: Gocc Cortical Endoplasmic Reticulum -> Biodomain: Intracellular Trafficking and Organelle Dynamics, Molecular Transport and Homeostasis, Structural Stabilization, System and Developmental Process, Signal Transduction
GO Term: Gocc Sarcoplasmic Reticulum Membrane -> Biodomain: Intracellular Trafficking and Organelle Dynamics, Molecular Transport and Homeostasis, Mitochondrial Function and Metabolism, Signal Transduction, Structural Stabilization
GO Term: Gocc Sarcoplasmic Reticulum Lumen -> Biodomain: Molecular Transport and Homeostasis, Intracellular Trafficking and Organelle Dynamics, Signal Transduction, System and Developmental Process, Mitochondrial Function and Metabolism
GO Term: Gocc Endoplasmic Reticulum Golgi Intermediate Compartment Membrane -> Biodomain: Intracellular Trafficking and Organelle Dynamics, Molecular Transport and Homeostasis, Protein Metabolism and Trafficking, Lipid Metabolism, Structural Stabilization
GO Term: Gocc Proton Transporting V Type Atpase V0 Domain -> Biodomain: Molecular Transport and Homeostasis, Mitochondrial Function and Metabolism, Intracellular Trafficking and Organelle Dynamics, Protein Metabolism and Trafficking, Signal Transduction
GO Term: Gocc Elongator Holoenzyme Complex -> Biodomain: RNA Metabolism, Protein Metabolism and Trafficking, Intracellular Trafficking and Organelle Dynamics, Transcription and Translation Machinery, System and Developmental Process
GO Term: Gocc Vcp Npl4 Ufd1 Aaa Atpase Complex -> Biodomain: Protein Metabolism and Trafficking, Intracellular Trafficking and Organelle Dynamics, Mitochondrial Function and Metabolism, Response to Stimulus, Structural Stabilization
GO Term: Gocc Pwp2P Containing Subcomplex Of 90S Preribosome -> Biodomain: Transcription and Translation Machinery, RNA Metabolism, Protein Metabolism and Trafficking, Intracellular Trafficking and Organelle Dynamics, System and Developmental Process
GO Term: Gocc Nuclear Periphery -> Biodomain: Epigenetic Regulation, Molecular Transport and Homeostasis, Structural Stabilization, Intracellular Trafficking and Organelle Dynamics, Signal Transduction
GO Term: Gocc Aryl Hydrocarbon Receptor Complex -> Biodomain: Signal Transduction, Response to Stimulus, Immune System and Inflammation, Epigenetic Regulation, Transcription and Translation Machinery
GO Term: Gocc Exon Exon Junction Complex -> Biodomain: RNA Metabolism, Transcription and Translation Machinery, Intracellular Trafficking and Organelle Dynamics, Protein Metabolism and Trafficking, Response to Stimulus
GO Term: Gocc Microtubule Plus End -> Biodomain: Structural Stabilization, Intracellular Trafficking and Organelle Dynamics, Cell Cycle, Signal Transduction, Response to Stimulus
GO Term: Gocc Azurophil Granule Membrane -> Biodomain: Immune System and Inflammation, Cell Adhesion and Interaction, Intracellular Trafficking and Organelle Dynamics, Protein Metabolism and Trafficking, Response to Stimulus
GO Term: Gocc Cd40 Receptor Complex -> Biodomain: Immune System and Inflammation, Signal Transduction, Cell Adhesion and Interaction, Apoptosis, Response to Stimulus
GO Term: Gocc Myelin Sheath Adaxonal Region -> Biodomain: Neurodevelopment and Neuronal Differentiation, Gliogenesis and Glial Differentiation, Structural Stabilization, Cell Adhesion and Interaction, System and Developmental Process
GO Term: Gocc Transcription Factor Ap 1 Complex -> Biodomain: Transcription and Translation Machinery, Signal Transduction, Response to Stimulus, System and Developmental Process, Epigenetic Regulation
GO Term: Gocc Endolysosome -> Biodomain: Intracellular Trafficking and Organelle Dynamics, Protein Metabolism and Trafficking, Molecular Transport and Homeostasis, Signal Transduction, Response to Stimulus
GO Term: Gocc Endolysosome Lumen -> Biodomain: Intracellular Trafficking and Organelle Dynamics, Autophagy, Protein Metabolism and Trafficking, Molecular Transport and Homeostasis, System and Developmental Process
GO Term: Gocc Derlin 1 Retrotranslocation Complex -> Biodomain: Protein Metabolism and Trafficking, Intracellular Trafficking and Organelle Dynamics, Molecular Transport and Homeostasis, Response to Stimulus, Structural Stabilization
GO Term: Gocc Nuclear Outer Membrane Endoplasmic Reticulum Membrane Network -> Biodomain: Intracellular Trafficking and Organelle Dynamics, Protein Metabolism and Trafficking, Molecular Transport and Homeostasis, Structural Stabilization, System and Developmental Process
GO Term: Gocc Nuclear Rna Export Factor Complex -> Biodomain: RNA Metabolism, Intracellular Trafficking and Organelle Dynamics, Molecular Transport and Homeostasis, Protein Metabolism and Trafficking, Transcription and Translation Machinery
GO Term: Gocc Paraspeckles -> Biodomain: Structural Stabilization, Intracellular Trafficking and Organelle Dynamics, RNA Metabolism, Transcription and Translation Machinery, Response to Stimulus
GO Term: Gocc Extrinsic Component Of Endoplasmic Reticulum Membrane -> Biodomain: Protein Metabolism and Trafficking, Intracellular Trafficking and Organelle Dynamics, Lipid Metabolism, Mitochondrial Function and Metabolism, Structural Stabilization
GO Term: Gocc Mcm Complex -> Biodomain: DNA Repair, Cell Cycle, Transcription and Translation Machinery, System and Developmental Process, Response to Stimulus
Saved results to: Experiment/DeepSeek/03-FXS-padj-0.1/D56/Temp_0.0/go_biodomain_results_part_25.csv
Logged runtime to: Experiment/DeepSeek/03-FXS-padj-0.1/D56/Temp_0.0/runtime_log.csv
