Running with TEMP=0.0, sub_array_index=10
Changed working directory to: /panfs/compbio/users/xran2/wen/JX/02-AI-BioDomain/git_folder
Processing array index 10: rows 450 to 499
GO Term: Gobp Positive Regulation Of Rac Protein Signal Transduction -> Biodomain: Signal Transduction, Cell Adhesion and Interaction, Immune System and Inflammation, System and Developmental Process, Transcription and Translation Machinery
GO Term: Gobp Dorsal Aorta Development -> Biodomain: System and Developmental Process, Cell Adhesion and Interaction, Structural Stabilization, Molecular Transport and Homeostasis, Response to Stimulus
GO Term: Gobp Aorta Morphogenesis -> Biodomain: System and Developmental Process, Structural Stabilization, Cell Adhesion and Interaction, Signal Transduction, Response to Stimulus
GO Term: Gobp Dorsal Aorta Morphogenesis -> Biodomain: System and Developmental Process, Structural Stabilization, Cell Adhesion and Interaction, Cell Cycle, Response to Stimulus
GO Term: Gobp Skeletal Muscle Cell Differentiation -> Biodomain: System and Developmental Process, Neurodevelopment and Neuronal Differentiation, Cell Adhesion and Interaction, Structural Stabilization, Response to Stimulus
GO Term: Gobp Cellular Response To Vascular Endothelial Growth Factor Stimulus -> Biodomain: Response to Stimulus, Signal Transduction, Cell Adhesion and Interaction, System and Developmental Process, Intracellular Trafficking and Organelle Dynamics
GO Term: Gobp Copi Coated Vesicle Budding -> Biodomain: Intracellular Trafficking and Organelle Dynamics, System and Developmental Process, Protein Metabolism and Trafficking, Molecular Transport and Homeostasis, Structural Stabilization
GO Term: Gobp Response To Topologically Incorrect Protein -> Biodomain: Protein Metabolism and Trafficking, Response to Stimulus, Signal Transduction, Intracellular Trafficking and Organelle Dynamics, Autophagy
GO Term: Gobp Cellular Response To Topologically Incorrect Protein -> Biodomain: Protein Metabolism and Trafficking, Response to Stimulus, Autophagy, Intracellular Trafficking and Organelle Dynamics, System and Developmental Process
GO Term: Gobp Aggrephagy -> Biodomain: Autophagy, Protein Metabolism and Trafficking, Intracellular Trafficking and Organelle Dynamics, Response to Stimulus, Molecular Transport and Homeostasis
GO Term: Gobp Fucosylation -> Biodomain: Protein Metabolism and Trafficking, Cell Adhesion and Interaction, Immune System and Inflammation, Molecular Transport and Homeostasis, Signal Transduction
GO Term: Gobp Direct Ossification -> Biodomain: System and Developmental Process, Structural Stabilization, Cell Adhesion and Interaction, Signal Transduction, Molecular Transport and Homeostasis
GO Term: Gobp Alpha Linolenic Acid Metabolic Process -> Biodomain: Lipid Metabolism, Mitochondrial Function and Metabolism, Molecular Transport and Homeostasis, System and Developmental Process, Response to Stimulus
GO Term: Gobp Medium Chain Fatty Acyl Coa Metabolic Process -> Biodomain: Lipid Metabolism, Mitochondrial Function and Metabolism, Molecular Transport and Homeostasis, Protein Metabolism and Trafficking, System and Developmental Process
GO Term: Gobp Rna Guanine N7 Methylation -> Biodomain: RNA Metabolism, Epigenetic Regulation, Transcription and Translation Machinery, Protein Metabolism and Trafficking, Molecular Transport and Homeostasis
GO Term: Gobp Cellular Response To Increased Oxygen Levels -> Biodomain: Signal Transduction, Response to Stimulus, Mitochondrial Function and Metabolism, Molecular Transport and Homeostasis, System and Developmental Process
GO Term: Gobp Response To Increased Oxygen Levels -> Biodomain: Response to Stimulus, Mitochondrial Function and Metabolism, Signal Transduction, Molecular Transport and Homeostasis, System and Developmental Process
GO Term: Gobp Interstrand Cross Link Repair -> Biodomain: DNA Repair, Cell Cycle, Response to Stimulus, Signal Transduction, Transcription and Translation Machinery
GO Term: Gobp Atrioventricular Canal Development -> Biodomain: System and Developmental Process, Cell Adhesion and Interaction, Structural Stabilization, Signal Transduction, Response to Stimulus
GO Term: Gobp Intestinal Stem Cell Homeostasis -> Biodomain: System and Developmental Process, Molecular Transport and Homeostasis, Signal Transduction, Cell Cycle, Epigenetic Regulation
GO Term: Gobp Sodium Ion Export Across Plasma Membrane -> Biodomain: Molecular Transport and Homeostasis, Intracellular Trafficking and Organelle Dynamics, Response to Stimulus, System and Developmental Process, Signal Transduction
GO Term: Gobp Regulation Of Translation Initiation In Response To Endoplasmic Reticulum Stress -> Biodomain: Protein Metabolism and Trafficking, Response to Stimulus, Intracellular Trafficking and Organelle Dynamics, Signal Transduction, Transcription and Translation Machinery
GO Term: Gobp Ire1 Mediated Unfolded Protein Response -> Biodomain: Signal Transduction, Response to Stimulus, Protein Metabolism and Trafficking, Intracellular Trafficking and Organelle Dynamics, Epigenetic Regulation
Saved results to: Experiment/DeepSeek/03-FXS-padj-0.1/D56/Temp_0.0/go_biodomain_results_part_10.csv
Logged runtime to: Experiment/DeepSeek/03-FXS-padj-0.1/D56/Temp_0.0/runtime_log.csv
