Running with TEMP=0.0, sub_array_index=27
Changed working directory to: /panfs/compbio/users/xran2/wen/JX/02-AI-BioDomain/git_folder
Processing array index 27: rows 1300 to 1349
GO Term: Gocc Nucleolar Exosome Rnase Complex -> Biodomain: RNA Metabolism, Transcription and Translation Machinery, Epigenetic Regulation, Intracellular Trafficking and Organelle Dynamics, Protein Metabolism and Trafficking
GO Term: Gomf G Protein Activity -> Biodomain: Signal Transduction, Molecular Transport and Homeostasis, Response to Stimulus, Intracellular Trafficking and Organelle Dynamics, Cell Adhesion and Interaction
GO Term: Gomf N Acetyllactosamine Synthase Activity -> Biodomain: Protein Metabolism and Trafficking, Molecular Transport and Homeostasis, Cell Adhesion and Interaction, System and Developmental Process, Structural Stabilization
GO Term: Gomf Rna Directed Dna Polymerase Activity -> Biodomain: Transcription and Translation Machinery, DNA Repair, RNA Metabolism, Molecular Transport and Homeostasis, Epigenetic Regulation
GO Term: Gomf Adenylate Kinase Activity -> Biodomain: Mitochondrial Function and Metabolism, RNA Metabolism, Protein Metabolism and Trafficking, Signal Transduction, Molecular Transport and Homeostasis
GO Term: Gomf Carbonyl Reductase Nadph Activity -> Biodomain: Lipid Metabolism, Molecular Transport and Homeostasis, Mitochondrial Function and Metabolism, Protein Metabolism and Trafficking, Response to Stimulus
GO Term: Gomf Cyclic Nucleotide Phosphodiesterase Activity -> Biodomain: Signal Transduction, Molecular Transport and Homeostasis, Response to Stimulus, Epigenetic Regulation, Neurotransmission and Synaptic Regulation
GO Term: Gomf 3 5 Cyclic Amp Phosphodiesterase Activity -> Biodomain: Signal Transduction, Molecular Transport and Homeostasis, RNA Metabolism, Response to Stimulus, Epigenetic Regulation
GO Term: Gomf Atp Dependent Peptidase Activity -> Biodomain: Protein Metabolism and Trafficking, Intracellular Trafficking and Organelle Dynamics, Mitochondrial Function and Metabolism, Molecular Transport and Homeostasis, Response to Stimulus
GO Term: Gomf Cysteine Type Endopeptidase Activity -> Biodomain: Apoptosis, Autophagy, Immune System and Inflammation, Protein Metabolism and Trafficking, Transcription and Translation Machinery
GO Term: Gomf Phosphatidylinositol 4 5 Bisphosphate 5 Phosphatase Activity -> Biodomain: Lipid Metabolism, Signal Transduction, Molecular Transport and Homeostasis, Intracellular Trafficking and Organelle Dynamics, Response to Stimulus
Saved results to: Experiment/DeepSeek/03-FXS-padj-0.1/D56/Temp_0.0/go_biodomain_results_part_27.csv
Logged runtime to: Experiment/DeepSeek/03-FXS-padj-0.1/D56/Temp_0.0/runtime_log.csv
