Running with TEMP=0.0, sub_array_index=3
Changed working directory to: /panfs/compbio/users/xran2/wen/JX/02-AI-BioDomain/git_folder
Processing array index 3: rows 100 to 149
GO Term: Gobp Mitochondrial Electron Transport Nadh To Ubiquinone -> Biodomain: Mitochondrial Function and Metabolism, Molecular Transport and Homeostasis, Protein Metabolism and Trafficking, System and Developmental Process, Signal Transduction
GO Term: Gobp Dna Dealkylation Involved In Dna Repair -> Biodomain: DNA Repair, Epigenetic Regulation, Signal Transduction, Response to Stimulus, Transcription and Translation Machinery
GO Term: Gobp Dna Recombination -> Biodomain: DNA Repair, System and Developmental Process, Epigenetic Regulation, Cell Cycle, Response to Stimulus
GO Term: Gobp Dna Replication Dependent Chromatin Assembly -> Biodomain: Epigenetic Regulation, DNA Repair, Cell Cycle, Transcription and Translation Machinery, Structural Stabilization
GO Term: Gobp Rrna Processing -> Biodomain: RNA Metabolism, Transcription and Translation Machinery, Protein Metabolism and Trafficking, Mitochondrial Function and Metabolism, System and Developmental Process
GO Term: Gobp Translational Initiation -> Biodomain: Transcription and Translation Machinery, Protein Metabolism and Trafficking, Molecular Transport and Homeostasis, System and Developmental Process, Response to Stimulus
GO Term: Gobp Translational Elongation -> Biodomain: Transcription and Translation Machinery, Protein Metabolism and Trafficking, Molecular Transport and Homeostasis, System and Developmental Process, Response to Stimulus
GO Term: Gobp Translational Termination -> Biodomain: Transcription and Translation Machinery, Protein Metabolism and Trafficking, Molecular Transport and Homeostasis, System and Developmental Process, Response to Stimulus
GO Term: Gobp Regulation Of Translational Initiation -> Biodomain: Protein Metabolism and Trafficking, Transcription and Translation Machinery, Signal Transduction, RNA Metabolism, Molecular Transport and Homeostasis
GO Term: Gobp Protein Folding -> Biodomain: Protein Metabolism and Trafficking, Intracellular Trafficking and Organelle Dynamics, Molecular Transport and Homeostasis, Response to Stimulus, Structural Stabilization
GO Term: Gobp De Novo Protein Folding -> Biodomain: Protein Metabolism and Trafficking, Molecular Transport and Homeostasis, Intracellular Trafficking and Organelle Dynamics, Mitochondrial Function and Metabolism, Structural Stabilization
GO Term: Gobp Gpi Anchor Metabolic Process -> Biodomain: Lipid Metabolism, Protein Metabolism and Trafficking, Intracellular Trafficking and Organelle Dynamics, Structural Stabilization, System and Developmental Process
GO Term: Gobp Proteolysis -> Biodomain: Protein Metabolism and Trafficking, Apoptosis, Autophagy, Response to Stimulus, Signal Transduction
GO Term: Gobp Protein Quality Control For Misfolded Or Incompletely Synthesized Proteins -> Biodomain: Protein Metabolism and Trafficking, Intracellular Trafficking and Organelle Dynamics, Molecular Transport and Homeostasis, Autophagy, Response to Stimulus
GO Term: Gobp Protein Deglycosylation -> Biodomain: Protein Metabolism and Trafficking, Molecular Transport and Homeostasis, Intracellular Trafficking and Organelle Dynamics, Response to Stimulus, Epigenetic Regulation
GO Term: Gobp Peptide Metabolic Process -> Biodomain: Protein Metabolism and Trafficking, Molecular Transport and Homeostasis, Signal Transduction, Response to Stimulus, Transcription and Translation Machinery
GO Term: Gobp Aspartate Metabolic Process -> Biodomain: Amino Acid Metabolism, Nitrogen Metabolism, Nucleotide Metabolism, Mitochondrial Function and Metabolism, Molecular Transport and Homeostasis
GO Term: Gobp L Serine Catabolic Process -> Biodomain: Protein Metabolism and Trafficking, Mitochondrial Function and Metabolism, Lipid Metabolism, Molecular Transport and Homeostasis, System and Developmental Process
GO Term: Gobp Cotranslational Protein Targeting To Membrane -> Biodomain: Protein Metabolism and Trafficking, Intracellular Trafficking and Organelle Dynamics, Molecular Transport and Homeostasis, Mitochondrial Function and Metabolism, System and Developmental Process
GO Term: Gobp Srp Dependent Cotranslational Protein Targeting To Membrane -> Biodomain: Protein Metabolism and Trafficking, Intracellular Trafficking and Organelle Dynamics, Molecular Transport and Homeostasis, Transcription and Translation Machinery, System and Developmental Process
GO Term: Gobp Srp Dependent Cotranslational Protein Targeting To Membrane Translocation -> Biodomain: Protein Metabolism and Trafficking, Intracellular Trafficking and Organelle Dynamics, Molecular Transport and Homeostasis, RNA Metabolism, Transcription and Translation Machinery
GO Term: Gobp Srp Dependent Cotranslational Protein Targeting To Membrane Signal Sequence Recognition -> Biodomain: Protein Metabolism and Trafficking, Intracellular Trafficking and Organelle Dynamics, Transcription and Translation Machinery, Molecular Transport and Homeostasis, Response to Stimulus
GO Term: Gobp Post Translational Protein Targeting To Endoplasmic Reticulum Membrane -> Biodomain: Protein Metabolism and Trafficking, Intracellular Trafficking and Organelle Dynamics, Molecular Transport and Homeostasis, Response to Stimulus, System and Developmental Process
GO Term: Gobp Protein Retention In Er Lumen -> Biodomain: Intracellular Trafficking and Organelle Dynamics, Mitochondrial Function and Metabolism, Protein Metabolism and Trafficking, Molecular Transport and Homeostasis, Structural Stabilization
GO Term: Gobp Protein Targeting To Peroxisome -> Biodomain: Protein Metabolism and Trafficking, Intracellular Trafficking and Organelle Dynamics, Molecular Transport and Homeostasis, Lipid Metabolism, Response to Stimulus
GO Term: Gobp Protein Targeting To Mitochondrion -> Biodomain: Mitochondrial Function and Metabolism, Intracellular Trafficking and Organelle Dynamics, Protein Metabolism and Trafficking, Molecular Transport and Homeostasis, System and Developmental Process
GO Term: Gobp Fatty Acid Biosynthetic Process -> Biodomain: Lipid Metabolism, Mitochondrial Function and Metabolism, Molecular Transport and Homeostasis, Protein Metabolism and Trafficking, System and Developmental Process
GO Term: Gobp Unsaturated Fatty Acid Biosynthetic Process -> Biodomain: Lipid Metabolism, Molecular Transport and Homeostasis, Mitochondrial Function and Metabolism, Protein Metabolism and Trafficking, System and Developmental Process
GO Term: Gobp Phospholipid Metabolic Process -> Biodomain: Lipid Metabolism, Signal Transduction, Molecular Transport and Homeostasis, Intracellular Trafficking and Organelle Dynamics, Response to Stimulus
GO Term: Gobp Glycerophospholipid Metabolic Process -> Biodomain: Lipid Metabolism, Mitochondrial Function and Metabolism, Molecular Transport and Homeostasis, Protein Metabolism and Trafficking, Response to Stimulus
GO Term: Gobp Phosphatidylcholine Biosynthetic Process -> Biodomain: Lipid Metabolism, Cell Adhesion and Interaction, Molecular Transport and Homeostasis, Intracellular Trafficking and Organelle Dynamics, System and Developmental Process
GO Term: Gobp Phosphatidylserine Metabolic Process -> Biodomain: Lipid Metabolism, Intracellular Trafficking and Organelle Dynamics, Molecular Transport and Homeostasis, Signal Transduction, System and Developmental Process
GO Term: Gobp Glycosphingolipid Metabolic Process -> Biodomain: Lipid Metabolism, Molecular Transport and Homeostasis, Intracellular Trafficking and Organelle Dynamics, Protein Metabolism and Trafficking, System and Developmental Process
GO Term: Gobp Icosanoid Metabolic Process -> Biodomain: Lipid Metabolism, Immune System and Inflammation, Signal Transduction, Response to Stimulus, System and Developmental Process
GO Term: Gobp Prostanoid Metabolic Process -> Biodomain: Lipid Metabolism, Immune System and Inflammation, Signal Transduction, Response to Stimulus, Molecular Transport and Homeostasis
Saved results to: Experiment/DeepSeek/03-FXS-padj-0.1/D56/Temp_0.0/go_biodomain_results_part_3.csv
Logged runtime to: Experiment/DeepSeek/03-FXS-padj-0.1/D56/Temp_0.0/runtime_log.csv
