Running with TEMP=0.0, sub_array_index=12
Changed working directory to: /panfs/compbio/users/xran2/wen/JX/02-AI-BioDomain/git_folder
Processing array index 12: rows 550 to 599
GO Term: Gobp Natural Killer Cell Degranulation -> Biodomain: Immune System and Inflammation, Intracellular Trafficking and Organelle Dynamics, Apoptosis, Protein Metabolism and Trafficking, Response to Stimulus
GO Term: Gobp Double Strand Break Repair Via Synthesis Dependent Strand Annealing -> Biodomain: DNA Repair, Transcription and Translation Machinery, System and Developmental Process, Epigenetic Regulation, Molecular Transport and Homeostasis
GO Term: Gobp Dna Templated Dna Replication Maintenance Of Fidelity -> Biodomain: DNA Repair, Cell Cycle, Molecular Transport and Homeostasis, Signal Transduction, System and Developmental Process
GO Term: Gobp Glycerolipid Biosynthetic Process -> Biodomain: Lipid Metabolism, Molecular Transport and Homeostasis, Mitochondrial Function and Metabolism, Protein Metabolism and Trafficking, Response to Stimulus
GO Term: Gobp Protein Insertion Into Er Membrane -> Biodomain: Intracellular Trafficking and Organelle Dynamics, Protein Metabolism and Trafficking, Transcription and Translation Machinery, Molecular Transport and Homeostasis, Structural Stabilization
GO Term: Gobp Protein Insertion Into Er Membrane By Stop Transfer Membrane Anchor Sequence -> Biodomain: Intracellular Trafficking and Organelle Dynamics, Protein Metabolism and Trafficking, Molecular Transport and Homeostasis, Structural Stabilization, System and Developmental Process
GO Term: Gobp Constitutive Secretory Pathway -> Biodomain: Intracellular Trafficking and Organelle Dynamics, Protein Metabolism and Trafficking, Molecular Transport and Homeostasis, System and Developmental Process, Response to Stimulus
GO Term: Gobp Positive Thymic T Cell Selection -> Biodomain: Immune System and Inflammation, System and Developmental Process, Apoptosis, Cell Adhesion and Interaction, Signal Transduction
GO Term: Gobp Innate Immune Response -> Biodomain: Immune System and Inflammation, Signal Transduction, Response to Stimulus, Cell Adhesion and Interaction, System and Developmental Process
GO Term: Gobp Regulation Of Innate Immune Response -> Biodomain: Immune System and Inflammation, Response to Stimulus, Signal Transduction, System and Developmental Process, Molecular Transport and Homeostasis
GO Term: Gobp Integrin Biosynthetic Process -> Biodomain: Cell Adhesion and Interaction, Protein Metabolism and Trafficking, Molecular Transport and Homeostasis, Signal Transduction, System and Developmental Process
GO Term: Gobp Cellular Extravasation -> Biodomain: Immune System and Inflammation, Cell Adhesion and Interaction, Response to Stimulus, Signal Transduction, Molecular Transport and Homeostasis
GO Term: Gobp Meiotic Chromosome Segregation -> Biodomain: Cell Cycle, DNA Repair, System and Developmental Process, Epigenetic Regulation, Structural Stabilization
GO Term: Gobp Meiotic Telomere Clustering -> Biodomain: Structural Stabilization, Cell Cycle, System and Developmental Process, DNA Repair, Transcription and Translation Machinery
GO Term: Gobp Apical Protein Localization -> Biodomain: Molecular Transport and Homeostasis, Protein Metabolism and Trafficking, Intracellular Trafficking and Organelle Dynamics, Structural Stabilization, Response to Stimulus
Saved results to: Experiment/DeepSeek/03-FXS-padj-0.1/D56/Temp_0.0/go_biodomain_results_part_12.csv
Logged runtime to: Experiment/DeepSeek/03-FXS-padj-0.1/D56/Temp_0.0/runtime_log.csv
