Running with TEMP=0.0, sub_array_index=12
Changed working directory to: /panfs/compbio/users/xran2/wen/JX/02-AI-BioDomain/git_folder
Processing array index 12: rows 5500 to 5999
GO Term: Dibenzo-P-Dioxin Metabolic Process -> Biodomain: Unknown, Lipid Metabolism, Oxidative Stress, Mitochondrial Metabolism, Proteostasis
GO Term: Intracellular Transport Of Viral Protein In Host Cell -> Biodomain: Proteostasis, Immune Response, Autophagy, Endolysosome, Unknown
GO Term: Virion Attachment To Host Cell -> Biodomain: Immune Response, Endolysosome, Proteostasis, Apoptosis, Unknown
GO Term: Fusion Of Virus Membrane With Host Plasma Membrane -> Biodomain: Immune Response, Synapse, Autophagy, Endolysosome, Proteostasis
GO Term: Receptor-Mediated Endocytosis Of Virus By Host Cell -> Biodomain: Endolysosome, Synapse, Proteostasis, Autophagy, Immune Response
GO Term: Virion Assembly -> Biodomain: Unknown, Immune Response, Proteostasis, Autophagy, Apoptosis
GO Term: Viral Rna Genome Packaging -> Biodomain: Immune Response, Proteostasis, Autophagy, Endolysosome, Unknown
GO Term: Virus Maturation -> Biodomain: Proteostasis, Endolysosome, Autophagy, Immune Response, Unknown
GO Term: Viral Release From Host Cell -> Biodomain: Immune Response, Proteostasis, Autophagy, Apoptosis, Synapse
GO Term: Viral Genome Replication -> Biodomain: Immune Response, Endolysosome, Epigenetic, RNA Spliceosome, Unknown
GO Term: Viral Translation -> Biodomain: Immune Response, Unknown, Proteostasis, Autophagy, Cell Cycle
GO Term: Viral Protein Processing -> Biodomain: Unknown, Unknown, Unknown, Unknown, Unknown
GO Term: Viral Transcription -> Biodomain: Immune Response, Unknown, Apoptosis, Cell Cycle, Autophagy
GO Term: Early Viral Transcription -> Biodomain: Immune Response,Unknown,Synapse,Proteostasis,Apoptosis
GO Term: Late Viral Transcription -> Biodomain: Immune Response, Unknown, Unknown, Unknown, Unknown
GO Term: Reproductive Behavior -> Biodomain: Epigenetic,Cell Cycle,Proteostasis,Apoptosis,Unknown
GO Term: Male Germ-Line Sex Determination -> Biodomain: Epigenetic,Cell Cycle,RNA Spliceosome,DNA Repair,Unknown
GO Term: Female Somatic Sex Determination -> Biodomain: Epigenetic,Cell Cycle,Apoptosis,Unknown,Structural Stabilization
GO Term: Male Somatic Sex Determination -> Biodomain: Unknown, Epigenetic, Autophagy, Cell Cycle, Proteostasis
GO Term: Pyrimidine Nucleotide Binding -> Biodomain: Synapse, Epigenetic, Mitochondrial Metabolism, Proteostasis, Oxidative Stress
GO Term: Dna N-Glycosylase Activity -> Biodomain: DNA Repair, Epigenetic, Oxidative Stress, Cell Cycle, Proteostasis
GO Term: Myristoyltransferase Activity -> Biodomain: Proteostasis, Lipid Metabolism, Synapse, Epigenetic, Unknown
GO Term: Phenanthrene-9,10-Epoxide Hydrolase Activity -> Biodomain: Oxidative Stress, Lipid Metabolism, Proteostasis, Endolysosome, Unknown
GO Term: Deoxyhypusine Monooxygenase Activity -> Biodomain: Proteostasis, Synapse, Oxidative Stress, Mitochondrial Metabolism, Unknown
GO Term: Deoxynucleoside Kinase Activity -> Biodomain: DNA Repair, Epigenetic, Cell Cycle, Mitochondrial Metabolism, Unknown
GO Term: Adp-Sugar Diphosphatase Activity -> Biodomain: Mitochondrial Metabolism, Proteostasis, Lipid Metabolism, Endolysosome, Oxidative Stress
GO Term: Aminobutyraldehyde Dehydrogenase (Nad+) Activity -> Biodomain: Synapse, Proteostasis, Oxidative Stress, Lipid Metabolism, Mitochondrial Metabolism
GO Term: D-Ribulokinase Activity -> Biodomain: Lipid Metabolism, Oxidative Stress, Mitochondrial Metabolism, Proteostasis, Autophagy
GO Term: Protein-Disulfide Reductase (Glutathione) Activity -> Biodomain: Oxidative Stress, Proteostasis, Synapse, Metal Binding and Homeostasis, Endolysosome
GO Term: Mannokinase Activity -> Biodomain: Proteostasis,Lipid Metabolism,Endolysosome,Synapse,Mitochondrial Metabolism
GO Term: Trans-2-Enoyl-Coa Reductase (Nadph) Activity -> Biodomain: Lipid Metabolism, Mitochondrial Metabolism, Proteostasis, Autophagy, Oxidative Stress
GO Term: (3R)-Hydroxyacyl-[Acyl-Carrier-Protein] Dehydratase Activity -> Biodomain: Lipid Metabolism, Proteostasis, Synapse, Endolysosome, Autophagy
GO Term: Glyoxalase Iii Activity -> Biodomain: Oxidative Stress, Mitochondrial Metabolism, Proteostasis, Metal Binding and Homeostasis, Lipid Metabolism
GO Term: Nadp Phosphatase Activity -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Synapse, Proteostasis, Lipid Metabolism
GO Term: Snrna-Activating Protein Complex -> Biodomain: Epigenetic, RNA Spliceosome, Proteostasis, Synapse, Unknown
GO Term: Carbohydrate Kinase Activity -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Lipid Metabolism, Proteostasis, Synapse
GO Term: Amino Acid Kinase Activity -> Biodomain: Proteostasis, Synapse, Oxidative Stress, Mitochondrial Metabolism, Unknown
GO Term: Carbohydrate Phosphatase Activity -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Proteostasis, Synapse, Unknown
GO Term: Nucleobase-Containing Compound Kinase Activity -> Biodomain: Synapse, Proteostasis, Epigenetic, Mitochondrial Metabolism, Unknown
GO Term: Nucleoside Kinase Activity -> Biodomain: Synapse, Proteostasis, Epigenetic, DNA Repair, Cell Cycle
GO Term: Kinase Regulator Activity -> Biodomain: Synapse, Proteostasis, Epigenetic, Cell Cycle, Oxidative Stress
GO Term: Phosphatase Regulator Activity -> Biodomain: Synapse, Proteostasis, Epigenetic, Autophagy, Oxidative Stress
GO Term: Kinase Activator Activity -> Biodomain: Synapse, Proteostasis, Epigenetic, Cell Cycle, Unknown
GO Term: Kinase Inhibitor Activity -> Biodomain: Synapse, Proteostasis, Epigenetic, Autophagy, Cell Cycle
GO Term: Phosphatase Activator Activity -> Biodomain: Synapse, Proteostasis, Epigenetic, Autophagy, Cell Cycle
GO Term: Phosphatase Inhibitor Activity -> Biodomain: Synapse, Proteostasis, Epigenetic, Autophagy, Oxidative Stress
GO Term: Deacetylase Activity -> Biodomain: Epigenetic, Synapse, Proteostasis, Autophagy, Apoptosis
GO Term: Intermediate Filament Binding -> Biodomain: Structural Stabilization, Synapse, Proteostasis, Cell Cycle, Apoptosis
GO Term: Regulation Of Lipid Metabolic Process -> Biodomain: Lipid Metabolism, Synapse, Proteostasis, Autophagy, Endolysosome
GO Term: Regulation Of Fatty Acid Metabolic Process -> Biodomain: Lipid Metabolism, Mitochondrial Metabolism, Synapse, Proteostasis, Autophagy
GO Term: Regulation Of Steroid Metabolic Process -> Biodomain: Lipid Metabolism, Proteostasis, Synapse, Endolysosome, Mitochondrial Metabolism
GO Term: Regulation Of Nucleobase-Containing Compound Metabolic Process -> Biodomain: Synapse, Proteostasis, Epigenetic, RNA Spliceosome, DNA Repair
GO Term: Cytokine-Mediated Signaling Pathway -> Biodomain: Immune Response, Synapse, Endolysosome, Proteostasis, Apoptosis
GO Term: Regulation Of Metabolic Process -> Biodomain: Synapse, Proteostasis, Mitochondrial Metabolism, Lipid Metabolism, Oxidative Stress
GO Term: Transmission Of Nerve Impulse -> Biodomain: Synapse, Proteostasis, Autophagy, Endolysosome, Oxidative Stress
GO Term: Neuronal Action Potential Propagation -> Biodomain: Synapse, Structural Stabilization, Proteostasis, Epigenetic, Unknown
GO Term: Neuronal Action Potential -> Biodomain: Synapse, Structural Stabilization, Proteostasis, Autophagy, Endolysosome
GO Term: Regulation Of Vasoconstriction -> Biodomain: Vasculature, Unknown, Immune Response, Endolysosome, Oxidative Stress
GO Term: Proprioception -> Biodomain: Synapse, Proteostasis, Structural Stabilization, Unknown, Endolysosome
GO Term: Sensory Perception Of Pain -> Biodomain: Synapse, Nervous System, Behavioral, Immune Response, Unknown
GO Term: Response To Pheromone -> Biodomain: Synapse, Proteostasis, Epigenetic, Autophagy, Unknown
GO Term: Centromeric Dna Binding -> Biodomain: Cell Cycle, DNA Repair, Epigenetic, Structural Stabilization, Unknown
GO Term: Deaminase Activity -> Biodomain: Synapse, RNA Spliceosome, Proteostasis, Epigenetic, Unknown
GO Term: Citrulline Biosynthetic Process -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Proteostasis, Synapse, Immune Response
GO Term: Methylglyoxal Biosynthetic Process -> Biodomain: Oxidative Stress, Mitochondrial Metabolism, Proteostasis, Endolysosome, Autophagy
GO Term: Methylglyoxal Catabolic Process To D-Lactate Via S-Lactoyl-Glutathione -> Biodomain: Oxidative Stress, Mitochondrial Metabolism, Proteostasis, Autophagy, Endolysosome
GO Term: Lactate Biosynthetic Process From Pyruvate -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Proteostasis, Synapse, Lipid Metabolism
GO Term: Lactate Biosynthetic Process -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Synapse, Proteostasis, Lipid Metabolism
GO Term: Carnitine Metabolic Process, Coa-Linked -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Proteostasis, Oxidative Stress, Autophagy
GO Term: Glucose 1-Phosphate Metabolic Process -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Lipid Metabolism, Synapse, Proteostasis
GO Term: N-Acetylneuraminate Catabolic Process -> Biodomain: Lipid Metabolism, Endolysosome, Autophagy, Proteostasis, Synapse
GO Term: Glycine Biosynthetic Process From Serine -> Biodomain: Synapse, Mitochondrial Metabolism, Proteostasis, Lipid Metabolism, Oxidative Stress
GO Term: Glycine Biosynthetic Process, By Transamination Of Glyoxylate -> Biodomain: Proteostasis, Synapse, Mitochondrial Metabolism, Oxidative Stress, Lipid Metabolism
GO Term: Udp-N-Acetylgalactosamine Metabolic Process -> Biodomain: Synapse, Proteostasis, Lipid Metabolism, Autophagy, Endolysosome
GO Term: Glycine Betaine Biosynthetic Process From Choline -> Biodomain: Lipid Metabolism, Oxidative Stress, Mitochondrial Metabolism, Proteostasis, Synapse
GO Term: Isopentenyl Diphosphate Biosynthetic Process, Mevalonate Pathway -> Biodomain: Lipid Metabolism, Proteostasis, Mitochondrial Metabolism, Autophagy, Oxidative Stress
GO Term: Siderophore Biosynthetic Process -> Biodomain: Metal Binding and Homeostasis, Proteostasis, Lipid Metabolism, Oxidative Stress, Mitochondrial Metabolism
GO Term: Tyrosine Biosynthetic Process, By Oxidation Of Phenylalanine -> Biodomain: Proteostasis, Mitochondrial Metabolism, Oxidative Stress, Lipid Metabolism, Unknown
GO Term: D-Ribose Catabolic Process -> Biodomain: Mitochondrial Metabolism, Proteostasis, Lipid Metabolism, Synapse, Unknown
GO Term: Inositol Catabolic Process -> Biodomain: Synapse,Lipid Metabolism,Proteostasis,Oxidative Stress,Endolysosome
GO Term: Hexose Metabolic Process -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Synapse, Lipid Metabolism, Proteostasis
GO Term: Hexose Biosynthetic Process -> Biodomain: Mitochondrial Metabolism, Proteostasis, Lipid Metabolism, Oxidative Stress, Autophagy
GO Term: Pentose Metabolic Process -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Proteostasis, Lipid Metabolism, Autophagy
GO Term: Pentose Biosynthetic Process -> Biodomain: Oxidative Stress, Lipid Metabolism, Mitochondrial Metabolism, Epigenetic, DNA Repair
GO Term: Dibenzo-P-Dioxin Catabolic Process -> Biodomain: Oxidative Stress, Lipid Metabolism, Mitochondrial Metabolism, Proteostasis, Endolysosome
GO Term: Cysteine Biosynthetic Process Via Cystathionine -> Biodomain: Oxidative Stress, Proteostasis, Lipid Metabolism, Synapse, Mitochondrial Metabolism
GO Term: Cysteine Biosynthetic Process -> Biodomain: Oxidative Stress, Mitochondrial Metabolism, Proteostasis, Lipid Metabolism, Synapse
GO Term: Transsulfuration -> Biodomain: Proteostasis, Oxidative Stress, Lipid Metabolism, Mitochondrial Metabolism, Synapse
GO Term: Dolichol Metabolic Process -> Biodomain: Lipid Metabolism, Proteostasis, Autophagy, Endolysosome, Unknown
GO Term: Pyridine Nucleotide Biosynthetic Process -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Proteostasis, Epigenetic, Synapse
GO Term: Fatty Acid Elongation, Saturated Fatty Acid -> Biodomain: Lipid Metabolism, Mitochondrial Metabolism, Proteostasis, Oxidative Stress, Autophagy
GO Term: Arachidonate Metabolic Process -> Biodomain: Lipid Metabolism, Oxidative Stress, Immune Response, Synapse, Proteostasis
GO Term: Leukotriene Biosynthetic Process -> Biodomain: Immune Response, Lipid Metabolism, Oxidative Stress, Proteostasis, Endolysosome
GO Term: Cyclooxygenase Pathway -> Biodomain: Lipid Metabolism, Synapse, Immune Response, Proteostasis, Oxidative Stress
GO Term: Lipoxygenase Pathway -> Biodomain: Lipid Metabolism, Oxidative Stress, Synapse, Proteostasis, Autophagy
GO Term: Epoxygenase P450 Pathway -> Biodomain: Lipid Metabolism, Immune Response, Oxidative Stress, Proteostasis, Synapse
GO Term: Galactolipid Catabolic Process -> Biodomain: Lipid Metabolism, Myelination, Endolysosome, Proteostasis, Autophagy
GO Term: Glycolipid Catabolic Process -> Biodomain: Lipid Metabolism, Synapse, Proteostasis, Endolysosome, Autophagy
GO Term: Galactose Catabolic Process -> Biodomain: Mitochondrial Metabolism, Proteostasis, Lipid Metabolism, Oxidative Stress, Unknown
GO Term: Fatty Acid Oxidation -> Biodomain: Lipid Metabolism, Mitochondrial Metabolism, Oxidative Stress, Proteostasis, Autophagy
GO Term: Galactitol Metabolic Process -> Biodomain: Lipid Metabolism, Mitochondrial Metabolism, Proteostasis, Oxidative Stress, Unknown
GO Term: Dolichol Biosynthetic Process -> Biodomain: Lipid Metabolism, Proteostasis, Endolysosome, Synapse, Autophagy
GO Term: Acetate Biosynthetic Process -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Proteostasis, Oxidative Stress, Unknown
GO Term: Sulfur Oxidation -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Proteostasis, Lipid Metabolism, Metal Binding and Homeostasis
GO Term: Acetyl-Coa Biosynthetic Process From Acetate -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Proteostasis, Oxidative Stress, Synapse
GO Term: Removal Of Superoxide Radicals -> Biodomain: Oxidative Stress, Proteostasis, Synapse, Autophagy, Mitochondrial Metabolism
GO Term: Triglyceride Biosynthetic Process -> Biodomain: Lipid Metabolism, Synapse, Mitochondrial Metabolism, Autophagy, Oxidative Stress
GO Term: Triglyceride Catabolic Process -> Biodomain: Lipid Metabolism, Autophagy, Mitochondrial Metabolism, Oxidative Stress, Proteostasis
GO Term: L-Tryptophan Catabolic Process To Indole-3-Acetate -> Biodomain: Proteostasis, Mitochondrial Metabolism, Lipid Metabolism, Oxidative Stress, Synapse
GO Term: L-Tryptophan Catabolic Process To Kynurenine -> Biodomain: Oxidative Stress, Immune Response, Synapse, Proteostasis, Lipid Metabolism
GO Term: L-Tryptophan Catabolic Process To Acetyl-Coa -> Biodomain: Mitochondrial Metabolism, Proteostasis, Oxidative Stress, Synapse, Lipid Metabolism
GO Term: L-Cysteine Catabolic Process -> Biodomain: Oxidative Stress, Proteostasis, Metal Binding and Homeostasis, Autophagy, Lipid Metabolism
GO Term: L-Cysteine Catabolic Process To Hypotaurine -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Proteostasis, Lipid Metabolism, Synapse
GO Term: L-Cysteine Catabolic Process To Taurine -> Biodomain: Lipid Metabolism, Mitochondrial Metabolism, Oxidative Stress, Proteostasis, Unknown
GO Term: Glycine Decarboxylation Via Glycine Cleavage System -> Biodomain: Mitochondrial Metabolism, Proteostasis, Lipid Metabolism, Oxidative Stress, Unknown
GO Term: Trans-4-Hydroxy-L-Proline Catabolic Process -> Biodomain: Proteostasis, Oxidative Stress, Lipid Metabolism, Mitochondrial Metabolism, Unknown
GO Term: L-Lysine Catabolic Process -> Biodomain: Mitochondrial Metabolism, Proteostasis, Lipid Metabolism, Autophagy, Oxidative Stress
GO Term: D-Amino Acid Catabolic Process -> Biodomain: Synapse, Mitochondrial Metabolism, Oxidative Stress, Proteostasis, Lipid Metabolism
GO Term: L-Alanine Catabolic Process, By Transamination -> Biodomain: Mitochondrial Metabolism, Proteostasis, Oxidative Stress, Lipid Metabolism, Autophagy
GO Term: Beta-Alanine Metabolic Process -> Biodomain: Lipid Metabolism, Mitochondrial Metabolism, Proteostasis, Synapse, Oxidative Stress
GO Term: Beta-Alanine Biosynthetic Process -> Biodomain: Lipid Metabolism, Mitochondrial Metabolism, Oxidative Stress, Proteostasis, Unknown
GO Term: L-Methionine Salvage From Methylthioadenosine -> Biodomain: Proteostasis, Synapse, Epigenetic, Mitochondrial Metabolism, Unknown
GO Term: Peptidyl-Proline Hydroxylation -> Biodomain: Proteostasis, Structural Stabilization, Metal Binding and Homeostasis, Synapse, Autophagy
GO Term: L-Threonine Catabolic Process To Glycine -> Biodomain: Synapse, Proteostasis, Mitochondrial Metabolism, Lipid Metabolism, Oxidative Stress
GO Term: Pentitol Metabolic Process -> Biodomain: Unknown, Lipid Metabolism, Mitochondrial Metabolism, Oxidative Stress, Autophagy
GO Term: D-Gluconate Metabolic Process -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Lipid Metabolism, Proteostasis, Unknown
GO Term: Taurine Metabolic Process -> Biodomain: Synapse, Proteostasis, Lipid Metabolism, Oxidative Stress, Endolysosome
GO Term: Oxalate Transmembrane Transporter Activity -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Lipid Metabolism, Proteostasis, Endolysosome
GO Term: Oxalate Transport -> Biodomain: Oxidative Stress, Lipid Metabolism, Proteostasis, Mitochondrial Metabolism, Unknown
GO Term: Toxin Transmembrane Transporter Activity -> Biodomain: Proteostasis, Endolysosome, Oxidative Stress, Synapse, Immune Response
GO Term: Protein Metabolic Process -> Biodomain: Proteostasis, Synapse, Autophagy, Endolysosome, Oxidative Stress
GO Term: Propionate Biosynthetic Process -> Biodomain: Lipid Metabolism, Mitochondrial Metabolism, Oxidative Stress, Proteostasis, Unknown
GO Term: Propionate Catabolic Process -> Biodomain: Lipid Metabolism, Mitochondrial Metabolism, Proteostasis, Autophagy, Oxidative Stress
GO Term: L-Arginine Catabolic Process To L-Glutamate -> Biodomain: Synapse, Mitochondrial Metabolism, Oxidative Stress, Proteostasis, Autophagy
GO Term: L-Glutamate Catabolic Process To Aspartate -> Biodomain: Synapse, Mitochondrial Metabolism, Proteostasis, Oxidative Stress, Endolysosome
GO Term: L-Glutamate Catabolic Process Via 2-Hydroxyglutarate -> Biodomain: Synapse, Mitochondrial Metabolism, Oxidative Stress, Proteostasis, Unknown
GO Term: L-Histidine Catabolic Process To Glutamate And Formamide -> Biodomain: Mitochondrial Metabolism, Proteostasis, Oxidative Stress, Lipid Metabolism, Autophagy
GO Term: L-Histidine Catabolic Process To Glutamate And Formate -> Biodomain: Synapse, Proteostasis, Mitochondrial Metabolism, Oxidative Stress, Unknown
GO Term: Glycerol Catabolic Process -> Biodomain: Lipid Metabolism, Mitochondrial Metabolism, Oxidative Stress, Synapse, Autophagy
GO Term: Butyrate Metabolic Process -> Biodomain: Lipid Metabolism, Immune Response, Oxidative Stress, Autophagy, Mitochondrial Metabolism
GO Term: 2-Oxobutyrate Catabolic Process -> Biodomain: Lipid Metabolism, Mitochondrial Metabolism, Oxidative Stress, Proteostasis, Autophagy
GO Term: Short-Chain Fatty Acid Catabolic Process -> Biodomain: Lipid Metabolism, Mitochondrial Metabolism, Proteostasis, Oxidative Stress, Autophagy
GO Term: Urea Metabolic Process -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Proteostasis, Lipid Metabolism, Unknown
GO Term: Urate Catabolic Process -> Biodomain: Oxidative Stress, Mitochondrial Metabolism, Proteostasis, Lipid Metabolism, Synapse
GO Term: Organophosphate Metabolic Process -> Biodomain: Synapse, Mitochondrial Metabolism, Proteostasis, Lipid Metabolism, Oxidative Stress
GO Term: D-Glucuronate Catabolic Process To D-Xylulose 5-Phosphate -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Lipid Metabolism, Proteostasis, Unknown
GO Term: Aerobic Electron Transport Chain -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Proteostasis, Autophagy, Synapse
GO Term: Glucose Catabolic Process To Lactate Via Pyruvate -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Synapse, Proteostasis, Lipid Metabolism
GO Term: Gdp-Mannose Metabolic Process -> Biodomain: Synapse, Proteostasis, Lipid Metabolism, Endolysosome, Mitochondrial Metabolism
GO Term: Nad+ Metabolic Process -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Proteostasis, Synapse, Lipid Metabolism
GO Term: Ammonia Assimilation Cycle -> Biodomain: Synapse, Proteostasis, Mitochondrial Metabolism, Oxidative Stress, Metal Binding and Homeostasis
GO Term: Nad+ Catabolic Process -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Synapse, Proteostasis, Autophagy
GO Term: Propionate Metabolic Process, Methylmalonyl Pathway -> Biodomain: Lipid Metabolism, Mitochondrial Metabolism, Oxidative Stress, Proteostasis, Synapse
GO Term: Glyceraldehyde-3-Phosphate Metabolic Process -> Biodomain: Synapse, Mitochondrial Metabolism, Oxidative Stress, Proteostasis, Lipid Metabolism
GO Term: Ribose Phosphate Metabolic Process -> Biodomain: Mitochondrial Metabolism, Synapse, Oxidative Stress, Epigenetic, Proteostasis
GO Term: Choline Metabolic Process -> Biodomain: Synapse, Lipid Metabolism, Epigenetic, Proteostasis, Unknown
GO Term: Protein-Cysteine S-Myristoyltransferase Activity -> Biodomain: Lipid Metabolism, Proteostasis, Synapse, Autophagy, Structural Stabilization
GO Term: Protein-Cysteine S-Palmitoyltransferase Activity -> Biodomain: Synapse, Proteostasis, Lipid Metabolism, Endolysosome, Autophagy
GO Term: Calcium-Mediated Signaling -> Biodomain: Synapse, Proteostasis, Oxidative Stress, Apoptosis, Endolysosome
GO Term: B Cell Mediated Immunity -> Biodomain: Immune Response, Unknown, Endolysosome, Autophagy, Proteostasis
GO Term: Cellular Homeostasis -> Biodomain: Synapse, Proteostasis, Endolysosome, Autophagy, Oxidative Stress
GO Term: Antimicrobial Humoral Response -> Biodomain: Immune Response, Oxidative Stress, Proteostasis, Apoptosis, Autophagy
GO Term: Antibacterial Humoral Response -> Biodomain: Immune Response, Defense Response, Response to External Stimulus, Response to Biotic Stimulus, Unknown
GO Term: Antifungal Humoral Response -> Biodomain: Immune Response, Endolysosome, Autophagy, Oxidative Stress, Proteostasis
GO Term: Nitrogen Utilization -> Biodomain: Proteostasis, Mitochondrial Metabolism, Homeostasis, Synapse, Oxidative Stress
GO Term: Pentacyclic Triterpenoid Metabolic Process -> Biodomain: Lipid Metabolism, Proteostasis, Autophagy, Mitochondrial Metabolism, Oxidative Stress
GO Term: Regulation Of Isoprenoid Metabolic Process -> Biodomain: Lipid Metabolism, Synapse, Proteostasis, Mitochondrial Metabolism, Oxidative Stress
GO Term: Secondary Metabolic Process -> Biodomain: Proteostasis, Synapse, Lipid Metabolism, Autophagy, Endolysosome
GO Term: Carboxylic Acid Metabolic Process -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Oxidative Stress, Proteostasis, Autophagy
GO Term: One-Carbon Compound Transport -> Biodomain: Synapse, Proteostasis, Lipid Metabolism, Mitochondrial Metabolism, Epigenetic
GO Term: Immunoglobulin Receptor Activity -> Biodomain: Immune Response, Synapse, Epigenetic, Proteostasis, Unknown
GO Term: Iga Receptor Activity -> Biodomain: Immune Response, Signaling, Cell Surface, Unknown, Proteostasis
GO Term: Ige Receptor Activity -> Biodomain: Immune Response, Endolysosome, Proteostasis, Autophagy, Unknown
GO Term: High-Affinity Ige Receptor Activity -> Biodomain: Immune Response, Unknown, Vasculature, Apoptosis, Oxidative Stress
GO Term: Low-Affinity Ige Receptor Activity -> Biodomain: Immune Response, Unknown, Apoptosis, Oxidative Stress, Endolysosome
GO Term: Igg Receptor Activity -> Biodomain: Immune Response, Unknown, Synapse, Proteostasis, Autophagy
GO Term: High-Affinity Igg Receptor Activity -> Biodomain: Immune Response, Proteostasis, Endolysosome, Autophagy, Synapse
GO Term: Low-Affinity Igg Receptor Activity -> Biodomain: Immune Response, Proteostasis, Synapse, Endolysosome, Vasculature
GO Term: Proteasome Core Complex, Alpha-Subunit Complex -> Biodomain: Proteostasis, Autophagy, Oxidative Stress, Synapse, Apoptosis
GO Term: Proteasome Core Complex, Beta-Subunit Complex -> Biodomain: Proteostasis, Autophagy, Synapse, Apoptosis, Endolysosome
GO Term: Atg8-Family Ligase Activity -> Biodomain: Autophagy, Proteostasis, Endolysosome, Synapse, Lipid Metabolism
GO Term: Atg12 Transferase Activity -> Biodomain: Autophagy, Proteostasis, Synapse, Endolysosome, Oxidative Stress
GO Term: Atg12 Activating Enzyme Activity -> Biodomain: Autophagy, Proteostasis, Endolysosome, Oxidative Stress, Synapse
GO Term: Atg8 Activating Enzyme Activity -> Biodomain: Autophagy, Proteostasis, Mitochondrial Metabolism, Oxidative Stress, Unknown
GO Term: Fat10 Activating Enzyme Activity -> Biodomain: Proteostasis, Synapse, Autophagy, Immune Response, Oxidative Stress
GO Term: Nedd8 Activating Enzyme Activity -> Biodomain: Proteostasis,Synapse,Autophagy,Epigenetic,Unknown
GO Term: Isg15 Activating Enzyme Activity -> Biodomain: Proteostasis, Immune Response, Autophagy, Mitochondrial Metabolism, Oxidative Stress
GO Term: Ubiquitin-Like Protein Peptidase Activity -> Biodomain: Proteostasis,Synapse,Autophagy,Endolysosome,Unknown
