Running with TEMP=0.9, sub_array_index=8
Changed working directory to: /panfs/compbio/users/xran2/wen/JX/02-AI-BioDomain/git_folder
Processing array index 8: rows 7000 to 7999
GO Term: Cardiolipin Metabolic Process -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Apoptosis, Oxidative Stress, Autophagy
GO Term: Regulation Of Appetite -> Biodomain: Lipid Metabolism, Synapse, Proteostasis, Mitochondrial Metabolism, Immune Response
GO Term: Negative Regulation Of Appetite -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Synapse, Endolysosome, Epigenetic
GO Term: Positive Regulation Of Appetite -> Biodomain: Lipid Metabolism, Proteostasis, Synapse, Epigenetic, Mitochondrial Metabolism
GO Term: Regulation Of Response To Nutrient Levels -> Biodomain: Lipid Metabolism, Mitochondrial Metabolism, Autophagy, Proteostasis, Oxidative Stress
GO Term: Smc Loading Complex -> Biodomain: DNA Repair, Cell Cycle, Epigenetic, Structural Stabilization, Proteostasis
GO Term: Dense Core Granule Membrane -> Biodomain: Synapse, Proteostasis, Lipid Metabolism, Endolysosome, Structural Stabilization
GO Term: Histone H3K9 Deacetylase Activity, Hydrolytic Mechanism -> Biodomain: Epigenetic, Proteostasis, Cell Cycle, DNA Repair, Autophagy
GO Term: Chromosome Passenger Complex -> Biodomain: Cell Cycle, Apoptosis, Structural Stabilization, Epigenetic, DNA Repair
GO Term: Guanine/Thymine Mispair Binding -> Biodomain: DNA Repair, Epigenetic, Proteostasis, Cell Cycle, Apoptosis
GO Term: Single Base Insertion Or Deletion Binding -> Biodomain: DNA Repair, Cell Cycle, Epigenetic, Structural Stabilization, Metal Binding and Homeostasis
GO Term: Dinucleotide Insertion Or Deletion Binding -> Biodomain: DNA Repair, Epigenetic, Metal Binding and Homeostasis, Apoptosis, Proteostasis
GO Term: Single Guanine Insertion Binding -> Biodomain: DNA Repair, Epigenetic, Metal Binding and Homeostasis, Cell Cycle, Structural Stabilization
GO Term: Single Thymine Insertion Binding -> Biodomain: DNA Repair, Epigenetic, Metal Binding and Homeostasis, Structural Stabilization, Cell Cycle
GO Term: 4-Aminobutyrate Transaminase Complex -> Biodomain: Mitochondrial Metabolism, Synapse, Proteostasis, Lipid Metabolism, Oxidative Stress
GO Term: Succinate-Semialdehyde Dehydrogenase Binding -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Lipid Metabolism, Proteostasis, Metal Binding and Homeostasis
GO Term: Activation Of Protein Kinase Activity -> Biodomain: Cell Cycle, Apoptosis, Immune Response, Autophagy, Tau Homeostasis
GO Term: Activation Of Protein Kinase B Activity -> Biodomain: Apoptosis, Cell Cycle, Mitochondrial Metabolism, Lipid Metabolism, Proteostasis
GO Term: Cell Division Site -> Biodomain: Cell Cycle, Structural Stabilization, Autophagy, Lipid Metabolism, Proteostasis
GO Term: Cleavage Furrow -> Biodomain: Cell Cycle, Structural Stabilization, Proteostasis, Lipid Metabolism, Mitochondrial Metabolism
GO Term: Septin Cytoskeleton -> Biodomain: Structural Stabilization, Cell Cycle, Proteostasis, Autophagy, Immune Response
GO Term: Septin Collar -> Biodomain: Structural Stabilization, Cell Cycle, Proteostasis, Endolysosome, Autophagy
GO Term: Dinucleotide Repeat Insertion Binding -> Biodomain: DNA Repair, Epigenetic, Structural Stabilization, Cell Cycle, Metal Binding and Homeostasis
GO Term: Ubiquitin-Like Protein Binding -> Biodomain: Proteostasis, Autophagy, Apoptosis, Cell Cycle, Endolysosome
GO Term: Sumo Binding -> Biodomain: Proteostasis, Autophagy, Apoptosis, Structural Stabilization, Epigenetic
GO Term: Sumo Polymer Binding -> Biodomain: Proteostasis, Epigenetic, Protein Aggregation and Clearance, DNA Repair, Synapse
GO Term: Septin Cytoskeleton Organization -> Biodomain: Structural Stabilization, Proteostasis, Cell Cycle, Autophagy, Endolysosome
GO Term: Acrosin Binding -> Biodomain: Proteostasis, Endolysosome, Structural Stabilization, Immune Response, Apoptosis
GO Term: Transposition -> Biodomain: DNA Repair, Epigenetic, Cell Cycle, Proteostasis, Immune Response
GO Term: Retrotransposition -> Biodomain: DNA Repair, Epigenetic, Cell Cycle, Proteostasis, RNA Spliceosome
GO Term: Telomere Organization -> Biodomain: DNA Repair, Structural Stabilization, Epigenetic, Cell Cycle, Apoptosis
GO Term: Telomere Maintenance Via Semi-Conservative Replication -> Biodomain: DNA Repair, Cell Cycle, Structural Stabilization, Epigenetic, Proteostasis
GO Term: Telomere Assembly -> Biodomain: DNA Repair, Cell Cycle, Structural Stabilization, Epigenetic, Proteostasis
GO Term: Telomere Formation Via Telomerase -> Biodomain: DNA Repair, Cell Cycle, Epigenetic, Apoptosis, Structural Stabilization
GO Term: Regulation Of Telomere Maintenance -> Biodomain: DNA Repair, Cell Cycle, Apoptosis, Epigenetic, Structural Stabilization
GO Term: Negative Regulation Of Telomere Maintenance -> Biodomain: Cell Cycle, DNA Repair, Epigenetic, Structural Stabilization, Proteostasis
GO Term: Positive Regulation Of Telomere Maintenance -> Biodomain: DNA Repair, Cell Cycle, Epigenetic, Autophagy, Apoptosis
GO Term: Negative Regulation Of Telomere Maintenance Via Recombination -> Biodomain: DNA Repair, Cell Cycle, Epigenetic, Structural Stabilization, Apoptosis
GO Term: Regulation Of Telomere Maintenance Via Telomerase -> Biodomain: DNA Repair, Cell Cycle, Apoptosis, Epigenetic, Oxidative Stress
GO Term: Negative Regulation Of Telomere Maintenance Via Telomerase -> Biodomain: Cell Cycle, DNA Repair, Apoptosis, Epigenetic, Structural Stabilization
GO Term: Positive Regulation Of Telomere Maintenance Via Telomerase -> Biodomain: DNA Repair, Cell Cycle, Apoptosis, Epigenetic, Proteostasis
GO Term: Negative Regulation Of Telomere Maintenance Via Semi-Conservative Replication -> Biodomain: DNA Repair, Cell Cycle, Epigenetic, Structural Stabilization, Apoptosis
GO Term: Glucosaminyl-Phosphatidylinositol O-Acyltransferase Activity -> Biodomain: Lipid Metabolism, Mitochondrial Metabolism, Endolysosome, Structural Stabilization, Proteostasis
GO Term: Riboflavin Transmembrane Transporter Activity -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Proteostasis, Lipid Metabolism, Autophagy
GO Term: Riboflavin Transport -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Oxidative Stress, Autophagy, Proteostasis
GO Term: Negative Regulation Of Synaptic Transmission, Cholinergic -> Biodomain: Synapse, Proteostasis, Oxidative Stress, Mitochondrial Metabolism, Lipid Metabolism
GO Term: Positive Regulation Of Synaptic Transmission, Cholinergic -> Biodomain: Synapse, Proteostasis, Lipid Metabolism, Structural Stabilization, Mitochondrial Metabolism
GO Term: Regulation Of Synaptic Transmission, Dopaminergic -> Biodomain: Synapse, Proteostasis, Structural Stabilization, Lipid Metabolism, Endolysosome
GO Term: Positive Regulation Of Synaptic Transmission, Dopaminergic -> Biodomain: Synapse, Proteostasis, Autophagy, Oxidative Stress, Lipid Metabolism
GO Term: Negative Regulation Of Synaptic Transmission, Dopaminergic -> Biodomain: Synapse, Proteostasis, Autophagy, Lipid Metabolism, Oxidative Stress
GO Term: Regulation Of Synaptic Transmission, Gabaergic -> Biodomain: Synapse, Proteostasis, Structural Stabilization, Endolysosome, Autophagy
GO Term: Negative Regulation Of Synaptic Transmission, Gabaergic -> Biodomain: Synapse, Proteostasis, Structural Stabilization, Autophagy, Endolysosome
GO Term: Positive Regulation Of Synaptic Transmission, Gabaergic -> Biodomain: Synapse, Neurotransmission, Neurological, Synaptic Plasticity, Cell Signaling
GO Term: Negative Regulation Of Actin Filament Bundle Assembly -> Biodomain: Structural Stabilization, Proteostasis, Cell Cycle, Autophagy, Apoptosis
GO Term: Positive Regulation Of Actin Filament Bundle Assembly -> Biodomain: Structural Stabilization, Cytoskeletal Organization, Cell Motility, Cell Cycle, Synapse
GO Term: Activation Of Store-Operated Calcium Channel Activity -> Biodomain: Immune Response, Mitochondrial Metabolism, Metal Binding and Homeostasis, Cell Cycle, Vasculature
GO Term: Adenosine Transport -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Proteostasis, Autophagy, Oxidative Stress
GO Term: Negative Regulation Of Nucleoside Transport -> Biodomain: DNA Repair, Epigenetic, RNA Spliceosome, Cell Cycle, Apoptosis
GO Term: Positive Regulation Of Nucleoside Transport -> Biodomain: DNA Repair, RNA Spliceosome, Epigenetic, Cell Cycle, Autophagy
GO Term: Secretory Granule Localization -> Biodomain: Endolysosome, Proteostasis, Synapse, Autophagy, Structural Stabilization
GO Term: Methylation -> Biodomain: Epigenetic, DNA Repair, Proteostasis, Metal Binding and Homeostasis, Lipid Metabolism
GO Term: Purine Nucleotide Salvage -> Biodomain: Mitochondrial Metabolism, Cell Cycle, DNA Repair, Metal Binding and Homeostasis, Autophagy
GO Term: Gmp Salvage -> Biodomain: Mitochondrial Metabolism, Proteostasis, Oxidative Stress, Autophagy, Metal Binding and Homeostasis
GO Term: Imp Salvage -> Biodomain: Purine Metabolism, Mitochondrial Metabolism, Nucleotide Metabolism, Metabolism, Metabolic Process
GO Term: Phosphatidylinositol-3-Phosphate Binding -> Biodomain: Lipid Metabolism, Autophagy, Endolysosome, Proteostasis, Mitochondrial Metabolism
GO Term: Positive Regulation Of Protein Polymerization -> Biodomain: Proteostasis, Structural Stabilization, Autophagy, Apoptosis, Synapse
GO Term: Gonadotropin Secretion -> Biodomain: Synapse, Epigenetic, Proteostasis, RNA Spliceosome, Cell Cycle
GO Term: Luteinizing Hormone Secretion -> Biodomain: Endocrine, Secretome, Reproduction, Cell Signaling, GPCR Signaling
GO Term: Negative Regulation Of Gonadotropin Secretion -> Biodomain: Proteostasis, Epigenetic, Oxidative Stress, Immune Response, Endolysosome
GO Term: Asymmetric Synapse -> Biodomain: Synapse, Structural Stabilization, Proteostasis, Myelination, Autophagy
GO Term: Symmetric Synapse -> Biodomain: Synapse, Structural Stabilization, Proteostasis, Lipid Metabolism, Endolysosome
GO Term: Ampa Glutamate Receptor Complex -> Biodomain: Synapse, Proteostasis, Structural Stabilization, Lipid Metabolism, Metal Binding and Homeostasis
GO Term: Central Nervous System Myelin Maintenance -> Biodomain: Myelination, Structural Stabilization, Synapse, Lipid Metabolism, Proteostasis
GO Term: Peripheral Nervous System Myelin Maintenance -> Biodomain: Myelination, Structural Stabilization, Proteostasis, Lipid Metabolism, Synapse
GO Term: Myelin Assembly -> Biodomain: Myelination, Structural Stabilization, Synapse, Proteostasis, Autophagy
GO Term: Central Nervous System Myelin Formation -> Biodomain: Myelination, Structural Stabilization, Proteostasis, Synapse, Lipid Metabolism
GO Term: Peripheral Nervous System Myelin Formation -> Biodomain: Myelination, Structural Stabilization, Lipid Metabolism, Cell Cycle, Proteostasis
GO Term: Positive Regulation Of Dna-Templated Dna Replication Initiation -> Biodomain: DNA Repair, Cell Cycle, Epigenetic, Metal Binding and Homeostasis, Proteostasis
GO Term: Ribonuclease H2 Complex -> Biodomain: RNA Spliceosome, DNA Repair, Proteostasis, Epigenetic, Cell Cycle
GO Term: Mismatch Repair Complex -> Biodomain: DNA Repair, Cell Cycle, Proteostasis, Epigenetic, Apoptosis
GO Term: Mutsalpha Complex -> Biodomain: DNA Repair, Cell Cycle, Proteostasis, Epigenetic, Autophagy
GO Term: Mutsbeta Complex -> Biodomain: DNA Repair, Cell Cycle, Proteostasis, Epigenetic, Apoptosis
GO Term: Negative Regulation Of Icosanoid Secretion -> Biodomain: Immune Response, Lipid Metabolism, Oxidative Stress, Proteostasis, Endolysosome
GO Term: Positive Regulation Of Icosanoid Secretion -> Biodomain: Immune Response, Lipid Metabolism, Vasculature, Oxidative Stress, Apoptosis
GO Term: Negative Regulation Of Prostaglandin Secretion -> Biodomain: Lipid Metabolism, Immune Response, Vasculature, Oxidative Stress, Proteostasis
GO Term: Positive Regulation Of Prostaglandin Secretion -> Biodomain: Lipid Metabolism, Immune Response, Vasculature, Proteostasis, Apoptosis
GO Term: Prostaglandin Secretion -> Biodomain: Immune Response, Vasculature, Lipid Metabolism, Oxidative Stress, Mitochondrial Metabolism
GO Term: Angiogenin-Pri Complex -> Biodomain: Vasculature, Proteostasis, Immune Response, Endolysosome, Apoptosis
GO Term: Molybdopterin Cofactor Biosynthetic Process -> Biodomain: Metal Binding and Homeostasis, Mitochondrial Metabolism, Oxidative Stress, Proteostasis, Lipid Metabolism
GO Term: Alanine Transport -> Biodomain: Proteostasis, Mitochondrial Metabolism, Autophagy, Endolysosome, Lipid Metabolism
GO Term: Serine Transport -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Proteostasis, Endolysosome, Metal Binding and Homeostasis
GO Term: Regulation Of Chondrocyte Differentiation -> Biodomain: Structural Stabilization, Cell Cycle, Epigenetic, Proteostasis, RNA Spliceosome
GO Term: Negative Regulation Of Chondrocyte Differentiation -> Biodomain: Cell Cycle, Epigenetic, Structural Stabilization, Autophagy, Proteostasis
GO Term: Positive Regulation Of Chondrocyte Differentiation -> Biodomain: Structural Stabilization, Epigenetic, Cell Cycle, Proteostasis, Autophagy
GO Term: Aldosterone Metabolic Process -> Biodomain: Lipid Metabolism, Mitochondrial Metabolism, Metal Binding and Homeostasis, Oxidative Stress, Proteostasis
GO Term: Aldosterone Biosynthetic Process -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Oxidative Stress, Proteostasis, Vasculature
GO Term: Regulation Of Aldosterone Biosynthetic Process -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Oxidative Stress, Vasculature, Epigenetic
GO Term: Negative Regulation Of Aldosterone Biosynthetic Process -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Oxidative Stress, Epigenetic, Metal Binding and Homeostasis
GO Term: Positive Regulation Of Aldosterone Biosynthetic Process -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Oxidative Stress, Vasculature, Proteostasis
GO Term: Regulation Of Hormone Metabolic Process -> Biodomain: Lipid Metabolism, Mitochondrial Metabolism, Proteostasis, Endolysosome, Oxidative Stress
GO Term: Response To Follicle-Stimulating Hormone -> Biodomain: Endolysosome, Proteostasis, Apoptosis, Cell Cycle, Epigenetic
GO Term: Response To Estradiol -> Biodomain: Epigenetic, Lipid Metabolism, Cell Cycle, Immune Response, Proteostasis
GO Term: Oxidized Dna Binding -> Biodomain: Oxidative Stress, DNA Repair, Apoptosis, Cell Cycle, Epigenetic
GO Term: Oxidized Purine Dna Binding -> Biodomain: DNA Repair, Oxidative Stress, Metal Binding and Homeostasis, Cell Cycle, Apoptosis
GO Term: Oxidized Pyrimidine Dna Binding -> Biodomain: DNA Repair, Oxidative Stress, Apoptosis, Cell Cycle, Structural Stabilization
GO Term: Pyridoxal Phosphate Catabolic Process -> Biodomain: Mitochondrial Metabolism, Synapse, Metal Binding and Homeostasis, Proteostasis, Lipid Metabolism
GO Term: Intracellular Oxygen Homeostasis -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Proteostasis, Autophagy, Metal Binding and Homeostasis
GO Term: Intracellular Lipid Transport -> Biodomain: Lipid Metabolism, Mitochondrial Metabolism, Endolysosome, Autophagy, Proteostasis
GO Term: Intracellular Sterol Transport -> Biodomain: Lipid Metabolism, Endolysosome, Proteostasis, Autophagy, Mitochondrial Metabolism
GO Term: Intracellular Cholesterol Transport -> Biodomain: Lipid Metabolism, Endolysosome, Proteostasis, Autophagy, Mitochondrial Metabolism
GO Term: Regulation Of Lipid Transport -> Biodomain: Lipid Metabolism, Mitochondrial Metabolism, Proteostasis, Autophagy, Endolysosome
GO Term: Negative Regulation Of Lipid Transport -> Biodomain: Lipid Metabolism, Oxidative Stress, Autophagy, Endolysosome, Proteostasis
GO Term: Positive Regulation Of Lipid Transport -> Biodomain: Lipid Metabolism, Mitochondrial Metabolism, Endolysosome, Autophagy, Proteostasis
GO Term: Regulation Of Cholesterol Transport -> Biodomain: Lipid Metabolism, Endolysosome, Proteostasis, Structural Stabilization, Vasculature
GO Term: Negative Regulation Of Cholesterol Transport -> Biodomain: Lipid Metabolism, Proteostasis, Structural Stabilization, Endolysosome, Apoptosis
GO Term: Positive Regulation Of Cholesterol Transport -> Biodomain: Lipid Metabolism, Endolysosome, Structural Stabilization, Proteostasis, Autophagy
GO Term: Regulation Of Intracellular Lipid Transport -> Biodomain: Lipid Metabolism, Autophagy, Endolysosome, Proteostasis, Mitochondrial Metabolism
GO Term: Positive Regulation Of Intracellular Lipid Transport -> Biodomain: Lipid Metabolism, Intracellular Trafficking, Proteostasis, Endolysosome, Autophagy
GO Term: Regulation Of Intracellular Cholesterol Transport -> Biodomain: Lipid Metabolism, Endolysosome, Proteostasis, Autophagy, Structural Stabilization
GO Term: Negative Regulation Of Intracellular Cholesterol Transport -> Biodomain: Lipid Metabolism, Endolysosome, Proteostasis, Autophagy, Vasculature
GO Term: Positive Regulation Of Intracellular Cholesterol Transport -> Biodomain: Lipid Metabolism, Proteostasis, Endolysosome, Autophagy, Mitochondrial Metabolism
GO Term: Regulation Of Intracellular Transport -> Biodomain: Proteostasis, Endolysosome, Autophagy, Structural Stabilization, APP Metabolism
GO Term: Negative Regulation Of Intracellular Transport -> Biodomain: Proteostasis, Autophagy, Endolysosome, Apoptosis, Structural Stabilization
GO Term: Positive Regulation Of Intracellular Transport -> Biodomain: Proteostasis, Autophagy, Endolysosome, Synapse, Mitochondrial Metabolism
GO Term: Mutlalpha Complex -> Biodomain: DNA Repair, Cell Cycle, Proteostasis, Epigenetic, Autophagy
GO Term: Photoreceptor Connecting Cilium -> Biodomain: Structural Stabilization, Proteostasis, Synapse, Endolysosome, Autophagy
GO Term: Dna Geometric Change -> Biodomain: DNA Repair, Epigenetic, Cell Cycle, Structural Stabilization, Autophagy
GO Term: Mhc Class I Receptor Activity -> Biodomain: Immune Response, Receptor Signaling, Antigen Presentation, T Cell Activation, Cellular Immunity
GO Term: Mhc Class Ib Receptor Activity -> Biodomain: Immune Response, Lipid Metabolism, Apoptosis, Synapse, Endolysosome
GO Term: Mhc Class Ii Receptor Activity -> Biodomain: Immune Response, Endolysosome, Synapse, Proteostasis, Autophagy
GO Term: Inhibitory Mhc Class I Receptor Activity -> Biodomain: Immune Response, Cell Cycle, Apoptosis, Proteostasis, Structural Stabilization
GO Term: Activating Mhc Class I Receptor Activity -> Biodomain: Immune Response, Apoptosis, Autophagy, Proteostasis, Endolysosome
GO Term: Mhc Class Ib Protein Complex -> Biodomain: Immune Response, Lipid Metabolism, Proteostasis, Autophagy, Apoptosis
GO Term: Hect Domain Binding -> Biodomain: Proteostasis, Ubiquitin Proteasome System, Autophagy, Protein Degradation, Protein Processing
GO Term: Melanosome Localization -> Biodomain: Proteostasis, Endolysosome, Structural Stabilization, Autophagy, Mitochondrial Metabolism
GO Term: Establishment Of Melanosome Localization -> Biodomain: Structural Stabilization, Proteostasis, Endolysosome, Autophagy, Mitochondrial Metabolism
GO Term: Melanosome Transport -> Biodomain: Structural Stabilization, Proteostasis, Endolysosome, Lipid Metabolism, Autophagy
GO Term: Mutlalpha Complex Binding -> Biodomain: DNA Repair, Cell Cycle, Epigenetic, Proteostasis, Structural Stabilization
GO Term: Mutlbeta Complex Binding -> Biodomain: DNA Repair, Epigenetic, Cell Cycle, Proteostasis, Structural Stabilization
GO Term: Mutsalpha Complex Binding -> Biodomain: DNA Repair, Cell Cycle, Epigenetic, Apoptosis, Proteostasis
GO Term: Mutsbeta Complex Binding -> Biodomain: DNA Repair, Cell Cycle, Epigenetic, Proteostasis, Autophagy
GO Term: Negative Regulation Of Transporter Activity -> Biodomain: Proteostasis, Endolysosome, Autophagy, Lipid Metabolism, Structural Stabilization
GO Term: Positive Regulation Of Transporter Activity -> Biodomain: Synapse, Endolysosome, Vasculature, Metal Binding and Homeostasis, Lipid Metabolism
GO Term: Regulation Of Monoatomic Ion Transmembrane Transporter Activity -> Biodomain: Metal Binding and Homeostasis, Synapse, Vasculature, Endolysosome, Proteostasis
GO Term: Positive Regulation Of Ion Transmembrane Transporter Activity -> Biodomain: Synapse, Mitochondrial Metabolism, Oxidative Stress, Metal Binding and Homeostasis, Proteostasis
GO Term: Positive Regulation Of Sodium:Proton Antiporter Activity -> Biodomain: Endolysosome, Vasculature, Oxidative Stress, Autophagy, Apoptosis
GO Term: Lysosome Localization -> Biodomain: Endolysosome, Proteostasis, Autophagy, Mitochondrial Metabolism, Synapse
GO Term: Stereocilium -> Biodomain: Structural Stabilization, Synapse, Proteostasis, Endolysosome, Cell Cycle
GO Term: Stereocilium Bundle -> Biodomain: Structural Stabilization, Synapse, Proteostasis, Endolysosome, Metal Binding and Homeostasis
GO Term: Purine-Rich Negative Regulatory Element Binding -> Biodomain: Epigenetic, Cell Cycle, Immune Response, Vasculature, Proteostasis
GO Term: Regulation Of Mismatch Repair -> Biodomain: DNA Repair, Cell Cycle, Epigenetic, Proteostasis, Apoptosis
GO Term: Positive Regulation Of Mismatch Repair -> Biodomain: DNA Repair, Cell Cycle, Epigenetic, Structural Stabilization, Proteostasis
GO Term: Stereocilium Tip -> Biodomain: Structural Stabilization, Synapse, Proteostasis, Cell Cycle, Epigenetic
GO Term: Gbd Domain Binding -> Biodomain: Proteostasis, Structural Stabilization, Cell Cycle, Autophagy, Immune Response
GO Term: Beta-N-Acetylgalactosaminidase Activity -> Biodomain: Endolysosome, Glycosaminoglycan Metabolism, Proteostasis, Autophagy, Lipid Metabolism
GO Term: Actin Filament Bundle -> Biodomain: Structural Stabilization, Vasculature, Synapse, Proteostasis, Autophagy
GO Term: Filopodium Tip -> Biodomain: Synapse, Structural Stabilization, Cell Cycle, Proteostasis, Lipid Metabolism
GO Term: Regulation Of Proteasomal Ubiquitin-Dependent Protein Catabolic Process -> Biodomain: Proteostasis, Autophagy, Apoptosis, Oxidative Stress, Endolysosome
GO Term: Negative Regulation Of Proteasomal Ubiquitin-Dependent Protein Catabolic Process -> Biodomain: Proteostasis, Ubiquitin Proteasome Pathway, Proteasome Assembly, Autophagy, Apoptosis
GO Term: Positive Regulation Of Proteasomal Ubiquitin-Dependent Protein Catabolic Process -> Biodomain: Proteostasis, Autophagy, Apoptosis, Oxidative Stress, Endolysosome
GO Term: Cuticular Plate -> Biodomain: Structural Stabilization, Synapse, Proteostasis, Autophagy, Lipid Metabolism
GO Term: Melanosome Organization -> Biodomain: Proteostasis, Endolysosome, Structural Stabilization, Lipid Metabolism, Autophagy
GO Term: 2-Alkenal Reductase [Nad(P)H] Activity -> Biodomain: Oxidative Stress, Lipid Metabolism, Mitochondrial Metabolism, Proteostasis, Autophagy
GO Term: Activin Responsive Factor Complex -> Biodomain: Epigenetic, Cell Cycle, Apoptosis, Immune Response, Proteostasis
GO Term: Protein Modification By Small Protein Conjugation -> Biodomain: Proteostasis, Autophagy, Endolysosome, Apoptosis, Epigenetic
GO Term: Protein Urmylation -> Biodomain: Proteostasis, Oxidative Stress, Autophagy, Endolysosome, Apoptosis
GO Term: Dna Hairpin Binding -> Biodomain: DNA Repair, Epigenetic, Cell Cycle, Structural Stabilization, Metal Binding and Homeostasis
GO Term: Cbm Complex -> Biodomain: Immune Response, Signal Transduction, Apoptosis, Inflammation, Cell Survival
GO Term: Demethylase Activity -> Biodomain: Epigenetic, DNA Repair, Immune Response, Cell Cycle, Metal Binding and Homeostasis
GO Term: Histone Demethylase Activity -> Biodomain: Epigenetic, DNA Repair, Cell Cycle, Proteostasis, Autophagy
GO Term: Histone H3K4 Demethylase Activity -> Biodomain: Epigenetic, Proteostasis, DNA Repair, Metal Binding and Homeostasis, Cell Cycle
GO Term: Histone H3K9 Demethylase Activity -> Biodomain: Epigenetic, DNA Repair, Metal Binding and Homeostasis, Proteostasis, Cell Cycle
GO Term: Endocytic Recycling -> Biodomain: Endolysosome, Proteostasis, Autophagy, Synapse, Lipid Metabolism
GO Term: Slow Endocytic Recycling -> Biodomain: Endolysosome, Proteostasis, Lipid Metabolism, Autophagy, Structural Stabilization
