Running with TEMP=0.5, sub_array_index=16
Changed working directory to: /panfs/compbio/users/xran2/wen/JX/02-AI-BioDomain/git_folder
Processing array index 16: rows 15000 to 15999
GO Term: Hippocampal Mossy Fiber To Ca3 Synapse -> Biodomain: Synapse, Structural Stabilization, Tau Homeostasis, Proteostasis, Autophagy
GO Term: Skin Epidermis Development -> Biodomain: Structural Stabilization, Proteostasis, Cell Cycle, Epigenetic, Immune Response
GO Term: Response To Mitochondrial Depolarisation -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Proteostasis, Apoptosis, Autophagy
GO Term: Mechanosensitive Potassium Channel Activity -> Biodomain: Synapse, Structural Stabilization, Vasculature, Metal Binding and Homeostasis, Oxidative Stress
GO Term: Biofilm Matrix Disassembly -> Biodomain: Proteostasis, Endolysosome, Autophagy, Lipid Metabolism, Structural Stabilization
GO Term: Golgi Apparatus Subcompartment -> Biodomain: Proteostasis, Lipid Metabolism, Endolysosome, Autophagy, Cell Cycle
GO Term: Xenophagy -> Biodomain: Autophagy, Immune Response, Proteostasis, Endolysosome, Oxidative Stress
GO Term: Presynapse -> Biodomain: Synapse, Structural Stabilization, Proteostasis, Endolysosome, Lipid Metabolism
GO Term: Postsynapse -> Biodomain: Synapse, Structural Stabilization, Proteostasis, Endolysosome, Autophagy
GO Term: Global Gene Silencing By Mrna Cleavage -> Biodomain: RNA Spliceosome, Epigenetic, Proteostasis, Immune Response, Autophagy
GO Term: Membrane Protein Complex -> Biodomain: Structural Stabilization, Proteostasis, Endolysosome, Synapse, Vasculature
GO Term: Plasma Membrane Protein Complex -> Biodomain: Structural Stabilization, Synapse, Vasculature, Proteostasis, Endolysosome
GO Term: Outer Mitochondrial Membrane Protein Complex -> Biodomain: Mitochondrial Metabolism, Proteostasis, Oxidative Stress, Autophagy, Apoptosis
GO Term: Inner Mitochondrial Membrane Protein Complex -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Proteostasis, Autophagy, Apoptosis
GO Term: Respiratory Chain Complex -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Proteostasis, Autophagy, Apoptosis
GO Term: Non-Motile Cilium Membrane -> Biodomain: Structural Stabilization, Proteostasis, Lipid Metabolism, Cell Cycle, Autophagy
GO Term: Mrna Cap Binding -> Biodomain: RNA Spliceosome, Epigenetic, Proteostasis, Cell Cycle, Autophagy
GO Term: Nitrite Reductase Activity -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Metal Binding and Homeostasis, Immune Response, Vasculature
GO Term: Neurotransmitter Reuptake -> Biodomain: Synapse, Proteostasis, Structural Stabilization, Myelination, Mitochondrial Metabolism
GO Term: Nuclear Chromosome Segregation -> Biodomain: Cell Cycle, DNA Repair, Structural Stabilization, Proteostasis, Apoptosis
GO Term: Spontaneous Synaptic Transmission -> Biodomain: Synapse, Structural Stabilization, Proteostasis, Autophagy, Oxidative Stress
GO Term: Modulation Of Excitatory Postsynaptic Potential -> Biodomain: Synapse, Proteostasis, Structural Stabilization, Endolysosome, Autophagy
GO Term: Evoked Excitatory Postsynaptic Potential -> Biodomain: Synapse, Proteostasis, Structural Stabilization, Autophagy, Oxidative Stress
GO Term: Trans-Synaptic Protein Complex -> Biodomain: Synapse, Structural Stabilization, Proteostasis, Autophagy, Endolysosome
GO Term: Bmp Receptor Activity -> Biodomain: Vasculature, Immune Response, Cell Cycle, Apoptosis, Structural Stabilization
GO Term: Endoplasmic Reticulum Tubular Network Membrane -> Biodomain: Proteostasis, Lipid Metabolism, Metal Binding and Homeostasis, Autophagy, Structural Stabilization
GO Term: Endoplasmic Reticulum Subcompartment -> Biodomain: Proteostasis, Lipid Metabolism, Endolysosome, Autophagy, Structural Stabilization
GO Term: Modulation Of Inhibitory Postsynaptic Potential -> Biodomain: Synapse, Structural Stabilization, Proteostasis, Autophagy, Mitochondrial Metabolism
GO Term: Intestinal Folate Absorption -> Biodomain: Vasculature, Epigenetic, DNA Repair, Lipid Metabolism, Cell Cycle
GO Term: Presynaptic Endosome -> Biodomain: Endolysosome, Synapse, Proteostasis, Autophagy, Structural Stabilization
GO Term: Presynaptic Active Zone Cytoplasmic Component -> Biodomain: Synapse, Structural Stabilization, Proteostasis, Endolysosome, Lipid Metabolism
GO Term: Presynaptic Endocytic Zone -> Biodomain: Synapse, Endolysosome, Proteostasis, Structural Stabilization, Autophagy
GO Term: Presynaptic Endocytic Zone Membrane -> Biodomain: Synapse, Endolysosome, Proteostasis, Structural Stabilization, Autophagy
GO Term: Postsynaptic Recycling Endosome -> Biodomain: Synapse, Endolysosome, Proteostasis, Structural Stabilization, Autophagy
GO Term: Folate Transmembrane Transport -> Biodomain: Mitochondrial Metabolism, Endolysosome, Proteostasis, Vasculature, Lipid Metabolism
GO Term: Postsynaptic Density Membrane -> Biodomain: Synapse, Structural Stabilization, Proteostasis, Endolysosome, Lipid Metabolism
GO Term: Protein Transport Along Microtubule -> Biodomain: Proteostasis, Structural Stabilization, Autophagy, Synapse, Cell Cycle
GO Term: Postsynaptic Early Endosome -> Biodomain: Endolysosome, Synapse, Proteostasis, Autophagy, Structural Stabilization
GO Term: Postsynaptic Endocytic Zone -> Biodomain: Synapse, Endolysosome, Proteostasis, Structural Stabilization, Autophagy
GO Term: Postsynaptic Endosome -> Biodomain: Endolysosome, Synapse, Proteostasis, Autophagy, Structural Stabilization
GO Term: Podocyte Foot -> Biodomain: Structural Stabilization, Vasculature, Proteostasis, Lipid Metabolism, Autophagy
GO Term: Sequence-Specific Single Stranded Dna Binding -> Biodomain: DNA Repair, Epigenetic, Cell Cycle, Metal Binding and Homeostasis, Proteostasis
GO Term: Cellular Detoxification Of Cadmium Ion -> Biodomain: Metal Binding and Homeostasis, Oxidative Stress, Endolysosome, Autophagy, Proteostasis
GO Term: Extrinsic Component Of Synaptic Vesicle Membrane -> Biodomain: Synapse, Proteostasis, Structural Stabilization, Endolysosome, Lipid Metabolism
GO Term: Lytic Vacuole Membrane -> Biodomain: Endolysosome, Autophagy, Proteostasis, Lipid Metabolism, Apoptosis
GO Term: Hcn Channel Complex -> Biodomain: Vasculature, Structural Stabilization, Proteostasis, Mitochondrial Metabolism, Epigenetic
GO Term: Intestinal Lipid Absorption -> Biodomain: Lipid Metabolism, Vasculature, Mitochondrial Metabolism, Proteostasis, Endolysosome
GO Term: Membrane Microdomain -> Biodomain: Lipid Metabolism, Proteostasis, Structural Stabilization, Endolysosome, Autophagy
GO Term: Actin-Based Cell Projection -> Biodomain: Structural Stabilization, Cell Cycle, Synapse, Immune Response, Proteostasis
GO Term: Cluster Of Actin-Based Cell Projections -> Biodomain: Structural Stabilization, Synapse, Immune Response, Cell Cycle, Proteostasis
GO Term: Intramembranous Bone Growth -> Biodomain: Structural Stabilization, Vasculature, Cell Cycle, Apoptosis, Mitochondrial Metabolism
GO Term: Bone Growth -> Biodomain: Structural Stabilization, Mitochondrial Metabolism, Lipid Metabolism, Cell Cycle, Apoptosis
GO Term: Cellular Oxidant Detoxification -> Biodomain: Oxidative Stress, Mitochondrial Metabolism, Proteostasis, Autophagy, Endolysosome
GO Term: Action Potential Propagation -> Biodomain: Synapse, Myelination, Structural Stabilization, Proteostasis, Endolysosome
GO Term: Postsynaptic Actin Cytoskeleton -> Biodomain: Synapse, Structural Stabilization, Proteostasis, Autophagy, Endolysosome
GO Term: G Protein-Coupled Neurotransmitter Receptor Activity Involved In Regulation Of Postsynaptic Cytosolic Calcium Ion Concentration -> Biodomain: Synapse, Metal Binding and Homeostasis, Oxidative Stress, Proteostasis, Apoptosis
GO Term: Epididymosome -> Biodomain: Proteostasis, Reproduction, Extracellular Vesicles, Cell Communication, Cell Differentiation
GO Term: Vesicle-Mediated Transport To The Plasma Membrane -> Biodomain: Endolysosome, Proteostasis, Synapse, Lipid Metabolism, Autophagy
GO Term: Neurotransmitter Receptor Transport To Plasma Membrane -> Biodomain: Synapse, Endolysosome, Proteostasis, Structural Stabilization, Autophagy
GO Term: Neurotransmitter Receptor Complex -> Biodomain: Synapse, Proteostasis, Structural Stabilization, Cell Cycle, Metal Binding and Homeostasis
GO Term: Structural Constituent Of Postsynaptic Specialization -> Biodomain: Synapse, Structural Stabilization, Proteostasis, Endolysosome, Lipid Metabolism
GO Term: Maintenance Of Postsynaptic Specialization Structure -> Biodomain: Synapse, Proteostasis, Structural Stabilization, Autophagy, Endolysosome
GO Term: Structural Constituent Of Presynaptic Active Zone -> Biodomain: Synapse, Structural Stabilization, Proteostasis, Autophagy, Endolysosome
GO Term: Synapse Pruning -> Biodomain: Synapse, Structural Stabilization, Proteostasis, Autophagy, Apoptosis
GO Term: Postsynaptic Neurotransmitter Receptor Internalization -> Biodomain: Synapse, Endolysosome, Proteostasis, Autophagy, Structural Stabilization
GO Term: Modification Of Postsynaptic Actin Cytoskeleton -> Biodomain: Synapse, Structural Stabilization, Proteostasis, Endolysosome, Autophagy
GO Term: Neurotransmitter Receptor Transport, Endosome To Postsynaptic Membrane -> Biodomain: Synapse, Endolysosome, Proteostasis, Structural Stabilization, Autophagy
GO Term: Extrinsic Component Of Presynaptic Membrane -> Biodomain: Synapse, Structural Stabilization, Proteostasis, Endolysosome, Vasculature
GO Term: Extrinsic Component Of Postsynaptic Membrane -> Biodomain: Synapse, Structural Stabilization, Proteostasis, Endolysosome, Autophagy
GO Term: Extrinsic Component Of Presynaptic Endocytic Zone Membrane -> Biodomain: Synapse, Endolysosome, Structural Stabilization, Proteostasis, Lipid Metabolism
GO Term: Postsynaptic Endosome Membrane -> Biodomain: Endolysosome, Synapse, Proteostasis, Autophagy, Structural Stabilization
GO Term: Regulation Of Action Potential -> Biodomain: Synapse, Structural Stabilization, Myelination, Oxidative Stress, Proteostasis
GO Term: Regulation Of Cardiac Muscle Cell Action Potential -> Biodomain: Vasculature, Metal Binding and Homeostasis, Oxidative Stress, Proteostasis, Autophagy
GO Term: Regulation Of Membrane Depolarization During Action Potential -> Biodomain: Synapse, Structural Stabilization, Proteostasis, Metal Binding and Homeostasis, Oxidative Stress
GO Term: Regulation Of Membrane Repolarization During Action Potential -> Biodomain: Synapse, Vasculature, Metal Binding and Homeostasis, Myelination, Proteostasis
GO Term: Regulation Of Av Node Cell Action Potential -> Biodomain: Vasculature, Metal Binding and Homeostasis, Proteostasis, Oxidative Stress, Mitochondrial Metabolism
GO Term: Regulation Of Bundle Of His Cell Action Potential -> Biodomain: Synapse, Mitochondrial Metabolism, Proteostasis, Oxidative Stress, Structural Stabilization
GO Term: Regulation Of Purkinje Myocyte Action Potential -> Biodomain: Cardiac Conduction, Ion Channel Physiology, Cardiac Electrophysiology, Cardiac Function, Neuro-cardiac Axis
GO Term: Regulation Of Sa Node Cell Action Potential -> Biodomain: Mitochondrial Metabolism, Metal Binding and Homeostasis, Oxidative Stress, Proteostasis, Epigenetic
GO Term: Regulation Of Neuronal Action Potential -> Biodomain: Synapse, Myelination, Structural Stabilization, Epigenetic, Lipid Metabolism
GO Term: Regulation Of Cardiac Muscle Cell Action Potential Involved In Regulation Of Contraction -> Biodomain: Metal Binding and Homeostasis, Structural Stabilization, Mitochondrial Metabolism, Proteostasis, Oxidative Stress
GO Term: Regulation Of Atrial Cardiac Muscle Cell Action Potential -> Biodomain: Vasculature, Mitochondrial Metabolism, Structural Stabilization, Proteostasis, Oxidative Stress
GO Term: Regulation Of Ventricular Cardiac Muscle Cell Action Potential -> Biodomain: Metal Binding and Homeostasis, Mitochondrial Metabolism, Oxidative Stress, Proteostasis, Autophagy
GO Term: Membrane Depolarization During Atrial Cardiac Muscle Cell Action Potential -> Biodomain: Vasculature, Structural Stabilization, Mitochondrial Metabolism, Oxidative Stress, Metal Binding and Homeostasis
GO Term: Membrane Repolarization During Atrial Cardiac Muscle Cell Action Potential -> Biodomain: Metal Binding and Homeostasis, Mitochondrial Metabolism, Structural Stabilization, Oxidative Stress, Proteostasis
GO Term: Membrane Repolarization During Ventricular Cardiac Muscle Cell Action Potential -> Biodomain: Vasculature, Metal Binding and Homeostasis, Lipid Metabolism, Structural Stabilization, Mitochondrial Metabolism
GO Term: Structural Constituent Of Synapse -> Biodomain: Synapse, Structural Stabilization, Proteostasis, Endolysosome, Autophagy
GO Term: Structural Constituent Of Postsynaptic Density -> Biodomain: Synapse, Structural Stabilization, Proteostasis, Endolysosome, Autophagy
GO Term: Retrograde Trans-Synaptic Signaling By Endocannabinoid -> Biodomain: Synapse, Lipid Metabolism, Proteostasis, Endolysosome, Oxidative Stress
GO Term: Retrograde Trans-Synaptic Signaling By Nitric Oxide, Modulating Synaptic Transmission -> Biodomain: Synapse, Oxidative Stress, Vasculature, Immune Response, Proteostasis
GO Term: Postsynaptic Signal Transduction -> Biodomain: Synapse, Proteostasis, Structural Stabilization, Autophagy, Cell Cycle
GO Term: Presynaptic Signal Transduction -> Biodomain: Synapse, Proteostasis, Structural Stabilization, Lipid Metabolism, Autophagy
GO Term: Axonal Transport -> Biodomain: Synapse, Mitochondrial Metabolism, Proteostasis, Autophagy, Structural Stabilization
GO Term: Dendritic Transport -> Biodomain: Synapse, Structural Stabilization, Proteostasis, Autophagy, Endolysosome
GO Term: Anterograde Dendritic Transport -> Biodomain: Synapse, Structural Stabilization, Proteostasis, Mitochondrial Metabolism, Autophagy
GO Term: Dendritic Transport Of Mitochondrion -> Biodomain: Mitochondrial Metabolism, Synapse, Structural Stabilization, Tau Homeostasis, Proteostasis
GO Term: Retrograde Trans-Synaptic Signaling By Trans-Synaptic Protein Complex -> Biodomain: Synapse, Proteostasis, Structural Stabilization, Endolysosome, Lipid Metabolism
GO Term: Neurotransmitter Receptor Transport, Postsynaptic Endosome To Lysosome -> Biodomain: Synapse, Endolysosome, Autophagy, Proteostasis, Structural Stabilization
GO Term: Postsynaptic Recycling Endosome Membrane -> Biodomain: Synapse, Endolysosome, Proteostasis, Structural Stabilization, Lipid Metabolism
GO Term: Receptor Diffusion Trapping -> Biodomain: Synapse, Structural Stabilization, Proteostasis, Lipid Metabolism, Endolysosome
GO Term: Presynaptic Endosome Membrane -> Biodomain: Synapse, Endolysosome, Autophagy, Proteostasis, Lipid Metabolism
GO Term: Anterograde Axonal Transport Of Mitochondrion -> Biodomain: Mitochondrial Metabolism, Synapse, Structural Stabilization, Tau Homeostasis, Proteostasis
GO Term: Retrograde Axonal Transport Of Mitochondrion -> Biodomain: Mitochondrial Metabolism, Synapse, Autophagy, Endolysosome, Apoptosis
GO Term: Dendritic Transport Of Messenger Ribonucleoprotein Complex -> Biodomain: Synapse, Proteostasis, Structural Stabilization, Tau Homeostasis, RNA Spliceosome
GO Term: Anterograde Dendritic Transport Of Messenger Ribonucleoprotein Complex -> Biodomain: Synapse, Proteostasis, Structural Stabilization, Tau Homeostasis, RNA Spliceosome
GO Term: Extracellular Matrix Of Synaptic Cleft -> Biodomain: Synapse, Structural Stabilization, Proteostasis, Autophagy, Lipid Metabolism
GO Term: Perisynaptic Extracellular Matrix -> Biodomain: Synapse, Structural Stabilization, Proteostasis, Vasculature, Endolysosome
GO Term: Exocytic Insertion Of Neurotransmitter Receptor To Postsynaptic Membrane -> Biodomain: Synapse, Proteostasis, Structural Stabilization, Endolysosome, Autophagy
GO Term: Neurotransmitter Receptor Transport Postsynaptic Membrane To Endosome -> Biodomain: Synapse, Endolysosome, Proteostasis, Autophagy, Structural Stabilization
GO Term: Neurotransmitter Receptor Transport To Postsynaptic Membrane -> Biodomain: Synapse, Proteostasis, Structural Stabilization, Autophagy, Endolysosome
GO Term: Postsynaptic Neurotransmitter Receptor Diffusion Trapping -> Biodomain: Synapse, Structural Stabilization, Synaptic Signaling, Regulation of Cellular Processes, Neuronal Function
GO Term: Anterograde Dendritic Transport Of Neurotransmitter Receptor Complex -> Biodomain: Synapse, Structural Stabilization, Proteostasis, Endolysosome, Cell Cycle
GO Term: Structural Constituent Of Postsynaptic Actin Cytoskeleton -> Biodomain: Synapse, Structural Stabilization, Proteostasis, Cytoskeleton, Cell Adhesion
GO Term: Postsynaptic Actin Cytoskeleton Organization -> Biodomain: Synapse, Structural Stabilization, Proteostasis, Endolysosome, Lipid Metabolism
GO Term: Excitatory Chemical Synaptic Transmission -> Biodomain: Synapse, Proteostasis, Structural Stabilization, Endolysosome, Lipid Metabolism
GO Term: Inhibitory Chemical Synaptic Transmission -> Biodomain: Synapse, Structural Stabilization, Proteostasis, Endolysosome, Lipid Metabolism
GO Term: Glutamatergic Synapse -> Biodomain: Synapse, Proteostasis, Oxidative Stress, Structural Stabilization, Cell Cycle
GO Term: Cholinergic Synapse -> Biodomain: Synapse, Proteostasis, Endolysosome, Structural Stabilization, Myelination
GO Term: Gaba-Ergic Synapse -> Biodomain: Synapse, Proteostasis, Structural Stabilization, Autophagy, Apoptosis
GO Term: Symmetric, Gaba-Ergic, Inhibitory Synapse -> Biodomain: Synapse, Proteostasis, Structural Stabilization, Endolysosome, Autophagy
GO Term: Neuron To Neuron Synapse -> Biodomain: Synapse, Structural Stabilization, Proteostasis, Autophagy, Endolysosome
GO Term: Asymmetric, Glutamatergic, Excitatory Synapse -> Biodomain: Synapse, Structural Stabilization, Proteostasis, Autophagy, Lipid Metabolism
GO Term: Regulation Of Modification Of Synapse Structure, Modulating Synaptic Transmission -> Biodomain: Synapse, Structural Stabilization, Proteostasis, Endolysosome, Autophagy
GO Term: Nmda Selective Glutamate Receptor Signaling Pathway -> Biodomain: Synapse, Proteostasis, Apoptosis, Autophagy, Oxidative Stress
GO Term: Ampa Selective Glutamate Receptor Signaling Pathway -> Biodomain: Synapse, Proteostasis, Structural Stabilization, Oxidative Stress, Endolysosome
GO Term: Neuronal Dense Core Vesicle -> Biodomain: Synapse, Proteostasis, Endolysosome, Autophagy, APP Metabolism
GO Term: Extrinsic Component Of Postsynaptic Early Endosome Membrane -> Biodomain: Synapse, Endolysosome, Proteostasis, Autophagy, Lipid Metabolism
GO Term: Vesicle-Mediated Transport In Synapse -> Biodomain: Synapse, Endolysosome, Proteostasis, Autophagy, Structural Stabilization
GO Term: Modification Of Postsynaptic Structure -> Biodomain: Synapse, Structural Stabilization, Proteostasis, Autophagy, Endolysosome
GO Term: Neuronal Dense Core Vesicle Exocytosis -> Biodomain: Synapse, Proteostasis, Endolysosome, Autophagy, Mitochondrial Metabolism
GO Term: Neuronal Dense Core Vesicle Membrane -> Biodomain: Synapse, Proteostasis, Endolysosome, Autophagy, Structural Stabilization
GO Term: Neuronal Dense Core Vesicle Lumen -> Biodomain: Synapse, Proteostasis, Autophagy, Endolysosome, Lipid Metabolism
GO Term: Maintenance Of Protein Localization At Cell Tip -> Biodomain: Structural Stabilization, Synapse, Tau Homeostasis, Proteostasis, Autophagy
GO Term: Perinuclear Endoplasmic Reticulum Lumen -> Biodomain: Proteostasis, Lipid Metabolism, Autophagy, Mitochondrial Metabolism, Structural Stabilization
GO Term: Vesicle Tethering -> Biodomain: Endolysosome, Autophagy, Proteostasis, Synapse, Lipid Metabolism
GO Term: Vesicle Tethering Complex -> Biodomain: Endolysosome, Autophagy, Synapse, Proteostasis, Lipid Metabolism
GO Term: Ceramide Floppase Activity -> Biodomain: Lipid Metabolism, Endolysosome, Autophagy, Apoptosis, Proteostasis
GO Term: Sphingolipid Translocation -> Biodomain: Lipid Metabolism, Endolysosome, Proteostasis, Autophagy, Structural Stabilization
GO Term: Ceramide Translocation -> Biodomain: Lipid Metabolism, Endolysosome, Proteostasis, Mitochondrial Metabolism, Autophagy
GO Term: Vesicle Tethering To Golgi -> Biodomain: Proteostasis, Endolysosome, Autophagy, Structural Stabilization, Lipid Metabolism
GO Term: Vesicle Tethering To Endoplasmic Reticulum -> Biodomain: Proteostasis, Endolysosome, Autophagy, Lipid Metabolism, Structural Stabilization
GO Term: Clathrin Coat Assembly Involved In Endocytosis -> Biodomain: Endolysosome, Proteostasis, Autophagy, Structural Stabilization, Synapse
GO Term: Vesicle Scission -> Biodomain: Endolysosome, Proteostasis, Autophagy, Lipid Metabolism, Synapse
GO Term: Presynapse Assembly -> Biodomain: Synapse, Structural Stabilization, Proteostasis, Autophagy, Endolysosome
GO Term: Postsynapse Assembly -> Biodomain: Synapse, Structural Stabilization, Proteostasis, Endolysosome, Autophagy
GO Term: Regulation Of Postsynaptic Membrane Neurotransmitter Receptor Levels -> Biodomain: Synapse, Neuronal Signaling, Proteostasis, Endolysosome, Structural Stabilization
GO Term: Mitochondrion-Derived Vesicle -> Biodomain: Mitochondrial Metabolism, Proteostasis, Autophagy, Oxidative Stress, Endolysosome
GO Term: Mitochondrion To Lysosome Vesicle-Mediated Transport -> Biodomain: Mitochondrial Metabolism, Endolysosome, Autophagy, Proteostasis, Oxidative Stress
GO Term: Histone-Dependent Dna Binding -> Biodomain: Epigenetic, DNA Repair, Cell Cycle, Proteostasis, Autophagy
GO Term: Borc Complex -> Biodomain: Endolysosome, Autophagy, Proteostasis, Lipid Metabolism, Cell Cycle
GO Term: Supramolecular Complex -> Biodomain: Structural Stabilization, Proteostasis, Synapse, Autophagy, Endolysosome
GO Term: Postsynaptic Specialization Organization -> Biodomain: Synapse, Structural Stabilization, Proteostasis, Endolysosome, Autophagy
GO Term: Axonal Transport Of Messenger Ribonucleoprotein Complex -> Biodomain: Synapse, Proteostasis, Structural Stabilization, RNA Spliceosome, Mitochondrial Metabolism
GO Term: Postsynaptic Specialization, Intracellular Component -> Biodomain: Synapse, Structural Stabilization, Proteostasis, Autophagy, Lipid Metabolism
GO Term: Postsynaptic Density, Intracellular Component -> Biodomain: Synapse, Structural Stabilization, Proteostasis, Endolysosome, Autophagy
GO Term: Calcium Export From The Mitochondrion -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Proteostasis, Apoptosis, Lipid Metabolism
GO Term: Ligand-Gated Monoatomic Cation Channel Activity -> Biodomain: Synapse, Metal Binding and Homeostasis, Oxidative Stress, Apoptosis, Immune Response
GO Term: Ligand-Gated Monoatomic Anion Channel Activity -> Biodomain: Synapse, Vasculature, Immune Response, Oxidative Stress, Proteostasis
GO Term: Channel Activator Activity -> Biodomain: Synapse, Vasculature, Myelination, Immune Response, Apoptosis
GO Term: Potassium Channel Activator Activity -> Biodomain: Ion Channel, Synapse, Cardiovascular, Cell Signaling, Regulation of Neural Activity
GO Term: Ion Channel Regulator Activity -> Biodomain: Synapse, Vasculature, Endolysosome, Apoptosis, Myelination
