Running with TEMP=0.9, sub_array_index=4
Changed working directory to: /panfs/compbio/users/xran2/wen/JX/02-AI-BioDomain/git_folder
Processing array index 4: rows 3000 to 3999
GO Term: Steroid Biosynthetic Process -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Metal Binding and Homeostasis, Autophagy, Oxidative Stress
GO Term: Riboflavin Metabolic Process -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Lipid Metabolism, Proteostasis, Metal Binding and Homeostasis
GO Term: Thiamine Metabolic Process -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Proteostasis, Autophagy, Lipid Metabolism
GO Term: Vitamin A Metabolic Process -> Biodomain: Lipid Metabolism, Oxidative Stress, Mitochondrial Metabolism, Endolysosome, Autophagy
GO Term: Mo-Molybdopterin Cofactor Biosynthetic Process -> Biodomain: Mitochondrial Metabolism, Metal Binding and Homeostasis, Proteostasis, Oxidative Stress, Autophagy
GO Term: Porphyrin-Containing Compound Metabolic Process -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Metal Binding and Homeostasis, Oxidative Stress, Proteostasis
GO Term: Porphyrin-Containing Compound Biosynthetic Process -> Biodomain: Mitochondrial Metabolism, Metal Binding and Homeostasis, Oxidative Stress, Lipid Metabolism, Proteostasis
GO Term: Uroporphyrinogen Iii Biosynthetic Process -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Oxidative Stress, Proteostasis, Metal Binding and Homeostasis
GO Term: Succinyl-Coa Pathway -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Metal Binding and Homeostasis, Oxidative Stress, Autophagy
GO Term: Protoporphyrinogen Ix Biosynthetic Process -> Biodomain: Mitochondrial Metabolism, Metal Binding and Homeostasis, Oxidative Stress, Lipid Metabolism, Proteostasis
GO Term: Heme Biosynthetic Process -> Biodomain: Mitochondrial Metabolism, Metal Binding and Homeostasis, Oxidative Stress, Proteostasis, Lipid Metabolism
GO Term: Heme A Biosynthetic Process -> Biodomain: Mitochondrial Metabolism, Metal Binding and Homeostasis, Lipid Metabolism, Oxidative Stress, Proteostasis
GO Term: Heme B Biosynthetic Process -> Biodomain: Mitochondrial Metabolism, Metal Binding and Homeostasis, Oxidative Stress, Proteostasis, Lipid Metabolism
GO Term: Porphyrin-Containing Compound Catabolic Process -> Biodomain: Mitochondrial Metabolism, Metal Binding and Homeostasis, Oxidative Stress, Proteostasis, Lipid Metabolism
GO Term: Heme Oxidation -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Metal Binding and Homeostasis, Endolysosome, Proteostasis
GO Term: Bilirubin Conjugation -> Biodomain: Lipid Metabolism, Mitochondrial Metabolism, Oxidative Stress, Endolysosome, Proteostasis
GO Term: Sulfur Compound Metabolic Process -> Biodomain: Oxidative Stress, Mitochondrial Metabolism, Metal Binding and Homeostasis, Proteostasis, Epigenetic
GO Term: Phosphate-Containing Compound Metabolic Process -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Cell Cycle, DNA Repair, Epigenetic
GO Term: Superoxide Metabolic Process -> Biodomain: Oxidative Stress, Mitochondrial Metabolism, Proteostasis, Autophagy, Apoptosis
GO Term: Xenobiotic Metabolic Process -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Oxidative Stress, Metal Binding and Homeostasis, Proteostasis
GO Term: Regulation Of Nitrogen Utilization -> Biodomain: Mitochondrial Metabolism, Proteostasis, Autophagy, Lipid Metabolism, Oxidative Stress
GO Term: Nitric Oxide Biosynthetic Process -> Biodomain: Oxidative Stress, Mitochondrial Metabolism, Immune Response, Vasculature, Apoptosis
GO Term: Monoatomic Ion Transport -> Biodomain: Metal Binding and Homeostasis, Mitochondrial Metabolism, Oxidative Stress, Synapse, Vasculature
GO Term: Monoatomic Cation Transport -> Biodomain: Metal Binding and Homeostasis, Mitochondrial Metabolism, Synapse, Endolysosome, Oxidative Stress
GO Term: Potassium Ion Transport -> Biodomain: Synapse, Structural Stabilization, Mitochondrial Metabolism, Lipid Metabolism, Oxidative Stress
GO Term: Sodium Ion Transport -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Proteostasis, Synapse, Vasculature
GO Term: Calcium Ion Transport -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Proteostasis, Synapse, Apoptosis
GO Term: Phosphate Ion Transport -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Endolysosome, Synapse, Metal Binding and Homeostasis
GO Term: Monoatomic Anion Transport -> Biodomain: Metal Binding and Homeostasis, Endolysosome, Oxidative Stress, Proteostasis, Structural Stabilization
GO Term: Chloride Transport -> Biodomain: Vasculature, Endolysosome, Synapse, Autophagy, Myelination
GO Term: Cobalt Ion Transport -> Biodomain: Metal Binding and Homeostasis, Mitochondrial Metabolism, Oxidative Stress, Proteostasis, Endolysosome
GO Term: Copper Ion Transport -> Biodomain: Metal Binding and Homeostasis, Mitochondrial Metabolism, Oxidative Stress, Autophagy, Proteostasis
GO Term: Iron Ion Transport -> Biodomain: Metal Binding and Homeostasis, Mitochondrial Metabolism, Oxidative Stress, Proteostasis, Lipid Metabolism
GO Term: Manganese Ion Transport -> Biodomain: Metal Binding and Homeostasis, Mitochondrial Metabolism, Oxidative Stress, Proteostasis, Autophagy
GO Term: Zinc Ion Transport -> Biodomain: Metal Binding and Homeostasis, Proteostasis, Endolysosome, Mitochondrial Metabolism, Oxidative Stress
GO Term: Water Transport -> Biodomain: Vasculature, Structural Stabilization, Proteostasis, Endolysosome, Mitochondrial Metabolism
GO Term: Dicarboxylic Acid Transport -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Metal Binding and Homeostasis, Oxidative Stress, Autophagy
GO Term: Neurotransmitter Transport -> Biodomain: Synapse, Proteostasis, Endolysosome, Lipid Metabolism, Metal Binding and Homeostasis
GO Term: Serotonin Transport -> Biodomain: Synapse, Transporters, Neuronal Signaling, Monoamine Transport, Neurotransmitter Transport
GO Term: Mitochondrial Transport -> Biodomain: Mitochondrial Metabolism, Proteostasis, Oxidative Stress, Autophagy, Lipid Metabolism
GO Term: Tricarboxylic Acid Transport -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Proteostasis, Oxidative Stress, Autophagy
GO Term: Mitochondrial Citrate Transmembrane Transport -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Proteostasis, Metal Binding and Homeostasis, Oxidative Stress
GO Term: Acetate Transport -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Oxidative Stress, Proteostasis, Endolysosome
GO Term: Pyruvate Transport -> Biodomain: Mitochondrial Metabolism, Proteostasis, Lipid Metabolism, Oxidative Stress, Autophagy
GO Term: Pyruvate Import Into Mitochondria -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Proteostasis, Oxidative Stress, Autophagy
GO Term: Mitochondrial Calcium Ion Transmembrane Transport -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Proteostasis, Apoptosis, Metal Binding and Homeostasis
GO Term: Carnitine Shuttle -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Oxidative Stress, Proteostasis, Autophagy
GO Term: Xenobiotic Transmembrane Transport -> Biodomain: Proteostasis, Endolysosome, Immune Response, Lipid Metabolism, Autophagy
GO Term: Oligopeptide Transport -> Biodomain: Proteostasis, Endolysosome, Autophagy, Lipid Metabolism, Mitochondrial Metabolism
GO Term: Extracellular Transport -> Biodomain: Vasculature, Immune Response, Lipid Metabolism, Synapse, Proteostasis
GO Term: Nucleotide Transport -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Autophagy, Lipid Metabolism, Metal Binding and Homeostasis
GO Term: Purine Nucleobase Transport -> Biodomain: Mitochondrial Metabolism, Proteostasis, Oxidative Stress, Lipid Metabolism, Autophagy
GO Term: Pyrimidine Nucleotide Transport -> Biodomain: Mitochondrial Metabolism, Cell Cycle, Proteostasis, Autophagy, Oxidative Stress
GO Term: Amino Acid Transport -> Biodomain: Mitochondrial Metabolism, Autophagy, Proteostasis, Synapse, Cell Cycle
GO Term: Asparagine Transport -> Biodomain: Amino Acid Metabolism, Mitochondrial Metabolism, Proteostasis, Lipid Metabolism, Autophagy
GO Term: Glutamine Transport -> Biodomain: Mitochondrial Metabolism, Proteostasis, Lipid Metabolism, Autophagy, Oxidative Stress
GO Term: Lipid Transport -> Biodomain: Lipid Metabolism, Mitochondrial Metabolism, Endolysosome, Vasculature, Myelination
GO Term: Intracellular Monoatomic Ion Homeostasis -> Biodomain: Metal Binding and Homeostasis, Mitochondrial Metabolism, Endolysosome, Proteostasis, Oxidative Stress
GO Term: Intracellular Calcium Ion Homeostasis -> Biodomain: Metal Binding and Homeostasis, Mitochondrial Metabolism, Oxidative Stress, Proteostasis, Apoptosis
GO Term: Intracellular Copper Ion Homeostasis -> Biodomain: Metal Binding and Homeostasis, Oxidative Stress, Proteostasis, Mitochondrial Metabolism, Endolysosome
GO Term: Intracellular Iron Ion Homeostasis -> Biodomain: Metal Binding and Homeostasis, Oxidative Stress, Mitochondrial Metabolism, Proteostasis, Lipid Metabolism
GO Term: Intracellular Zinc Ion Homeostasis -> Biodomain: Metal Binding and Homeostasis, Proteostasis, Mitochondrial Metabolism, Lipid Metabolism, Endolysosome
GO Term: Intracellular Sodium Ion Homeostasis -> Biodomain: Metal Binding and Homeostasis, Proteostasis, Oxidative Stress, Mitochondrial Metabolism, Cell Cycle
GO Term: Cell Volume Homeostasis -> Biodomain: Structural Stabilization, Metal Binding and Homeostasis, Proteostasis, Autophagy, Apoptosis
GO Term: Regulation Of Ph -> Biodomain: Metal Binding and Homeostasis, Proteostasis, Endolysosome, Autophagy, Oxidative Stress
GO Term: Intracellular Protein Transport -> Biodomain: Proteostasis, Endolysosome, Autophagy, Mitochondrial Metabolism, Synapse
GO Term: Exocytosis -> Biodomain: Synapse, Endolysosome, Proteostasis, Vasculature, Immune Response
GO Term: Endoplasmic Reticulum To Golgi Vesicle-Mediated Transport -> Biodomain: Proteostasis, APP Metabolism, Endolysosome, Lipid Metabolism, Autophagy
GO Term: Retrograde Vesicle-Mediated Transport, Golgi To Endoplasmic Reticulum -> Biodomain: Proteostasis, Endolysosome, Autophagy, Lipid Metabolism, Structural Stabilization
GO Term: Intra-Golgi Vesicle-Mediated Transport -> Biodomain: Proteostasis, Lipid Metabolism, APP Metabolism, Endolysosome, Autophagy
GO Term: Post-Golgi Vesicle-Mediated Transport -> Biodomain: Endolysosome, Proteostasis, Synapse, Autophagy, Lipid Metabolism
GO Term: Golgi To Plasma Membrane Transport -> Biodomain: Proteostasis, Lipid Metabolism, Synapse, Endolysosome, Autophagy
GO Term: Golgi To Endosome Transport -> Biodomain: Endolysosome, Proteostasis, Autophagy, Lipid Metabolism, Structural Stabilization
GO Term: Golgi To Vacuole Transport -> Biodomain: Endolysosome, Autophagy, Proteostasis, Lipid Metabolism, Structural Stabilization
GO Term: Endocytosis -> Biodomain: Endolysosome, Proteostasis, Autophagy, Lipid Metabolism, Immune Response
GO Term: Receptor-Mediated Endocytosis -> Biodomain: Endolysosome, Proteostasis, APP Metabolism, Lipid Metabolism, Immune Response
GO Term: Vesicle Budding From Membrane -> Biodomain: Endolysosome, Synapse, Autophagy, Lipid Metabolism, Proteostasis
GO Term: Vesicle Coating -> Biodomain: Endolysosome, Proteostasis, Autophagy, Synapse, Structural Stabilization
GO Term: Vesicle Targeting -> Biodomain: Endolysosome, Proteostasis, Synapse, Autophagy, Mitochondrial Metabolism
GO Term: Vesicle Docking Involved In Exocytosis -> Biodomain: Synapse, Proteostasis, Endolysosome, Autophagy, Myelination
GO Term: Vesicle Fusion -> Biodomain: Endolysosome, Synapse, Proteostasis, Autophagy, Lipid Metabolism
GO Term: Pinocytosis -> Biodomain: Endolysosome, Proteostasis, Vasculature, Immune Response, Autophagy
GO Term: Phagocytosis -> Biodomain: Immune Response, Endolysosome, Autophagy, Proteostasis, Apoptosis
GO Term: Phagocytosis, Recognition -> Biodomain: Immune Response, Endolysosome, Proteostasis, Lipid Metabolism, Oxidative Stress
GO Term: Phagocytosis, Engulfment -> Biodomain: Immune Response, Endolysosome, Apoptosis, Structural Stabilization, Autophagy
GO Term: Nucleocytoplasmic Transport -> Biodomain: RNA Spliceosome, Cell Cycle, DNA Repair, Proteostasis, Epigenetic
GO Term: Autophagy -> Biodomain: Autophagy, Proteostasis, Mitochondrial Metabolism, Endolysosome, Apoptosis
GO Term: Apoptotic Process -> Biodomain: Apoptosis, Cell Cycle, DNA Repair, Oxidative Stress, Proteostasis
GO Term: Cellular Component Disassembly Involved In Execution Phase Of Apoptosis -> Biodomain: Apoptosis, Proteostasis, Autophagy, Endolysosome, Structural Stabilization
GO Term: Activation-Induced Cell Death Of T Cells -> Biodomain: Apoptosis, Immune Response, Proteostasis, Autophagy, Oxidative Stress
GO Term: Inflammatory Cell Apoptotic Process -> Biodomain: Apoptosis, Immune Response, Oxidative Stress, Proteostasis, Endolysosome
GO Term: Substrate-Dependent Cell Migration -> Biodomain: Structural Stabilization, Vasculature, Immune Response, Proteostasis, Apoptosis
GO Term: Substrate-Dependent Cell Migration, Cell Extension -> Biodomain: Structural Stabilization, Cell Cycle, Proteostasis, Immune Response, Vasculature
GO Term: Substrate-Dependent Cell Migration, Cell Attachment To Substrate -> Biodomain: Structural Stabilization, Vasculature, Immune Response, Endolysosome, Proteostasis
GO Term: Negative Regulation Of Cell Adhesion Involved In Substrate-Bound Cell Migration -> Biodomain: Structural Stabilization, Proteostasis, Endolysosome, Autophagy, Vasculature
GO Term: Chemotaxis -> Biodomain: Immune Response, Vasculature, Apoptosis, Synapse, Lipid Metabolism
GO Term: Muscle Contraction -> Biodomain: Mitochondrial Metabolism, Structural Stabilization, Proteostasis, Lipid Metabolism, Oxidative Stress
GO Term: Regulation Of Muscle Contraction -> Biodomain: Synapse, Metal Binding and Homeostasis, Mitochondrial Metabolism, Proteostasis, Structural Stabilization
GO Term: Smooth Muscle Contraction -> Biodomain: Structural Stabilization, Vasculature, Mitochondrial Metabolism, Oxidative Stress, Proteostasis
GO Term: Regulation Of Smooth Muscle Contraction -> Biodomain: Vasculature, Structural Stabilization, Proteostasis, Mitochondrial Metabolism, Oxidative Stress
GO Term: Striated Muscle Contraction -> Biodomain: Structural Stabilization, Mitochondrial Metabolism, Proteostasis, Autophagy, Lipid Metabolism
GO Term: Regulation Of Striated Muscle Contraction -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Proteostasis, Synapse, Structural Stabilization
GO Term: Syncytium Formation -> Biodomain: Structural Stabilization, Immune Response, Vasculature, Cell Cycle, Autophagy
GO Term: Response To Stress -> Biodomain: Oxidative Stress, Proteostasis, Autophagy, Apoptosis, Endolysosome
GO Term: Defense Response -> Biodomain: Immune Response, Autophagy, Proteostasis, Apoptosis, Oxidative Stress
GO Term: Acute-Phase Response -> Biodomain: Immune Response, Oxidative Stress, Proteostasis, Lipid Metabolism, Autophagy
GO Term: Inflammatory Response -> Biodomain: Immune Response, Oxidative Stress, Endolysosome, Autophagy, Apoptosis
GO Term: Immune Response -> Biodomain: Immune Response, Oxidative Stress, Apoptosis, Proteostasis, Autophagy
GO Term: Complement Activation -> Biodomain: Immune Response, Apoptosis, Proteostasis, Endolysosome, Lipid Metabolism
GO Term: Complement Activation, Alternative Pathway -> Biodomain: Immune Response, Proteostasis, Endolysosome, Apoptosis, Oxidative Stress
GO Term: Complement Activation, Classical Pathway -> Biodomain: Immune Response, Apoptosis, Proteostasis, Endolysosome, Autophagy
GO Term: Humoral Immune Response -> Biodomain: Immune Response, Endolysosome, Autophagy, Apoptosis, Proteostasis
GO Term: Cellular Defense Response -> Biodomain: Immune Response, Autophagy, Endolysosome, Oxidative Stress, Apoptosis
GO Term: Response To Osmotic Stress -> Biodomain: Oxidative Stress, Proteostasis, Autophagy, Apoptosis, Structural Stabilization
GO Term: Hypotonic Response -> Biodomain: Structural Stabilization, Endolysosome, Proteostasis, Lipid Metabolism, Metal Binding and Homeostasis
GO Term: Hyperosmotic Response -> Biodomain: Oxidative Stress, Structural Stabilization, Proteostasis, Autophagy, Mitochondrial Metabolism
GO Term: Dna Damage Response -> Biodomain: DNA Repair, Cell Cycle, Apoptosis, Oxidative Stress, Epigenetic
GO Term: Response To Oxidative Stress -> Biodomain: Oxidative Stress, Mitochondrial Metabolism, Proteostasis, Apoptosis, Autophagy
GO Term: Response To Lipid Hydroperoxide -> Biodomain: Oxidative Stress, Lipid Metabolism, Mitochondrial Metabolism, Proteostasis, Autophagy
GO Term: Er Overload Response -> Biodomain: Proteostasis, Oxidative Stress, Autophagy, Apoptosis, Immune Response
GO Term: Er-Nucleus Signaling Pathway -> Biodomain: Proteostasis, Lipid Metabolism, Oxidative Stress, Autophagy, Apoptosis
GO Term: Response To Unfolded Protein -> Biodomain: Proteostasis, Endolysosome, Autophagy, Oxidative Stress, Apoptosis
GO Term: Response To Sterol Depletion -> Biodomain: Lipid Metabolism, Autophagy, Endolysosome, Mitochondrial Metabolism, Oxidative Stress
GO Term: Cellular Response To Nitrogen Starvation -> Biodomain: Mitochondrial Metabolism, Autophagy, Proteostasis, Lipid Metabolism, Oxidative Stress
GO Term: Organelle Organization -> Biodomain: Proteostasis, Endolysosome, Autophagy, Mitochondrial Metabolism, Cell Cycle
GO Term: Nucleus Organization -> Biodomain: Structural Stabilization, Cell Cycle, DNA Repair, Epigenetic, Autophagy
GO Term: Nuclear Envelope Organization -> Biodomain: Structural Stabilization, Cell Cycle, Lipid Metabolism, Proteostasis, Epigenetic
GO Term: Nuclear Pore Organization -> Biodomain: Structural Stabilization, RNA Spliceosome, Cell Cycle, Epigenetic, Proteostasis
GO Term: Nucleolus Organization -> Biodomain: RNA Spliceosome, Proteostasis, Epigenetic, DNA Repair, Cell Cycle
GO Term: Telomere Maintenance Via Telomerase -> Biodomain: DNA Repair, Cell Cycle, Apoptosis, Epigenetic, Structural Stabilization
GO Term: Mitochondrion Organization -> Biodomain: Mitochondrial Metabolism, Proteostasis, Structural Stabilization, Autophagy, Apoptosis
GO Term: Mitochondrial Membrane Organization -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Proteostasis, Autophagy, Apoptosis
GO Term: Inner Mitochondrial Membrane Organization -> Biodomain: Mitochondrial Metabolism, Proteostasis, Oxidative Stress, Autophagy, Structural Stabilization
GO Term: Plasma Membrane Organization -> Biodomain: Structural Stabilization, Synapse, Myelination, Lipid Metabolism, Cell Cycle
GO Term: Cytoskeleton Organization -> Biodomain: Structural Stabilization, Cell Cycle, Autophagy, Proteostasis, Immune Response
GO Term: Actin Ubiquitination -> Biodomain: Proteostasis, Structural Stabilization, Autophagy, Apoptosis, Endolysosome
GO Term: Actin Filament Organization -> Biodomain: Structural Stabilization, Cell Cycle, Proteostasis, Synapse, Autophagy
GO Term: Microtubule-Based Process -> Biodomain: Structural Stabilization, Cell Cycle, Synapse, Tau Homeostasis, Autophagy
GO Term: Microtubule-Based Movement -> Biodomain: Cell Cycle, Synapse, Tau Homeostasis, Autophagy, Endolysosome
GO Term: Microtubule Depolymerization -> Biodomain: Structural Stabilization, Cell Cycle, Proteostasis, Apoptosis, Autophagy
GO Term: Microtubule Nucleation -> Biodomain: Structural Stabilization, Cell Cycle, Proteostasis, Metal Binding and Homeostasis, Autophagy
GO Term: Tubulin Complex Assembly -> Biodomain: Proteostasis, Structural Stabilization, Cell Cycle, Tau Homeostasis, Synapse
GO Term: Post-Chaperonin Tubulin Folding Pathway -> Biodomain: Proteostasis, Structural Stabilization, Cell Cycle, Tau Homeostasis, Synapse
GO Term: Negative Regulation Of Microtubule Depolymerization -> Biodomain: Structural Stabilization, Tau Homeostasis, Cell Cycle, Proteostasis, Synapse
GO Term: Cytoplasm Organization -> Biodomain: Structural Stabilization, Proteostasis, Autophagy, Endolysosome, Lipid Metabolism
GO Term: Endoplasmic Reticulum Organization -> Biodomain: Proteostasis, Lipid Metabolism, Structural Stabilization, Cell Cycle, Autophagy
GO Term: Golgi Organization -> Biodomain: Structural Stabilization, Proteostasis, Endolysosome, Autophagy, Lipid Metabolism
GO Term: Peroxisome Organization -> Biodomain: Lipid Metabolism, Oxidative Stress, Autophagy, Proteostasis, Mitochondrial Metabolism
GO Term: Endosome Organization -> Biodomain: Endolysosome, Proteostasis, Autophagy, Immune Response, Lipid Metabolism
GO Term: Vacuole Organization -> Biodomain: Endolysosome, Autophagy, Proteostasis, Apoptosis, Structural Stabilization
GO Term: Vacuolar Transport -> Biodomain: Endolysosome, Autophagy, Proteostasis, Lipid Metabolism, Mitochondrial Metabolism
GO Term: Vacuolar Acidification -> Biodomain: Endolysosome, Proteostasis, Autophagy, Lipid Metabolism, Immune Response
GO Term: Protein Catabolic Process In The Vacuole -> Biodomain: Proteostasis, Autophagy, Endolysosome, APP Metabolism, Apoptosis
GO Term: Lysosome Organization -> Biodomain: Endolysosome, Autophagy, Proteostasis, Lipid Metabolism, Apoptosis
GO Term: Lysosomal Transport -> Biodomain: Endolysosome, Autophagy, Proteostasis, Lipid Metabolism, APP Metabolism
GO Term: Lysosomal Lumen Acidification -> Biodomain: Endolysosome, Autophagy, Proteostasis, Immune Response, Lipid Metabolism
GO Term: Cell-Cell Junction Assembly -> Biodomain: Structural Stabilization, Synapse, Vasculature, Proteostasis, Cell Cycle
GO Term: Cell-Substrate Junction Assembly -> Biodomain: Structural Stabilization, Cell Cycle, Proteostasis, Autophagy, Apoptosis
GO Term: Spindle Organization -> Biodomain: Cell Cycle, Structural Stabilization, Proteostasis, Autophagy, DNA Repair
GO Term: Mitotic Spindle Organization -> Biodomain: Cell Cycle, Structural Stabilization, Proteostasis, Autophagy, Apoptosis
GO Term: Spindle Assembly Involved In Female Meiosis -> Biodomain: Cell Cycle, Structural Stabilization, Proteostasis, Mitochondrial Metabolism, DNA Repair
GO Term: Spindle Assembly Involved In Female Meiosis I -> Biodomain: Cell Cycle, Structural Stabilization, Proteostasis, Autophagy, Epigenetic
GO Term: Chromosome Segregation -> Biodomain: Cell Cycle, DNA Repair, Structural Stabilization, Epigenetic, Proteostasis
