Running with TEMP=0.0, sub_array_index=4
Changed working directory to: /panfs/compbio/users/xran2/wen/JX/02-AI-BioDomain/git_folder
Processing array index 4: rows 1500 to 1999
GO Term: Alcohol Sulfotransferase Activity -> Biodomain: Synapse, Proteostasis, Lipid Metabolism, Oxidative Stress, Unknown
GO Term: Deoxycytidine Kinase Activity -> Biodomain: Mitochondrial Metabolism, Epigenetic, DNA Repair, Cell Cycle, Proteostasis
GO Term: Deoxyguanosine Kinase Activity -> Biodomain: Mitochondrial Metabolism, DNA Repair, Cell Cycle, Proteostasis, Synapse
GO Term: Deoxyribose-Phosphate Aldolase Activity -> Biodomain: Unknown, Mitochondrial Metabolism, Lipid Metabolism, Proteostasis, Autophagy
GO Term: Dephospho-Coa Kinase Activity -> Biodomain: Mitochondrial Metabolism, Proteostasis, Lipid Metabolism, Oxidative Stress, Synapse
GO Term: Diacylglycerol Cholinephosphotransferase Activity -> Biodomain: Lipid Metabolism, Synapse, Proteostasis, Endolysosome, Autophagy
GO Term: Atp-Dependent Diacylglycerol Kinase Activity -> Biodomain: Lipid Metabolism, Synapse, Mitochondrial Metabolism, Proteostasis, Autophagy
GO Term: Diacylglycerol O-Acyltransferase Activity -> Biodomain: Lipid Metabolism, Synapse, Oxidative Stress, Autophagy, Proteostasis
GO Term: Diamine N-Acetyltransferase Activity -> Biodomain: Autophagy, Synapse, Proteostasis, Lipid Metabolism, Epigenetic
GO Term: Dihydrofolate Reductase Activity -> Biodomain: DNA Repair, Cell Cycle, Mitochondrial Metabolism, Proteostasis, Unknown
GO Term: Dihydrolipoyl Dehydrogenase (Nadh) Activity -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Proteostasis, Lipid Metabolism, Synapse
GO Term: Dihydrolipoyllysine-Residue Succinyltransferase Activity -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Proteostasis, Oxidative Stress, Autophagy
GO Term: Dihydroorotase Activity -> Biodomain: Proteostasis, Mitochondrial Metabolism, Epigenetic, DNA Repair, Unknown
GO Term: Dihydroorotate Dehydrogenase Activity -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Proteostasis, Synapse, Unknown
GO Term: 6,7-Dihydropteridine Reductase Activity -> Biodomain: Synapse, Proteostasis, Oxidative Stress, Mitochondrial Metabolism, Unknown
GO Term: Dihydropyrimidinase Activity -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Proteostasis, Synapse, Endolysosome
GO Term: Dimethylallyltranstransferase Activity -> Biodomain: Lipid Metabolism, Proteostasis, Mitochondrial Metabolism, Synapse, Unknown
GO Term: Diphosphomevalonate Decarboxylase Activity -> Biodomain: Lipid Metabolism, Proteostasis, Mitochondrial Metabolism, Oxidative Stress, Autophagy
GO Term: Delta(3)-Delta(2)-Enoyl-Coa Isomerase Activity -> Biodomain: Lipid Metabolism, Mitochondrial Metabolism, Proteostasis, Oxidative Stress, Synapse
GO Term: Dopachrome Isomerase Activity -> Biodomain: Unknown, Proteostasis, Oxidative Stress, Autophagy, Lipid Metabolism
GO Term: Dolichol Kinase Activity -> Biodomain: Proteostasis, Lipid Metabolism, Autophagy, Synapse, Oxidative Stress
GO Term: Dolichyl-Phosphate-Mannose-Protein Mannosyltransferase Activity -> Biodomain: Proteostasis, Synapse, Endolysosome, Autophagy, Lipid Metabolism
GO Term: Dutp Diphosphatase Activity -> Biodomain: DNA Repair, Cell Cycle, Epigenetic, Mitochondrial Metabolism, Oxidative Stress
GO Term: Electron-Transferring-Flavoprotein Dehydrogenase Activity -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Proteostasis, Autophagy, Lipid Metabolism
GO Term: Endopeptidase Activity -> Biodomain: Proteostasis, Autophagy, Endolysosome, Synapse, Apoptosis
GO Term: Atp-Dependent Peptidase Activity -> Biodomain: Proteostasis, Autophagy, Endolysosome, Mitochondrial Metabolism, Oxidative Stress
GO Term: Aminopeptidase Activity -> Biodomain: Proteostasis, Endolysosome, Autophagy, Synapse, Unknown
GO Term: Carboxypeptidase Activity -> Biodomain: Proteostasis, Autophagy, Endolysosome, Synapse, Metal Binding and Homeostasis
GO Term: Metallocarboxypeptidase Activity -> Biodomain: Metal Binding and Homeostasis, Proteostasis, Synapse, Endolysosome, Lipid Metabolism
GO Term: Serine-Type Carboxypeptidase Activity -> Biodomain: Proteostasis, Autophagy, Endolysosome, Synapse, Apoptosis
GO Term: Aspartic-Type Endopeptidase Activity -> Biodomain: Proteostasis, APP Metabolism, Synapse, Endolysosome, Autophagy
GO Term: Cysteine-Type Endopeptidase Activity -> Biodomain: Apoptosis, Endolysosome, Proteostasis, Autophagy, Tau Homeostasis
GO Term: Calcium-Dependent Cysteine-Type Endopeptidase Activity -> Biodomain: Synapse, Proteostasis, Apoptosis, Oxidative Stress, Structural Stabilization
GO Term: Metalloendopeptidase Activity -> Biodomain: Synapse, Proteostasis, Metal Binding and Homeostasis, Autophagy, Oxidative Stress
GO Term: Glutamyl Aminopeptidase Activity -> Biodomain: Synapse, Proteostasis, Oxidative Stress, Endolysosome, Immune Response
GO Term: Initiator Methionyl Aminopeptidase Activity -> Biodomain: Proteostasis, Synapse, Autophagy, Epigenetic, RNA Spliceosome
GO Term: Serine-Type Endopeptidase Activity -> Biodomain: Synapse, Proteostasis, Autophagy, Endolysosome, Apoptosis
GO Term: Threonine-Type Endopeptidase Activity -> Biodomain: Proteostasis, Autophagy, Synapse, Apoptosis, Endolysosome
GO Term: Enoyl-Coa Hydratase Activity -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Proteostasis, Oxidative Stress, Autophagy
GO Term: Epoxide Hydrolase Activity -> Biodomain: Synapse, Lipid Metabolism, Immune Response, Oxidative Stress, Proteostasis
GO Term: Estradiol 17-Beta-Dehydrogenase [Nad(P)+] Activity -> Biodomain: Synapse, Proteostasis, Epigenetic, Lipid Metabolism, Oxidative Stress
GO Term: Estrone Sulfotransferase Activity -> Biodomain: Lipid Metabolism, Synapse, Epigenetic, Oxidative Stress, Unknown
GO Term: Ethanolamine Kinase Activity -> Biodomain: Synapse, Lipid Metabolism, Proteostasis, Autophagy, Mitochondrial Metabolism
GO Term: Ethanolamine-Phosphate Cytidylyltransferase Activity -> Biodomain: Lipid Metabolism, Synapse, Proteostasis, Endolysosome, Unknown
GO Term: Ethanolaminephosphotransferase Activity -> Biodomain: Lipid Metabolism, Structural Stabilization, Synapse, Autophagy, Endolysosome
GO Term: Exo-Alpha-Sialidase Activity -> Biodomain: Synapse, Lipid Metabolism, Proteostasis, Endolysosome, Autophagy
GO Term: Exopolyphosphatase Activity -> Biodomain: Oxidative Stress, Autophagy, Endolysosome, Mitochondrial Metabolism, Metal Binding and Homeostasis
GO Term: Geranylgeranyl Diphosphate Synthase Activity -> Biodomain: Lipid Metabolism, Proteostasis, Synapse, Mitochondrial Metabolism, Oxidative Stress
GO Term: Fatty Acid Synthase Activity -> Biodomain: Lipid Metabolism, Synapse, Proteostasis, Endolysosome, Oxidative Stress
GO Term: [Acyl-Carrier-Protein] S-Acetyltransferase Activity -> Biodomain: Lipid Metabolism, Proteostasis, Mitochondrial Metabolism, Oxidative Stress, Synapse
GO Term: [Acyl-Carrier-Protein] S-Malonyltransferase Activity -> Biodomain: Lipid Metabolism, Proteostasis, Synapse, Mitochondrial Metabolism, Unknown
GO Term: 3-Oxoacyl-[Acyl-Carrier-Protein] Synthase Activity -> Biodomain: Lipid Metabolism, Mitochondrial Metabolism, Synapse, Proteostasis, Oxidative Stress
GO Term: 3-Oxoacyl-[Acyl-Carrier-Protein] Reductase (Nadph) Activity -> Biodomain: Lipid Metabolism, Mitochondrial Metabolism, Oxidative Stress, Proteostasis, Unknown
GO Term: Fatty-Acyl-Coa Synthase Activity -> Biodomain: Lipid Metabolism, Synapse, Proteostasis, Endolysosome, Oxidative Stress
GO Term: Ferroxidase Activity -> Biodomain: Metal Binding and Homeostasis, Oxidative Stress, Proteostasis, Synapse, Endolysosome
GO Term: Ferredoxin-Nadp+ Reductase Activity -> Biodomain: Oxidative Stress, Mitochondrial Metabolism, Proteostasis, Metal Binding and Homeostasis, Lipid Metabolism
GO Term: Ferrochelatase Activity -> Biodomain: Mitochondrial Metabolism, Metal Binding and Homeostasis, Proteostasis, Oxidative Stress, Synapse
GO Term: Tetrahydrofolylpolyglutamate Synthase Activity -> Biodomain: Mitochondrial Metabolism, Epigenetic, DNA Repair, Lipid Metabolism, Oxidative Stress
GO Term: Formate-Tetrahydrofolate Ligase Activity -> Biodomain: Mitochondrial Metabolism, Epigenetic, Proteostasis, Lipid Metabolism, Synapse
GO Term: Fructose-2,6-Bisphosphate 2-Phosphatase Activity -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Proteostasis, Oxidative Stress, Unknown
GO Term: Fructose-Bisphosphate Aldolase Activity -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Proteostasis, Lipid Metabolism, Autophagy
GO Term: Fumarate Hydratase Activity -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Proteostasis, Synapse, Autophagy
GO Term: Fumarylacetoacetase Activity -> Biodomain: Mitochondrial Metabolism, Proteostasis, Oxidative Stress, Lipid Metabolism, Unknown
GO Term: Galactokinase Activity -> Biodomain: Lipid Metabolism, Mitochondrial Metabolism, Proteostasis, Oxidative Stress, Synapse
GO Term: Galactosylceramidase Activity -> Biodomain: Lipid Metabolism, Myelination, Endolysosome, Proteostasis, Synapse
GO Term: (2E,6E)-Farnesyl Diphosphate Synthase Activity -> Biodomain: Synapse, Proteostasis, Lipid Metabolism, Mitochondrial Metabolism, Unknown
GO Term: Glucan 1,4-Alpha-Glucosidase Activity -> Biodomain: Endolysosome, Proteostasis, Autophagy, Lipid Metabolism, Mitochondrial Metabolism
GO Term: Glucokinase Activity -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Oxidative Stress, Proteostasis, Synapse
GO Term: Gluconolactonase Activity -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Proteostasis, Lipid Metabolism, Unknown
GO Term: Glucosamine-6-Phosphate Deaminase Activity -> Biodomain: Epigenetic,Lipid Metabolism,Proteostasis,Unknown,Mitochondrial Metabolism
GO Term: Glucosamine 6-Phosphate N-Acetyltransferase Activity -> Biodomain: Synapse, Proteostasis, Lipid Metabolism, Mitochondrial Metabolism, Endolysosome
GO Term: Glucose-6-Phosphate Dehydrogenase Activity -> Biodomain: Oxidative Stress, Mitochondrial Metabolism, Lipid Metabolism, Proteostasis, Endolysosome
GO Term: Glucose-6-Phosphatase Activity -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Lipid Metabolism, Endolysosome, Unknown
GO Term: Glucose-6-Phosphate Isomerase Activity -> Biodomain: Synapse, Mitochondrial Metabolism, Oxidative Stress, Lipid Metabolism, Autophagy
GO Term: Glucosylceramidase Activity -> Biodomain: Lipid Metabolism, Endolysosome, Proteostasis, Autophagy, Synapse
GO Term: Glutamate 5-Kinase Activity -> Biodomain: Synapse, Proteostasis, Oxidative Stress, Mitochondrial Metabolism, Lipid Metabolism
GO Term: Glutamate-5-Semialdehyde Dehydrogenase Activity -> Biodomain: Synapse, Mitochondrial Metabolism, Oxidative Stress, Proteostasis, Unknown
GO Term: Glutamate Decarboxylase Activity -> Biodomain: Synapse, Proteostasis, Metal Binding and Homeostasis, Unknown, Lipid Metabolism
GO Term: Glutamate Dehydrogenase (Nad+) Activity -> Biodomain: Synapse, Mitochondrial Metabolism, Oxidative Stress, Proteostasis, Lipid Metabolism
GO Term: Glutamate Dehydrogenase [Nad(P)+] Activity -> Biodomain: Synapse, Mitochondrial Metabolism, Oxidative Stress, Lipid Metabolism, Proteostasis
GO Term: Glutamate Dehydrogenase (Nadp+) Activity -> Biodomain: Synapse, Mitochondrial Metabolism, Oxidative Stress, Lipid Metabolism, Proteostasis
GO Term: Glutamine Synthetase Activity -> Biodomain: Synapse, Proteostasis, Oxidative Stress, Mitochondrial Metabolism, Metal Binding and Homeostasis
GO Term: Glutamate-Cysteine Ligase Activity -> Biodomain: Oxidative Stress, Mitochondrial Metabolism, Proteostasis, Synapse, Autophagy
GO Term: Glutaminase Activity -> Biodomain: Synapse, Proteostasis, Mitochondrial Metabolism, Oxidative Stress, Autophagy
GO Term: Glutamine-Fructose-6-Phosphate Transaminase (Isomerizing) Activity -> Biodomain: Proteostasis, Lipid Metabolism, Synapse, Epigenetic, Mitochondrial Metabolism
GO Term: Glutaryl-Coa Dehydrogenase Activity -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Proteostasis, Synapse, Lipid Metabolism
GO Term: Glutathione-Disulfide Reductase (Nadph) Activity -> Biodomain: Oxidative Stress, Proteostasis, Metal Binding and Homeostasis, Mitochondrial Metabolism, Lipid Metabolism
GO Term: Glutathione Synthase Activity -> Biodomain: Oxidative Stress, Mitochondrial Metabolism, Proteostasis, Synapse, Unknown
GO Term: Glutathione Transferase Activity -> Biodomain: Oxidative Stress, Proteostasis, Synapse, Endolysosome, Lipid Metabolism
GO Term: Glyceraldehyde-3-Phosphate Dehydrogenase (Nad+) (Phosphorylating) Activity -> Biodomain: Mitochondrial Metabolism, Synapse, Oxidative Stress, Proteostasis, Unknown
GO Term: Glycerol-3-Phosphate O-Acyltransferase Activity -> Biodomain: Lipid Metabolism, Synapse, Proteostasis, Mitochondrial Metabolism, Autophagy
GO Term: Glycerol-3-Phosphate Dehydrogenase (Quinone) Activity -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Proteostasis, Synapse, Lipid Metabolism
GO Term: Glycerol Kinase Activity -> Biodomain: Lipid Metabolism, Mitochondrial Metabolism, Proteostasis, Oxidative Stress, Synapse
GO Term: Glycerone Kinase Activity -> Biodomain: Lipid Metabolism, Mitochondrial Metabolism, Proteostasis, Autophagy, Oxidative Stress
GO Term: Glycine Hydroxymethyltransferase Activity -> Biodomain: Mitochondrial Metabolism, Epigenetic, Proteostasis, Lipid Metabolism, Unknown
GO Term: Alpha-1,4-Glucan Glucosyltransferase (Udp-Glucose Donor) Activity -> Biodomain: Synapse, Proteostasis, Mitochondrial Metabolism, Lipid Metabolism, Autophagy
GO Term: Glycine Dehydrogenase (Decarboxylating) Activity -> Biodomain: Mitochondrial Metabolism, Proteostasis, Oxidative Stress, Lipid Metabolism, Autophagy
GO Term: Gpi Mannosyltransferase Activity -> Biodomain: Synapse, Proteostasis, Lipid Metabolism, Endolysosome, Unknown
GO Term: Gdp-Man:Man(3)Glcnac(2)-Pp-Dol Alpha-1,2-Mannosyltransferase Activity -> Biodomain: Synapse, Proteostasis, Endolysosome, Lipid Metabolism, Autophagy
GO Term: Gdp-Man:Man(1)Glcnac(2)-Pp-Dol Alpha-1,3-Mannosyltransferase Activity -> Biodomain: Synapse, Proteostasis, Lipid Metabolism, Endolysosome, Unknown
GO Term: Glycylpeptide N-Tetradecanoyltransferase Activity -> Biodomain: Synapse, Proteostasis, Lipid Metabolism, Autophagy, Epigenetic
GO Term: Glycoprotein-Fucosylgalactoside Alpha-N-Acetylgalactosaminyltransferase Activity -> Biodomain: Proteostasis, Synapse, Endolysosome, Lipid Metabolism, Unknown
GO Term: Fucosylgalactoside 3-Alpha-Galactosyltransferase Activity -> Biodomain: Proteostasis, Synapse, Lipid Metabolism, Unknown, Endolysosome
GO Term: Gdp Phosphatase Activity -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Synapse, Proteostasis, Oxidative Stress
GO Term: Guanylate Cyclase Activity -> Biodomain: Synapse, Proteostasis, Oxidative Stress, Metal Binding and Homeostasis, Unknown
GO Term: Gmp Kinase Activity -> Biodomain: Synapse, Structural Stabilization, Proteostasis, Mitochondrial Metabolism, Unknown
GO Term: Helicase Activity -> Biodomain: DNA Repair, Epigenetic, RNA Spliceosome, Cell Cycle, Proteostasis
GO Term: Heme Oxygenase (Decyclizing) Activity -> Biodomain: Oxidative Stress, Metal Binding and Homeostasis, Mitochondrial Metabolism, Proteostasis, Autophagy
GO Term: Heparan Sulfate 2-Sulfotransferase Activity -> Biodomain: Synapse, Proteostasis, Endolysosome, Lipid Metabolism, Immune Response
GO Term: Hexokinase Activity -> Biodomain: Mitochondrial Metabolism, Synapse, Oxidative Stress, Autophagy, Proteostasis
GO Term: Histidine Ammonia-Lyase Activity -> Biodomain: Proteostasis, Lipid Metabolism, Mitochondrial Metabolism, Oxidative Stress, Unknown
GO Term: Histidine Decarboxylase Activity -> Biodomain: Synapse, Immune Response, Proteostasis, Oxidative Stress, Unknown
GO Term: Histone Acetyltransferase Activity -> Biodomain: Epigenetic,Synapse,Proteostasis,Autophagy,DNA Repair
GO Term: Histone Deacetylase Activity -> Biodomain: Epigenetic,Synapse,Proteostasis,Mitochondrial Metabolism,Autophagy
GO Term: Holocytochrome-C Synthase Activity -> Biodomain: Mitochondrial Metabolism, Apoptosis, Oxidative Stress, Proteostasis, Synapse
GO Term: Homogentisate 1,2-Dioxygenase Activity -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Proteostasis, Lipid Metabolism, Unknown
GO Term: Hyalurononglucosaminidase Activity -> Biodomain: Structural Stabilization, Endolysosome, Proteostasis, Autophagy, Immune Response
