Running with TEMP=0.1, sub_array_index=14
Changed working directory to: /panfs/compbio/users/xran2/wen/JX/02-AI-BioDomain/git_folder
Processing array index 14: rows 13000 to 13999
GO Term: Peroxynitrite Isomerase Activity -> Biodomain: Oxidative Stress, Mitochondrial Metabolism, Proteostasis, Endolysosome, Apoptosis
GO Term: Intrinsic Apoptotic Signaling Pathway In Response To Endoplasmic Reticulum Stress -> Biodomain: Apoptosis, Proteostasis, Endolysosome, Oxidative Stress, Autophagy
GO Term: 'De Novo' Actin Filament Nucleation -> Biodomain: Structural Stabilization, Proteostasis, Autophagy, Endolysosome, Synapse
GO Term: Fructose Binding -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Oxidative Stress, Autophagy, Proteostasis
GO Term: Extracellular Exosome -> Biodomain: Endolysosome, Proteostasis, Immune Response, Synapse, Autophagy
GO Term: Rna Polymerase Binding -> Biodomain: Epigenetic, DNA Repair, RNA Spliceosome, Proteostasis, Cell Cycle
GO Term: Proline-Rich Region Binding -> Biodomain: Proteostasis, Structural Stabilization, Immune Response, Synapse, Cell Cycle
GO Term: Cytochrome Complex -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Metal Binding and Homeostasis, Proteostasis, Lipid Metabolism
GO Term: Proton-Transporting V-Type Atpase Complex Assembly -> Biodomain: Endolysosome, Proteostasis, Mitochondrial Metabolism, Autophagy, Oxidative Stress
GO Term: Vacuolar Proton-Transporting V-Type Atpase Complex Assembly -> Biodomain: Endolysosome, Proteostasis, Autophagy, Structural Stabilization, Metal Binding and Homeostasis
GO Term: Tear Secretion -> Biodomain: Lipid Metabolism, Immune Response, Proteostasis, Metal Binding and Homeostasis, Endolysosome
GO Term: Titin Z Domain Binding -> Biodomain: Structural Stabilization, Proteostasis, Autophagy, Apoptosis, Endolysosome
GO Term: Clathrin-Sculpted Monoamine Transport Vesicle Membrane -> Biodomain: Synapse, Endolysosome, Proteostasis, Lipid Metabolism, Structural Stabilization
GO Term: Glycosylation -> Biodomain: Proteostasis, Immune Response, Lipid Metabolism, Vasculature, Endolysosome
GO Term: Ubiquitin-Dependent Endocytosis -> Biodomain: Proteostasis, Endolysosome, Autophagy, Immune Response, Lipid Metabolism
GO Term: Chromo Shadow Domain Binding -> Biodomain: Epigenetic, DNA Repair, Proteostasis, Structural Stabilization, Metal Binding and Homeostasis
GO Term: Chloride-Activated Potassium Channel Activity -> Biodomain: Synapse, Metal Binding and Homeostasis, Proteostasis, Structural Stabilization, Oxidative Stress
GO Term: Glucagon Secretion -> Biodomain: Mitochondrial Metabolism, Proteostasis, Oxidative Stress, Vasculature, Lipid Metabolism
GO Term: Regulation Of Glucagon Secretion -> Biodomain: Lipid Metabolism, Epigenetic, Proteostasis, Autophagy, Mitochondrial Metabolism
GO Term: Negative Regulation Of Glucagon Secretion -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Oxidative Stress, Epigenetic, Synapse
GO Term: Positive Regulation Of Glucagon Secretion -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Synapse, Metal Binding and Homeostasis, Endolysosome
GO Term: Fructose-6-Phosphate Binding -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Autophagy, Cell Cycle, Proteostasis
GO Term: Delta-Catenin Binding -> Biodomain: Synapse, Structural Stabilization, Proteostasis, Cell Cycle, Autophagy
GO Term: Chemokine-Mediated Signaling Pathway -> Biodomain: Immune Response, Apoptosis, Endolysosome, Proteostasis, Vasculature
GO Term: Negative Regulation Of Chemokine-Mediated Signaling Pathway -> Biodomain: Immune Response, Proteostasis, Endolysosome, Autophagy, Apoptosis
GO Term: Positive Regulation Of Chemokine-Mediated Signaling Pathway -> Biodomain: Immune Response, Oxidative Stress, Apoptosis, Proteostasis, Endolysosome
GO Term: Interleukin-6-Mediated Signaling Pathway -> Biodomain: Immune Response, Apoptosis, Autophagy, Proteostasis, Oxidative Stress
GO Term: Negative Regulation Of Interleukin-6-Mediated Signaling Pathway -> Biodomain: Immune Response, Oxidative Stress, Proteostasis, Autophagy, Endolysosome
GO Term: Positive Regulation Of Interleukin-6-Mediated Signaling Pathway -> Biodomain: Immune Response, Apoptosis, Proteostasis, Oxidative Stress, Endolysosome
GO Term: Interleukin-27-Mediated Signaling Pathway -> Biodomain: Immune Response, Apoptosis, Oxidative Stress, Epigenetic, DNA Repair
GO Term: Ciliary Neurotrophic Factor Receptor Complex -> Biodomain: Synapse, Proteostasis, Structural Stabilization, Apoptosis, Immune Response
GO Term: Ciliary Neurotrophic Factor Binding -> Biodomain: Immune Response, Synapse, Proteostasis, Apoptosis, Structural Stabilization
GO Term: Ciliary Neurotrophic Factor-Mediated Signaling Pathway -> Biodomain: Synapse, Proteostasis, Immune Response, Autophagy, Apoptosis
GO Term: Transforming Growth Factor Beta Receptor Activity, Type Iii -> Biodomain: Immune Response, Apoptosis, Cell Cycle, Proteostasis, Vasculature
GO Term: Mitochondrial Translational Initiation -> Biodomain: Mitochondrial Metabolism, Proteostasis, Metal Binding and Homeostasis, Oxidative Stress, Autophagy
GO Term: Mitochondrial Translational Elongation -> Biodomain: Mitochondrial Metabolism, Proteostasis, Autophagy, Oxidative Stress, Metal Binding and Homeostasis
GO Term: Mitochondrial Translational Termination -> Biodomain: Mitochondrial Metabolism, Proteostasis, Autophagy, Oxidative Stress, Apoptosis
GO Term: Trna Aminoacylation For Mitochondrial Protein Translation -> Biodomain: Mitochondrial Metabolism, Proteostasis, Lipid Metabolism, Metal Binding and Homeostasis, Autophagy
GO Term: Regulation Of Mitochondrial Translation -> Biodomain: Mitochondrial Metabolism, Proteostasis, Oxidative Stress, Autophagy, Apoptosis
GO Term: Negative Regulation Of Mitochondrial Translation -> Biodomain: Mitochondrial Metabolism, Proteostasis, Oxidative Stress, Autophagy, Apoptosis
GO Term: Positive Regulation Of Mitochondrial Translation -> Biodomain: Mitochondrial Metabolism, Proteostasis, Oxidative Stress, Autophagy, Apoptosis
GO Term: Sumo-Specific Endopeptidase Activity -> Biodomain: Proteostasis, Epigenetic, Autophagy, DNA Repair, Apoptosis
GO Term: Response To Uv-A -> Biodomain: DNA Repair, Oxidative Stress, Apoptosis, Proteostasis, Cell Cycle
GO Term: Mitochondrial Alanyl-Trna Aminoacylation -> Biodomain: Mitochondrial Metabolism, Proteostasis, RNA Spliceosome, Metal Binding and Homeostasis, Autophagy
GO Term: Mitochondrial Asparaginyl-Trna Aminoacylation -> Biodomain: Mitochondrial Metabolism, Proteostasis, Structural Stabilization, Oxidative Stress, Autophagy
GO Term: Mitochondrial Glycyl-Trna Aminoacylation -> Biodomain: Mitochondrial Metabolism, Proteostasis, Autophagy, Lipid Metabolism, Oxidative Stress
GO Term: Mitochondrial Seryl-Trna Aminoacylation -> Biodomain: Mitochondrial Metabolism, Proteostasis, Autophagy, Apoptosis, Oxidative Stress
GO Term: Mitochondrial Threonyl-Trna Aminoacylation -> Biodomain: Mitochondrial Metabolism, Proteostasis, Metal Binding and Homeostasis, Oxidative Stress, Autophagy
GO Term: Tight Junction -> Biodomain: Structural Stabilization, Vasculature, Immune Response, Proteostasis, Apoptosis
GO Term: Anchoring Junction -> Biodomain: Structural Stabilization, Vasculature, Synapse, Proteostasis, Cell Cycle
GO Term: Negative Regulation Of Adiponectin Secretion -> Biodomain: Lipid Metabolism, Proteostasis, Endolysosome, Oxidative Stress, Autophagy
GO Term: Positive Regulation Of Adiponectin Secretion -> Biodomain: Lipid Metabolism, Mitochondrial Metabolism, Proteostasis, Endolysosome, Oxidative Stress
GO Term: Enamel Mineralization -> Biodomain: Structural Stabilization, Metal Binding and Homeostasis, Proteostasis, Apoptosis, Epigenetic
GO Term: Negative Regulation Of Biomineral Tissue Development -> Biodomain: Metal Binding and Homeostasis, Structural Stabilization, Apoptosis, Proteostasis, Autophagy
GO Term: Positive Regulation Of Biomineral Tissue Development -> Biodomain: Structural Stabilization, Metal Binding and Homeostasis, Proteostasis, Lipid Metabolism, Autophagy
GO Term: Negative Regulation Of Tooth Mineralization -> Biodomain: Structural Stabilization, Metal Binding and Homeostasis, Proteostasis, Lipid Metabolism, Autophagy
GO Term: Positive Regulation Of Tooth Mineralization -> Biodomain: Metal Binding and Homeostasis, Structural Stabilization, Mitochondrial Metabolism, Lipid Metabolism, Proteostasis
GO Term: Regulation Of Enamel Mineralization -> Biodomain: Structural Stabilization, Metal Binding and Homeostasis, Proteostasis, Lipid Metabolism, Mitochondrial Metabolism
GO Term: Positive Regulation Of Enamel Mineralization -> Biodomain: Metal Binding and Homeostasis, Structural Stabilization, Proteostasis, Epigenetic, Apoptosis
GO Term: Drm Complex -> Biodomain: Epigenetic, Cell Cycle, Proteostasis, Apoptosis, DNA Repair
GO Term: D-Serine Metabolic Process -> Biodomain: Amino Acid Metabolism, Synapse, Neuronal Signaling, Metabolic Pathways, Neurotransmission
GO Term: D-Serine Biosynthetic Process -> Biodomain: Synapse, Mitochondrial Metabolism, Proteostasis, Oxidative Stress, Metal Binding and Homeostasis
GO Term: Large Ribosomal Subunit Rrna Binding -> Biodomain: Structural Stabilization, Metal Binding and Homeostasis, Proteostasis, Cell Cycle, RNA Spliceosome
GO Term: Small Ribosomal Subunit Rrna Binding -> Biodomain: Proteostasis, Structural Stabilization, Cell Cycle, Mitochondrial Metabolism, Autophagy
GO Term: Dna Polymerase Binding -> Biodomain: DNA Repair, Cell Cycle, Proteostasis, Epigenetic, Autophagy
GO Term: Mitochondrial Tryptophanyl-Trna Aminoacylation -> Biodomain: Mitochondrial Metabolism, Proteostasis, Oxidative Stress, Autophagy, Metal Binding and Homeostasis
GO Term: Mitochondrial Tyrosyl-Trna Aminoacylation -> Biodomain: Mitochondrial Metabolism, Proteostasis, Autophagy, Oxidative Stress, Lipid Metabolism
GO Term: Growth Hormone Activity -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Cell Cycle, Vasculature, Apoptosis
GO Term: Shelterin Complex -> Biodomain: DNA Repair, Structural Stabilization, Cell Cycle, Epigenetic, Proteostasis
GO Term: Kynurenine Metabolic Process -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Immune Response, Apoptosis, Proteostasis
GO Term: Chromosome Organization Involved In Meiotic Cell Cycle -> Biodomain: Cell Cycle, DNA Repair, Structural Stabilization, Epigenetic, Proteostasis
GO Term: Synaptonemal Complex Organization -> Biodomain: Cell Cycle, Structural Stabilization, Proteostasis, Epigenetic, DNA Repair
GO Term: Synaptonemal Complex Disassembly -> Biodomain: Cell Cycle, Structural Stabilization, Proteostasis, Autophagy, Epigenetic
GO Term: Growth Hormone Receptor Complex -> Biodomain: Structural Stabilization, Mitochondrial Metabolism, Lipid Metabolism, Cell Cycle, Proteostasis
GO Term: Meiotic Attachment Of Telomere To Nuclear Envelope -> Biodomain: Cell Cycle, Structural Stabilization, DNA Repair, Epigenetic, Synapse
GO Term: Protein Localization To Chromosome, Telomeric Region -> Biodomain: Cell Cycle, Structural Stabilization, Epigenetic, DNA Repair, Proteostasis
GO Term: Establishment Of Protein Localization To Telomere -> Biodomain: Structural Stabilization, DNA Repair, Cell Cycle, Epigenetic, Proteostasis
GO Term: Regulation Of Establishment Of Protein Localization -> Biodomain: Proteostasis, Autophagy, Endolysosome, Synapse, Mitochondrial Metabolism
GO Term: Regulation Of Establishment Of Protein Localization To Chromosome -> Biodomain: Proteostasis, Epigenetic, DNA Repair, Cell Cycle, Structural Stabilization
GO Term: Regulation Of Establishment Of Protein Localization To Telomere -> Biodomain: DNA Repair, Structural Stabilization, Proteostasis, Cell Cycle, Epigenetic
GO Term: Protein Trimerization -> Biodomain: Proteostasis, Structural Stabilization, Autophagy, Apoptosis, Cell Cycle
GO Term: Protein Homotrimerization -> Biodomain: Structural Stabilization, Proteostasis, Immune Response, Apoptosis, Cell Cycle
GO Term: Protein Heterotrimerization -> Biodomain: Proteostasis, Structural Stabilization, Cell Cycle, RNA Spliceosome, Epigenetic
GO Term: Rpd3L-Expanded Complex -> Biodomain: Epigenetic, DNA Repair, Cell Cycle, Autophagy, Proteostasis
GO Term: Protein Poly-Adp-Ribosylation -> Biodomain: DNA Repair, Oxidative Stress, Apoptosis, Cell Cycle, Proteostasis
GO Term: Protein Auto-Adp-Ribosylation -> Biodomain: Proteostasis, Epigenetic, DNA Repair, Apoptosis, Oxidative Stress
GO Term: Sulfide Oxidation, Using Sulfide:Quinone Oxidoreductase -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Proteostasis, Autophagy, Metal Binding and Homeostasis
GO Term: Sulfide:Quinone Oxidoreductase Activity -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Proteostasis, Autophagy, Metal Binding and Homeostasis
GO Term: Lymphocyte Apoptotic Process -> Biodomain: Apoptosis, Immune Response, Cell Cycle, Proteostasis, Endolysosome
GO Term: Regulation Of Lymphocyte Apoptotic Process -> Biodomain: Immune Response, Apoptosis, Autophagy, Cell Cycle, Epigenetic
GO Term: Negative Regulation Of Lymphocyte Apoptotic Process -> Biodomain: Apoptosis, Immune Response, Cell Cycle, Proteostasis, Mitochondrial Metabolism
GO Term: Positive Regulation Of Lymphocyte Apoptotic Process -> Biodomain: Apoptosis, Immune Response, Cell Cycle, Proteostasis, Oxidative Stress
GO Term: T Cell Apoptotic Process -> Biodomain: Apoptosis, Immune Response, Cell Cycle, Mitochondrial Metabolism, Oxidative Stress
GO Term: Regulation Of T Cell Apoptotic Process -> Biodomain: Apoptosis, Immune Response, Proteostasis, Endolysosome, Autophagy
GO Term: Negative Regulation Of T Cell Apoptotic Process -> Biodomain: Immune Response, Apoptosis, Proteostasis, Autophagy, Cell Cycle
GO Term: Positive Regulation Of T Cell Apoptotic Process -> Biodomain: Apoptosis, Immune Response, Proteostasis, Oxidative Stress, Endolysosome
GO Term: Regulation Of Activation-Induced Cell Death Of T Cells -> Biodomain: Apoptosis, Immune Response, Cell Cycle, Proteostasis, Autophagy
GO Term: Negative Regulation Of Activation-Induced Cell Death Of T Cells -> Biodomain: Immune Response, Apoptosis, Cell Cycle, Mitochondrial Metabolism, Oxidative Stress
GO Term: Positive Regulation Of Activation-Induced Cell Death Of T Cells -> Biodomain: Apoptosis, Immune Response, Proteostasis, Autophagy, Cell Cycle
GO Term: Positive Regulation Of Activated T Cell Autonomous Cell Death -> Biodomain: Apoptosis, Immune Response, Cell Cycle, Proteostasis, Autophagy
GO Term: Thymocyte Apoptotic Process -> Biodomain: Apoptosis, Immune Response, Mitochondrial Metabolism, Proteostasis, Oxidative Stress
GO Term: Regulation Of Thymocyte Apoptotic Process -> Biodomain: Apoptosis, Immune Response, Cell Cycle, Proteostasis, Epigenetic
GO Term: Negative Regulation Of Thymocyte Apoptotic Process -> Biodomain: Apoptosis, Immune Response, Cell Cycle, Proteostasis, Autophagy
GO Term: Positive Regulation Of Thymocyte Apoptotic Process -> Biodomain: Apoptosis, Immune Response, Cell Cycle, Proteostasis, Autophagy
GO Term: Regulation Of Natural Killer Cell Apoptotic Process -> Biodomain: Apoptosis, Immune Response, Cell Cycle, Proteostasis, Epigenetic
GO Term: Pristanate-Coa Ligase Activity -> Biodomain: Lipid Metabolism, Mitochondrial Metabolism, Oxidative Stress, Proteostasis, Autophagy
GO Term: Actin-Mediated Cell Contraction -> Biodomain: Structural Stabilization, Cell Cycle, Proteostasis, Autophagy, Apoptosis
GO Term: Somatostatin Secretion -> Biodomain: Proteostasis, Endolysosome, Structural Stabilization, Vasculature, Lipid Metabolism
GO Term: Mucus Secretion -> Biodomain: Glycoprotein Metabolism, Epithelial Function, Immune Response, Exocrine Secretion, Barrier Function
GO Term: Regulation Of Mucus Secretion -> Biodomain: Immune Response, Structural Stabilization, Oxidative Stress, Proteostasis, Epigenetic
GO Term: Negative Regulation Of Mucus Secretion -> Biodomain: Proteostasis, Immune Response, Vasculature, Epigenetic, Structural Stabilization
GO Term: Positive Regulation Of Mucus Secretion -> Biodomain: Immune Response, Proteostasis, Vasculature, Endolysosome, Lipid Metabolism
GO Term: Tyrosyl-Dna Phosphodiesterase Activity -> Biodomain: DNA Repair, Metal Binding and Homeostasis, Proteostasis, Cell Cycle, Apoptosis
GO Term: 5'-Tyrosyl-Dna Phosphodiesterase Activity -> Biodomain: DNA Repair, Cell Cycle, Apoptosis, Oxidative Stress, Metal Binding and Homeostasis
GO Term: Peptidyl-Serine Dephosphorylation -> Biodomain: Proteostasis, Cell Cycle, Apoptosis, Autophagy, Oxidative Stress
GO Term: Necroptotic Process -> Biodomain: Apoptosis, Proteostasis, Oxidative Stress, Immune Response, Autophagy
GO Term: Cornification -> Biodomain: Structural Stabilization, Lipid Metabolism, Proteostasis, Apoptosis, Endolysosome
GO Term: Pyroptotic Inflammatory Response -> Biodomain: Immune Response, Apoptosis, Oxidative Stress, Proteostasis, Autophagy
GO Term: Phosphatidylinositol-4-Phosphate Binding -> Biodomain: Lipid Metabolism, Endolysosome, Autophagy, Structural Stabilization, Synapse
GO Term: Res Complex -> Biodomain: RNA Spliceosome, Proteostasis, Epigenetic, Structural Stabilization, Autophagy
GO Term: Extracellular Matrix Constituent Secretion -> Biodomain: Structural Stabilization, Vasculature, Proteostasis, Autophagy, Lipid Metabolism
GO Term: Vitamin B6 Binding -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Metal Binding and Homeostasis, Epigenetic, Proteostasis
GO Term: Pyridoxal Binding -> Biodomain: Mitochondrial Metabolism, Proteostasis, Metal Binding and Homeostasis, Lipid Metabolism, Oxidative Stress
GO Term: Pigment Cell Development -> Biodomain: Metal Binding and Homeostasis, Endolysosome, Oxidative Stress, Autophagy, Mitochondrial Metabolism
GO Term: Axonemal Dynein Complex Assembly -> Biodomain: Structural Stabilization, Proteostasis, Autophagy, Mitochondrial Metabolism, Synapse
GO Term: Ferritin Receptor Activity -> Biodomain: Endolysosome, Metal Binding and Homeostasis, Proteostasis, Lipid Metabolism, Immune Response
GO Term: Ferritin Complex -> Biodomain: Metal Binding and Homeostasis, Mitochondrial Metabolism, Proteostasis, Oxidative Stress, Autophagy
GO Term: N-Acylphosphatidylethanolamine-Specific Phospholipase D Activity -> Biodomain: Lipid Metabolism, Proteostasis, Oxidative Stress, Mitochondrial Metabolism, Autophagy
GO Term: N-Acylethanolamine Metabolic Process -> Biodomain: Lipid Metabolism, Mitochondrial Metabolism, Oxidative Stress, Proteostasis, Endolysosome
GO Term: N-Acylphosphatidylethanolamine Metabolic Process -> Biodomain: Lipid Metabolism, Oxidative Stress, Mitochondrial Metabolism, Autophagy, Apoptosis
GO Term: Renal Absorption -> Biodomain: Renal System, Transmembrane Transport, Ion Homeostasis, Fluid Homeostasis, Electrolyte Homeostasis
GO Term: Renal Sodium Ion Absorption -> Biodomain: Vasculature, Mitochondrial Metabolism, Oxidative Stress, Proteostasis, Lipid Metabolism
GO Term: Renal Water Absorption -> Biodomain: Vasculature, Proteostasis, Structural Stabilization, Lipid Metabolism, Mitochondrial Metabolism
GO Term: Sarcoplasmic Reticulum Calcium Ion Transport -> Biodomain: Metal Binding and Homeostasis, Proteostasis, Mitochondrial Metabolism, Structural Stabilization, Oxidative Stress
GO Term: Phosphatidic Acid Binding -> Biodomain: Lipid Metabolism, Mitochondrial Metabolism, Autophagy, Oxidative Stress, Proteostasis
GO Term: Cellular Response To Hydrogen Peroxide -> Biodomain: Oxidative Stress, Proteostasis, Apoptosis, Autophagy, Mitochondrial Metabolism
GO Term: Regulation Of Stress-Activated Protein Kinase Signaling Cascade -> Biodomain: Oxidative Stress, Apoptosis, Immune Response, Proteostasis, Autophagy
GO Term: Negative Regulation Of Stress-Activated Protein Kinase Signaling Cascade -> Biodomain: Oxidative Stress, Proteostasis, Apoptosis, Autophagy, Cell Cycle
GO Term: Response To Cgmp -> Biodomain: Vasculature, Synapse, Oxidative Stress, Immune Response, Proteostasis
GO Term: Lens Fiber Cell Differentiation -> Biodomain: Structural Stabilization, Proteostasis, Autophagy, Cell Cycle, Apoptosis
GO Term: Lens Fiber Cell Development -> Biodomain: Structural Stabilization, Cell Cycle, Proteostasis, Autophagy, Lipid Metabolism
GO Term: Lens Fiber Cell Morphogenesis -> Biodomain: Structural Stabilization, Cell Cycle, Proteostasis, Autophagy, Lipid Metabolism
GO Term: Atr-Atrip Complex -> Biodomain: DNA Repair, Cell Cycle, Apoptosis, Epigenetic, Autophagy
GO Term: G1 To G0 Transition -> Biodomain: Cell Cycle, Epigenetic, DNA Repair, Autophagy, Proteostasis
GO Term: G1 To G0 Transition Involved In Cell Differentiation -> Biodomain: Cell Cycle, Epigenetic, Structural Stabilization, Autophagy, Proteostasis
GO Term: Regulation Of G0 To G1 Transition -> Biodomain: Cell Cycle, Epigenetic, DNA Repair, Apoptosis, Proteostasis
GO Term: Negative Regulation Of G0 To G1 Transition -> Biodomain: Cell Cycle, Epigenetic, DNA Repair, Apoptosis, Proteostasis
GO Term: Positive Regulation Of G0 To G1 Transition -> Biodomain: Cell Cycle, DNA Repair, Epigenetic, Autophagy, Proteostasis
GO Term: Inward Rectifier Potassium Channel Inhibitor Activity -> Biodomain: Synapse, Vasculature, Oxidative Stress, Proteostasis, Mitochondrial Metabolism
GO Term: Thyroid Hormone Binding -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Oxidative Stress, Metal Binding and Homeostasis, Proteostasis
GO Term: Lipoprotein Particle Receptor Binding -> Biodomain: Lipid Metabolism, Vasculature, Endolysosome, Proteostasis, Immune Response
GO Term: Very-Low-Density Lipoprotein Particle Receptor Binding -> Biodomain: Lipid Metabolism, Vasculature, Endolysosome, Oxidative Stress, Proteostasis
GO Term: Thyroid Hormone Transport -> Biodomain: Mitochondrial Metabolism, Proteostasis, Lipid Metabolism, Endolysosome, Vasculature
GO Term: Triglyceride Homeostasis -> Biodomain: Lipid Metabolism, Mitochondrial Metabolism, Autophagy, Endolysosome, Oxidative Stress
GO Term: Aromatase Activity -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Oxidative Stress, Metal Binding and Homeostasis, Proteostasis
GO Term: Aspartate Binding -> Biodomain: Mitochondrial Metabolism, Metal Binding and Homeostasis, Proteostasis, Cell Cycle, Oxidative Stress
GO Term: Flap-Structured Dna Binding -> Biodomain: DNA Repair, Epigenetic, Structural Stabilization, Proteostasis, Autophagy
GO Term: 3'-Flap-Structured Dna Binding -> Biodomain: DNA Repair, Metal Binding and Homeostasis, Proteostasis, Structural Stabilization, Autophagy
