Changed working directory to: /panfs/compbio/users/xran2/wen/JX/02-AI-BioDomain/git_folder
Processing array index 4: rows 3000 to 3999
GO Term: Steroid Biosynthetic Process -> Biodomain: Lipid Metabolism, Mitochondrial Metabolism, Oxidative Stress, Proteostasis, Endolysosome
GO Term: Heme Biosynthetic Process -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Metal Binding and Homeostasis, Lipid Metabolism, Proteostasis
GO Term: Heme A Biosynthetic Process -> Biodomain: Mitochondrial Metabolism, Metal Binding and Homeostasis, Oxidative Stress, Lipid Metabolism, Autophagy
GO Term: Heme B Biosynthetic Process -> Biodomain: Mitochondrial Metabolism, Metal Binding and Homeostasis, Oxidative Stress, Proteostasis, Lipid Metabolism
GO Term: Porphyrin-Containing Compound Catabolic Process -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Metal Binding and Homeostasis, Lipid Metabolism, Proteostasis
GO Term: Heme Oxidation -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Proteostasis, Lipid Metabolism, Metal Binding and Homeostasis
GO Term: Bilirubin Conjugation -> Biodomain: Lipid Metabolism, Mitochondrial Metabolism, Oxidative Stress, Autophagy, Endolysosome
GO Term: Sulfur Compound Metabolic Process -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Metal Binding and Homeostasis, Epigenetic, Proteostasis
GO Term: Phosphate-Containing Compound Metabolic Process -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Proteostasis, Oxidative Stress, Metal Binding and Homeostasis
GO Term: Superoxide Metabolic Process -> Biodomain: Oxidative Stress, Mitochondrial Metabolism, Proteostasis, Autophagy, Apoptosis
GO Term: Xenobiotic Metabolic Process -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Lipid Metabolism, Proteostasis, Immune Response
GO Term: Regulation Of Nitrogen Utilization -> Biodomain: Mitochondrial Metabolism, Epigenetic, Autophagy, Cell Cycle, DNA Repair
GO Term: Nitric Oxide Biosynthetic Process -> Biodomain: Vasculature, Immune Response, Oxidative Stress, Synapse, Mitochondrial Metabolism
GO Term: Monoatomic Ion Transport -> Biodomain: Metal Binding and Homeostasis, Endolysosome, Mitochondrial Metabolism, Synapse, Oxidative Stress
GO Term: Monoatomic Cation Transport -> Biodomain: Metal Binding and Homeostasis, Oxidative Stress, Mitochondrial Metabolism, Proteostasis, Endolysosome
GO Term: Potassium Ion Transport -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Proteostasis, Synapse, Metal Binding and Homeostasis
GO Term: Sodium Ion Transport -> Biodomain: Synapse, Vasculature, Myelination, Metal Binding and Homeostasis, Mitochondrial Metabolism
GO Term: Calcium Ion Transport -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Proteostasis, Apoptosis, Synapse
GO Term: Phosphate Ion Transport -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Metal Binding and Homeostasis, Proteostasis, Oxidative Stress
GO Term: Monoatomic Anion Transport -> Biodomain: Endolysosome, Synapse, Mitochondrial Metabolism, Immune Response, Autophagy
GO Term: Chloride Transport -> Biodomain: Vasculature, Immune Response, Endolysosome, Synapse, Mitochondrial Metabolism
GO Term: Cobalt Ion Transport -> Biodomain: Metal Binding and Homeostasis, Mitochondrial Metabolism, Endolysosome, Proteostasis, Oxidative Stress
GO Term: Copper Ion Transport -> Biodomain: Metal Binding and Homeostasis, Mitochondrial Metabolism, Oxidative Stress, Apoptosis, Proteostasis
GO Term: Iron Ion Transport -> Biodomain: Metal Binding and Homeostasis, Mitochondrial Metabolism, Oxidative Stress, Lipid Metabolism, Autophagy
GO Term: Manganese Ion Transport -> Biodomain: Metal Binding and Homeostasis, Oxidative Stress, Mitochondrial Metabolism, Proteostasis, Endolysosome
GO Term: Zinc Ion Transport -> Biodomain: Metal Binding and Homeostasis, Oxidative Stress, Proteostasis, Endolysosome, Autophagy
GO Term: Water Transport -> Biodomain: Vasculature, Endolysosome, Autophagy, Mitochondrial Metabolism, Oxidative Stress
GO Term: Dicarboxylic Acid Transport -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Metal Binding and Homeostasis, Endolysosome, Proteostasis
GO Term: Neurotransmitter Transport -> Biodomain: Synapse, Proteostasis, Endolysosome, Lipid Metabolism, Mitochondrial Metabolism
GO Term: Serotonin Transport -> Biodomain: Synapse, Proteostasis, Endolysosome, Vasculature, Oxidative Stress
GO Term: Mitochondrial Transport -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Proteostasis, Autophagy, Apoptosis
GO Term: Tricarboxylic Acid Transport -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Proteostasis, Lipid Metabolism, Autophagy
GO Term: Mitochondrial Citrate Transmembrane Transport -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Proteostasis, Oxidative Stress, Autophagy
GO Term: Acetate Transport -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Epigenetic, Oxidative Stress, Unknown
GO Term: Pyruvate Transport -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Oxidative Stress, Autophagy, Cell Cycle
GO Term: Pyruvate Import Into Mitochondria -> Biodomain: Mitochondrial Metabolism, Proteostasis, Lipid Metabolism, Oxidative Stress, Autophagy
GO Term: Mitochondrial Calcium Ion Transmembrane Transport -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Proteostasis, Metal Binding and Homeostasis, Autophagy
GO Term: Carnitine Shuttle -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Oxidative Stress, Proteostasis, Autophagy
GO Term: Xenobiotic Transmembrane Transport -> Biodomain: Endolysosome, Immune Response, Oxidative Stress, Proteostasis, Vasculature
GO Term: Oligopeptide Transport -> Biodomain: Proteostasis, Endolysosome, Autophagy, Immune Response, Apoptosis
GO Term: Extracellular Transport -> Biodomain: Vasculature, Immune Response, Proteostasis, Lipid Metabolism, Endolysosome
GO Term: Nucleotide Transport -> Biodomain: Mitochondrial Metabolism, DNA Repair, Cell Cycle, Epigenetic, Immune Response
GO Term: Purine Nucleobase Transport -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Unknown, Oxidative Stress, Autophagy
GO Term: Pyrimidine Nucleotide Transport -> Biodomain: Mitochondrial Metabolism, Cell Cycle, DNA Repair, Lipid Metabolism, Oxidative Stress
GO Term: Amino Acid Transport -> Biodomain: Proteostasis, Mitochondrial Metabolism, Autophagy, Endolysosome, Lipid Metabolism
GO Term: Asparagine Transport -> Biodomain: Mitochondrial Metabolism, Proteostasis, Endolysosome, Autophagy, Lipid Metabolism
GO Term: Glutamine Transport -> Biodomain: Mitochondrial Metabolism, Proteostasis, Oxidative Stress, Lipid Metabolism, Autophagy
GO Term: Lipid Transport -> Biodomain: Lipid Metabolism, Vasculature, Endolysosome, Autophagy, Mitochondrial Metabolism
GO Term: Intracellular Monoatomic Ion Homeostasis -> Biodomain: Metal Binding and Homeostasis, Endolysosome, Synapse, Mitochondrial Metabolism, Oxidative Stress
GO Term: Intracellular Calcium Ion Homeostasis -> Biodomain: Metal Binding and Homeostasis, Mitochondrial Metabolism, Synapse, Apoptosis, Proteostasis
GO Term: Intracellular Copper Ion Homeostasis -> Biodomain: Metal Binding and Homeostasis, Oxidative Stress, Proteostasis, Mitochondrial Metabolism, Autophagy
GO Term: Intracellular Iron Ion Homeostasis -> Biodomain: Metal Binding and Homeostasis, Oxidative Stress, Endolysosome, Mitochondrial Metabolism, Proteostasis
GO Term: Intracellular Zinc Ion Homeostasis -> Biodomain: Metal Binding and Homeostasis, Endolysosome, Proteostasis, Oxidative Stress, Immune Response
GO Term: Intracellular Sodium Ion Homeostasis -> Biodomain: Metal Binding and Homeostasis, Endolysosome, Mitochondrial Metabolism, Synapse, Proteostasis
GO Term: Cell Volume Homeostasis -> Biodomain: Structural Stabilization, Mitochondrial Metabolism, Oxidative Stress, Proteostasis, Endolysosome
GO Term: Regulation Of Ph -> Biodomain: Endolysosome, Autophagy, Mitochondrial Metabolism, Oxidative Stress, Metal Binding and Homeostasis
GO Term: Intracellular Protein Transport -> Biodomain: Proteostasis, Endolysosome, Autophagy, Mitochondrial Metabolism, Synapse
GO Term: Exocytosis -> Biodomain: Proteostasis, Endolysosome, Synapse, Autophagy, Vasculature
GO Term: Endoplasmic Reticulum To Golgi Vesicle-Mediated Transport -> Biodomain: Proteostasis, Autophagy, Endolysosome, Lipid Metabolism, APP Metabolism
GO Term: Retrograde Vesicle-Mediated Transport, Golgi To Endoplasmic Reticulum -> Biodomain: Endolysosome, Proteostasis, Autophagy, Lipid Metabolism, Structural Stabilization
GO Term: Intra-Golgi Vesicle-Mediated Transport -> Biodomain: Endolysosome, Proteostasis, Lipid Metabolism, APP Metabolism, Autophagy
GO Term: Post-Golgi Vesicle-Mediated Transport -> Biodomain: Endolysosome, Proteostasis, Autophagy, Synapse, Lipid Metabolism
GO Term: Golgi To Plasma Membrane Transport -> Biodomain: Proteostasis, Endolysosome, Synapse, Lipid Metabolism, Structural Stabilization
GO Term: Golgi To Endosome Transport -> Biodomain: Endolysosome, Proteostasis, Autophagy, Lipid Metabolism, Unknown
GO Term: Golgi To Vacuole Transport -> Biodomain: Endolysosome, Autophagy, Proteostasis, Lipid Metabolism, APP Metabolism
GO Term: Endocytosis -> Biodomain: Endolysosome, Proteostasis, Autophagy, APP Metabolism, Lipid Metabolism
GO Term: Receptor-Mediated Endocytosis -> Biodomain: Endolysosome, Proteostasis, APP Metabolism, Lipid Metabolism, Autophagy
GO Term: Vesicle Budding From Membrane -> Biodomain: Endolysosome, Proteostasis, Autophagy, Synapse, APP Metabolism
GO Term: Vesicle Coating -> Biodomain: Proteostasis, Endolysosome, Autophagy, Synapse, APP Metabolism
GO Term: Vesicle Targeting -> Biodomain: Endolysosome, Autophagy, Synapse, Lipid Metabolism, Immune Response
GO Term: Vesicle Docking Involved In Exocytosis -> Biodomain: Synapse, Proteostasis, Endolysosome, Autophagy, APP Metabolism
GO Term: Vesicle Fusion -> Biodomain: Endolysosome, Proteostasis, Autophagy, Synapse, Lipid Metabolism
GO Term: Pinocytosis -> Biodomain: Endolysosome, Proteostasis, Autophagy, Immune Response, Lipid Metabolism
GO Term: Phagocytosis -> Biodomain: Immune Response, Endolysosome, Autophagy, Apoptosis, Oxidative Stress
GO Term: Phagocytosis, Recognition -> Biodomain: Immune Response, Apoptosis, Endolysosome, Proteostasis, Lipid Metabolism
GO Term: Phagocytosis, Engulfment -> Biodomain: Immune Response, Endolysosome, Apoptosis, Autophagy, Proteostasis
GO Term: Nucleocytoplasmic Transport -> Biodomain: Proteostasis, Epigenetic, DNA Repair, RNA Spliceosome, APP Metabolism
GO Term: Autophagy -> Biodomain: Autophagy, Proteostasis, Endolysosome, Apoptosis, Oxidative Stress
GO Term: Apoptotic Process -> Biodomain: Apoptosis, Proteostasis, Cell Cycle, Oxidative Stress, Autophagy
GO Term: Cellular Component Disassembly Involved In Execution Phase Of Apoptosis -> Biodomain: Apoptosis, Proteostasis, Autophagy, Mitochondrial Metabolism, Endolysosome
GO Term: Activation-Induced Cell Death Of T Cells -> Biodomain: Apoptosis, Immune Response, Tau Homeostasis, Proteostasis, Oxidative Stress
GO Term: Inflammatory Cell Apoptotic Process -> Biodomain: Immune Response, Apoptosis, Proteostasis, Oxidative Stress, Endolysosome
GO Term: Substrate-Dependent Cell Migration -> Biodomain: Cell Migration, Extracellular Matrix Organization, Cell Adhesion, Cytoskeleton Organization, Signal Transduction
GO Term: Substrate-Dependent Cell Migration, Cell Extension -> Biodomain: Structural Stabilization, Synapse, Cell Cycle, Immune Response, Vasculature
GO Term: Substrate-Dependent Cell Migration, Cell Attachment To Substrate -> Biodomain: Structural Stabilization, Cell Cycle, Apoptosis, Immune Response, Vasculature
GO Term: Negative Regulation Of Cell Adhesion Involved In Substrate-Bound Cell Migration -> Biodomain: Endolysosome, Proteostasis, Autophagy, Vasculature, Structural Stabilization
GO Term: Chemotaxis -> Biodomain: Immune Response, Synapse, Vasculature, Apoptosis, Lipid Metabolism
GO Term: Muscle Contraction -> Biodomain: Structural Stabilization, Mitochondrial Metabolism, Oxidative Stress, Proteostasis, Vasculature
GO Term: Regulation Of Muscle Contraction -> Biodomain: Structural Stabilization, Proteostasis, Vasculature, Endolysosome, Mitochondrial Metabolism
GO Term: Smooth Muscle Contraction -> Biodomain: Vasculature, Structural Stabilization, Mitochondrial Metabolism, Proteostasis, Autophagy
GO Term: Regulation Of Smooth Muscle Contraction -> Biodomain: Vasculature, Structural Stabilization, Immune Response, Proteostasis, Oxidative Stress
GO Term: Striated Muscle Contraction -> Biodomain: Mitochondrial Metabolism, Metal Binding and Homeostasis, Oxidative Stress, Proteostasis, Structural Stabilization
GO Term: Regulation Of Striated Muscle Contraction -> Biodomain: Structural Stabilization, Mitochondrial Metabolism, Oxidative Stress, Proteostasis, Apoptosis
GO Term: Syncytium Formation -> Biodomain: Structural Stabilization, Cell Cycle, Vasculature, Lipid Metabolism, Proteostasis
GO Term: Response To Stress -> Biodomain: Oxidative Stress, Proteostasis, Apoptosis, Immune Response, Autophagy
GO Term: Defense Response -> Biodomain: Immune Response, Oxidative Stress, Apoptosis, Autophagy, Proteostasis
GO Term: Acute-Phase Response -> Biodomain: Immune Response, Inflammation, Proteostasis, Oxidative Stress, Autophagy
GO Term: Inflammatory Response -> Biodomain: Immune Response, Vasculature, Oxidative Stress, Apoptosis, Autophagy
GO Term: Immune Response -> Biodomain: Immune Response, Oxidative Stress, Proteostasis, Autophagy, Apoptosis
GO Term: Complement Activation -> Biodomain: Immune Response, Apoptosis, Proteostasis, Endolysosome, Oxidative Stress
GO Term: Complement Activation, Alternative Pathway -> Biodomain: Immune Response, Apoptosis, Proteostasis, Oxidative Stress, Endolysosome
GO Term: Complement Activation, Classical Pathway -> Biodomain: Immune Response, Proteostasis, Apoptosis, Endolysosome, Oxidative Stress
GO Term: Humoral Immune Response -> Biodomain: Immune Response, Apoptosis, Proteostasis, Endolysosome, Autophagy
GO Term: Cellular Defense Response -> Biodomain: Immune Response, Apoptosis, Oxidative Stress, Autophagy, Proteostasis
GO Term: Response To Osmotic Stress -> Biodomain: Oxidative Stress, Proteostasis, Autophagy, Structural Stabilization, Apoptosis
GO Term: Hypotonic Response -> Biodomain: Structural Stabilization, Oxidative Stress, Proteostasis, Endolysosome, Mitochondrial Metabolism
GO Term: Hyperosmotic Response -> Biodomain: Oxidative Stress, Proteostasis, Autophagy, Apoptosis, Unknown
GO Term: Dna Damage Response -> Biodomain: DNA Repair, Cell Cycle, Apoptosis, Epigenetic, Oxidative Stress
GO Term: Response To Oxidative Stress -> Biodomain: Oxidative Stress, Mitochondrial Metabolism, Autophagy, Proteostasis, Apoptosis
GO Term: Response To Lipid Hydroperoxide -> Biodomain: Oxidative Stress, Lipid Metabolism, Proteostasis, Autophagy, Apoptosis
GO Term: Er Overload Response -> Biodomain: Proteostasis, Autophagy, Oxidative Stress, Apoptosis, Endolysosome
GO Term: Er-Nucleus Signaling Pathway -> Biodomain: Proteostasis, Epigenetic, Apoptosis, Autophagy, Oxidative Stress
GO Term: Response To Unfolded Protein -> Biodomain: Proteostasis, Oxidative Stress, Autophagy, Apoptosis, Endolysosome
GO Term: Response To Sterol Depletion -> Biodomain: Lipid Metabolism, Mitochondrial Metabolism, Oxidative Stress, Autophagy, Proteostasis
GO Term: Cellular Response To Nitrogen Starvation -> Biodomain: Proteostasis, Autophagy, Mitochondrial Metabolism, Lipid Metabolism, Oxidative Stress
GO Term: Organelle Organization -> Biodomain: Proteostasis, Mitochondrial Metabolism, Endolysosome, Autophagy, Structural Stabilization
GO Term: Nucleus Organization -> Biodomain: Epigenetic, DNA Repair, Cell Cycle, Structural Stabilization, Proteostasis
GO Term: Nuclear Envelope Organization -> Biodomain: Structural Stabilization, Cell Cycle, Proteostasis, DNA Repair, Epigenetic
GO Term: Nuclear Pore Organization -> Biodomain: Structural Stabilization, Proteostasis, Autophagy, Endolysosome, Epigenetic
GO Term: Nucleolus Organization -> Biodomain: Cell Cycle, RNA Spliceosome, Epigenetic, Proteostasis, Structural Stabilization
GO Term: Telomere Maintenance Via Telomerase -> Biodomain: DNA Repair, Cell Cycle, Epigenetic, Apoptosis, Proteostasis
GO Term: Mitochondrion Organization -> Biodomain: Mitochondrial Metabolism, Proteostasis, Autophagy, Oxidative Stress, Apoptosis
GO Term: Mitochondrial Membrane Organization -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Proteostasis, Autophagy, Apoptosis
GO Term: Inner Mitochondrial Membrane Organization -> Biodomain: Mitochondrial Metabolism, Proteostasis, Structural Stabilization, Oxidative Stress, Autophagy
GO Term: Plasma Membrane Organization -> Biodomain: Structural Stabilization, Lipid Metabolism, Proteostasis, Endolysosome, Apoptosis
GO Term: Cytoskeleton Organization -> Biodomain: Structural Stabilization, Cell Cycle, Proteostasis, Autophagy, Apoptosis
GO Term: Actin Ubiquitination -> Biodomain: Proteostasis, Autophagy, Structural Stabilization, Apoptosis, Endolysosome
GO Term: Actin Filament Organization -> Biodomain: Structural Stabilization, Synapse, Vasculature, Cell Cycle, Proteostasis
GO Term: Microtubule-Based Process -> Biodomain: Structural Stabilization, Cell Cycle, Synapse, Tau Homeostasis, Autophagy
GO Term: Microtubule-Based Movement -> Biodomain: Structural Stabilization, Proteostasis, Cell Cycle, Autophagy, Synapse
GO Term: Microtubule Depolymerization -> Biodomain: Structural Stabilization, Cell Cycle, Apoptosis, Tau Homeostasis, Autophagy
GO Term: Microtubule Nucleation -> Biodomain: Tau Homeostasis, Cell Cycle, Structural Stabilization, Proteostasis, Autophagy
GO Term: Tubulin Complex Assembly -> Biodomain: Structural Stabilization, Proteostasis, Cell Cycle, Synapse, Tau Homeostasis
GO Term: Post-Chaperonin Tubulin Folding Pathway -> Biodomain: Proteostasis, Structural Stabilization, Autophagy, Cell Cycle, Apoptosis
GO Term: Negative Regulation Of Microtubule Depolymerization -> Biodomain: Structural Stabilization, Proteostasis, Cell Cycle, Autophagy, Apoptosis
GO Term: Cytoplasm Organization -> Biodomain: Proteostasis, Structural Stabilization, Autophagy, Endolysosome, Apoptosis
GO Term: Endoplasmic Reticulum Organization -> Biodomain: Proteostasis, Lipid Metabolism, Autophagy, Structural Stabilization, Endolysosome
GO Term: Golgi Organization -> Biodomain: Structural Stabilization, Proteostasis, Endolysosome, Autophagy, Cell Cycle
GO Term: Peroxisome Organization -> Biodomain: Lipid Metabolism, Oxidative Stress, Proteostasis, Autophagy, Endolysosome
GO Term: Endosome Organization -> Biodomain: Endolysosome, Proteostasis, Autophagy, Lipid Metabolism, Vasculature
GO Term: Vacuole Organization -> Biodomain: Endolysosome, Proteostasis, Autophagy, Lipid Metabolism, Apoptosis
GO Term: Vacuolar Transport -> Biodomain: Endolysosome, Autophagy, Proteostasis, Lipid Metabolism, APP Metabolism
GO Term: Vacuolar Acidification -> Biodomain: Endolysosome, Autophagy, Proteostasis, Lipid Metabolism, Mitochondrial Metabolism
GO Term: Protein Catabolic Process In The Vacuole -> Biodomain: Proteostasis, Autophagy, Endolysosome, Apoptosis, Oxidative Stress
GO Term: Lysosome Organization -> Biodomain: Endolysosome, Autophagy, Proteostasis, Lipid Metabolism, Immune Response
GO Term: Lysosomal Transport -> Biodomain: Endolysosome, Autophagy, Proteostasis, Lipid Metabolism, APP Metabolism
GO Term: Lysosomal Lumen Acidification -> Biodomain: Endolysosome, Autophagy, Proteostasis, Lipid Metabolism, Apoptosis
GO Term: Cell-Cell Junction Assembly -> Biodomain: Structural Stabilization, Synapse, Vasculature, Proteostasis, Endolysosome
GO Term: Cell-Substrate Junction Assembly -> Biodomain: Structural Stabilization, Proteostasis, Vasculature, Lipid Metabolism, Cell Cycle
GO Term: Spindle Organization -> Biodomain: Cell Cycle, Structural Stabilization, Proteostasis, Apoptosis, Autophagy
GO Term: Mitotic Spindle Organization -> Biodomain: Cell Cycle, Structural Stabilization, Proteostasis, Apoptosis, Autophagy
GO Term: Spindle Assembly Involved In Female Meiosis -> Biodomain: Cell Cycle, Structural Stabilization, Proteostasis, Autophagy, Unknown
GO Term: Spindle Assembly Involved In Female Meiosis I -> Biodomain: Cell Cycle, Structural Stabilization, Proteostasis, Autophagy, Epigenetic
GO Term: Chromosome Segregation -> Biodomain: Cell Cycle, DNA Repair, Structural Stabilization, Proteostasis, Epigenetic
GO Term: Male Meiosis Chromosome Segregation -> Biodomain: Cell Cycle, DNA Repair, Epigenetic, Apoptosis, Structural Stabilization
GO Term: Sister Chromatid Cohesion -> Biodomain: Cell Cycle, DNA Repair, Structural Stabilization, Proteostasis, Epigenetic
GO Term: Regulation Of Sister Chromatid Cohesion -> Biodomain: Cell Cycle, Structural Stabilization, DNA Repair, Proteostasis, Epigenetic
