Running with TEMP=0.1, sub_array_index=5
Changed working directory to: /panfs/compbio/users/xran2/wen/JX/02-AI-BioDomain/git_folder
Processing array index 5: rows 4000 to 4999
GO Term: Detection Of Virus -> Biodomain: Immune Response, Apoptosis, Oxidative Stress, Proteostasis, Endolysosome
GO Term: Positive Regulation Of Catabolic Process -> Biodomain: Proteostasis, Autophagy, Endolysosome, Apoptosis, Mitochondrial Metabolism
GO Term: External Side Of Plasma Membrane -> Biodomain: Immune Response, Synapse, Lipid Metabolism, APP Metabolism, Myelination
GO Term: Cytoplasmic Side Of Plasma Membrane -> Biodomain: Structural Stabilization, Lipid Metabolism, Proteostasis, Immune Response, Apoptosis
GO Term: Auditory Receptor Cell Fate Commitment -> Biodomain: Cell Cycle, Epigenetic, Structural Stabilization, Synapse, Proteostasis
GO Term: Epidermal Cell Differentiation -> Biodomain: Structural Stabilization, Cell Cycle, Epigenetic, Proteostasis, Autophagy
GO Term: Hormone Transport -> Biodomain: Vasculature, Lipid Metabolism, Proteostasis, Endolysosome, Immune Response
GO Term: Fatty Acid Elongase Activity -> Biodomain: Lipid Metabolism, Structural Stabilization, Myelination, Autophagy, Apoptosis
GO Term: Fatty Acid Elongase Complex -> Biodomain: Lipid Metabolism, Mitochondrial Metabolism, Oxidative Stress, Proteostasis, Structural Stabilization
GO Term: Basal Plasma Membrane -> Biodomain: Structural Stabilization, Lipid Metabolism, Vasculature, Proteostasis, Endolysosome
GO Term: Calcium-Dependent Protein Serine/Threonine Kinase Activity -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Proteostasis, Apoptosis, Cell Cycle
GO Term: Cell Tip Growth -> Biodomain: Structural Stabilization, Synapse, Vasculature, Lipid Metabolism, Cell Cycle
GO Term: Proximal/Distal Axis Specification -> Biodomain: Structural Stabilization, Vasculature, Epigenetic, Cell Cycle, Autophagy
GO Term: Anterior/Posterior Axis Specification -> Biodomain: Structural Stabilization, Epigenetic, Cell Cycle, DNA Repair, Mitochondrial Metabolism
GO Term: Polarity Specification Of Anterior/Posterior Axis -> Biodomain: Epigenetic, Cell Cycle, Autophagy, Proteostasis, Structural Stabilization
GO Term: Dorsal/Ventral Axis Specification -> Biodomain: Developmental Biology, Developmental Signaling, Morphogenesis, Cell Differentiation, Pattern Formation
GO Term: Anterior/Posterior Pattern Specification -> Biodomain: Structural Stabilization, Cell Cycle, Epigenetic, DNA Repair, Apoptosis
GO Term: Dorsal/Ventral Pattern Formation -> Biodomain: Epigenetic, Structural Stabilization, Cell Cycle, Autophagy, Lipid Metabolism
GO Term: Proximal/Distal Pattern Formation -> Biodomain: Structural Stabilization, Epigenetic, Cell Cycle, Autophagy, Apoptosis
GO Term: Radial Pattern Formation -> Biodomain: Structural Stabilization, Cell Cycle, Epigenetic, Autophagy, Apoptosis
GO Term: Epidermal Cell Fate Specification -> Biodomain: Cell Cycle, Structural Stabilization, Epigenetic, Autophagy, Vasculature
GO Term: Regulation Of Signal Transduction -> Biodomain: Immune Response, Cell Cycle, Apoptosis, Autophagy, Proteostasis
GO Term: Positive Regulation Of Signal Transduction -> Biodomain: Synapse, Immune Response, Apoptosis, Cell Cycle, Proteostasis
GO Term: Negative Regulation Of Signal Transduction -> Biodomain: Immune Response, Proteostasis, Autophagy, Apoptosis, Oxidative Stress
GO Term: Pseudouridine Synthase Activity -> Biodomain: RNA Spliceosome, Epigenetic, Metal Binding and Homeostasis, Mitochondrial Metabolism, Proteostasis
GO Term: Cell Surface -> Biodomain: Immune Response, Synapse, Structural Stabilization, Vasculature, Proteostasis
GO Term: Cell-Cell Recognition -> Biodomain: Synapse, Immune Response, Structural Stabilization, Vasculature, Cell Cycle
GO Term: Intracellular Water Homeostasis -> Biodomain: Structural Stabilization, Metal Binding and Homeostasis, Proteostasis, Lipid Metabolism, Oxidative Stress
GO Term: Oocyte Differentiation -> Biodomain: Cell Cycle, Epigenetic, DNA Repair, Proteostasis, Mitochondrial Metabolism
GO Term: Glial Cell Differentiation -> Biodomain: Myelination, Cell Cycle, Structural Stabilization, Immune Response, Lipid Metabolism
GO Term: Cardioblast Differentiation -> Biodomain: Cell Cycle, Structural Stabilization, Epigenetic, Vasculature, DNA Repair
GO Term: Endosome Membrane -> Biodomain: Endolysosome, Autophagy, Proteostasis, Immune Response, Lipid Metabolism
GO Term: Cytoplasmic Side Of Endosome Membrane -> Biodomain: Endolysosome, Proteostasis, Autophagy, Lipid Metabolism, APP Metabolism
GO Term: Amylopectin Biosynthetic Process -> Biodomain: Lipid Metabolism, Structural Stabilization, Proteostasis, Autophagy, Oxidative Stress
GO Term: Wax Biosynthetic Process -> Biodomain: Lipid Metabolism, Mitochondrial Metabolism, Autophagy, Structural Stabilization, Metal Binding and Homeostasis
GO Term: Meiotic Chromosome Condensation -> Biodomain: Cell Cycle, DNA Repair, Epigenetic, Proteostasis, Structural Stabilization
GO Term: Response To Acetate -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Epigenetic, Metal Binding and Homeostasis, Oxidative Stress
GO Term: Response To Carbon Dioxide -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Proteostasis, Lipid Metabolism, Autophagy
GO Term: Response To Metal Ion -> Biodomain: Metal Binding and Homeostasis, Oxidative Stress, Proteostasis, Autophagy, Apoptosis
GO Term: Response To Iron Ion -> Biodomain: Metal Binding and Homeostasis, Oxidative Stress, Mitochondrial Metabolism, Proteostasis, Autophagy
GO Term: Response To Iron(Ii) Ion -> Biodomain: Metal Binding and Homeostasis, Oxidative Stress, Mitochondrial Metabolism, Proteostasis, Endolysosome
GO Term: Response To Iron(Iii) Ion -> Biodomain: Metal Binding and Homeostasis, Oxidative Stress, Proteostasis, Endolysosome, Lipid Metabolism
GO Term: Response To Manganese Ion -> Biodomain: Metal Binding and Homeostasis, Oxidative Stress, Proteostasis, Mitochondrial Metabolism, Autophagy
GO Term: Response To Zinc Ion -> Biodomain: Metal Binding and Homeostasis, Oxidative Stress, Proteostasis, Immune Response, Mitochondrial Metabolism
GO Term: Response To Aluminum Ion -> Biodomain: Metal Binding and Homeostasis, Oxidative Stress, Proteostasis, Mitochondrial Metabolism, Apoptosis
GO Term: Response To Nickel Cation -> Biodomain: Metal Binding and Homeostasis, Oxidative Stress, Proteostasis, DNA Repair, Apoptosis
GO Term: Response To Mycotoxin -> Biodomain: Oxidative Stress, Immune Response, Apoptosis, Proteostasis, Endolysosome
GO Term: Zygote Asymmetric Cell Division -> Biodomain: Cell Cycle, Structural Stabilization, Proteostasis, Autophagy, Epigenetic
GO Term: Polarity Specification Of Proximal/Distal Axis -> Biodomain: Developmental Biology, Cellular Organization, Cell Polarity, Pattern Formation, Epigenetic
GO Term: Specification Of Animal Organ Identity -> Biodomain: Structural Stabilization, Vasculature, Synapse, Myelination, Epigenetic
GO Term: L-Arginine Catabolic Process To Proline Via Ornithine -> Biodomain: Mitochondrial Metabolism, Proteostasis, Lipid Metabolism, Oxidative Stress, Autophagy
GO Term: Phenylacetate Catabolic Process -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Endolysosome, Oxidative Stress, Proteostasis
GO Term: L-Proline Catabolic Process To L-Glutamate -> Biodomain: Mitochondrial Metabolism, Proteostasis, Autophagy, Oxidative Stress, Lipid Metabolism
GO Term: Pyrimidine Ribonucleotide Salvage -> Biodomain: Cell Cycle, DNA Repair, RNA Spliceosome, Autophagy, Mitochondrial Metabolism
GO Term: Farnesyl Diphosphate Biosynthetic Process, Mevalonate Pathway -> Biodomain: Lipid Metabolism, Mitochondrial Metabolism, Proteostasis, Autophagy, Oxidative Stress
GO Term: Regulation Of Proton Transport -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Proteostasis, Endolysosome, Metal Binding and Homeostasis
GO Term: Response To Chlorate -> Biodomain: Oxidative Stress, Mitochondrial Metabolism, Proteostasis, Autophagy, Endolysosome
GO Term: Specification Of Animal Organ Position -> Biodomain: Structural Stabilization, Anatomical Structure Development, Morphogenesis, Regionalization, Developmental Process
GO Term: Response To Cesium Ion -> Biodomain: Metal Binding and Homeostasis, Oxidative Stress, Proteostasis, Autophagy, Endolysosome
GO Term: Response To X-Ray -> Biodomain: DNA Repair, Apoptosis, Oxidative Stress, Cell Cycle, Proteostasis
GO Term: Body Morphogenesis -> Biodomain: Developmental, Cell Morphogenesis, Structural Stabilization, Cell Differentiation, Cell Growth
GO Term: Embryonic Body Morphogenesis -> Biodomain: Developmental Biology, Organ Morphogenesis, Cell Differentiation, Anatomical Structure Development, Tissue Morphogenesis
GO Term: Fmn Binding -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Metal Binding and Homeostasis, Proteostasis, Lipid Metabolism
GO Term: Positive Regulation Of Cellular Defense Response -> Biodomain: Immune Response, Oxidative Stress, Apoptosis, Autophagy, Endolysosome
GO Term: Vitamin E Biosynthetic Process -> Biodomain: Lipid Metabolism, Oxidative Stress, Mitochondrial Metabolism, Autophagy, Proteostasis
GO Term: Response To Ozone -> Biodomain: Oxidative Stress, Mitochondrial Metabolism, Proteostasis, Apoptosis, Immune Response
GO Term: Response To Ionizing Radiation -> Biodomain: DNA Repair, Oxidative Stress, Apoptosis, Cell Cycle, Proteostasis
GO Term: Response To Uv-B -> Biodomain: Oxidative Stress, DNA Repair, Apoptosis, Epigenetic, Cell Cycle
GO Term: Response To Uv-C -> Biodomain: Oxidative Stress, DNA Repair, Apoptosis, Cell Cycle, Proteostasis
GO Term: Response To Lithium Ion -> Biodomain: Metal Binding and Homeostasis, Apoptosis, Autophagy, Oxidative Stress, Proteostasis
GO Term: Establishment Or Maintenance Of Transmembrane Electrochemical Gradient -> Biodomain: Mitochondrial Metabolism, Endolysosome, Synapse, Metal Binding and Homeostasis, Autophagy
GO Term: Glucose Mediated Signaling Pathway -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Proteostasis, Autophagy, Oxidative Stress
GO Term: Endomembrane System Organization -> Biodomain: Endolysosome, Proteostasis, Lipid Metabolism, Autophagy, Structural Stabilization
GO Term: Nadh Dehydrogenase Complex Assembly -> Biodomain: Mitochondrial Metabolism, Metal Binding and Homeostasis, Oxidative Stress, Proteostasis, Structural Stabilization
GO Term: Scf Complex Assembly -> Biodomain: Proteostasis, Cell Cycle, Autophagy, Epigenetic, Immune Response
GO Term: Response To Vitamin B1 -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Proteostasis, Lipid Metabolism, Metal Binding and Homeostasis
GO Term: Response To Selenium Ion -> Biodomain: Oxidative Stress, Mitochondrial Metabolism, Metal Binding and Homeostasis, Proteostasis, Lipid Metabolism
GO Term: Response To Silver Ion -> Biodomain: Metal Binding and Homeostasis, Oxidative Stress, Endolysosome, Proteostasis, Autophagy
GO Term: Detoxification Of Copper Ion -> Biodomain: Metal Binding and Homeostasis, Oxidative Stress, Proteostasis, Endolysosome, Autophagy
GO Term: Response To Lead Ion -> Biodomain: Metal Binding and Homeostasis, Oxidative Stress, Apoptosis, Proteostasis, Endolysosome
GO Term: Acireductone Dioxygenase (Ni2+-Requiring) Activity -> Biodomain: Metal Binding and Homeostasis, Oxidative Stress, Mitochondrial Metabolism, Proteostasis, Autophagy
GO Term: Acireductone Dioxygenase [Iron(Ii)-Requiring] Activity -> Biodomain: Metal Binding and Homeostasis, Mitochondrial Metabolism, Oxidative Stress, Proteostasis, Autophagy
GO Term: Regulation Of Hydrogen Peroxide Metabolic Process -> Biodomain: Oxidative Stress, Mitochondrial Metabolism, Proteostasis, Autophagy, Apoptosis
GO Term: Detoxification Of Zinc Ion -> Biodomain: Metal Binding and Homeostasis, Oxidative Stress, Proteostasis, Autophagy, Endolysosome
GO Term: Phosphatidylinositol-5-Phosphate Binding -> Biodomain: Lipid Metabolism, Autophagy, Endolysosome, Proteostasis, Vasculature
GO Term: Membrane Invagination -> Biodomain: Endolysosome, Autophagy, Lipid Metabolism, Proteostasis, Structural Stabilization
GO Term: Response To Gamma Radiation -> Biodomain: DNA Repair, Oxidative Stress, Apoptosis, Proteostasis, Epigenetic
GO Term: Lithium:Proton Antiporter Activity -> Biodomain: Metal Binding and Homeostasis, Mitochondrial Metabolism, Oxidative Stress, Proteostasis, Autophagy
GO Term: Lithium Ion Transport -> Biodomain: Metal Binding and Homeostasis, Synapse, Oxidative Stress, Proteostasis, Endolysosome
GO Term: Negative Regulation Of Anion Channel Activity -> Biodomain: Structural Stabilization, Synapse, Vasculature, Proteostasis, Oxidative Stress
GO Term: Chromocenter -> Biodomain: DNA Repair, Epigenetic, Cell Cycle, Structural Stabilization, Proteostasis
GO Term: Perinucleolar Chromocenter -> Biodomain: Epigenetic, DNA Repair, Proteostasis, Autophagy, RNA Spliceosome
GO Term: Double-Stranded Methylated Dna Binding -> Biodomain: Epigenetic, DNA Repair, Cell Cycle, Structural Stabilization, Apoptosis
GO Term: Cop9 Signalosome Assembly -> Biodomain: Proteostasis, Autophagy, Epigenetic, DNA Repair, Cell Cycle
GO Term: Regulation Of G2/M Transition Of Mitotic Cell Cycle -> Biodomain: Cell Cycle, DNA Repair, Apoptosis, Proteostasis, Epigenetic
GO Term: Polyprenyldihydroxybenzoate Methyltransferase Activity -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Proteostasis, Oxidative Stress, Epigenetic
GO Term: Methyl-Cpnpg Binding -> Biodomain: Epigenetic, DNA Repair, Metal Binding and Homeostasis, Proteostasis, Structural Stabilization
GO Term: Fatty Acid Omega-Oxidation -> Biodomain: Lipid Metabolism, Mitochondrial Metabolism, Oxidative Stress, Autophagy, Proteostasis
GO Term: Carotenoid Dioxygenase Activity -> Biodomain: Oxidative Stress, Mitochondrial Metabolism, Lipid Metabolism, Metal Binding and Homeostasis, Proteostasis
GO Term: 9,10 (9', 10')-Carotenoid-Cleaving Dioxygenase Activity -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Lipid Metabolism, Proteostasis, Autophagy
GO Term: Response To Alkaline Ph -> Biodomain: Oxidative Stress, Proteostasis, Metal Binding and Homeostasis, Autophagy, Apoptosis
GO Term: Response To Acidic Ph -> Biodomain: Endolysosome, Autophagy, Proteostasis, Oxidative Stress, Metal Binding and Homeostasis
GO Term: Regulation Of Cell Fate Commitment -> Biodomain: Epigenetic, Cell Cycle, Autophagy, Apoptosis, Structural Stabilization
GO Term: Negative Regulation Of Cell Fate Commitment -> Biodomain: Cell Cycle, Apoptosis, Epigenetic, Autophagy, Structural Stabilization
GO Term: Positive Regulation Of Cell Fate Commitment -> Biodomain: Cell Cycle, Epigenetic, Autophagy, Immune Response, Proteostasis
GO Term: Centriole-Centriole Cohesion -> Biodomain: Cell Cycle, Structural Stabilization, Proteostasis, Autophagy, DNA Repair
GO Term: Exit From Mitosis -> Biodomain: Cell Cycle, DNA Repair, Epigenetic, Structural Stabilization, Proteostasis
GO Term: Negative Regulation Of Heart Rate -> Biodomain: Vasculature, Structural Stabilization, Proteostasis, Mitochondrial Metabolism, Autophagy
GO Term: Positive Regulation Of Heart Rate -> Biodomain: Vasculature, Mitochondrial Metabolism, Oxidative Stress, Proteostasis, Lipid Metabolism
GO Term: Mesenchymal Cell Proliferation -> Biodomain: Cell Cycle, Structural Stabilization, Mitochondrial Metabolism, Lipid Metabolism, Autophagy
GO Term: Regulation Of Mesenchymal Cell Proliferation -> Biodomain: Cell Cycle, Epigenetic, Structural Stabilization, Autophagy, Apoptosis
GO Term: Nerve Growth Factor Receptor Activity -> Biodomain: Apoptosis, Synapse, Proteostasis, Oxidative Stress, Immune Response
GO Term: Negative Regulation Of Peptidase Activity -> Biodomain: Proteostasis, Autophagy, Endolysosome, Apoptosis, Oxidative Stress
GO Term: Gene Expression -> Biodomain: Epigenetic, RNA Spliceosome, Proteostasis, DNA Repair, Autophagy
GO Term: Regulation Of Gene Expression -> Biodomain: Epigenetic, RNA Spliceosome, Proteostasis, DNA Repair, Immune Response
GO Term: Regulation Of Signaling Receptor Activity -> Biodomain: Synapse, Immune Response, Proteostasis, Vasculature, Apoptosis
GO Term: Regulation Of Gastrulation -> Biodomain: Epigenetic, Cell Cycle, Apoptosis, Autophagy, Lipid Metabolism
GO Term: Epidermal Cell Division -> Biodomain: Cell Cycle, Structural Stabilization, Autophagy, Proteostasis, Epigenetic
GO Term: Regulation Of Epidermal Cell Division -> Biodomain: Cell Cycle, Structural Stabilization, Epigenetic, DNA Repair, Lipid Metabolism
GO Term: Histone H3 Acetyltransferase Activity -> Biodomain: Epigenetic, Proteostasis, DNA Repair, Lipid Metabolism, Metal Binding and Homeostasis
GO Term: Histone H4 Acetyltransferase Activity -> Biodomain: Epigenetic, Proteostasis, DNA Repair, Cell Cycle, Autophagy
GO Term: Cytoplasmic Stress Granule -> Biodomain: Oxidative Stress, Proteostasis, Autophagy, Apoptosis, RNA Spliceosome
GO Term: Intercellular Transport -> Biodomain: Synapse, Vasculature, Immune Response, Endolysosome, Proteostasis
GO Term: Proteasomal Protein Catabolic Process -> Biodomain: Proteostasis, Autophagy, Endolysosome, Apoptosis, Oxidative Stress
GO Term: Proteasomal Ubiquitin-Independent Protein Catabolic Process -> Biodomain: Proteostasis, Autophagy, Apoptosis, Endolysosome, Oxidative Stress
GO Term: Regulation Of Autophagy -> Biodomain: Autophagy, Proteostasis, Oxidative Stress, Mitochondrial Metabolism, Endolysosome
GO Term: Negative Regulation Of Autophagy -> Biodomain: Autophagy, Metabolic Processes, Proteostasis, Cellular Quality Control, Cellular Stress Responses
GO Term: Positive Regulation Of Autophagy -> Biodomain: Autophagy, Proteostasis, Lipid Metabolism, Oxidative Stress, Endolysosome
GO Term: Regulation Of Pyruvate Decarboxylation To Acetyl-Coa -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Lipid Metabolism, Proteostasis, Autophagy
GO Term: Negative Regulation Of Phosphatidylinositol Biosynthetic Process -> Biodomain: Lipid Metabolism, Mitochondrial Metabolism, Proteostasis, Autophagy, Structural Stabilization
GO Term: Positive Regulation Of Phosphatidylinositol Biosynthetic Process -> Biodomain: Lipid Metabolism, Autophagy, Proteostasis, Structural Stabilization, Cell Cycle
GO Term: Positive Regulation Of Phospholipase Activity -> Biodomain: Lipid Metabolism, Proteostasis, Apoptosis, Oxidative Stress, Structural Stabilization
GO Term: Telomerase Inhibitor Activity -> Biodomain: Cell Cycle, Apoptosis, DNA Repair, Epigenetic, Proteostasis
GO Term: Regulation Of Calcium Ion Transport Into Cytosol -> Biodomain: Metal Binding and Homeostasis, Synapse, Endolysosome, Mitochondrial Metabolism, Proteostasis
GO Term: Negative Regulation Of Calcium Ion Transport Into Cytosol -> Biodomain: Metal Binding and Homeostasis, Signaling, Ion Channel, Proteostasis, Synapse
GO Term: Positive Regulation Of Calcium Ion Transport Into Cytosol -> Biodomain: Metal Binding and Homeostasis, Proteostasis, Synapse, Apoptosis, Oxidative Stress
GO Term: Transposable Element Silencing -> Biodomain: Epigenetic, DNA Repair, Immune Response, Proteostasis, Autophagy
GO Term: Regulation Of Platelet Activation -> Biodomain: Vasculature, Immune Response, Proteostasis, Structural Stabilization, Endolysosome
GO Term: Negative Regulation Of Platelet Activation -> Biodomain: Vasculature, Immune Response, Oxidative Stress, Proteostasis, Autophagy
GO Term: Regulation Of Macromolecule Biosynthetic Process -> Biodomain: Proteostasis, Lipid Metabolism, Cell Cycle, Epigenetic, RNA Spliceosome
GO Term: Positive Regulation Of Macromolecule Biosynthetic Process -> Biodomain: Proteostasis, Epigenetic, RNA Spliceosome, Lipid Metabolism, DNA Repair
GO Term: Negative Regulation Of Macromolecule Biosynthetic Process -> Biodomain: Proteostasis, Epigenetic, Autophagy, Apoptosis, DNA Repair
GO Term: Regulation Of Glycoprotein Biosynthetic Process -> Biodomain: Proteostasis, APP Metabolism, Autophagy, Endolysosome, Structural Stabilization
GO Term: Positive Regulation Of Glycoprotein Biosynthetic Process -> Biodomain: Proteostasis, Lipid Metabolism, Immune Response, APP Metabolism, Autophagy
GO Term: Negative Regulation Of Glycoprotein Biosynthetic Process -> Biodomain: Proteostasis, APP Metabolism, Immune Response, Lipid Metabolism, Synapse
