Running with TEMP=0.1, sub_array_index=4
Changed working directory to: /panfs/compbio/users/xran2/wen/JX/02-AI-BioDomain/git_folder
Processing array index 4: rows 1500 to 1999
GO Term: Alcohol Sulfotransferase Activity -> Biodomain: Lipid Metabolism, Proteostasis, Oxidative Stress, Epigenetic, Synapse
GO Term: Aralkylamine N-Acetyltransferase Activity -> Biodomain: Synapse, Proteostasis, Oxidative Stress, Mitochondrial Metabolism, Epigenetic
GO Term: Arylamine N-Acetyltransferase Activity -> Biodomain: Proteostasis, Lipid Metabolism, Mitochondrial Metabolism, Oxidative Stress, Synapse
GO Term: Arylformamidase Activity -> Biodomain: Synapse, Oxidative Stress, Mitochondrial Metabolism, Proteostasis, Immune Response
GO Term: Aryl Sulfotransferase Activity -> Biodomain: Synapse, Proteostasis, Lipid Metabolism, Oxidative Stress, Endolysosome
GO Term: Aryldialkylphosphatase Activity -> Biodomain: Oxidative Stress, Proteostasis, Lipid Metabolism, Synapse, Metal Binding and Homeostasis
GO Term: Arylesterase Activity -> Biodomain: Proteostasis, Oxidative Stress, Lipid Metabolism, Synapse, Metal Binding and Homeostasis
GO Term: Arylsulfatase Activity -> Biodomain: Endolysosome, Lipid Metabolism, Proteostasis, Synapse, Oxidative Stress
GO Term: Asparagine Synthase (Glutamine-Hydrolyzing) Activity -> Biodomain: Proteostasis, Mitochondrial Metabolism, Synapse, Lipid Metabolism, Oxidative Stress
GO Term: Asparaginase Activity -> Biodomain: Proteostasis, Mitochondrial Metabolism, Synapse, Oxidative Stress, Autophagy
GO Term: Aspartate 1-Decarboxylase Activity -> Biodomain: Mitochondrial Metabolism, Proteostasis, Lipid Metabolism, Oxidative Stress, Synapse
GO Term: L-Aspartate:2-Oxoglutarate Aminotransferase Activity -> Biodomain: Synapse, Proteostasis, Mitochondrial Metabolism, Oxidative Stress, Lipid Metabolism
GO Term: Aspartate Carbamoyltransferase Activity -> Biodomain: Mitochondrial Metabolism, Proteostasis, Synapse, Structural Stabilization, Autophagy
GO Term: Biliverdin Reductase [Nad(P)H] Activity -> Biodomain: Oxidative Stress, Mitochondrial Metabolism, Proteostasis, Synapse, Endolysosome
GO Term: Biotin Carboxylase Activity -> Biodomain: Lipid Metabolism, Proteostasis, Mitochondrial Metabolism, Oxidative Stress, Synapse
GO Term: Biotin--[Biotin Carboxyl-Carrier Protein] Ligase Activity -> Biodomain: Proteostasis, Lipid Metabolism, Mitochondrial Metabolism, Synapse, Autophagy
GO Term: Bis(5'-Nucleosyl)-Tetraphosphatase (Asymmetrical) Activity -> Biodomain: Synapse, Proteostasis, Endolysosome, Autophagy, Mitochondrial Metabolism
GO Term: Bisphosphoglycerate Mutase Activity -> Biodomain: Synapse, Mitochondrial Metabolism, Proteostasis, Oxidative Stress, Lipid Metabolism
GO Term: Branched-Chain-Amino-Acid Transaminase Activity -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Proteostasis, Synapse, Lipid Metabolism
GO Term: Carbamoyl-Phosphate Synthase (Ammonia) Activity -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Proteostasis, Apoptosis, Epigenetic
GO Term: Carbamoyl-Phosphate Synthase (Glutamine-Hydrolyzing) Activity -> Biodomain: Proteostasis, Epigenetic, DNA Repair, Mitochondrial Metabolism, Oxidative Stress
GO Term: Carbonate Dehydratase Activity -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Synapse, Metal Binding and Homeostasis, Proteostasis
GO Term: Carbonyl Reductase (Nadph) Activity -> Biodomain: Oxidative Stress, Proteostasis, Mitochondrial Metabolism, Lipid Metabolism, Metal Binding and Homeostasis
GO Term: Carnitine O-Acetyltransferase Activity -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Oxidative Stress, Proteostasis, Autophagy
GO Term: Carnitine O-Palmitoyltransferase Activity -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Oxidative Stress, Proteostasis, Synapse
GO Term: Catalase Activity -> Biodomain: Oxidative Stress, Mitochondrial Metabolism, Proteostasis, Synapse, Lipid Metabolism
GO Term: Cerebroside-Sulfatase Activity -> Biodomain: Myelination, Lipid Metabolism, Endolysosome, Oxidative Stress, Synapse
GO Term: Choline O-Acetyltransferase Activity -> Biodomain: Synapse, Lipid Metabolism, Proteostasis, Oxidative Stress, Immune Response
GO Term: Choline Kinase Activity -> Biodomain: Synapse, Lipid Metabolism, Proteostasis, Oxidative Stress, Autophagy
GO Term: Cholinesterase Activity -> Biodomain: Synapse, Lipid Metabolism, Proteostasis, Cell Cycle, Apoptosis
GO Term: Choline-Phosphate Cytidylyltransferase Activity -> Biodomain: Lipid Metabolism, Synapse, Proteostasis, Structural Stabilization, Endolysosome
GO Term: Coproporphyrinogen Oxidase Activity -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Metal Binding and Homeostasis, Proteostasis, Autophagy
GO Term: Creatine Kinase Activity -> Biodomain: Mitochondrial Metabolism, Synapse, Proteostasis, Oxidative Stress, Metal Binding and Homeostasis
GO Term: Cyclic-Nucleotide Phosphodiesterase Activity -> Biodomain: Synapse, Proteostasis, Oxidative Stress, Mitochondrial Metabolism, Lipid Metabolism
GO Term: 2',3'-Cyclic-Nucleotide 3'-Phosphodiesterase Activity -> Biodomain: Myelination, Synapse, Structural Stabilization, Lipid Metabolism, Proteostasis
GO Term: 3',5'-Cyclic-Nucleotide Phosphodiesterase Activity -> Biodomain: Synapse, Proteostasis, Mitochondrial Metabolism, Oxidative Stress, Apoptosis
GO Term: 3',5'-Cyclic-Amp Phosphodiesterase Activity -> Biodomain: Synapse, Proteostasis, Autophagy, Cell Cycle, Oxidative Stress
GO Term: Calmodulin-Activated Dual Specificity 3',5'-Cyclic-Gmp, 3',5'-Cyclic-Amp Phosphodiesterase Activity -> Biodomain: Synapse, Structural Stabilization, Epigenetic, Proteostasis, Oxidative Stress
GO Term: 3',5'-Cgmp-Stimulated Cyclic-Nucleotide Phosphodiesterase Activity -> Biodomain: Synapse, Proteostasis, Lipid Metabolism, Oxidative Stress, Metal Binding and Homeostasis
GO Term: 3',5'-Cgmp-Inhibited Cyclic-Nucleotide Phosphodiesterase Activity -> Biodomain: Synapse, Proteostasis, Lipid Metabolism, Epigenetic, Oxidative Stress
GO Term: Cystathionine Beta-Synthase Activity -> Biodomain: Oxidative Stress, Mitochondrial Metabolism, Proteostasis, Synapse, Lipid Metabolism
GO Term: Cystathionine Gamma-Lyase Activity -> Biodomain: Oxidative Stress, Proteostasis, Synapse, Lipid Metabolism, Metal Binding and Homeostasis
GO Term: Cytidine Deaminase Activity -> Biodomain: Epigenetic, DNA Repair, Proteostasis, Synapse, RNA Spliceosome
GO Term: Cytochrome-B5 Reductase Activity, Acting On Nad(P)H -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Proteostasis, Lipid Metabolism, Synapse
GO Term: Cytochrome-C Oxidase Activity -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Proteostasis, Synapse, Endolysosome
GO Term: Dcmp Deaminase Activity -> Biodomain: DNA Repair, Cell Cycle, Epigenetic, Proteostasis, Mitochondrial Metabolism
GO Term: 4-Alpha-Glucanotransferase Activity -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Proteostasis, Synapse, Lipid Metabolism
GO Term: Amylo-Alpha-1,6-Glucosidase Activity -> Biodomain: Synapse, Proteostasis, Mitochondrial Metabolism, Endolysosome, Lipid Metabolism
GO Term: Deoxyadenosine Kinase Activity -> Biodomain: Synapse, DNA Repair, Proteostasis, Epigenetic, Cell Cycle
GO Term: Deoxycytidine Kinase Activity -> Biodomain: DNA Repair, Epigenetic, Cell Cycle, Mitochondrial Metabolism, Oxidative Stress
GO Term: Deoxyguanosine Kinase Activity -> Biodomain: DNA Repair, Mitochondrial Metabolism, Proteostasis, Epigenetic, Cell Cycle
GO Term: Deoxyribose-Phosphate Aldolase Activity -> Biodomain: DNA Repair, Mitochondrial Metabolism, Cell Cycle, Oxidative Stress, Proteostasis
GO Term: Dephospho-Coa Kinase Activity -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Proteostasis, Synapse, Oxidative Stress
GO Term: Diacylglycerol Cholinephosphotransferase Activity -> Biodomain: Lipid Metabolism, Synapse, Autophagy, Proteostasis, Oxidative Stress
GO Term: Atp-Dependent Diacylglycerol Kinase Activity -> Biodomain: Lipid Metabolism, Synapse, Proteostasis, Endolysosome, Autophagy
GO Term: Diacylglycerol O-Acyltransferase Activity -> Biodomain: Lipid Metabolism, Synapse, Proteostasis, Endolysosome, Autophagy
GO Term: Diamine N-Acetyltransferase Activity -> Biodomain: Synapse, Epigenetic, Proteostasis, Lipid Metabolism, Oxidative Stress
GO Term: Dihydrofolate Reductase Activity -> Biodomain: Epigenetic, DNA Repair, Oxidative Stress, Proteostasis, Synapse
GO Term: Dihydrolipoyl Dehydrogenase (Nadh) Activity -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Proteostasis, Lipid Metabolism, Autophagy
GO Term: Dihydrolipoyllysine-Residue Succinyltransferase Activity -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Proteostasis, Synapse, Lipid Metabolism
GO Term: Dihydroorotase Activity -> Biodomain: Synapse, Mitochondrial Metabolism, Proteostasis, Oxidative Stress, Autophagy
GO Term: Dihydroorotate Dehydrogenase Activity -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Synapse, Metal Binding and Homeostasis, Proteostasis
GO Term: 6,7-Dihydropteridine Reductase Activity -> Biodomain: Synapse, Oxidative Stress, Proteostasis, Mitochondrial Metabolism, Lipid Metabolism
GO Term: Dihydropyrimidinase Activity -> Biodomain: Mitochondrial Metabolism, Metal Binding and Homeostasis, Oxidative Stress, Proteostasis, Autophagy
GO Term: Dimethylallyltranstransferase Activity -> Biodomain: Lipid Metabolism, Proteostasis, Oxidative Stress, Autophagy, Synapse
GO Term: Diphosphomevalonate Decarboxylase Activity -> Biodomain: Lipid Metabolism, Mitochondrial Metabolism, Proteostasis, Synapse, Oxidative Stress
GO Term: Delta(3)-Delta(2)-Enoyl-Coa Isomerase Activity -> Biodomain: Lipid Metabolism, Mitochondrial Metabolism, Oxidative Stress, Synapse, Proteostasis
GO Term: Dopachrome Isomerase Activity -> Biodomain: Oxidative Stress, Proteostasis, Metal Binding and Homeostasis, Synapse, Mitochondrial Metabolism
GO Term: Dolichol Kinase Activity -> Biodomain: Lipid Metabolism, Proteostasis, Synapse, Endolysosome, Autophagy
GO Term: Dolichyl-Phosphate-Mannose-Protein Mannosyltransferase Activity -> Biodomain: Synapse, Proteostasis, Endolysosome, Lipid Metabolism, Autophagy
GO Term: Dutp Diphosphatase Activity -> Biodomain: DNA Repair, Proteostasis, Apoptosis, Mitochondrial Metabolism, Epigenetic
GO Term: Electron-Transferring-Flavoprotein Dehydrogenase Activity -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Proteostasis, Synapse, Lipid Metabolism
GO Term: Endopeptidase Activity -> Biodomain: Proteostasis, Autophagy, Endolysosome, Synapse, APP Metabolism
GO Term: Atp-Dependent Peptidase Activity -> Biodomain: Proteostasis, Autophagy, Endolysosome, Synapse, Oxidative Stress
GO Term: Aminopeptidase Activity -> Biodomain: Synapse, Proteostasis, Endolysosome, Autophagy, Oxidative Stress
GO Term: Carboxypeptidase Activity -> Biodomain: Proteostasis, Synapse, Endolysosome, Autophagy, Oxidative Stress
GO Term: Metallocarboxypeptidase Activity -> Biodomain: Proteostasis, Metal Binding and Homeostasis, Autophagy, Structural Stabilization, Oxidative Stress
GO Term: Serine-Type Carboxypeptidase Activity -> Biodomain: Proteostasis, Autophagy, Endolysosome, Synapse, Lipid Metabolism
GO Term: Aspartic-Type Endopeptidase Activity -> Biodomain: Proteostasis, APP Metabolism, Synapse, Apoptosis, Endolysosome
GO Term: Cysteine-Type Endopeptidase Activity -> Biodomain: Apoptosis, Proteostasis, Synapse, Endolysosome, Autophagy
GO Term: Calcium-Dependent Cysteine-Type Endopeptidase Activity -> Biodomain: Synapse, Proteostasis, Apoptosis, Oxidative Stress, Structural Stabilization
GO Term: Metalloendopeptidase Activity -> Biodomain: Synapse, Proteostasis, Oxidative Stress, Metal Binding and Homeostasis, Mitochondrial Metabolism
GO Term: Glutamyl Aminopeptidase Activity -> Biodomain: Synapse, Proteostasis, Vasculature, Lipid Metabolism, Oxidative Stress
GO Term: Initiator Methionyl Aminopeptidase Activity -> Biodomain: Proteostasis, Synapse, Autophagy, Apoptosis, Oxidative Stress
GO Term: Serine-Type Endopeptidase Activity -> Biodomain: Synapse, Proteostasis, Autophagy, Immune Response, Apoptosis
GO Term: Threonine-Type Endopeptidase Activity -> Biodomain: Proteostasis, Autophagy, Synapse, Oxidative Stress, Endolysosome
GO Term: Enoyl-Coa Hydratase Activity -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Proteostasis, Oxidative Stress, Synapse
GO Term: Epoxide Hydrolase Activity -> Biodomain: Immune Response, Lipid Metabolism, Oxidative Stress, Proteostasis, Autophagy
GO Term: Estradiol 17-Beta-Dehydrogenase [Nad(P)+] Activity -> Biodomain: Synapse, Proteostasis, Epigenetic, Lipid Metabolism, Oxidative Stress
GO Term: Estrone Sulfotransferase Activity -> Biodomain: Synapse, Epigenetic, Proteostasis, Endolysosome, Lipid Metabolism
GO Term: Ethanolamine Kinase Activity -> Biodomain: Synapse, Lipid Metabolism, Proteostasis, Endolysosome, Mitochondrial Metabolism
GO Term: Ethanolamine-Phosphate Cytidylyltransferase Activity -> Biodomain: Synapse, Lipid Metabolism, Structural Stabilization, Autophagy, Mitochondrial Metabolism
GO Term: Ethanolaminephosphotransferase Activity -> Biodomain: Lipid Metabolism, Synapse, Proteostasis, Autophagy, Mitochondrial Metabolism
GO Term: Exo-Alpha-Sialidase Activity -> Biodomain: Synapse, Endolysosome, Proteostasis, Autophagy, Lipid Metabolism
GO Term: Exopolyphosphatase Activity -> Biodomain: Mitochondrial Metabolism, Proteostasis, Metal Binding and Homeostasis, Synapse, Oxidative Stress
GO Term: Geranylgeranyl Diphosphate Synthase Activity -> Biodomain: Lipid Metabolism, Synapse, Proteostasis, Structural Stabilization, Oxidative Stress
GO Term: Fatty Acid Synthase Activity -> Biodomain: Lipid Metabolism, Synapse, Proteostasis, Oxidative Stress, Endolysosome
GO Term: [Acyl-Carrier-Protein] S-Acetyltransferase Activity -> Biodomain: Lipid Metabolism, Mitochondrial Metabolism, Proteostasis, Oxidative Stress, Autophagy
GO Term: [Acyl-Carrier-Protein] S-Malonyltransferase Activity -> Biodomain: Lipid Metabolism, Mitochondrial Metabolism, Proteostasis, Synapse, Oxidative Stress
GO Term: 3-Oxoacyl-[Acyl-Carrier-Protein] Synthase Activity -> Biodomain: Lipid Metabolism, Structural Stabilization, Synapse, Proteostasis, Autophagy
GO Term: 3-Oxoacyl-[Acyl-Carrier-Protein] Reductase (Nadph) Activity -> Biodomain: Lipid Metabolism, Synapse, Proteostasis, Oxidative Stress, Mitochondrial Metabolism
GO Term: Fatty-Acyl-Coa Synthase Activity -> Biodomain: Lipid Metabolism, Mitochondrial Metabolism, Synapse, Proteostasis, Oxidative Stress
GO Term: Ferroxidase Activity -> Biodomain: Metal Binding and Homeostasis, Oxidative Stress, Proteostasis, Synapse, Mitochondrial Metabolism
GO Term: Ferredoxin-Nadp+ Reductase Activity -> Biodomain: Oxidative Stress, Lipid Metabolism, Mitochondrial Metabolism, Proteostasis, Autophagy
GO Term: Ferrochelatase Activity -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Proteostasis, Metal Binding and Homeostasis, Lipid Metabolism
GO Term: Tetrahydrofolylpolyglutamate Synthase Activity -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Proteostasis, Epigenetic, DNA Repair
GO Term: Formate-Tetrahydrofolate Ligase Activity -> Biodomain: Mitochondrial Metabolism, Epigenetic, Oxidative Stress, Proteostasis, Lipid Metabolism
GO Term: Fructose-2,6-Bisphosphate 2-Phosphatase Activity -> Biodomain: Mitochondrial Metabolism, Proteostasis, Synapse, Lipid Metabolism, Oxidative Stress
GO Term: Fructose-Bisphosphate Aldolase Activity -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Cell Cycle, Proteostasis, Structural Stabilization
GO Term: Fumarate Hydratase Activity -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Proteostasis, Synapse, Lipid Metabolism
GO Term: Fumarylacetoacetase Activity -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Proteostasis, Synapse, Structural Stabilization
GO Term: Galactokinase Activity -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Proteostasis, Oxidative Stress, Synapse
GO Term: Galactosylceramidase Activity -> Biodomain: Lipid Metabolism, Myelination, Endolysosome, Proteostasis, Synapse
GO Term: (2E,6E)-Farnesyl Diphosphate Synthase Activity -> Biodomain: Lipid Metabolism, Proteostasis, Synapse, Mitochondrial Metabolism, Oxidative Stress
GO Term: Glucan 1,4-Alpha-Glucosidase Activity -> Biodomain: Endolysosome, Autophagy, Proteostasis, Mitochondrial Metabolism, Lipid Metabolism
GO Term: Glucokinase Activity -> Biodomain: Synapse, Mitochondrial Metabolism, Oxidative Stress, Proteostasis, Autophagy
GO Term: Gluconolactonase Activity -> Biodomain: Synapse, Proteostasis, Lipid Metabolism, Oxidative Stress, Mitochondrial Metabolism
GO Term: Glucosamine-6-Phosphate Deaminase Activity -> Biodomain: Lipid Metabolism, Endolysosome, Autophagy, Epigenetic, Synapse
GO Term: Glucosamine 6-Phosphate N-Acetyltransferase Activity -> Biodomain: Synapse, Proteostasis, Epigenetic, Endolysosome, Lipid Metabolism
GO Term: Glucose-6-Phosphate Dehydrogenase Activity -> Biodomain: Oxidative Stress, Mitochondrial Metabolism, Proteostasis, Lipid Metabolism, Synapse
GO Term: Glucose-6-Phosphatase Activity -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Proteostasis, Lipid Metabolism, Autophagy
GO Term: Glucose-6-Phosphate Isomerase Activity -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Lipid Metabolism, Proteostasis, Synapse
GO Term: Glucosylceramidase Activity -> Biodomain: Lipid Metabolism, Synapse, Endolysosome, Autophagy, Proteostasis
GO Term: Glutamate 5-Kinase Activity -> Biodomain: Synapse, Proteostasis, Lipid Metabolism, Oxidative Stress, Mitochondrial Metabolism
GO Term: Glutamate-5-Semialdehyde Dehydrogenase Activity -> Biodomain: Synapse, Oxidative Stress, Mitochondrial Metabolism, Proteostasis, Lipid Metabolism
GO Term: Glutamate Decarboxylase Activity -> Biodomain: Synapse, Proteostasis, Oxidative Stress, Mitochondrial Metabolism, Lipid Metabolism
GO Term: Glutamate Dehydrogenase (Nad+) Activity -> Biodomain: Synapse, Mitochondrial Metabolism, Oxidative Stress, Lipid Metabolism, Proteostasis
GO Term: Glutamate Dehydrogenase [Nad(P)+] Activity -> Biodomain: Synapse, Mitochondrial Metabolism, Oxidative Stress, Proteostasis, Metal Binding and Homeostasis
GO Term: Glutamate Dehydrogenase (Nadp+) Activity -> Biodomain: Synapse, Oxidative Stress, Mitochondrial Metabolism, Proteostasis, Autophagy
GO Term: Glutamine Synthetase Activity -> Biodomain: Synapse, Proteostasis, Oxidative Stress, Mitochondrial Metabolism, Metal Binding and Homeostasis
GO Term: Glutamate-Cysteine Ligase Activity -> Biodomain: Oxidative Stress, Mitochondrial Metabolism, Proteostasis, Synapse, Endolysosome
GO Term: Glutaminase Activity -> Biodomain: Synapse, Mitochondrial Metabolism, Oxidative Stress, Proteostasis, Autophagy
GO Term: Glutamine-Fructose-6-Phosphate Transaminase (Isomerizing) Activity -> Biodomain: Synapse, Proteostasis, Lipid Metabolism, Mitochondrial Metabolism, Oxidative Stress
GO Term: Glutaryl-Coa Dehydrogenase Activity -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Lipid Metabolism, Proteostasis, Autophagy
GO Term: Glutathione-Disulfide Reductase (Nadph) Activity -> Biodomain: Oxidative Stress, Proteostasis, Metal Binding and Homeostasis, Lipid Metabolism, Synapse
GO Term: Glutathione Synthase Activity -> Biodomain: Oxidative Stress, Mitochondrial Metabolism, Proteostasis, Autophagy, Apoptosis
GO Term: Glutathione Transferase Activity -> Biodomain: Oxidative Stress, Proteostasis, Mitochondrial Metabolism, Lipid Metabolism, Apoptosis
GO Term: Glyceraldehyde-3-Phosphate Dehydrogenase (Nad+) (Phosphorylating) Activity -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Proteostasis, Synapse, Autophagy
GO Term: Glycerol-3-Phosphate O-Acyltransferase Activity -> Biodomain: Lipid Metabolism, Synapse, Proteostasis, Endolysosome, Mitochondrial Metabolism
GO Term: Glycerol-3-Phosphate Dehydrogenase (Quinone) Activity -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Synapse, Proteostasis, Lipid Metabolism
GO Term: Glycerol Kinase Activity -> Biodomain: Lipid Metabolism, Proteostasis, Synapse, Mitochondrial Metabolism, Oxidative Stress
GO Term: Glycerone Kinase Activity -> Biodomain: Lipid Metabolism, Mitochondrial Metabolism, Proteostasis, Autophagy, Oxidative Stress
GO Term: Glycine Hydroxymethyltransferase Activity -> Biodomain: Mitochondrial Metabolism, Proteostasis, Lipid Metabolism, Oxidative Stress, Epigenetic
GO Term: Alpha-1,4-Glucan Glucosyltransferase (Udp-Glucose Donor) Activity -> Biodomain: Mitochondrial Metabolism, Proteostasis, Lipid Metabolism, Autophagy, Oxidative Stress
GO Term: Glycine Dehydrogenase (Decarboxylating) Activity -> Biodomain: Mitochondrial Metabolism, Synapse, Oxidative Stress, Proteostasis, Lipid Metabolism
GO Term: Gpi Mannosyltransferase Activity -> Biodomain: Synapse, Proteostasis, Lipid Metabolism, Endolysosome, Autophagy
GO Term: Gdp-Man:Man(3)Glcnac(2)-Pp-Dol Alpha-1,2-Mannosyltransferase Activity -> Biodomain: Synapse, Proteostasis, Endolysosome, Lipid Metabolism, Structural Stabilization
GO Term: Gdp-Man:Man(1)Glcnac(2)-Pp-Dol Alpha-1,3-Mannosyltransferase Activity -> Biodomain: Proteostasis, Lipid Metabolism, Autophagy, Endolysosome, Synapse
GO Term: Glycylpeptide N-Tetradecanoyltransferase Activity -> Biodomain: Proteostasis, Lipid Metabolism, Synapse, Structural Stabilization, Autophagy
GO Term: Glycoprotein-Fucosylgalactoside Alpha-N-Acetylgalactosaminyltransferase Activity -> Biodomain: Synapse, Proteostasis, Endolysosome, Autophagy, Lipid Metabolism
GO Term: Fucosylgalactoside 3-Alpha-Galactosyltransferase Activity -> Biodomain: Synapse, Proteostasis, Endolysosome, Lipid Metabolism, Immune Response
GO Term: Gdp Phosphatase Activity -> Biodomain: Synapse, Proteostasis, Mitochondrial Metabolism, Oxidative Stress, Endolysosome
GO Term: Guanylate Cyclase Activity -> Biodomain: Synapse, Proteostasis, Oxidative Stress, Metal Binding and Homeostasis, Epigenetic
GO Term: Gmp Kinase Activity -> Biodomain: Mitochondrial Metabolism, Synapse, Oxidative Stress, Proteostasis, Cell Cycle
GO Term: Helicase Activity -> Biodomain: DNA Repair, RNA Spliceosome, Epigenetic, Proteostasis, Autophagy
GO Term: Heme Oxygenase (Decyclizing) Activity -> Biodomain: Oxidative Stress, Metal Binding and Homeostasis, Immune Response, Mitochondrial Metabolism, Proteostasis
GO Term: Heparan Sulfate 2-Sulfotransferase Activity -> Biodomain: Synapse, Proteostasis, Structural Stabilization, Endolysosome, Autophagy
GO Term: Hexokinase Activity -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Synapse, Proteostasis, Lipid Metabolism
GO Term: Histidine Ammonia-Lyase Activity -> Biodomain: Oxidative Stress, Mitochondrial Metabolism, Proteostasis, Synapse, Lipid Metabolism
GO Term: Histidine Decarboxylase Activity -> Biodomain: Synapse, Immune Response, Proteostasis, Autophagy, Epigenetic
GO Term: Histone Acetyltransferase Activity -> Biodomain: Epigenetic, Synapse, Proteostasis, Cell Cycle, Autophagy
GO Term: Histone Deacetylase Activity -> Biodomain: Epigenetic, Synapse, Proteostasis, Autophagy, Cell Cycle
GO Term: Holocytochrome-C Synthase Activity -> Biodomain: Mitochondrial Metabolism, Apoptosis, Oxidative Stress, Proteostasis, Synapse
