Running with TEMP=0.5, sub_array_index=6
Changed working directory to: /panfs/compbio/users/xran2/wen/JX/02-AI-BioDomain/git_folder
Processing array index 6: rows 5000 to 5999
GO Term: Glial Cell-Derived Neurotrophic Factor Receptor Activity -> Biodomain: Synapse, Apoptosis, Myelination, Structural Stabilization, Epigenetic
GO Term: N-Glycan Processing To Lysosome -> Biodomain: Endolysosome, Proteostasis, Autophagy, Lipid Metabolism, Immune Response
GO Term: Selenocysteine Metabolic Process -> Biodomain: Oxidative Stress, Mitochondrial Metabolism, Proteostasis, Metal Binding and Homeostasis, Lipid Metabolism
GO Term: Selenocysteine Biosynthetic Process -> Biodomain: Oxidative Stress, Proteostasis, Metal Binding and Homeostasis, Mitochondrial Metabolism, Autophagy
GO Term: Selenocysteine Catabolic Process -> Biodomain: Oxidative Stress, Proteostasis, Metal Binding and Homeostasis, Mitochondrial Metabolism, Lipid Metabolism
GO Term: Protein N-Acetylglucosaminyltransferase Activity -> Biodomain: Proteostasis, Epigenetic, Cell Cycle, Autophagy, Immune Response
GO Term: Glycoprotein-N-Acetylgalactosamine 3-Beta-Galactosyltransferase Activity -> Biodomain: Proteostasis, Lipid Metabolism, Structural Stabilization, APP Metabolism, Endolysosome
GO Term: Gap Junction Assembly -> Biodomain: Structural Stabilization, Synapse, Vasculature, Proteostasis, Cell Cycle
GO Term: Core O-Glycan Biosynthetic Process -> Biodomain: Proteostasis, Lipid Metabolism, Structural Stabilization, Immune Response, Vasculature
GO Term: Core 2 O-Glycan Biosynthetic Process -> Biodomain: Lipid Metabolism, Immune Response, Vasculature, Proteostasis, Endolysosome
GO Term: Core 3 O-Glycan Biosynthetic Process -> Biodomain: Lipid Metabolism, Proteostasis, Endolysosome, Structural Stabilization, Immune Response
GO Term: Prefoldin Complex -> Biodomain: Proteostasis, Epigenetic, Autophagy, Structural Stabilization, RNA Spliceosome
GO Term: Protein-Arginine N-Methyltransferase Activity -> Biodomain: Epigenetic, Proteostasis, RNA Spliceosome, DNA Repair, Cell Cycle
GO Term: Lysine N-Methyltransferase Activity -> Biodomain: Epigenetic, Proteostasis, DNA Repair, Apoptosis, Cell Cycle
GO Term: Protein-Lysine N-Methyltransferase Activity -> Biodomain: Epigenetic, Proteostasis, Mitochondrial Metabolism, APP Metabolism, Tau Homeostasis
GO Term: Eukaryotic Translation Initiation Factor 4F Complex -> Biodomain: Proteostasis, Autophagy, Cell Cycle, Structural Stabilization, RNA Spliceosome
GO Term: Eukaryotic 43S Preinitiation Complex -> Biodomain: Proteostasis, Epigenetic, Autophagy, RNA Spliceosome, Apoptosis
GO Term: Alanyl Aminopeptidase Activity -> Biodomain: Proteostasis, Endolysosome, Autophagy, Lipid Metabolism, Mitochondrial Metabolism
GO Term: Small Conductance Calcium-Activated Potassium Channel Activity -> Biodomain: Synapse, Structural Stabilization, Metal Binding and Homeostasis, Proteostasis, Oxidative Stress
GO Term: Glycerone-Phosphate O-Acyltransferase Activity -> Biodomain: Lipid Metabolism, Mitochondrial Metabolism, Oxidative Stress, Autophagy, Proteostasis
GO Term: Acyl-Coa Hydrolase Activity -> Biodomain: Lipid Metabolism, Mitochondrial Metabolism, Oxidative Stress, Proteostasis, Autophagy
GO Term: Fatty Acyl-[Acp] Hydrolase Activity -> Biodomain: Lipid Metabolism, Mitochondrial Metabolism, Proteostasis, Oxidative Stress, Autophagy
GO Term: Lipase Activity -> Biodomain: Lipid Metabolism, Mitochondrial Metabolism, Autophagy, Endolysosome, Proteostasis
GO Term: Trna (Uridine) Methyltransferase Activity -> Biodomain: Epigenetic, Metal Binding and Homeostasis, Mitochondrial Metabolism, Cell Cycle, Structural Stabilization
GO Term: Kinase Activity -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Proteostasis, Cell Cycle, Autophagy
GO Term: 1-Phosphatidylinositol-3-Kinase Activity -> Biodomain: Lipid Metabolism, Autophagy, Endolysosome, Proteostasis, Mitochondrial Metabolism
GO Term: 1-Phosphatidylinositol-4-Phosphate 5-Kinase Activity -> Biodomain: Lipid Metabolism, Endolysosome, Synapse, Autophagy, Proteostasis
GO Term: 1-Phosphatidylinositol-5-Phosphate 4-Kinase Activity -> Biodomain: Lipid Metabolism, Endolysosome, Autophagy, Cell Cycle, Synapse
GO Term: Phosphorylation -> Biodomain: Proteostasis, Apoptosis, Cell Cycle, Autophagy, DNA Repair
GO Term: Dephosphorylation -> Biodomain: Proteostasis, Apoptosis, Cell Cycle, Immune Response, Oxidative Stress
GO Term: Inositol Bisphosphate Phosphatase Activity -> Biodomain: Lipid Metabolism, Autophagy, Apoptosis, Cell Cycle, Metal Binding and Homeostasis
GO Term: Phosphatidylinositol-3,4,5-Trisphosphate 3-Phosphatase Activity -> Biodomain: Lipid Metabolism, Endolysosome, Autophagy, Apoptosis, Oxidative Stress
GO Term: Phosphatidylinositol-3,4-Bisphosphate 4-Phosphatase Activity -> Biodomain: Lipid Metabolism, Endolysosome, Proteostasis, Autophagy, Mitochondrial Metabolism
GO Term: Endoplasmic Reticulum Membrane Fusion -> Biodomain: Lipid Metabolism, Proteostasis, Autophagy, Endolysosome, Structural Stabilization
GO Term: Female Meiosis Chromosome Segregation -> Biodomain: Cell Cycle, DNA Repair, Structural Stabilization, Epigenetic, Proteostasis
GO Term: Neuron Remodeling -> Biodomain: Synapse, Structural Stabilization, Proteostasis, Autophagy, Apoptosis
GO Term: Basolateral Plasma Membrane -> Biodomain: Structural Stabilization, Lipid Metabolism, Metal Binding and Homeostasis, Proteostasis, Endolysosome
GO Term: Apical Plasma Membrane -> Biodomain: Structural Stabilization, Vasculature, Lipid Metabolism, Immune Response, Proteostasis
GO Term: Apicolateral Plasma Membrane -> Biodomain: Structural Stabilization, Vasculature, Endolysosome, Lipid Metabolism, Proteostasis
GO Term: Lateral Plasma Membrane -> Biodomain: Structural Stabilization, Synapse, Vasculature, Proteostasis, Lipid Metabolism
GO Term: Morphogenesis Of Embryonic Epithelium -> Biodomain: Structural Stabilization, Cell Cycle, Epigenetic, DNA Repair, Apoptosis
GO Term: Establishment Or Maintenance Of Polarity Of Embryonic Epithelium -> Biodomain: Structural Stabilization, Proteostasis, Epigenetic, Cell Cycle, Synapse
GO Term: Calcium-Independent Cell-Cell Adhesion Via Plasma Membrane Cell-Adhesion Molecules -> Biodomain: Structural Stabilization, Synapse, Cell Cycle, Proteostasis, Vasculature
GO Term: Calcium-Dependent Cell-Cell Adhesion Via Plasma Membrane Cell Adhesion Molecules -> Biodomain: Structural Stabilization, Synapse, Vasculature, Cell Cycle, Proteostasis
GO Term: Calcium-Dependent Cell-Matrix Adhesion -> Biodomain: Structural Stabilization, Vasculature, Proteostasis, Synapse, Immune Response
GO Term: Catenin Complex -> Biodomain: Structural Stabilization, Cell Cycle, Proteostasis, Apoptosis, Synapse
GO Term: Meiotic Chromosome Movement Towards Spindle Pole -> Biodomain: Cell Cycle, Structural Stabilization, Proteostasis, DNA Repair, Epigenetic
GO Term: Dendrite Development -> Biodomain: Synapse, Structural Stabilization, Cell Cycle, Myelination, Proteostasis
GO Term: Activin Receptor Activity, Type I -> Biodomain: Immune Response, Apoptosis, Cell Cycle, Structural Stabilization, Proteostasis
GO Term: Activin Receptor Activity, Type Ii -> Biodomain: Cell Cycle, Apoptosis, Proteostasis, Structural Stabilization, Immune Response
GO Term: Nuclear Matrix -> Biodomain: Structural Stabilization, Epigenetic, DNA Repair, Proteostasis, Cell Cycle
GO Term: Palmitoyl-Coa Oxidase Activity -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Lipid Metabolism, Autophagy, Proteostasis
GO Term: Pristanoyl-Coa Oxidase Activity -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Oxidative Stress, Autophagy, Proteostasis
GO Term: Dimethylargininase Activity -> Biodomain: Mitochondrial Metabolism, Vasculature, Immune Response, Oxidative Stress, Lipid Metabolism
GO Term: 15-Hydroxyprostaglandin Dehydrogenase (Nad+) Activity -> Biodomain: Lipid Metabolism, Oxidative Stress, Immune Response, Vasculature, Apoptosis
GO Term: Coa-Ligase Activity -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Proteostasis, Oxidative Stress, Metal Binding and Homeostasis
GO Term: Acetyltransferase Activity -> Biodomain: Mitochondrial Metabolism, Epigenetic, Oxidative Stress, Proteostasis, Lipid Metabolism
GO Term: Palmitoyltransferase Activity -> Biodomain: Lipid Metabolism, Proteostasis, Synapse, Mitochondrial Metabolism, Endolysosome
GO Term: N-Acyltransferase Activity -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Proteostasis, Oxidative Stress, Metal Binding and Homeostasis
GO Term: Acylglycerol O-Acyltransferase Activity -> Biodomain: Lipid Metabolism, Mitochondrial Metabolism, Autophagy, Proteostasis, Oxidative Stress
GO Term: Serine O-Acyltransferase Activity -> Biodomain: Lipid Metabolism, Proteostasis, Mitochondrial Metabolism, Structural Stabilization, Endolysosome
GO Term: O-Palmitoyltransferase Activity -> Biodomain: Lipid Metabolism, Proteostasis, Mitochondrial Metabolism, Endolysosome, Synapse
GO Term: Mrna (2'-O-Methyladenosine-N6-)-Methyltransferase Activity -> Biodomain: Epigenetic, RNA Spliceosome, Proteostasis, Mitochondrial Metabolism, Oxidative Stress
GO Term: Trna (Guanine) Methyltransferase Activity -> Biodomain: Epigenetic, Mitochondrial Metabolism, Proteostasis, Metal Binding and Homeostasis, RNA Spliceosome
GO Term: Trna (Adenine) Methyltransferase Activity -> Biodomain: RNA Spliceosome, Epigenetic, Metal Binding and Homeostasis, Mitochondrial Metabolism, Proteostasis
GO Term: Trna (Cytidine) Methyltransferase Activity -> Biodomain: Epigenetic, Mitochondrial Metabolism, RNA Spliceosome, Proteostasis, Metal Binding and Homeostasis
GO Term: Trna (Cytidine-5-)-Methyltransferase Activity -> Biodomain: Epigenetic, Mitochondrial Metabolism, Proteostasis, Oxidative Stress, Lipid Metabolism
GO Term: Trna-Uridine Aminocarboxypropyltransferase Activity -> Biodomain: Mitochondrial Metabolism, Proteostasis, RNA Spliceosome, Structural Stabilization, Metal Binding and Homeostasis
GO Term: Rrna (Adenine) Methyltransferase Activity -> Biodomain: Epigenetic, Cell Cycle, Structural Stabilization, Proteostasis, Metal Binding and Homeostasis
GO Term: Rrna (Guanine) Methyltransferase Activity -> Biodomain: Structural Stabilization, Mitochondrial Metabolism, Epigenetic, RNA Spliceosome, Proteostasis
GO Term: Trna-Queuosine(34) Beta-Mannosyltransferase Activity -> Biodomain: Mitochondrial Metabolism, RNA Spliceosome, Lipid Metabolism, Structural Stabilization, Epigenetic
GO Term: Post-Transcriptional Gene Silencing -> Biodomain: RNA Spliceosome, Proteostasis, Immune Response, Autophagy, Endolysosome
GO Term: Risc Complex -> Biodomain: RNA Spliceosome, Epigenetic, Proteostasis, Autophagy, Immune Response
GO Term: Somatic Cell Dna Recombination -> Biodomain: Immune Response, DNA Repair, Cell Cycle, Epigenetic, Apoptosis
GO Term: Somatic Diversification Of Immunoglobulins -> Biodomain: Immune Response, DNA Repair, Epigenetic, Proteostasis, Autophagy
GO Term: Somatic Hypermutation Of Immunoglobulin Genes -> Biodomain: Immune Response, DNA Repair, Cell Cycle, Apoptosis, Proteostasis
GO Term: Somatic Recombination Of Immunoglobulin Gene Segments -> Biodomain: Immune Response, DNA Repair, Epigenetic, Apoptosis, Cell Cycle
GO Term: C-Acetyltransferase Activity -> Biodomain: Epigenetic, Proteostasis, Mitochondrial Metabolism, Lipid Metabolism, Structural Stabilization
GO Term: Myosin Complex -> Biodomain: Structural Stabilization, Proteostasis, Endolysosome, Autophagy, Mitochondrial Metabolism
GO Term: Myosin Ii Complex -> Biodomain: Structural Stabilization, Cell Cycle, Proteostasis, Vasculature, Autophagy
GO Term: Unconventional Myosin Complex -> Biodomain: Structural Stabilization, Proteostasis, Synapse, Endolysosome, Autophagy
GO Term: Pyrophosphatase Activity -> Biodomain: Mitochondrial Metabolism, Metal Binding and Homeostasis, Lipid Metabolism, Cell Cycle, DNA Repair
GO Term: Proton-Transporting Two-Sector Atpase Complex -> Biodomain: Mitochondrial Metabolism, Endolysosome, Autophagy, Proteostasis, Oxidative Stress
GO Term: Vacuolar Proton-Transporting V-Type Atpase Complex -> Biodomain: Endolysosome, Proteostasis, Autophagy, Mitochondrial Metabolism, Lipid Metabolism
GO Term: Regulation Of Embryonic Cell Shape -> Biodomain: Structural Stabilization, Cell Cycle, Proteostasis, Lipid Metabolism, Autophagy
GO Term: Cell Migration -> Biodomain: Vasculature, Immune Response, Structural Stabilization, Myelination, Synapse
GO Term: Negative Regulation Of Transcription By Rna Polymerase I -> Biodomain: Epigenetic, Cell Cycle, DNA Repair, Proteostasis, Apoptosis
GO Term: Negative Regulation Of Transcription By Rna Polymerase Iii -> Biodomain: Epigenetic, Cell Cycle, DNA Repair, Proteostasis, Autophagy
GO Term: Cytosolic Transport -> Biodomain: Proteostasis, Autophagy, Endolysosome, Mitochondrial Metabolism, Lipid Metabolism
GO Term: Protein Processing -> Biodomain: Proteostasis, Endolysosome, Autophagy, Apoptosis, Immune Response
GO Term: Peptide Hormone Processing -> Biodomain: Proteostasis, APP Metabolism, Endolysosome, Autophagy, Immune Response
GO Term: Farnesol Catabolic Process -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Oxidative Stress, Proteostasis, Endolysosome
GO Term: Oxidoreductase Activity -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Proteostasis, Lipid Metabolism, Autophagy
GO Term: G Protein-Coupled Neurotensin Receptor Activity -> Biodomain: Synapse, Signal Transduction, Immune Response, Apoptosis, Proteostasis
GO Term: C-C Chemokine Receptor Activity -> Biodomain: Immune Response, Vasculature, Cell Cycle, Proteostasis, Apoptosis
GO Term: C-X-C Chemokine Receptor Activity -> Biodomain: Immune Response, Proteostasis, Endolysosome, Vasculature, Apoptosis
GO Term: C-X3-C Chemokine Receptor Activity -> Biodomain: Immune Response, Vasculature, Apoptosis, Cell Cycle, Proteostasis
GO Term: Substance P Receptor Activity -> Biodomain: Synapse, Immune Response, Vasculature, Proteostasis, Apoptosis
GO Term: Substance K Receptor Activity -> Biodomain: Synapse, Immune Response, Vasculature, Apoptosis, Proteostasis
GO Term: Orexin Receptor Activity -> Biodomain: Synapse, Proteostasis, Lipid Metabolism, Mitochondrial Metabolism, Oxidative Stress
GO Term: Protein-Hormone Receptor Activity -> Biodomain: Immune Response, Vasculature, Cell Cycle, Lipid Metabolism, Epigenetic
GO Term: Prostacyclin Receptor Activity -> Biodomain: Vasculature, Immune Response, Lipid Metabolism, Oxidative Stress, Proteostasis
GO Term: Pheromone Receptor Activity -> Biodomain: Synapse, Proteostasis, Structural Stabilization, Mitochondrial Metabolism, Oxidative Stress
GO Term: Peptidase Activator Activity -> Biodomain: Proteostasis, Autophagy, Endolysosome, Apoptosis, Immune Response
GO Term: Peptidase Activator Activity Involved In Apoptotic Process -> Biodomain: Apoptosis, Proteostasis, Autophagy, Mitochondrial Metabolism, Oxidative Stress
GO Term: Mitochondrial Fatty Acid Beta-Oxidation Multienzyme Complex -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Oxidative Stress, Proteostasis, Structural Stabilization
GO Term: Long-Chain-3-Hydroxyacyl-Coa Dehydrogenase (Nad+) Activity -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Oxidative Stress, Proteostasis, Autophagy
GO Term: Core-Binding Factor Complex -> Biodomain: Epigenetic, Immune Response, Cell Cycle, DNA Repair, Apoptosis
GO Term: Swi/Snf Complex -> Biodomain: Epigenetic, DNA Repair, Cell Cycle, Structural Stabilization, Apoptosis
GO Term: Interleukin-13 Receptor Activity -> Biodomain: Immune Response, Vasculature, Apoptosis, Autophagy, Proteostasis
GO Term: Interleukin-12 Receptor Activity -> Biodomain: Immune Response, Proteostasis, Apoptosis, Endolysosome, Vasculature
GO Term: Gastric Inhibitory Peptide Receptor Activity -> Biodomain: Lipid Metabolism, Proteostasis, Endolysosome, Structural Stabilization, Mitochondrial Metabolism
GO Term: Growth Hormone-Releasing Hormone Receptor Activity -> Biodomain: Vasculature, Immune Response, Lipid Metabolism, Mitochondrial Metabolism, Proteostasis
GO Term: Pituitary Adenylate Cyclase Activating Polypeptide Activity -> Biodomain: Vasculature, Synapse, Immune Response, Mitochondrial Metabolism, Cell Cycle
GO Term: Latrotoxin Receptor Activity -> Biodomain: Synapse, Proteostasis, Endolysosome, Autophagy, Structural Stabilization
GO Term: Negative Regulation Of Angiogenesis -> Biodomain: Vasculature, Immune Response, Cell Cycle, Apoptosis, Oxidative Stress
GO Term: Sarcoplasm -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Proteostasis, Structural Stabilization, Lipid Metabolism
GO Term: Sarcoplasmic Reticulum -> Biodomain: Metal Binding and Homeostasis, Mitochondrial Metabolism, Structural Stabilization, Proteostasis, Lipid Metabolism
GO Term: Metallochaperone Activity -> Biodomain: Metal Binding and Homeostasis, Proteostasis, Oxidative Stress, Autophagy, Mitochondrial Metabolism
GO Term: Copper Chaperone Activity -> Biodomain: Metal Binding and Homeostasis, Mitochondrial Metabolism, Proteostasis, Oxidative Stress, Lipid Metabolism
GO Term: Superoxide Dismutase Copper Chaperone Activity -> Biodomain: Oxidative Stress, Metal Binding and Homeostasis, Mitochondrial Metabolism, Proteostasis, Autophagy
GO Term: Protein Kinase 5 Complex -> Biodomain: Proteostasis, Synapse, Cell Cycle, Apoptosis, Structural Stabilization
GO Term: Cyclin-Dependent Protein Serine/Threonine Kinase Regulator Activity -> Biodomain: Cell Cycle, Epigenetic, Proteostasis, Autophagy, DNA Repair
GO Term: Intein-Mediated Protein Splicing -> Biodomain: Proteostasis, Structural Stabilization, Autophagy, Apoptosis, Epigenetic
GO Term: Protein Autoprocessing -> Biodomain: Proteostasis, Apoptosis, Autophagy, Endolysosome, Structural Stabilization
GO Term: Base Conversion Or Substitution Editing -> Biodomain: RNA Spliceosome, Epigenetic, Proteostasis, Autophagy, DNA Repair
GO Term: Cytidine To Uridine Editing -> Biodomain: RNA Spliceosome, Epigenetic, Oxidative Stress, Metal Binding and Homeostasis, Immune Response
GO Term: Mrna Modification -> Biodomain: RNA Spliceosome, Epigenetic, Proteostasis, Cell Cycle, DNA Repair
GO Term: Peroxisome Membrane Biogenesis -> Biodomain: Lipid Metabolism, Oxidative Stress, Proteostasis, Structural Stabilization, Autophagy
GO Term: Protein Import Into Peroxisome Matrix -> Biodomain: Proteostasis, Lipid Metabolism, Mitochondrial Metabolism, Oxidative Stress, Endolysosome
GO Term: Peroxisome Fission -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Lipid Metabolism, Structural Stabilization, Autophagy
GO Term: Protein Import Into Peroxisome Matrix, Docking -> Biodomain: Proteostasis, Lipid Metabolism, Structural Stabilization, Autophagy, Oxidative Stress
GO Term: Protein Import Into Peroxisome Matrix, Translocation -> Biodomain: Lipid Metabolism, Oxidative Stress, Proteostasis, Structural Stabilization, Endolysosome
GO Term: Protein Import Into Peroxisome Matrix, Receptor Recycling -> Biodomain: Proteostasis, Endolysosome, Autophagy, Lipid Metabolism, Mitochondrial Metabolism
GO Term: Protein Ubiquitination -> Biodomain: Proteostasis, Autophagy, Apoptosis, Oxidative Stress, Endolysosome
GO Term: Protein Deubiquitination -> Biodomain: Proteostasis, Autophagy, Apoptosis, Mitochondrial Metabolism, Oxidative Stress
GO Term: Nurd Complex -> Biodomain: Epigenetic, DNA Repair, Cell Cycle, Apoptosis, Proteostasis
GO Term: Rsc-Type Complex -> Biodomain: Epigenetic, DNA Repair, Proteostasis, Cell Cycle, Structural Stabilization
GO Term: Nurf Complex -> Biodomain: Epigenetic, Cell Cycle, DNA Repair, Structural Stabilization, Proteostasis
GO Term: Acf Complex -> Biodomain: Epigenetic, DNA Repair, Structural Stabilization, Cell Cycle, Proteostasis
GO Term: Rna Polymerase Ii, Holoenzyme -> Biodomain: Epigenetic, Cell Cycle, DNA Repair, RNA Spliceosome, Proteostasis
GO Term: Mediator Complex -> Biodomain: Epigenetic, DNA Repair, Proteostasis, Cell Cycle, RNA Spliceosome
GO Term: Cdc73/Paf1 Complex -> Biodomain: Epigenetic, Cell Cycle, RNA Spliceosome, Proteostasis, DNA Repair
GO Term: Glycine Binding -> Biodomain: Mitochondrial Metabolism, Synapse, Proteostasis, Lipid Metabolism, Metal Binding and Homeostasis
GO Term: Glutamate Binding -> Biodomain: Synapse, Proteostasis, Mitochondrial Metabolism, Oxidative Stress, Metal Binding and Homeostasis
GO Term: Amino Acid Binding -> Biodomain: Proteostasis, Mitochondrial Metabolism, Lipid Metabolism, Autophagy, Endolysosome
GO Term: Protein Arginylation -> Biodomain: Proteostasis, Autophagy, Endolysosome, Apoptosis, Oxidative Stress
GO Term: Flotillin Complex -> Biodomain: Structural Stabilization, Endolysosome, Lipid Metabolism, Synapse, APP Metabolism
GO Term: Rac Protein Signal Transduction -> Biodomain: Immune Response, Structural Stabilization, Synapse, Vasculature, Cell Cycle
GO Term: Ccaat-Binding Factor Complex -> Biodomain: Epigenetic, DNA Repair, Mitochondrial Metabolism, Cell Cycle, Apoptosis
GO Term: Glutaminyl-Peptide Cyclotransferase Activity -> Biodomain: ERROR: Expecting value: line 10 column 1 (char 9)
