Running with TEMP=0.9, sub_array_index=11
Changed working directory to: /panfs/compbio/users/xran2/wen/JX/02-AI-BioDomain/git_folder
Processing array index 11: rows 10000 to 10999
GO Term: Omega-6 Fatty Acid Desaturase Activity -> Biodomain: Lipid Metabolism, Metal Binding and Homeostasis, Mitochondrial Metabolism, Oxidative Stress, Proteostasis
GO Term: Negative Regulation Of Cell Differentiation -> Biodomain: Cell Cycle, Apoptosis, Proteostasis, Epigenetic, Autophagy
GO Term: Positive Regulation Of Cell Differentiation -> Biodomain: Cell Cycle, Epigenetic, Proteostasis, Apoptosis, Immune Response
GO Term: Regulation Of Fat Cell Differentiation -> Biodomain: Lipid Metabolism, Mitochondrial Metabolism, Cell Cycle, Autophagy, Proteostasis
GO Term: Negative Regulation Of Fat Cell Differentiation -> Biodomain: Lipid Metabolism, Epigenetic, Cell Cycle, Autophagy, Immune Response
GO Term: Positive Regulation Of Fat Cell Differentiation -> Biodomain: Lipid Metabolism, Mitochondrial Metabolism, Cell Cycle, Epigenetic, Autophagy
GO Term: Regulation Of Endothelial Cell Differentiation -> Biodomain: Vasculature, Structural Stabilization, Apoptosis, Immune Response, Lipid Metabolism
GO Term: Negative Regulation Of Endothelial Cell Differentiation -> Biodomain: Vasculature, Structural Stabilization, Cell Cycle, Immune Response, Apoptosis
GO Term: Positive Regulation Of Endothelial Cell Differentiation -> Biodomain: Vasculature, Cell Cycle, Epigenetic, Structural Stabilization, Lipid Metabolism
GO Term: Regulation Of Epidermal Cell Differentiation -> Biodomain: Structural Stabilization, Cell Cycle, Epigenetic, Autophagy, Proteostasis
GO Term: Negative Regulation Of Epidermal Cell Differentiation -> Biodomain: Structural Stabilization, Cell Cycle, Epigenetic, Proteostasis, Immune Response
GO Term: Positive Regulation Of Epidermal Cell Differentiation -> Biodomain: Structural Stabilization, Proteostasis, Epigenetic, Autophagy, Cell Cycle
GO Term: Regulation Of Inner Ear Auditory Receptor Cell Differentiation -> Biodomain: Cell Cycle, Structural Stabilization, Synapse, Proteostasis, Epigenetic
GO Term: Negative Regulation Of Inner Ear Auditory Receptor Cell Differentiation -> Biodomain: Cell Cycle, Epigenetic, Autophagy, Proteostasis, Synapse
GO Term: Positive Regulation Of Inner Ear Auditory Receptor Cell Differentiation -> Biodomain: Structural Stabilization, Cell Cycle, Epigenetic, Proteostasis, RNA Spliceosome
GO Term: Regulation Of Keratinocyte Differentiation -> Biodomain: Structural Stabilization, Epigenetic, Proteostasis, Autophagy, Cell Cycle
GO Term: Negative Regulation Of Keratinocyte Differentiation -> Biodomain: Structural Stabilization, Proteostasis, Autophagy, Epigenetic, Cell Cycle
GO Term: Positive Regulation Of Keratinocyte Differentiation -> Biodomain: Structural Stabilization, Proteostasis, Epigenetic, Lipid Metabolism, Apoptosis
GO Term: Regulation Of Lymphocyte Differentiation -> Biodomain: Immune Response, Cell Cycle, Apoptosis, Proteostasis, Epigenetic
GO Term: Negative Regulation Of Lymphocyte Differentiation -> Biodomain: Immune Response, Apoptosis, Epigenetic, Proteostasis, Autophagy
GO Term: Positive Regulation Of Lymphocyte Differentiation -> Biodomain: Immune Response, Cell Cycle, Apoptosis, Proteostasis, Epigenetic
GO Term: Regulation Of T-Helper Cell Differentiation -> Biodomain: Immune Response, Epigenetic, Cell Cycle, Apoptosis, Autophagy
GO Term: Negative Regulation Of T-Helper Cell Differentiation -> Biodomain: Immune Response, Epigenetic, Apoptosis, Cell Cycle, Proteostasis
GO Term: Positive Regulation Of T-Helper Cell Differentiation -> Biodomain: Immune Response, Epigenetic, Cell Cycle, Proteostasis, Apoptosis
GO Term: Regulation Of T-Helper 1 Cell Differentiation -> Biodomain: Immune Response, Epigenetic, Cell Cycle, Autophagy, Apoptosis
GO Term: Negative Regulation Of T-Helper 1 Cell Differentiation -> Biodomain: Immune Response, Apoptosis, Proteostasis, Autophagy, Epigenetic
GO Term: Positive Regulation Of T-Helper 1 Cell Differentiation -> Biodomain: Immune Response, Cell Cycle, Apoptosis, Proteostasis, Epigenetic
GO Term: Negative Regulation Of T-Helper 2 Cell Differentiation -> Biodomain: Immune Response, Apoptosis, Proteostasis, Autophagy, Epigenetic
GO Term: Positive Regulation Of T-Helper 2 Cell Differentiation -> Biodomain: Immune Response, Epigenetic, Autophagy, Oxidative Stress, Proteostasis
GO Term: Regulation Of Melanocyte Differentiation -> Biodomain: Epigenetic, Apoptosis, Proteostasis, Autophagy, Cell Cycle
GO Term: Positive Regulation Of Melanocyte Differentiation -> Biodomain: Cell Cycle, Epigenetic, Proteostasis, Autophagy, Apoptosis
GO Term: Regulation Of Myeloid Cell Differentiation -> Biodomain: Immune Response, Cell Cycle, Apoptosis, Proteostasis, Epigenetic
GO Term: Negative Regulation Of Myeloid Cell Differentiation -> Biodomain: Immune Response, Epigenetic, Cell Cycle, Autophagy, Apoptosis
GO Term: Positive Regulation Of Myeloid Cell Differentiation -> Biodomain: Immune Response, Epigenetic, Cell Cycle, Autophagy, Apoptosis
GO Term: Positive Regulation Of Eosinophil Differentiation -> Biodomain: Immune Response, Apoptosis, Cell Cycle, Autophagy, Proteostasis
GO Term: Regulation Of Erythrocyte Differentiation -> Biodomain: Immune Response, Autophagy, Apoptosis, Proteostasis, Oxidative Stress
GO Term: Negative Regulation Of Erythrocyte Differentiation -> Biodomain: Cell Cycle, Apoptosis, Immune Response, Proteostasis, Epigenetic
GO Term: Positive Regulation Of Erythrocyte Differentiation -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Proteostasis, Autophagy, Immune Response
GO Term: Regulation Of Macrophage Differentiation -> Biodomain: Immune Response, Epigenetic, Autophagy, Apoptosis, Proteostasis
GO Term: Negative Regulation Of Macrophage Differentiation -> Biodomain: Immune Response, Cell Signaling, Apoptosis, Proteostasis, Epigenetic
GO Term: Positive Regulation Of Macrophage Differentiation -> Biodomain: Immune Response, Oxidative Stress, Apoptosis, Autophagy, Vasculature
GO Term: Regulation Of Megakaryocyte Differentiation -> Biodomain: Cell Cycle, Epigenetic, Immune Response, Apoptosis, Structural Stabilization
GO Term: Negative Regulation Of Megakaryocyte Differentiation -> Biodomain: Immune Response, Cell Cycle, Apoptosis, Proteostasis, Vasculature
GO Term: Positive Regulation Of Megakaryocyte Differentiation -> Biodomain: Cell Cycle, Apoptosis, Vasculature, Epigenetic, Lipid Metabolism
GO Term: Regulation Of Monocyte Differentiation -> Biodomain: Immune Response, Epigenetic, Oxidative Stress, Autophagy, Proteostasis
GO Term: Negative Regulation Of Monocyte Differentiation -> Biodomain: Immune Response, Cell Cycle, Epigenetic, Autophagy, Apoptosis
GO Term: Positive Regulation Of Monocyte Differentiation -> Biodomain: Immune Response, Cell Cycle, Apoptosis, Epigenetic, Proteostasis
GO Term: Negative Regulation Of Neutrophil Differentiation -> Biodomain: Immune Response, Cell Cycle, Apoptosis, Epigenetic, Proteostasis
GO Term: Positive Regulation Of Neutrophil Differentiation -> Biodomain: Immune Response, Cell Cycle, Apoptosis, Proteostasis, Autophagy
GO Term: Regulation Of Myoblast Differentiation -> Biodomain: Structural Stabilization, Cell Cycle, Autophagy, Apoptosis, Proteostasis
GO Term: Negative Regulation Of Myoblast Differentiation -> Biodomain: Cell Cycle, Apoptosis, Epigenetic, Proteostasis, Autophagy
GO Term: Positive Regulation Of Myoblast Differentiation -> Biodomain: Cell Cycle, Epigenetic, Proteostasis, Structural Stabilization, Lipid Metabolism
GO Term: Regulation Of Neuron Differentiation -> Biodomain: Synapse, Proteostasis, Structural Stabilization, Autophagy, Cell Cycle
GO Term: Negative Regulation Of Neuron Differentiation -> Biodomain: Synapse, Proteostasis, Structural Stabilization, Autophagy, Apoptosis
GO Term: Positive Regulation Of Neuron Differentiation -> Biodomain: Cell Cycle, Epigenetic, Proteostasis, Synapse, RNA Spliceosome
GO Term: Regulation Of Osteoblast Differentiation -> Biodomain: Epigenetic, Cell Cycle, Metal Binding and Homeostasis, Structural Stabilization, Proteostasis
GO Term: Negative Regulation Of Osteoblast Differentiation -> Biodomain: Cell Cycle, Epigenetic, Proteostasis, Apoptosis, Structural Stabilization
GO Term: Positive Regulation Of Osteoblast Differentiation -> Biodomain: Cell Cycle, Epigenetic, Metal Binding and Homeostasis, Structural Stabilization, Mitochondrial Metabolism
GO Term: Regulation Of Osteoclast Differentiation -> Biodomain: Immune Response, Apoptosis, Cell Cycle, Structural Stabilization, Proteostasis
GO Term: Negative Regulation Of Osteoclast Differentiation -> Biodomain: Immune Response, Apoptosis, Cell Cycle, Proteostasis, Structural Stabilization
GO Term: Positive Regulation Of Osteoclast Differentiation -> Biodomain: Immune Response, Cell Cycle, Apoptosis, Autophagy, Epigenetic
GO Term: Regulation Of Epidermis Development -> Biodomain: Structural Stabilization, Lipid Metabolism, Apoptosis, Cell Cycle, Epigenetic
GO Term: Positive Regulation Of Epidermis Development -> Biodomain: Cell Cycle, Epigenetic, Lipid Metabolism, Autophagy, Proteostasis
GO Term: Regulation Of Glial Cell Differentiation -> Biodomain: Myelination, Immune Response, Structural Stabilization, Synapse, Cell Cycle
GO Term: Negative Regulation Of Glial Cell Differentiation -> Biodomain: Myelination, Synapse, Structural Stabilization, Cell Cycle, Proteostasis
GO Term: Positive Regulation Of Glial Cell Differentiation -> Biodomain: Myelination, Structural Stabilization, Immune Response, Cell Cycle, Epigenetic
GO Term: Ketoreductase Activity -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Oxidative Stress, Metal Binding and Homeostasis, Proteostasis
GO Term: Negative Regulation Of Fatty Acid Biosynthetic Process -> Biodomain: Lipid Metabolism, Proteostasis, Mitochondrial Metabolism, Oxidative Stress, Autophagy
GO Term: Negative Regulation Of Glycogen Biosynthetic Process -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Proteostasis, Autophagy, Oxidative Stress
GO Term: Negative Regulation Of Integrin Biosynthetic Process -> Biodomain: Immune Response, Structural Stabilization, Vasculature, Cell Cycle, Proteostasis
GO Term: Negative Regulation Of Gluconeogenesis -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Oxidative Stress, Proteostasis, Autophagy
GO Term: Positive Regulation Of Gluconeogenesis -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Autophagy, Epigenetic, Proteostasis
GO Term: Positive Regulation Of Fatty Acid Biosynthetic Process -> Biodomain: Lipid Metabolism, Mitochondrial Metabolism, Proteostasis, Autophagy, Oxidative Stress
GO Term: Positive Regulation Of Cilium Assembly -> Biodomain: Structural Stabilization, Proteostasis, Cell Cycle, Lipid Metabolism, Epigenetic
GO Term: Positive Regulation Of Glycogen Biosynthetic Process -> Biodomain: Lipid Metabolism, Mitochondrial Metabolism, Metal Binding and Homeostasis, Epigenetic, Proteostasis
GO Term: Positive Regulation Of Integrin Biosynthetic Process -> Biodomain: Proteostasis, Structural Stabilization, Vasculature, Immune Response, Cell Cycle
GO Term: Positive Regulation Of Translation -> Biodomain: Proteostasis, Mitochondrial Metabolism, Autophagy, Apoptosis, RNA Spliceosome
GO Term: Respiratory Burst After Phagocytosis -> Biodomain: Immune Response, Oxidative Stress, Mitochondrial Metabolism, Proteostasis, Apoptosis
GO Term: Respiratory Burst -> Biodomain: Oxidative Stress, Immune Response, Mitochondrial Metabolism, Proteostasis, Autophagy
GO Term: Positive Regulation Of Protein Catabolic Process -> Biodomain: Proteostasis, Autophagy, Endolysosome, Apoptosis, Oxidative Stress
GO Term: Negative Regulation Of Cyclin-Dependent Protein Serine/Threonine Kinase Activity -> Biodomain: Cell Cycle, Proteostasis, Apoptosis, DNA Repair, Epigenetic
GO Term: Positive Regulation Of Cyclin-Dependent Protein Serine/Threonine Kinase Activity -> Biodomain: Cell Cycle, Proteostasis, Apoptosis, Autophagy, DNA Repair
GO Term: Negative Regulation Of Dna Repair -> Biodomain: DNA Repair, Cell Cycle, Apoptosis, Epigenetic, Proteostasis
GO Term: Positive Regulation Of Dna Repair -> Biodomain: DNA Repair, Epigenetic, Oxidative Stress, Cell Cycle, Apoptosis
GO Term: Positive Regulation Of Dna Replication -> Biodomain: DNA Repair, Cell Cycle, Epigenetic, Structural Stabilization, Proteostasis
GO Term: Positive Regulation Of Epidermal Growth Factor Receptor Signaling Pathway -> Biodomain: Cell Cycle, Immune Response, Apoptosis, Vasculature, Epigenetic
GO Term: Positive Regulation Of Fibroblast Growth Factor Receptor Signaling Pathway -> Biodomain: Cell Cycle, Vasculature, Structural Stabilization, Proteostasis, Immune Response
GO Term: Negative Regulation Of G Protein-Coupled Receptor Signaling Pathway -> Biodomain: Proteostasis, Endolysosome, Synapse, Structural Stabilization, Autophagy
GO Term: Positive Regulation Of G Protein-Coupled Receptor Signaling Pathway -> Biodomain: Synapse, Vasculature, Immune Response, Lipid Metabolism, Epigenetic
GO Term: Negative Regulation Of Notch Signaling Pathway -> Biodomain: Cell Cycle, Apoptosis, Proteostasis, Structural Stabilization, Epigenetic
GO Term: Positive Regulation Of Notch Signaling Pathway -> Biodomain: Immune Response, Apoptosis, Cell Cycle, Proteostasis, Structural Stabilization
GO Term: Negative Regulation Of Toll Signaling Pathway -> Biodomain: Immune Response, Apoptosis, Proteostasis, Endolysosome, Oxidative Stress
GO Term: Positive Regulation Of Toll Signaling Pathway -> Biodomain: Immune Response, Oxidative Stress, Apoptosis, Endolysosome, Proteostasis
GO Term: Negative Regulation Of Action Potential -> Biodomain: Synapse, Metal Binding and Homeostasis, Myelination, Proteostasis, Oxidative Stress
GO Term: Positive Regulation Of Action Potential -> Biodomain: Synapse, Structural Stabilization, Proteostasis, Lipid Metabolism, Mitochondrial Metabolism
GO Term: Positive Regulation Of Adenylate Cyclase Activity -> Biodomain: Synapse, Immune Response, Vasculature, Autophagy, Cell Cycle
GO Term: Regulation Of Angiogenesis -> Biodomain: Vasculature, Structural Stabilization, Immune Response, Proteostasis, Apoptosis
GO Term: Positive Regulation Of Angiogenesis -> Biodomain: Vasculature, Immune Response, Cell Cycle, Apoptosis, Oxidative Stress
GO Term: Negative Regulation Of Asymmetric Cell Division -> Biodomain: Cell Cycle, Proteostasis, Autophagy, Apoptosis, Epigenetic
GO Term: Positive Regulation Of Autophagosome Size -> Biodomain: Autophagy, Proteostasis, Endolysosome, Mitochondrial Metabolism, Oxidative Stress
GO Term: Positive Regulation Of Axon Extension -> Biodomain: Synapse, Structural Stabilization, Proteostasis, Autophagy, Cell Cycle
GO Term: Negative Regulation Of Blood Pressure -> Biodomain: Vasculature, Lipid Metabolism, Oxidative Stress, Immune Response, Proteostasis
GO Term: Positive Regulation Of Blood Pressure -> Biodomain: Vasculature, Oxidative Stress, Lipid Metabolism, Immune Response, Structural Stabilization
GO Term: Positive Regulation Of Ossification -> Biodomain: Structural Stabilization, Metal Binding and Homeostasis, Cell Cycle, Vasculature, Epigenetic
GO Term: Negative Regulation Of Bone Resorption -> Biodomain: Immune Response, Apoptosis, Structural Stabilization, Endolysosome, Proteostasis
GO Term: Positive Regulation Of Bone Resorption -> Biodomain: Apoptosis, Immune Response, Oxidative Stress, Mitochondrial Metabolism, Proteostasis
GO Term: Positive Regulation Of Cell Adhesion -> Biodomain: Structural Stabilization, Vasculature, Immune Response, Cell Cycle, Proteostasis
GO Term: Negative Regulation Of Cell Cycle -> Biodomain: Cell Cycle, Apoptosis, Proteostasis, Autophagy, DNA Repair
GO Term: Positive Regulation Of Cell Cycle -> Biodomain: Cell Cycle, DNA Repair, Apoptosis, Epigenetic, Proteostasis
GO Term: Negative Regulation Of Cell Size -> Biodomain: Apoptosis, Autophagy, Proteostasis, Endolysosome, Cell Cycle
GO Term: Positive Regulation Of Cell Size -> Biodomain: Structural Stabilization, Cell Cycle, Proteostasis, Lipid Metabolism, Autophagy
GO Term: Negative Regulation Of Cell Volume -> Biodomain: Structural Stabilization, Apoptosis, Metal Binding and Homeostasis, Endolysosome, Autophagy
GO Term: Positive Regulation Of Cell Volume -> Biodomain: Structural Stabilization, Metal Binding and Homeostasis, Endolysosome, Cell Cycle, Mitochondrial Metabolism
GO Term: Negative Regulation Of Intestinal Cholesterol Absorption -> Biodomain: Lipid Metabolism, Endolysosome, Proteostasis, Autophagy, Vasculature
GO Term: Positive Regulation Of Intestinal Cholesterol Absorption -> Biodomain: Lipid Metabolism, Vasculature, Endolysosome, Mitochondrial Metabolism, Proteostasis
GO Term: Negative Regulation Of Endocytosis -> Biodomain: Endolysosome, Proteostasis, Autophagy, APP Metabolism, Lipid Metabolism
GO Term: Positive Regulation Of Endocytosis -> Biodomain: Endolysosome, Proteostasis, Autophagy, APP Metabolism, Lipid Metabolism
GO Term: Positive Regulation Of Wnt Signaling Pathway, Calcium Modulating Pathway -> Biodomain: Synapse, Structural Stabilization, Oxidative Stress, Cell Cycle, Apoptosis
GO Term: Negative Regulation Of Gene Expression, Epigenetic -> Biodomain: Epigenetic, DNA Repair, Structural Stabilization, Cell Cycle, Immune Response
GO Term: Transcription Initiation-Coupled Chromatin Remodeling -> Biodomain: Epigenetic, DNA Repair, Cell Cycle, Proteostasis, Structural Stabilization
GO Term: Negative Regulation Of Glycogen Catabolic Process -> Biodomain: Lipid Metabolism, Mitochondrial Metabolism, Proteostasis, Autophagy, Oxidative Stress
GO Term: Positive Regulation Of Glycogen Catabolic Process -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Proteostasis, Autophagy, Oxidative Stress
GO Term: Negative Regulation Of Glycolytic Process -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Immune Response, Autophagy, Apoptosis
GO Term: Positive Regulation Of Glycolytic Process -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Lipid Metabolism, Epigenetic, Cell Cycle
GO Term: Negative Regulation Of Heart Contraction -> Biodomain: Vasculature, Metal Binding and Homeostasis, Mitochondrial Metabolism, Proteostasis, Oxidative Stress
GO Term: Positive Regulation Of Heart Contraction -> Biodomain: Mitochondrial Metabolism, Metal Binding and Homeostasis, Lipid Metabolism, Structural Stabilization, Epigenetic
GO Term: Negative Regulation Of Innate Immune Response -> Biodomain: Immune Response, Apoptosis, Autophagy, Proteostasis, Endolysosome
GO Term: Negative Regulation Of Isotype Switching -> Biodomain: Immune Response, Proteostasis, Apoptosis, Epigenetic, Autophagy
GO Term: Positive Regulation Of Isotype Switching -> Biodomain: Immune Response, Epigenetic, DNA Repair, Cell Cycle, Apoptosis
GO Term: Negative Regulation Of Lipid Metabolic Process -> Biodomain: Lipid Metabolism, Mitochondrial Metabolism, Autophagy, Proteostasis, Oxidative Stress
GO Term: Positive Regulation Of Lipid Metabolic Process -> Biodomain: Lipid Metabolism, Mitochondrial Metabolism, Autophagy, Proteostasis, Oxidative Stress
GO Term: Negative Regulation Of Meiotic Nuclear Division -> Biodomain: Cell Cycle, Epigenetic, DNA Repair, Proteostasis, Apoptosis
GO Term: Positive Regulation Of Meiotic Nuclear Division -> Biodomain: Cell Cycle, Epigenetic, DNA Repair, Structural Stabilization, Autophagy
GO Term: Negative Regulation Of Membrane Potential -> Biodomain: Synapse, Endolysosome, Vasculature, Apoptosis, Mitochondrial Metabolism
GO Term: Positive Regulation Of Membrane Potential -> Biodomain: Synapse, Structural Stabilization, Ion Homeostasis, Proteostasis, Lipid Metabolism
GO Term: Negative Regulation Of Mitotic Nuclear Division -> Biodomain: Cell Cycle, Apoptosis, DNA Repair, Proteostasis, Autophagy
GO Term: Positive Regulation Of Mitotic Nuclear Division -> Biodomain: Cell Cycle, DNA Repair, Apoptosis, Proteostasis, Epigenetic
GO Term: Negative Regulation Of Mitotic Metaphase/Anaphase Transition -> Biodomain: Cell Cycle, Proteostasis, Apoptosis, Structural Stabilization, DNA Repair
GO Term: Positive Regulation Of Mitotic Metaphase/Anaphase Transition -> Biodomain: Cell Cycle, Proteostasis, Apoptosis, DNA Repair, Epigenetic
GO Term: Negative Regulation Of Striated Muscle Tissue Development -> Biodomain: Structural Stabilization, Apoptosis, Cell Cycle, Autophagy, Epigenetic
GO Term: Positive Regulation Of Striated Muscle Tissue Development -> Biodomain: Structural Stabilization, Cell Cycle, Proteostasis, Mitochondrial Metabolism, Lipid Metabolism
GO Term: Ph Reduction -> Biodomain: Endolysosome, Autophagy, Proteostasis, Mitochondrial Metabolism, Oxidative Stress
GO Term: Ph Elevation -> Biodomain: Endolysosome, Oxidative Stress, Proteostasis, Autophagy, Mitochondrial Metabolism
GO Term: Regulation Of Protein Kinase Activity -> Biodomain: Proteostasis, Cell Cycle, Apoptosis, Oxidative Stress, Immune Response
GO Term: Positive Regulation Of Protein Kinase Activity -> Biodomain: Proteostasis, Apoptosis, Autophagy, Cell Cycle, DNA Repair
GO Term: Negative Regulation Of Proteolysis -> Biodomain: Proteostasis, Autophagy, Endolysosome, Apoptosis, Immune Response
GO Term: Positive Regulation Of Proteolysis -> Biodomain: Proteostasis, Autophagy, Endolysosome, Apoptosis, Oxidative Stress
GO Term: Negative Regulation Of Single Stranded Viral Rna Replication Via Double Stranded Dna Intermediate -> Biodomain: Immune Response, DNA Repair, Apoptosis, Autophagy, Proteostasis
GO Term: Positive Regulation Of Single Stranded Viral Rna Replication Via Double Stranded Dna Intermediate -> Biodomain: Immune Response, DNA Repair, Epigenetic, Proteostasis, Apoptosis
GO Term: Negative Regulation Of Sister Chromatid Cohesion -> Biodomain: Cell Cycle, Structural Stabilization, Proteostasis, DNA Repair, Epigenetic
GO Term: Positive Regulation Of Sister Chromatid Cohesion -> Biodomain: Cell Cycle, DNA Repair, Structural Stabilization, Proteostasis, Epigenetic
GO Term: Negative Regulation Of Smoothened Signaling Pathway -> Biodomain: Proteostasis, Cell Cycle, Endolysosome, Autophagy, Epigenetic
GO Term: Positive Regulation Of Smoothened Signaling Pathway -> Biodomain: Signal Transduction, Developmental Processes, Cell Growth and Proliferation, Regulation of Cellular Processes, Intracellular Signaling
GO Term: Positive Regulation Of Synaptic Assembly At Neuromuscular Junction -> Biodomain: Synapse, Structural Stabilization, Proteostasis, Autophagy, Endolysosome
GO Term: Negative Regulation Of Dna-Templated Transcription -> Biodomain: Epigenetic, Cell Cycle, DNA Repair, Proteostasis, Autophagy
GO Term: Positive Regulation Of Dna-Templated Transcription -> Biodomain: Epigenetic, Cell Cycle, Immune Response, DNA Repair, Oxidative Stress
GO Term: Positive Regulation Of Rna Polymerase Ii Transcription Preinitiation Complex Assembly -> Biodomain: Epigenetic, DNA Repair, Proteostasis, Cell Cycle, Immune Response
GO Term: Negative Regulation Of Translational Elongation -> Biodomain: Proteostasis, Autophagy, Apoptosis, Oxidative Stress, RNA Spliceosome
GO Term: Positive Regulation Of Translational Elongation -> Biodomain: Proteostasis, Mitochondrial Metabolism, Cell Cycle, Epigenetic, Autophagy
GO Term: Positive Regulation Of Translational Fidelity -> Biodomain: Proteostasis, Autophagy, Oxidative Stress, Mitochondrial Metabolism, Endolysosome
