Running with TEMP=0.5, sub_array_index=10
Changed working directory to: /panfs/compbio/users/xran2/wen/JX/02-AI-BioDomain/git_folder
Processing array index 10: rows 9000 to 9999
GO Term: Cytosolic Ribosome Assembly -> Biodomain: Structural Stabilization, Proteostasis, RNA Spliceosome, Cell Cycle, Metal Binding and Homeostasis
GO Term: 'De Novo' Gdp-L-Fucose Biosynthetic Process -> Biodomain: Lipid Metabolism, Proteostasis, Immune Response, Autophagy, Endolysosome
GO Term: Gdp-L-Fucose Salvage -> Biodomain: Lipid Metabolism, Mitochondrial Metabolism, Proteostasis, Autophagy, Cell Cycle
GO Term: L-Fucose Catabolic Process -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Endolysosome, Autophagy, Immune Response
GO Term: Gdp-4-Dehydro-D-Rhamnose Reductase Activity -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Lipid Metabolism, Immune Response, Proteostasis
GO Term: Thiamine Diphosphate Metabolic Process -> Biodomain: Mitochondrial Metabolism, Proteostasis, Oxidative Stress, Metal Binding and Homeostasis, Lipid Metabolism
GO Term: Vitamin D Metabolic Process -> Biodomain: Lipid Metabolism, Mitochondrial Metabolism, Metal Binding and Homeostasis, Immune Response, Proteostasis
GO Term: Vitamin E Metabolic Process -> Biodomain: Oxidative Stress, Lipid Metabolism, Proteostasis, Mitochondrial Metabolism, Autophagy
GO Term: Menaquinone Catabolic Process -> Biodomain: Lipid Metabolism, Mitochondrial Metabolism, Oxidative Stress, Endolysosome, Proteostasis
GO Term: Vitamin D Biosynthetic Process -> Biodomain: Lipid Metabolism, Mitochondrial Metabolism, Oxidative Stress, Metal Binding and Homeostasis, Proteostasis
GO Term: Vitamin D Catabolic Process -> Biodomain: Lipid Metabolism, Mitochondrial Metabolism, Metal Binding and Homeostasis, Oxidative Stress, Apoptosis
GO Term: Vitamin K Biosynthetic Process -> Biodomain: Lipid Metabolism, Mitochondrial Metabolism, Oxidative Stress, Proteostasis, Metal Binding and Homeostasis
GO Term: Vitamin K Metabolic Process -> Biodomain: Lipid Metabolism, Vasculature, Metal Binding and Homeostasis, Proteostasis, Oxidative Stress
GO Term: Phylloquinone Metabolic Process -> Biodomain: Lipid Metabolism, Oxidative Stress, Metal Binding and Homeostasis, Proteostasis, Mitochondrial Metabolism
GO Term: Phylloquinone Catabolic Process -> Biodomain: Lipid Metabolism, Metal Binding and Homeostasis, Vasculature, Endolysosome, Apoptosis
GO Term: Vitamin K Catabolic Process -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Oxidative Stress, Endolysosome, Proteostasis
GO Term: Chemokine Receptor Binding -> Biodomain: Immune Response, Vasculature, Apoptosis, Proteostasis, Endolysosome
GO Term: Paraspeckles -> Biodomain: Epigenetic, RNA Spliceosome, Cell Cycle, DNA Repair, Proteostasis
GO Term: Sarcolemma -> Biodomain: Structural Stabilization, Synapse, Proteostasis, Metal Binding and Homeostasis, Mitochondrial Metabolism
GO Term: Regulation Of Membrane Potential -> Biodomain: Synapse, Oxidative Stress, Proteostasis, Mitochondrial Metabolism, Apoptosis
GO Term: Sphingosine-1-Phosphate Phosphatase Activity -> Biodomain: Lipid Metabolism, Apoptosis, Immune Response, Cell Cycle, Endolysosome
GO Term: Histone Binding -> Biodomain: Epigenetic, Proteostasis, Cell Cycle, Metal Binding and Homeostasis, DNA Repair
GO Term: Biogenic Amine Biosynthetic Process -> Biodomain: Synapse, Mitochondrial Metabolism, Metal Binding and Homeostasis, Immune Response, Oxidative Stress
GO Term: Thyroid Hormone Metabolic Process -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Oxidative Stress, Metal Binding and Homeostasis, Proteostasis
GO Term: Thyroid Hormone Catabolic Process -> Biodomain: Lipid Metabolism, Metal Binding and Homeostasis, Mitochondrial Metabolism, Oxidative Stress, Autophagy
GO Term: Nuclear Inclusion Body -> Biodomain: Proteostasis, Autophagy, Apoptosis, Endolysosome, Oxidative Stress
GO Term: Extrinsic Component Of Endoplasmic Reticulum Membrane -> Biodomain: Proteostasis, Lipid Metabolism, Structural Stabilization, Endolysosome, Oxidative Stress
GO Term: Cristae Formation -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Proteostasis, Autophagy, Apoptosis
GO Term: Taurine Biosynthetic Process -> Biodomain: Lipid Metabolism, Mitochondrial Metabolism, Oxidative Stress, Metal Binding and Homeostasis, Proteostasis
GO Term: Carnitine Catabolic Process -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Oxidative Stress, Proteostasis, Autophagy
GO Term: Epinephrine Metabolic Process -> Biodomain: Mitochondrial Metabolism, Synapse, Oxidative Stress, Vasculature, Immune Response
GO Term: Norepinephrine Metabolic Process -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Oxidative Stress, Autophagy, Proteostasis
GO Term: Dopamine Biosynthetic Process -> Biodomain: Synapse, Mitochondrial Metabolism, Metal Binding and Homeostasis, Proteostasis, Oxidative Stress
GO Term: Dopamine Metabolic Process -> Biodomain: Neurotransmitter, Metabolism, Biosynthesis, Signal Transduction, Cell Signaling
GO Term: Epinephrine Biosynthetic Process -> Biodomain: Mitochondrial Metabolism, Metal Binding and Homeostasis, Oxidative Stress, Proteostasis, Epigenetic
GO Term: Dopamine Catabolic Process -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Synapse, Metal Binding and Homeostasis, Proteostasis
GO Term: Norepinephrine Biosynthetic Process -> Biodomain: Synapse, Mitochondrial Metabolism, Metal Binding and Homeostasis, Oxidative Stress, Proteostasis
GO Term: Catecholamine Biosynthetic Process -> Biodomain: Synapse, Oxidative Stress, Metal Binding and Homeostasis, Mitochondrial Metabolism, Proteostasis
GO Term: Catecholamine Catabolic Process -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Proteostasis, Autophagy, Apoptosis
GO Term: Choline Catabolic Process -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Epigenetic, Autophagy, Oxidative Stress
GO Term: Serotonin Biosynthetic Process -> Biodomain: Mitochondrial Metabolism, Synapse, Lipid Metabolism, Oxidative Stress, Proteostasis
GO Term: Serotonin Metabolic Process -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Synapse, Immune Response, Lipid Metabolism
GO Term: Indole Metabolic Process -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Synapse, Proteostasis, Oxidative Stress
GO Term: Melanin Biosynthetic Process -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Proteostasis, Lipid Metabolism, Metal Binding and Homeostasis
GO Term: Pigment Metabolic Process -> Biodomain: Lipid Metabolism, Metal Binding and Homeostasis, Oxidative Stress, Immune Response, Epigenetic
GO Term: Hormone Metabolic Process -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Proteostasis, Endolysosome, Oxidative Stress
GO Term: Hormone Biosynthetic Process -> Biodomain: Lipid Metabolism, Mitochondrial Metabolism, Proteostasis, Metal Binding and Homeostasis, Epigenetic
GO Term: Hormone Catabolic Process -> Biodomain: Mitochondrial Metabolism, Proteostasis, Endolysosome, Autophagy, Lipid Metabolism
GO Term: Progesterone Metabolic Process -> Biodomain: Lipid Metabolism, Mitochondrial Metabolism, Oxidative Stress, Apoptosis, Autophagy
GO Term: L-Arginine Biosynthetic Process Via Ornithine -> Biodomain: Mitochondrial Metabolism, Proteostasis, Lipid Metabolism, Autophagy, Oxidative Stress
GO Term: Photoreceptor Cell Development -> Biodomain: Synapse, Structural Stabilization, Cell Cycle, Mitochondrial Metabolism, Proteostasis
GO Term: Eye Photoreceptor Cell Development -> Biodomain: Synapse, Structural Stabilization, Proteostasis, Endolysosome, Autophagy
GO Term: Melanosome -> Biodomain: Oxidative Stress, Metal Binding and Homeostasis, Proteostasis, Immune Response, Lipid Metabolism
GO Term: Ear Morphogenesis -> Biodomain: Structural Stabilization, Vasculature, Synapse, Myelination, Proteostasis
GO Term: Inner Ear Morphogenesis -> Biodomain: Structural Stabilization, Vasculature, Mitochondrial Metabolism, Proteostasis, Synapse
GO Term: Outer Ear Morphogenesis -> Biodomain: Structural Stabilization, Vasculature, Mitochondrial Metabolism, Autophagy, Apoptosis
GO Term: Middle Ear Morphogenesis -> Biodomain: Structural Stabilization, Cell Cycle, Vasculature, Proteostasis, Epigenetic
GO Term: Odontogenesis Of Dentin-Containing Tooth -> Biodomain: Structural Stabilization, Cell Cycle, Apoptosis, Proteostasis, Metal Binding and Homeostasis
GO Term: Odontogenesis -> Biodomain: Structural Stabilization, Mitochondrial Metabolism, Apoptosis, Cell Cycle, Metal Binding and Homeostasis
GO Term: Regulation Of Eye Photoreceptor Cell Development -> Biodomain: Synapse, Structural Stabilization, Cell Cycle, Proteostasis, Autophagy
GO Term: Regulation Of Odontogenesis -> Biodomain: Structural Stabilization, Cell Cycle, Apoptosis, Proteostasis, Epigenetic
GO Term: Positive Regulation Of Odontogenesis -> Biodomain: Cell Cycle, Metal Binding and Homeostasis, Epigenetic, Structural Stabilization, Apoptosis
GO Term: Regulation Of Odontogenesis Of Dentin-Containing Tooth -> Biodomain: Structural Stabilization, Cell Cycle, Epigenetic, Metal Binding and Homeostasis, DNA Repair
GO Term: Positive Regulation Of Odontogenesis Of Dentin-Containing Tooth -> Biodomain: Structural Stabilization, Cell Cycle, Metal Binding and Homeostasis, Apoptosis, Proteostasis
GO Term: Negative Regulation Of Odontogenesis Of Dentin-Containing Tooth -> Biodomain: Apoptosis, Cell Cycle, Structural Stabilization, Epigenetic, Proteostasis
GO Term: Mechanoreceptor Differentiation -> Biodomain: Synapse, Structural Stabilization, Proteostasis, Cell Cycle, Autophagy
GO Term: Inner Ear Auditory Receptor Cell Differentiation -> Biodomain: Synapse, Structural Stabilization, Proteostasis, Cell Cycle, Epigenetic
GO Term: Gamma-Delta T Cell Differentiation -> Biodomain: Immune Response, Cell Cycle, Apoptosis, Proteostasis, Endolysosome
GO Term: Detection Of Bacterial Lipoprotein -> Biodomain: Immune Response, Oxidative Stress, Endolysosome, Apoptosis, Proteostasis
GO Term: Detection Of Triacyl Bacterial Lipopeptide -> Biodomain: Immune Response, Endolysosome, Proteostasis, Lipid Metabolism, Oxidative Stress
GO Term: Detection Of Diacyl Bacterial Lipopeptide -> Biodomain: Immune Response, Endolysosome, Lipid Metabolism, Oxidative Stress, Autophagy
GO Term: Triacyl Lipopeptide Binding -> Biodomain: Immune Response, Lipid Metabolism, Proteostasis, Endolysosome, Oxidative Stress
GO Term: Diacyl Lipopeptide Binding -> Biodomain: Immune Response, Proteostasis, Lipid Metabolism, Endolysosome, Autophagy
GO Term: Aspartic Endopeptidase Activity, Intramembrane Cleaving -> Biodomain: Proteostasis, Endolysosome, Autophagy, APP Metabolism, Synapse
GO Term: Regulation Of Tyrosine Phosphorylation Of Stat Protein -> Biodomain: Immune Response, Proteostasis, Apoptosis, Epigenetic, Cell Cycle
GO Term: Positive Regulation Of Tyrosine Phosphorylation Of Stat Protein -> Biodomain: Immune Response, Cell Cycle, Apoptosis, Proteostasis, Epigenetic
GO Term: Negative Regulation Of Tyrosine Phosphorylation Of Stat Protein -> Biodomain: Immune Response, Apoptosis, Proteostasis, Cell Cycle, Autophagy
GO Term: Benzene-Containing Compound Metabolic Process -> Biodomain: Lipid Metabolism, Mitochondrial Metabolism, Oxidative Stress, Autophagy, Apoptosis
GO Term: Hyperosmotic Salinity Response -> Biodomain: Oxidative Stress, Proteostasis, Apoptosis, Structural Stabilization, Mitochondrial Metabolism
GO Term: Hemoglobin Biosynthetic Process -> Biodomain: Mitochondrial Metabolism, Metal Binding and Homeostasis, Proteostasis, Vasculature, Lipid Metabolism
GO Term: Response To Hydrogen Peroxide -> Biodomain: Oxidative Stress, Mitochondrial Metabolism, Proteostasis, Apoptosis, Autophagy
GO Term: Neuron Maturation -> Biodomain: Synapse, Proteostasis, Structural Stabilization, Autophagy, Mitochondrial Metabolism
GO Term: Myelination -> Biodomain: Myelination, Structural Stabilization, Synapse, Lipid Metabolism, Proteostasis
GO Term: Superoxide Anion Generation -> Biodomain: Oxidative Stress, Immune Response, Mitochondrial Metabolism, Apoptosis, Autophagy
GO Term: Mcm Complex -> Biodomain: DNA Repair, Cell Cycle, Epigenetic, Structural Stabilization, Proteostasis
GO Term: Pteridine-Containing Compound Metabolic Process -> Biodomain: Mitochondrial Metabolism, DNA Repair, Epigenetic, Cell Cycle, Oxidative Stress
GO Term: Pteridine-Containing Compound Biosynthetic Process -> Biodomain: Mitochondrial Metabolism, Epigenetic, DNA Repair, Metal Binding and Homeostasis, Oxidative Stress
GO Term: Hormone Binding -> Biodomain: Proteostasis, Lipid Metabolism, Mitochondrial Metabolism, Oxidative Stress, Epigenetic
GO Term: Nls-Dependent Protein Nuclear Import Complex -> Biodomain: Proteostasis, Structural Stabilization, Epigenetic, DNA Repair, Cell Cycle
GO Term: Rna Nuclear Export Complex -> Biodomain: RNA Spliceosome, Proteostasis, Structural Stabilization, Cell Cycle, Autophagy
GO Term: Insulin-Like Growth Factor Ternary Complex -> Biodomain: Cell Cycle, Proteostasis, Epigenetic, Autophagy, Lipid Metabolism
GO Term: Insulin-Like Growth Factor Binary Complex -> Biodomain: Proteostasis, Cell Cycle, Autophagy, Apoptosis, Vasculature
GO Term: Immunoglobulin Complex, Circulating -> Biodomain: Immune Response, Vasculature, Proteostasis, Endolysosome, Apoptosis
GO Term: Retinol Metabolic Process -> Biodomain: Lipid Metabolism, Oxidative Stress, Immune Response, Vasculature, Epigenetic
GO Term: Retinoic Acid Metabolic Process -> Biodomain: Lipid Metabolism, Mitochondrial Metabolism, Oxidative Stress, Epigenetic, Autophagy
GO Term: Retinal Metabolic Process -> Biodomain: Lipid Metabolism, Mitochondrial Metabolism, Oxidative Stress, Proteostasis, Autophagy
GO Term: Lipid Phosphatase Activity -> Biodomain: Lipid Metabolism, Proteostasis, Endolysosome, Mitochondrial Metabolism, Autophagy
GO Term: Phosphoric Ester Hydrolase Activity -> Biodomain: Lipid Metabolism, Mitochondrial Metabolism, Cell Cycle, Autophagy, Proteostasis
GO Term: Specific Granule -> Biodomain: Immune Response, Endolysosome, Proteostasis, Autophagy, Oxidative Stress
GO Term: Azurophil Granule -> Biodomain: Endolysosome, Immune Response, Proteostasis, Oxidative Stress, Autophagy
GO Term: Chromaffin Granule -> Biodomain: Proteostasis, Mitochondrial Metabolism, Endolysosome, Lipid Metabolism, Oxidative Stress
GO Term: Chromaffin Granule Membrane -> Biodomain: Vasculature, Metal Binding and Homeostasis, Synapse, Proteostasis, Structural Stabilization
GO Term: Germinal Vesicle -> Biodomain: Cell Cycle, Structural Stabilization, DNA Repair, Epigenetic, Autophagy
GO Term: Peptide Deformylase Activity -> Biodomain: Proteostasis, Mitochondrial Metabolism, Autophagy, Metal Binding and Homeostasis, Endolysosome
GO Term: Glycogen Granule -> Biodomain: Autophagy, Proteostasis, Mitochondrial Metabolism, Endolysosome, Lipid Metabolism
GO Term: Zymogen Granule -> Biodomain: Proteostasis, Endolysosome, Autophagy, Lipid Metabolism, Structural Stabilization
GO Term: Zymogen Granule Membrane -> Biodomain: Proteostasis, Structural Stabilization, Lipid Metabolism, Endolysosome, Autophagy
GO Term: Antigen Processing And Presentation Of Exogenous Peptide Antigen Via Mhc Class I -> Biodomain: Immune Response, Endolysosome, Autophagy, Proteostasis, Apoptosis
GO Term: Homeostatic Process -> Biodomain: Proteostasis, Metal Binding and Homeostasis, Lipid Metabolism, Autophagy, Mitochondrial Metabolism
GO Term: Glucose Homeostasis -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Oxidative Stress, Proteostasis, Autophagy
GO Term: Response To Starvation -> Biodomain: Autophagy, Proteostasis, Mitochondrial Metabolism, Lipid Metabolism, Oxidative Stress
GO Term: Behavioral Response To Starvation -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Autophagy, Proteostasis, Oxidative Stress
GO Term: Fear Response -> Biodomain: Synapse, Structural Stabilization, Apoptosis, Immune Response, Oxidative Stress
GO Term: Lamellar Body -> Biodomain: Lipid Metabolism, Endolysosome, Proteostasis, Structural Stabilization, Autophagy
GO Term: Riboflavin Reductase (Nadph) Activity -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Lipid Metabolism, Proteostasis, Autophagy
GO Term: Peptide Antigen Binding -> Biodomain: Immune Response, Proteostasis, Endolysosome, Autophagy, Apoptosis
GO Term: T Cell Receptor Binding -> Biodomain: Immune Response, Synapse, Apoptosis, Cell Cycle, Autophagy
GO Term: Cd4 Receptor Binding -> Biodomain: Immune Response, Synapse, Endolysosome, Apoptosis, Proteostasis
GO Term: Cd8 Receptor Binding -> Biodomain: Immune Response, Apoptosis, Endolysosome, Proteostasis, Autophagy
GO Term: Mhc Class I Protein Complex -> Biodomain: Immune Response, Proteostasis, Endolysosome, Apoptosis, Cell Cycle
GO Term: Mhc Class Ii Protein Complex -> Biodomain: Immune Response, Proteostasis, Endolysosome, Lipid Metabolism, Autophagy
GO Term: Photoreceptor Outer Segment Membrane -> Biodomain: Structural Stabilization, Lipid Metabolism, Endolysosome, Proteostasis, Autophagy
GO Term: Atpase-Coupled Ion Transmembrane Transporter Activity -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Proteostasis, Metal Binding and Homeostasis, Autophagy
GO Term: Atpase-Coupled Transmembrane Transporter Activity -> Biodomain: Mitochondrial Metabolism, Proteostasis, Autophagy, Lipid Metabolism, Endolysosome
GO Term: Chylomicron -> Biodomain: Lipid Metabolism, Endolysosome, Vasculature, Structural Stabilization, Proteostasis
GO Term: Mating Plug Formation -> Biodomain: Structural Stabilization, Immune Response, Lipid Metabolism, Proteostasis, Autophagy
GO Term: Mast Cell Granule -> Biodomain: Immune Response, Proteostasis, Vasculature, Endolysosome, Apoptosis
GO Term: Cellular Response To Water Deprivation -> Biodomain: Oxidative Stress, Proteostasis, Autophagy, Apoptosis, Lipid Metabolism
GO Term: Cholesterol Homeostasis -> Biodomain: Lipid Metabolism, Structural Stabilization, Endolysosome, Mitochondrial Metabolism, Proteostasis
GO Term: Hair Cycle -> Biodomain: Cell Cycle, Apoptosis, Proteostasis, Structural Stabilization, Autophagy
GO Term: Regulation Of Hair Cycle -> Biodomain: Cell Cycle, Autophagy, Proteostasis, Oxidative Stress, Mitochondrial Metabolism
GO Term: Positive Regulation Of Hair Cycle -> Biodomain: Cell Cycle, Apoptosis, Autophagy, Vasculature, Epigenetic
GO Term: Negative Regulation Of Hair Cycle -> Biodomain: Structural Stabilization, Apoptosis, Proteostasis, Autophagy, Epigenetic
GO Term: Actomyosin -> Biodomain: Structural Stabilization, Cell Cycle, Vasculature, Apoptosis, Immune Response
GO Term: Mitochondrial Nucleoid -> Biodomain: Mitochondrial Metabolism, DNA Repair, Oxidative Stress, Apoptosis, Metal Binding and Homeostasis
GO Term: Mhc Class Ii Protein Binding, Via Antigen Binding Groove -> Biodomain: Immune Response, Endolysosome, Proteostasis, Structural Stabilization, Autophagy
GO Term: Regulation Of Cell Fate Specification -> Biodomain: Cell Cycle, Apoptosis, Epigenetic, DNA Repair, Proteostasis
GO Term: Positive Regulation Of Cell Fate Specification -> Biodomain: Epigenetic, Cell Cycle, RNA Spliceosome, Autophagy, Proteostasis
GO Term: Negative Regulation Of Mesodermal Cell Fate Specification -> Biodomain: Epigenetic, Cell Cycle, Structural Stabilization, Autophagy, Lipid Metabolism
GO Term: Regulation Of Endodermal Cell Fate Specification -> Biodomain: Developmental Biology, Transcriptional Regulation, Stem Cell Biology, Epigenetic, Cell Cycle
GO Term: Negative Regulation Of Endodermal Cell Fate Specification -> Biodomain: Epigenetic, Cell Cycle, RNA Spliceosome, Autophagy, Proteostasis
GO Term: Negative Regulation Of Ectodermal Cell Fate Specification -> Biodomain: Cell Cycle, Epigenetic, Structural Stabilization, Synapse, Autophagy
GO Term: Auditory Receptor Cell Fate Specification -> Biodomain: Epigenetic, Synapse, Cell Cycle, Structural Stabilization, Autophagy
GO Term: Auditory Receptor Cell Fate Determination -> Biodomain: Synapse, Structural Stabilization, Cell Cycle, Epigenetic, Proteostasis
GO Term: Regulation Of Inner Ear Auditory Receptor Cell Fate Specification -> Biodomain: Epigenetic, Cell Cycle, Structural Stabilization, Proteostasis, Autophagy
GO Term: Retinal Cone Cell Differentiation -> Biodomain: Synapse, Structural Stabilization, Vasculature, Lipid Metabolism, Proteostasis
GO Term: Muscle Cell Differentiation -> Biodomain: Structural Stabilization, Cell Cycle, Proteostasis, Autophagy, Apoptosis
GO Term: Muscle Cell Fate Commitment -> Biodomain: Epigenetic, Cell Cycle, RNA Spliceosome, Structural Stabilization, Proteostasis
GO Term: Muscle Cell Fate Specification -> Biodomain: Cell Cycle, Structural Stabilization, Proteostasis, Mitochondrial Metabolism, Autophagy
GO Term: Ovulation Cycle -> Biodomain: Cell Cycle, Structural Stabilization, Immune Response, Apoptosis, Lipid Metabolism
GO Term: Follicle-Stimulating Hormone Signaling Pathway -> Biodomain: Cell Cycle, Apoptosis, Epigenetic, Immune Response, Proteostasis
GO Term: Luteinizing Hormone Signaling Pathway -> Biodomain: Lipid Metabolism, Mitochondrial Metabolism, Apoptosis, Cell Cycle, Epigenetic
GO Term: Progesterone Secretion -> Biodomain: Steroid Metabolism, Lipid Metabolism, Reproductive Processes, Cell Signaling, Cellular Secretion
