Changed working directory to: /panfs/compbio/users/xran2/wen/JX/02-AI-BioDomain/git_folder
Processing array index 7: rows 6000 to 6999
GO Term: Neuronal-Glial Interaction Involved In Hindbrain Glial-Mediated Radial Cell Migration -> Biodomain: Synapse, Structural Stabilization, Myelination, Cell Cycle, Autophagy
GO Term: Central Nervous System Vasculogenesis -> Biodomain: Vasculature, Structural Stabilization, Lipid Metabolism, Cell Cycle, Proteostasis
GO Term: Central Nervous System Myelination -> Biodomain: Myelination, Structural Stabilization, Lipid Metabolism, Cell Cycle, Synapse
GO Term: Myelination In Peripheral Nervous System -> Biodomain: Myelination, Lipid Metabolism, Structural Stabilization, Synapse, Cell Cycle
GO Term: Pallium Cell Proliferation In Forebrain -> Biodomain: Cell Cycle, Structural Stabilization, Epigenetic, DNA Repair, Synapse
GO Term: Lateral Ganglionic Eminence Cell Proliferation -> Biodomain: Cell Cycle, Neurodevelopment, Neurogenesis, CNS Development, Neural Development
GO Term: Interkinetic Nuclear Migration -> Biodomain: Cell Cycle, Structural Stabilization, Mitochondrial Metabolism, Proteostasis, Autophagy
GO Term: Tangential Migration From The Subventricular Zone To The Olfactory Bulb -> Biodomain: Structural Stabilization, Synapse, Epigenetic, Autophagy, Cell Cycle
GO Term: Telencephalon Cell Migration -> Biodomain: Structural Stabilization, Vasculature, Synapse, Cell Cycle, Proteostasis
GO Term: Metencephalon Development -> Biodomain: Synapse, Structural Stabilization, Myelination, Cell Cycle, Epigenetic
GO Term: Corpus Callosum Development -> Biodomain: Synapse, Structural Stabilization, Myelination, Cell Cycle, Autophagy
GO Term: Regulation Of Opsin-Mediated Signaling Pathway -> Biodomain: Synapse, Proteostasis, Autophagy, Endolysosome, Lipid Metabolism
GO Term: Negative Adaptation Of Signaling Pathway -> Biodomain: Proteostasis, Autophagy, Apoptosis, Immune Response, Oxidative Stress
GO Term: Hair Cycle Process -> Biodomain: Cell Cycle, Apoptosis, Structural Stabilization, Lipid Metabolism, Vasculature
GO Term: Membrane Docking -> Biodomain: Synapse, Endolysosome, Autophagy, Immune Response, Proteostasis
GO Term: Regulation Of Cell-Cell Adhesion -> Biodomain: Structural Stabilization, Vasculature, Synapse, Immune Response, Proteostasis
GO Term: Negative Regulation Of Cell-Cell Adhesion -> Biodomain: Structural Stabilization, Immune Response, Apoptosis, Cell Cycle, Vasculature
GO Term: Positive Regulation Of Cell-Cell Adhesion -> Biodomain: Structural Stabilization, Immune Response, Vasculature, Synapse, Proteostasis
GO Term: Circadian Sleep/Wake Cycle Process -> Biodomain: Epigenetic, Synapse, Lipid Metabolism, Autophagy, Oxidative Stress
GO Term: Reproductive Process -> Biodomain: Cell Cycle, Epigenetic, DNA Repair, Lipid Metabolism, Apoptosis
GO Term: Digestive System Process -> Biodomain: Lipid Metabolism, Endolysosome, Mitochondrial Metabolism, Metal Binding and Homeostasis, Autophagy
GO Term: Ovulation Cycle Process -> Biodomain: Cell Cycle, Apoptosis, Endolysosome, Proteostasis, Structural Stabilization
GO Term: Regulation Of Anatomical Structure Morphogenesis -> Biodomain: Structural Stabilization, Vasculature, Synapse, Myelination, Cell Cycle
GO Term: Regulation Of Cell Morphogenesis -> Biodomain: Structural Stabilization, Synapse, Proteostasis, Cell Cycle, Apoptosis
GO Term: Mammalian Oogenesis Stage -> Biodomain: Cell Cycle, Apoptosis, Epigenetic, Structural Stabilization, Autophagy
GO Term: Cellular Component Assembly -> Biodomain: Structural Stabilization, Proteostasis, Endolysosome, Autophagy, Cell Cycle
GO Term: Gland Morphogenesis -> Biodomain: Structural Stabilization, Vasculature, Cell Cycle, Proteostasis, Immune Response
GO Term: Ribonucleoprotein Complex Biogenesis -> Biodomain: RNA Spliceosome, Proteostasis, Cell Cycle, Epigenetic, Autophagy
GO Term: Membrane To Membrane Docking -> Biodomain: Synapse, Vesicle Trafficking, Endolysosome, Proteostasis, Structural Stabilization
GO Term: Protein To Membrane Docking -> Biodomain: Synapse, Endolysosome, Proteostasis, Lipid Metabolism, Structural Stabilization
GO Term: Dna Strand Elongation -> Biodomain: DNA Repair, Cell Cycle, Epigenetic, Metal Binding and Homeostasis, Proteostasis
GO Term: Extracellular Matrix Disassembly -> Biodomain: Structural Stabilization, Proteostasis, Apoptosis, Vasculature, Endolysosome
GO Term: Protein-Rna Complex Assembly -> Biodomain: RNA Spliceosome, Proteostasis, Structural Stabilization, Epigenetic, Metal Binding and Homeostasis
GO Term: Proteasome Accessory Complex -> Biodomain: Proteostasis, Autophagy, Endolysosome, Apoptosis, Structural Stabilization
GO Term: Cytosolic Large Ribosomal Subunit -> Biodomain: Proteostasis, Cell Cycle, Epigenetic, Structural Stabilization, RNA Spliceosome
GO Term: Cytosolic Ribosome -> Biodomain: Protein Synthesis, Proteostasis, Cell Cycle, Structural Stabilization, Autophagy
GO Term: Cytosolic Small Ribosomal Subunit -> Biodomain: Proteostasis, Structural Stabilization, Cell Cycle, RNA Spliceosome, Autophagy
GO Term: Transmitter-Gated Monoatomic Ion Channel Activity -> Biodomain: Synapse, Proteostasis, Structural Stabilization, Metal Binding and Homeostasis, Apoptosis
GO Term: Wide Pore Channel Activity -> Biodomain: Mitochondrial Metabolism, Proteostasis, Synapse, Structural Stabilization, Endolysosome
GO Term: Voltage-Gated Channel Activity -> Biodomain: Synapse, Myelination, Vasculature, Structural Stabilization, Metal Binding and Homeostasis
GO Term: Ligand-Gated Channel Activity -> Biodomain: Synapse, Proteostasis, Oxidative Stress, Endolysosome, Vasculature
GO Term: Gated Channel Activity -> Biodomain: Synapse, Mitochondrial Metabolism, Oxidative Stress, Vasculature, Immune Response
GO Term: Monoatomic Ion-Gated Channel Activity -> Biodomain: Synapse, Metal Binding and Homeostasis, Mitochondrial Metabolism, Oxidative Stress, Vasculature
GO Term: Leak Channel Activity -> Biodomain: Mitochondrial Metabolism, Synapse, Vasculature, Structural Stabilization, Cell Cycle
GO Term: Potassium Ion Leak Channel Activity -> Biodomain: Synapse, Vasculature, Metal Binding and Homeostasis, Myelination, Oxidative Stress
GO Term: Voltage-Gated Monoatomic Cation Channel Activity -> Biodomain: Synapse, Metal Binding and Homeostasis, Vasculature, Mitochondrial Metabolism, Oxidative Stress
GO Term: Acetylcholine-Gated Monoatomic Cation-Selective Channel Activity -> Biodomain: Synapse, Metal Binding and Homeostasis, Proteostasis, Lipid Metabolism, Autophagy
GO Term: Glutamate-Gated Calcium Ion Channel Activity -> Biodomain: Synapse, Metal Binding and Homeostasis, Structural Stabilization, Oxidative Stress, Apoptosis
GO Term: Serotonin-Gated Monoatomic Cation Channel Activity -> Biodomain: Synapse, Structural Stabilization, Proteostasis, Endolysosome, Vasculature
GO Term: Gaba-Gated Chloride Ion Channel Activity -> Biodomain: Synapse, Ion Channel Activity, Neuronal Signaling, Neurotransmission, Membrane Transport
GO Term: Glycine-Gated Chloride Ion Channel Activity -> Biodomain: Synapse, Proteostasis, Structural Stabilization, Oxidative Stress, Autophagy
GO Term: Transmembrane Transporter Activity -> Biodomain: Mitochondrial Metabolism, Endolysosome, Lipid Metabolism, Proteostasis, Oxidative Stress
GO Term: Alanine Transmembrane Transporter Activity -> Biodomain: Mitochondrial Metabolism, Proteostasis, Endolysosome, Autophagy, Lipid Metabolism
GO Term: Zinc Efflux Transmembrane Transporter Activity -> Biodomain: Metal Binding and Homeostasis, Oxidative Stress, Proteostasis, Mitochondrial Metabolism, Endolysosome
GO Term: Macromolecule Transmembrane Transporter Activity -> Biodomain: Endolysosome, Proteostasis, Mitochondrial Metabolism, Autophagy, Lipid Metabolism
GO Term: Inorganic Cation Transmembrane Transporter Activity -> Biodomain: Metal Binding and Homeostasis, Endolysosome, Synapse, Vasculature, Mitochondrial Metabolism
GO Term: Intermediate Conductance Calcium-Activated Potassium Channel Activity -> Biodomain: Synapse, Oxidative Stress, Structural Stabilization, Apoptosis, Proteostasis
GO Term: Regulation Of Transmembrane Transporter Activity -> Biodomain: Proteostasis, Endolysosome, Mitochondrial Metabolism, Lipid Metabolism, Oxidative Stress
GO Term: Electron Transport Chain -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Proteostasis, Autophagy, Lipid Metabolism
GO Term: Respiratory Electron Transport Chain -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Lipid Metabolism, Proteostasis, Autophagy
GO Term: Signal Transduction Involved In Regulation Of Gene Expression -> Biodomain: Epigenetic, Cell Cycle, Immune Response, Oxidative Stress, Lipid Metabolism
GO Term: Termination Of Signal Transduction -> Biodomain: Signal Transduction, Proteostasis, Apoptosis, Oxidative Stress, Structural Stabilization
GO Term: Mhc Class I Protein Complex Binding -> Biodomain: Immune Response, Proteostasis, Structural Stabilization, Endolysosome, Apoptosis
GO Term: Mhc Class Ib Protein Complex Binding -> Biodomain: Immune Response, Endolysosome, Proteostasis, Autophagy, Lipid Metabolism
GO Term: Mhc Class Ii Protein Complex Binding -> Biodomain: Immune Response, Proteostasis, Endolysosome, Autophagy, Apoptosis
GO Term: Mhc Class Ib Protein Binding -> Biodomain: Immune Response, Proteostasis, Endolysosome, Apoptosis, Autophagy
GO Term: Mhc Class Ib Protein Binding, Via Antigen Binding Groove -> Biodomain: Immune Response, Endolysosome, Proteostasis, Autophagy, Apoptosis
GO Term: Cd40 Signaling Pathway -> Biodomain: Immune Response, Apoptosis, Autophagy, Proteostasis, Oxidative Stress
GO Term: Neuronal Signal Transduction -> Biodomain: Synapse, Proteostasis, Autophagy, Apoptosis, Oxidative Stress
GO Term: Regulation Of Signaling -> Biodomain: Synapse, Immune Response, Cell Cycle, Apoptosis, Proteostasis
GO Term: Signaling -> Biodomain: Synapse, Immune Response, Vasculature, Cell Cycle, Apoptosis
GO Term: Positive Regulation Of Signaling -> Biodomain: Immune Response, Apoptosis, Autophagy, Cell Cycle, Oxidative Stress
GO Term: Negative Regulation Of Signaling -> Biodomain: Immune Response, Proteostasis, Autophagy, Apoptosis, Cell Cycle
GO Term: Signal Release -> Biodomain: Synapse, Endolysosome, Proteostasis, Immune Response, Vasculature
GO Term: Metal Ion Transport -> Biodomain: Metal Binding and Homeostasis, Mitochondrial Metabolism, Oxidative Stress, Proteostasis, Endolysosome
GO Term: Intracellular Monoatomic Cation Homeostasis -> Biodomain: Metal Binding and Homeostasis, Mitochondrial Metabolism, Endolysosome, Oxidative Stress, Apoptosis
GO Term: Intracellular Potassium Ion Homeostasis -> Biodomain: Metal Binding and Homeostasis, Mitochondrial Metabolism, Apoptosis, Endolysosome, Autophagy
GO Term: Trapp Complex -> Biodomain: Endolysosome, Proteostasis, Autophagy, APP Metabolism, Synapse
GO Term: Establishment Of Cell Polarity -> Biodomain: Cell Cycle, Structural Stabilization, Proteostasis, Synapse, Autophagy
GO Term: Maintenance Of Cell Polarity -> Biodomain: Structural Stabilization, Proteostasis, Cell Cycle, Mitochondrial Metabolism, Autophagy
GO Term: Ccr4-Not Complex -> Biodomain: Proteostasis, Cell Cycle, Autophagy, Apoptosis, Epigenetic
GO Term: Ccr4-Not Core Complex -> Biodomain: Transcriptional Regulation, RNA Processing, Translational Control, Proteostasis, Stress Response
GO Term: Myofibril -> Biodomain: Structural Stabilization, Proteostasis, Mitochondrial Metabolism, Autophagy, Lipid Metabolism
GO Term: Sarcomere -> Biodomain: Structural Stabilization, Proteostasis, Mitochondrial Metabolism, Autophagy, Lipid Metabolism
GO Term: Z Disc -> Biodomain: Structural Stabilization, Proteostasis, Mitochondrial Metabolism, Autophagy, Oxidative Stress
GO Term: Extracellular Matrix Structural Constituent Conferring Tensile Strength -> Biodomain: Structural Stabilization, Vasculature, Extracellular Matrix Organization, Cell Adhesion, Connective Tissue
GO Term: Extracellular Matrix Structural Constituent Conferring Compression Resistance -> Biodomain: Structural Stabilization, Extracellular Matrix Organization, Proteostasis, Vasculature, Lipid Metabolism
GO Term: Extracellular Matrix Constituent Conferring Elasticity -> Biodomain: Structural Stabilization, Extracellular Matrix Organization, Vasculature, Tissue Homeostasis, Cell Adhesion
GO Term: Intracellular Manganese Ion Homeostasis -> Biodomain: Metal Binding and Homeostasis, Proteostasis, Oxidative Stress, Endolysosome, Mitochondrial Metabolism
GO Term: Lamellipodium -> Biodomain: Structural Stabilization, Immune Response, Proteostasis, Vasculature, Lipid Metabolism
GO Term: Actin Filament-Based Process -> Biodomain: Structural Stabilization, Immune Response, Autophagy, Vasculature, Synapse
GO Term: Cell Projection Organization -> Biodomain: Structural Stabilization, Synapse, Myelination, Proteostasis, Autophagy
GO Term: Cell Projection Assembly -> Biodomain: Structural Stabilization, Synapse, Myelination, Proteostasis, Autophagy
GO Term: Lamellipodium Assembly -> Biodomain: Structural Stabilization, Cell Cycle, Proteostasis, Autophagy, Endolysosome
GO Term: Microvillus Assembly -> Biodomain: Structural Stabilization, Proteostasis, Lipid Metabolism, Endolysosome, Mitochondrial Metabolism
GO Term: Microvillar Actin Bundle Assembly -> Biodomain: Structural Stabilization, Cytoskeleton, Cell Morphogenesis, Cell Adhesion, Plasma Membrane
GO Term: Microspike Assembly -> Biodomain: Structural Stabilization, Synapse, Proteostasis, Tau Homeostasis, Autophagy
GO Term: Actin Cytoskeleton Organization -> Biodomain: Structural Stabilization, Cell Cycle, Endolysosome, Vasculature, Immune Response
GO Term: Contractile Actin Filament Bundle Assembly -> Biodomain: Muscle System, Structural Stabilization, Proteostasis, Cell Cycle, Cytoskeleton Organization
GO Term: Actin Filament Polymerization -> Biodomain: Structural Stabilization, Cell Cycle, Synapse, Proteostasis, Lipid Metabolism
GO Term: Actin Filament Depolymerization -> Biodomain: Structural Stabilization, Cell Cycle, Apoptosis, Autophagy, Immune Response
GO Term: Actin Filament Fragmentation -> Biodomain: Structural Stabilization, Proteostasis, Cell Cycle, Apoptosis, Autophagy
GO Term: Parallel Actin Filament Bundle Assembly -> Biodomain: Structural Stabilization, Proteostasis, Cell Cycle, Synapse, Autophagy
GO Term: Actin Modification -> Biodomain: Structural Stabilization, Proteostasis, Endolysosome, Cell Cycle, Autophagy
GO Term: Actin Filament-Based Movement -> Biodomain: Structural Stabilization, Immune Response, Synapse, Vasculature, Autophagy
GO Term: Muscle Filament Sliding -> Biodomain: Structural Stabilization, Mitochondrial Metabolism, Proteostasis, Autophagy, Lipid Metabolism
GO Term: Vesicle Transport Along Actin Filament -> Biodomain: Structural Stabilization, Proteostasis, Autophagy, Endolysosome, Lipid Metabolism
GO Term: Cell Junction -> Biodomain: Structural Stabilization, Synapse, Myelination, Immune Response, Cell Cycle
GO Term: Cell-Substrate Junction -> Biodomain: Structural Stabilization, Proteostasis, Cell Cycle, Autophagy, Lipid Metabolism
GO Term: Hemidesmosome -> Biodomain: Structural Stabilization, Proteostasis, Autophagy, Apoptosis, Endolysosome
GO Term: Desmosome -> Biodomain: Structural Stabilization, Proteostasis, Synapse, Cell Cycle, Apoptosis
GO Term: L-Malate Dehydrogenase (Nad+) Activity -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Lipid Metabolism, Metal Binding and Homeostasis, Autophagy
GO Term: Mitochondrial Crista -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Proteostasis, Autophagy, Apoptosis
GO Term: Insulin Processing -> Biodomain: Proteostasis, Peptide Hormone Metabolism, Metabolism, Protein Processing, Signal Transduction
GO Term: Regulation Of Mitotic Metaphase/Anaphase Transition -> Biodomain: Cell Cycle, Structural Stabilization, Proteostasis, DNA Repair, Apoptosis
GO Term: Peptide Hormone Secretion -> Biodomain: Proteostasis, Immune Response, Synapse, Vasculature, Endolysosome
GO Term: Insulin Secretion -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Metal Binding and Homeostasis, Oxidative Stress, Proteostasis
GO Term: Protein Repair -> Biodomain: Proteostasis, Oxidative Stress, Metal Binding and Homeostasis, Autophagy, Structural Stabilization
GO Term: Hemopoiesis -> Biodomain: Immune Response, Cell Cycle, Apoptosis, Proteostasis, Epigenetic
GO Term: Lymphocyte Differentiation -> Biodomain: Immune Response, Cell Cycle, Apoptosis, DNA Repair, Epigenetic
GO Term: Myeloid Cell Differentiation -> Biodomain: Immune Response, Apoptosis, Cell Cycle, Autophagy, Proteostasis
GO Term: Regulation Of Endocytosis -> Biodomain: Endolysosome, Proteostasis, Autophagy, Immune Response, APP Metabolism
GO Term: Natural Killer Cell Activation -> Biodomain: Immune Response, Cytokine Signaling, Lymphocyte Biology, Apoptosis, Innate Immunity
GO Term: Vasopressin Secretion -> Biodomain: Vasculature, Proteostasis, Endolysosome, Synapse, Oxidative Stress
GO Term: Hla-A Specific Inhibitory Mhc Class I Receptor Activity -> Biodomain: Immune Response, Proteostasis, Apoptosis, Autophagy, Epigenetic
GO Term: Hla-A Specific Activating Mhc Class I Receptor Activity -> Biodomain: Immune Response, Proteostasis, Autophagy, Endolysosome, Apoptosis
GO Term: Hla-B Specific Inhibitory Mhc Class I Receptor Activity -> Biodomain: Immune Response, Proteostasis, Endolysosome, Apoptosis, Structural Stabilization
GO Term: Hla-C Specific Inhibitory Mhc Class I Receptor Activity -> Biodomain: Immune Response, Proteostasis, Apoptosis, Cell Cycle, Autophagy
GO Term: Regulation Of Wnt Signaling Pathway -> Biodomain: Cell Cycle, Proteostasis, Autophagy, Apoptosis, Epigenetic
GO Term: Glial Cell-Derived Neurotrophic Factor Receptor Binding -> Biodomain: Synapse, Apoptosis, Myelination, Proteostasis, Structural Stabilization
GO Term: Membrane Coat -> Biodomain: Proteostasis, Endolysosome, Autophagy, Lipid Metabolism, Structural Stabilization
GO Term: Clathrin Coat -> Biodomain: Endolysosome, Proteostasis, Autophagy, Synapse, Vasculature
GO Term: Ap-Type Membrane Coat Adaptor Complex -> Biodomain: Proteostasis, Endolysosome, Lipid Metabolism, Autophagy, Mitochondrial Metabolism
GO Term: Vesicle Coat -> Biodomain: Endolysosome, Proteostasis, Autophagy, Synapse, APP Metabolism
GO Term: Ap-1 Adaptor Complex -> Biodomain: Endolysosome, Proteostasis, Autophagy, Synapse, Lipid Metabolism
GO Term: Ap-2 Adaptor Complex -> Biodomain: Endolysosome, Proteostasis, Structural Stabilization, Vasculature, Immune Response
GO Term: Ap-3 Adaptor Complex -> Biodomain: Endolysosome, Proteostasis, Autophagy, Synapse, Lipid Metabolism
GO Term: Ap-4 Adaptor Complex -> Biodomain: APP Metabolism, Endolysosome, Proteostasis, Autophagy, Structural Stabilization
GO Term: Clathrin Vesicle Coat -> Biodomain: Endolysosome, Proteostasis, Autophagy, Synapse, Lipid Metabolism
GO Term: Copi Vesicle Coat -> Biodomain: Proteostasis, Endolysosome, Autophagy, Lipid Metabolism, Structural Stabilization
GO Term: Copii Vesicle Coat -> Biodomain: Proteostasis, Endolysosome, Autophagy, Lipid Metabolism, Structural Stabilization
GO Term: Clathrin Coat Of Trans-Golgi Network Vesicle -> Biodomain: Endolysosome, Proteostasis, Autophagy, Lipid Metabolism, Structural Stabilization
GO Term: Clathrin Adaptor Complex -> Biodomain: Endolysosome, Proteostasis, Autophagy, Structural Stabilization, Lipid Metabolism
GO Term: Clathrin Coat Of Coated Pit -> Biodomain: Endolysosome, Proteostasis, Structural Stabilization, Synapse, Autophagy
GO Term: Transport Vesicle -> Biodomain: Endolysosome, Proteostasis, Autophagy, Lipid Metabolism, Synapse
GO Term: Copii-Coated Er To Golgi Transport Vesicle -> Biodomain: Proteostasis, Endolysosome, Lipid Metabolism, Autophagy, Structural Stabilization
GO Term: Coated Vesicle -> Biodomain: Endolysosome, Proteostasis, Autophagy, Lipid Metabolism, Synapse
GO Term: Clathrin-Coated Vesicle -> Biodomain: Endolysosome, Proteostasis, Autophagy, Synapse, Structural Stabilization
GO Term: Copi-Coated Vesicle -> Biodomain: Vesicle Trafficking, Golgi Apparatus, Protein Complex Assembly, Endoplasmic Reticulum, Membrane Organization
GO Term: Endocytic Vesicle -> Biodomain: Endolysosome, Proteostasis, Autophagy, Lipid Metabolism, Synapse
GO Term: Trans-Golgi Network Transport Vesicle -> Biodomain: Proteostasis, Endolysosome, Autophagy, Lipid Metabolism, Structural Stabilization
GO Term: Secretory Granule -> Biodomain: Endolysosome, Proteostasis, Synapse, Immune Response, Autophagy
GO Term: Alpha-1,6-Mannosylglycoprotein 6-Beta-N-Acetylglucosaminyltransferase Activity -> Biodomain: Proteostasis, Structural Stabilization, Endolysosome, Lipid Metabolism, Autophagy
GO Term: Manganese Ion Binding -> Biodomain: Metal Binding and Homeostasis, Mitochondrial Metabolism, Oxidative Stress, Proteostasis, Autophagy
GO Term: Sphingolipid Biosynthetic Process -> Biodomain: Lipid Metabolism, Apoptosis, Autophagy, Proteostasis, Endolysosome
GO Term: Sphingolipid Catabolic Process -> Biodomain: Lipid Metabolism, Endolysosome, Apoptosis, Oxidative Stress, Autophagy
GO Term: Protein Import Into Mitochondrial Matrix -> Biodomain: Mitochondrial Metabolism, Proteostasis, Structural Stabilization, Endolysosome, Autophagy
GO Term: Molybdenum Ion Binding -> Biodomain: Metal Binding and Homeostasis, Mitochondrial Metabolism, Oxidative Stress, Proteostasis, Lipid Metabolism
GO Term: Cell Differentiation -> Biodomain: Cell Cycle, Epigenetic, Immune Response, Vasculature, Synapse
GO Term: Regulation Of Cell Adhesion -> Biodomain: Structural Stabilization, Vasculature, Immune Response, Proteostasis, Synapse
GO Term: Benzodiazepine Receptor Binding -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Apoptosis, Lipid Metabolism, Proteostasis
GO Term: Pancreatic Juice Secretion -> Biodomain: Endolysosome, Proteostasis, Lipid Metabolism, Mitochondrial Metabolism, Structural Stabilization
GO Term: Protein Xylosyltransferase Activity -> Biodomain: Structural Stabilization, Vasculature, Lipid Metabolism, Proteostasis, Synapse
GO Term: Signaling Receptor Complex Adaptor Activity -> Biodomain: Proteostasis, Immune Response, Synapse, Endolysosome, Structural Stabilization
GO Term: Synaptic Receptor Adaptor Activity -> Biodomain: Synapse, Structural Stabilization, Proteostasis, Autophagy, Endolysosome
GO Term: Regulation Of Proteolysis -> Biodomain: Proteostasis, Autophagy, Apoptosis, Endolysosome, Oxidative Stress
GO Term: Protein Catabolic Process -> Biodomain: Proteostasis, Autophagy, Endolysosome, Apoptosis, Oxidative Stress
GO Term: Pdz Domain Binding -> Biodomain: Synapse, Structural Stabilization, Proteostasis, Vasculature, Apoptosis
GO Term: Proteoglycan Biosynthetic Process -> Biodomain: Structural Stabilization, Proteostasis, Vasculature, Metal Binding and Homeostasis, Immune Response
GO Term: Proteoglycan Catabolic Process -> Biodomain: Proteostasis, Endolysosome, Autophagy, Structural Stabilization, Lipid Metabolism
GO Term: Platelet Activation -> Biodomain: Vasculature, Structural Stabilization, Immune Response, Apoptosis, Lipid Metabolism
GO Term: Low-Density Lipoprotein Particle Binding -> Biodomain: Lipid Metabolism, APP Metabolism, Vasculature, Oxidative Stress, Endolysosome
GO Term: Pyridoxal Phosphate Binding -> Biodomain: Mitochondrial Metabolism, Proteostasis, Oxidative Stress, Metal Binding and Homeostasis, Lipid Metabolism
GO Term: Voltage-Gated Proton Channel Activity -> Biodomain: Immune Response, Oxidative Stress, Mitochondrial Metabolism, Endolysosome, Apoptosis
GO Term: Troponin C Binding -> Biodomain: Metal Binding and Homeostasis, Structural Stabilization, Mitochondrial Metabolism, Oxidative Stress, Proteostasis
GO Term: Regulation Of Dna-Templated Dna Replication Initiation -> Biodomain: DNA Repair, Cell Cycle, Epigenetic, Proteostasis, Autophagy
GO Term: Filopodium -> Biodomain: Structural Stabilization, Synapse, Proteostasis, Cell Cycle, Vasculature
GO Term: Positive Regulation Of Wnt Signaling Pathway -> Biodomain: Cell Cycle, Epigenetic, Vasculature, Synapse, Structural Stabilization
GO Term: Negative Regulation Of Wnt Signaling Pathway -> Biodomain: Apoptosis, Cell Cycle, Proteostasis, Autophagy, Structural Stabilization
GO Term: Neuron Differentiation -> Biodomain: Synapse, Myelination, Proteostasis, Structural Stabilization, Autophagy
GO Term: B Cell Differentiation -> Biodomain: Immune Response, Cell Cycle, Apoptosis, Epigenetic, Proteostasis
GO Term: Nitric Oxide Transmembrane Transporter Activity -> Biodomain: Vasculature, Immune Response, Synapse, Proteostasis, Mitochondrial Metabolism
