Changed working directory to: /panfs/compbio/users/xran2/wen/JX/02-AI-BioDomain/git_folder
Processing array index 3: rows 2000 to 2999
GO Term: Endopeptidase Inhibitor Activity -> Biodomain: Proteostasis, Endolysosome, Autophagy, Apoptosis, Immune Response
GO Term: Cholecystokinin Receptor Activity -> Biodomain: Synapse, Vasculature, Lipid Metabolism, Proteostasis, Endolysosome
GO Term: Dopamine Neurotransmitter Receptor Activity -> Biodomain: Synapse, Proteostasis, Lipid Metabolism, Autophagy, Endolysosome
GO Term: Icosanoid Receptor Activity -> Biodomain: Immune Response, Vasculature, Lipid Metabolism, Proteostasis, Oxidative Stress
GO Term: Prostaglandin Receptor Activity -> Biodomain: Vasculature, Immune Response, Lipid Metabolism, Oxidative Stress, Proteostasis
GO Term: Prostaglandin D Receptor Activity -> Biodomain: Vasculature, Immune Response, Lipid Metabolism, Oxidative Stress, Apoptosis
GO Term: Prostaglandin E Receptor Activity -> Biodomain: Lipid Metabolism, Vasculature, Immune Response, Oxidative Stress, Mitochondrial Metabolism
GO Term: Prostaglandin F Receptor Activity -> Biodomain: Vasculature, Immune Response, Lipid Metabolism, Oxidative Stress, Proteostasis
GO Term: Thromboxane Receptor Activity -> Biodomain: Vasculature, Immune Response, Lipid Metabolism, Oxidative Stress, Mitochondrial Metabolism
GO Term: Thromboxane A2 Receptor Activity -> Biodomain: Vasculature, Immune Response, Lipid Metabolism, Proteostasis, Oxidative Stress
GO Term: Endothelin Receptor Activity -> Biodomain: Vasculature, Oxidative Stress, Immune Response, Proteostasis, Apoptosis
GO Term: Follicle-Stimulating Hormone Receptor Activity -> Biodomain: Cell Cycle, Lipid Metabolism, Proteostasis, Apoptosis, Endolysosome
GO Term: Luteinizing Hormone Receptor Activity -> Biodomain: Proteostasis, Mitochondrial Metabolism, Lipid Metabolism, Epigenetic, Apoptosis
GO Term: G Protein-Coupled Gaba Receptor Activity -> Biodomain: Synapse, Proteostasis, Autophagy, Apoptosis, Endolysosome
GO Term: Galanin Receptor Activity -> Biodomain: Synapse, Proteostasis, Lipid Metabolism, Oxidative Stress, Immune Response
GO Term: Glucagon Receptor Activity -> Biodomain: Metabolic Processes, Signaling Pathways, Hormonal Regulation, Cellular Response, Receptor Activity
GO Term: Gonadotropin-Releasing Hormone Receptor Activity -> Biodomain: Synapse, Cell Cycle, Epigenetic, Lipid Metabolism, Proteostasis
GO Term: Histamine Receptor Activity -> Biodomain: Immune Response, Signaling Receptor Activity, Synapse, Signal Transduction, Vasculature
GO Term: Glutamate-Gated Receptor Activity -> Biodomain: Synapse, Proteostasis, Oxidative Stress, Apoptosis, Endolysosome
GO Term: Ampa Glutamate Receptor Activity -> Biodomain: Synapse, Ion Homeostasis, Neurotransmission, Neuronal Signaling, Structural Stabilization
GO Term: Nmda Glutamate Receptor Activity -> Biodomain: Synapse, Metal Binding and Homeostasis, Apoptosis, Epigenetic, Structural Stabilization
GO Term: Leukotriene Receptor Activity -> Biodomain: Immune Response, Lipid Metabolism, Vasculature, Oxidative Stress, Proteostasis
GO Term: Melanocortin Receptor Activity -> Biodomain: Signaling Receptor, Metabolic Processes, Stress Response, Endocrine System, Cellular Homeostasis
GO Term: Corticotropin Receptor Activity -> Biodomain: Immune Response, Vasculature, Proteostasis, Apoptosis, Oxidative Stress
GO Term: Beta-Endorphin Receptor Activity -> Biodomain: Synapse, Proteostasis, Immune Response, Apoptosis, Vasculature
GO Term: Melanocyte-Stimulating Hormone Receptor Activity -> Biodomain: Signaling, Cell Surface Receptor, GPCR Activity, Peptide Binding, Hormone Response
GO Term: N-Formyl Peptide Receptor Activity -> Biodomain: Immune Response, Oxidative Stress, Vasculature, Apoptosis, Endolysosome
GO Term: Neuropeptide Y Receptor Activity -> Biodomain: Signaling Receptor, GPCR Signaling, Synapse, Neuropeptide Signaling, Peptide Binding
GO Term: Olfactory Receptor Activity -> Biodomain: Synapse, Epigenetic, Immune Response, Proteostasis, Oxidative Stress
GO Term: G Protein-Coupled Opioid Receptor Activity -> Biodomain: Synapse, Immune Response, Endolysosome, Vasculature, Apoptosis
GO Term: Oxytocin Receptor Activity -> Biodomain: Signaling Receptor Activity, Transmembrane Signaling, Peptide Binding Activity, Neurotransmitter Receptor Activity, Hormone Receptor Activity
GO Term: Parathyroid Hormone Receptor Activity -> Biodomain: Metal Binding and Homeostasis, Vasculature, Proteostasis, Endolysosome, Apoptosis
GO Term: Platelet Activating Factor Receptor Activity -> Biodomain: Immune Response, Vasculature, Oxidative Stress, Proteostasis, Apoptosis
GO Term: G Protein-Coupled Serotonin Receptor Activity -> Biodomain: Synapse, Receptor Signaling, Neurotransmitter Receptors, Signal Transduction, Molecular Signaling
GO Term: Somatostatin Receptor Activity -> Biodomain: Signaling, Neuropeptide, Hormone Activity, Receptor Activity, Molecular Function
GO Term: Tachykinin Receptor Activity -> Biodomain: Synapse, Immune Response, Vasculature, Proteostasis, Apoptosis
GO Term: Thyroid-Stimulating Hormone Receptor Activity -> Biodomain: Signaling Receptor, Hormone Receptor, GPCR Signaling, Signal Transduction, Metabolic Regulation
GO Term: Thyrotropin-Releasing Hormone Receptor Activity -> Biodomain: Signaling, GPCR Signaling, Hormone Signaling, Neurotransmitter, Neuropeptide
GO Term: Transferrin Receptor Activity -> Biodomain: Metal Binding and Homeostasis, Endolysosome, Proteostasis, Lipid Metabolism, Vasculature
GO Term: Vasoactive Intestinal Polypeptide Receptor Activity -> Biodomain: Vasculature, Immune Response, Synapse, Proteostasis, Endolysosome
GO Term: Vasopressin Receptor Activity -> Biodomain: Vasculature, Immune Response, Lipid Metabolism, Apoptosis, Autophagy
GO Term: Transmembrane Receptor Protein Tyrosine Phosphatase Activity -> Biodomain: Proteostasis, Synapse, Immune Response, Vasculature, Structural Stabilization
GO Term: Ephrin Receptor Activity -> Biodomain: Immune Response, Vasculature, Synapse, Structural Stabilization, Apoptosis
GO Term: Gpi-Linked Ephrin Receptor Activity -> Biodomain: Vasculature, Synapse, Structural Stabilization, Proteostasis, Cell Cycle
GO Term: Transmembrane-Ephrin Receptor Activity -> Biodomain: Synapse, Structural Stabilization, Proteostasis, Cell Cycle, Vasculature
GO Term: Epidermal Growth Factor Receptor Activity -> Biodomain: Cell Cycle, Apoptosis, Vasculature, Immune Response, Endolysosome
GO Term: Fibroblast Growth Factor Receptor Activity -> Biodomain: Vasculature, Cell Cycle, Structural Stabilization, Immune Response, Lipid Metabolism
GO Term: Hepatocyte Growth Factor Receptor Activity -> Biodomain: Cell Cycle, Apoptosis, Vasculature, Autophagy, Proteostasis
GO Term: Insulin Receptor Activity -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Proteostasis, Autophagy, Oxidative Stress
GO Term: Insulin-Like Growth Factor Receptor Activity -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Apoptosis, Cell Cycle, Immune Response
GO Term: Macrophage Colony-Stimulating Factor Receptor Activity -> Biodomain: Immune Response, Proteostasis, Synapse, Autophagy, Apoptosis
GO Term: Platelet-Derived Growth Factor Receptor Activity -> Biodomain: Signal Transduction, Growth Factor Signaling, Vasculature, Receptor Tyrosine Kinase, Cell Proliferation and Migration
GO Term: Platelet-Derived Growth Factor Alpha-Receptor Activity -> Biodomain: Vasculature, Cell Cycle, Immune Response, Proteostasis, Structural Stabilization
GO Term: Platelet-Derived Growth Factor Beta-Receptor Activity -> Biodomain: Vasculature, Cell Cycle, Structural Stabilization, Immune Response, Proteostasis
GO Term: Stem Cell Factor Receptor Activity -> Biodomain: Immune Response, Cell Cycle, Proteostasis, Apoptosis, Oxidative Stress
GO Term: Vascular Endothelial Growth Factor Receptor Activity -> Biodomain: Vasculature, Signal Transduction, Membrane Trafficking and Structure, Cell Growth Death and Differentiation, Immune Response
GO Term: Transforming Growth Factor Beta Receptor Activity -> Biodomain: Immune Response, Apoptosis, Cell Cycle, Proteostasis, Epigenetic
GO Term: Transforming Growth Factor Beta Receptor Activity, Type I -> Biodomain: Immune Response, Apoptosis, Cell Cycle, Proteostasis, Structural Stabilization
GO Term: Transforming Growth Factor Beta Receptor Activity, Type Ii -> Biodomain: Immune Response, Cell Cycle, Vasculature, Autophagy, Apoptosis
GO Term: Neurotrophin Receptor Activity -> Biodomain: Synapse, Apoptosis, Proteostasis, Autophagy, Cell Cycle
GO Term: Tumor Necrosis Factor Receptor Activity -> Biodomain: Immune Response, Apoptosis, Cell Cycle, Oxidative Stress, Proteostasis
GO Term: Osmosensor Activity -> Biodomain: Vasculature, Autophagy, Apoptosis, Endolysosome, Epigenetic
GO Term: Death Receptor Activity -> Biodomain: Apoptosis, Cell Cycle, Proteostasis, Structural Stabilization, Immune Response
GO Term: Low-Density Lipoprotein Particle Receptor Activity -> Biodomain: Lipid Metabolism, Endolysosome, Vasculature, Proteostasis, Immune Response
GO Term: Netrin Receptor Activity -> Biodomain: Synapse, Vasculature, Immune Response, Apoptosis, Structural Stabilization
GO Term: Netrin Receptor Activity Involved In Chemorepulsion -> Biodomain: Synapse, Vasculature, Immune Response, Proteostasis, Structural Stabilization
GO Term: Scavenger Receptor Activity -> Biodomain: Immune Response, Lipid Metabolism, Vasculature, Endolysosome, Apoptosis
GO Term: Kdel Sequence Binding -> Biodomain: Proteostasis, Endolysosome, Autophagy, Apoptosis, Structural Stabilization
GO Term: Signal Recognition Particle Binding -> Biodomain: Proteostasis, Endolysosome, Autophagy, Structural Stabilization, Synapse
GO Term: Signal Sequence Binding -> Biodomain: Proteostasis, APP Metabolism, Mitochondrial Metabolism, Endolysosome, Autophagy
GO Term: Nuclear Export Signal Receptor Activity -> Biodomain: Proteostasis, Structural Stabilization, RNA Spliceosome, Epigenetic, DNA Repair
GO Term: Peroxisome Matrix Targeting Signal-1 Binding -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Oxidative Stress, Proteostasis, Autophagy
GO Term: Peroxisome Matrix Targeting Signal-2 Binding -> Biodomain: Proteostasis, Lipid Metabolism, Mitochondrial Metabolism, Oxidative Stress, Structural Stabilization
GO Term: Laminin Receptor Activity -> Biodomain: Structural Stabilization, Vasculature, Proteostasis, Immune Response, Apoptosis
GO Term: Transmembrane Receptor Protein Tyrosine Kinase Adaptor Activity -> Biodomain: Immune Response, Cell Cycle, Synapse, Proteostasis, Structural Stabilization
GO Term: Map-Kinase Scaffold Activity -> Biodomain: Proteostasis, Apoptosis, Cell Cycle, Immune Response, Synapse
GO Term: Protein Kinase C Binding -> Biodomain: Signal Transduction, Cell Survival, Apoptosis, Proteostasis, Structural Stabilization
GO Term: Guanyl-Nucleotide Exchange Factor Activity -> Biodomain: Cell Cycle, Structural Stabilization, Endolysosome, Proteostasis, Synapse
GO Term: Guanyl-Nucleotide Exchange Factor Adaptor Activity -> Biodomain: Proteostasis, Signal Transduction, Molecular Adaptor, Cytoskeleton Organization, Protein Trafficking
GO Term: Gdp-Dissociation Inhibitor Activity -> Biodomain: Proteostasis, Structural Stabilization, Cell Cycle, Mitochondrial Metabolism, Lipid Metabolism
GO Term: Rab Gdp-Dissociation Inhibitor Activity -> Biodomain: Proteostasis, Endolysosome, Autophagy, Lipid Metabolism, Synapse
GO Term: Rho Gdp-Dissociation Inhibitor Activity -> Biodomain: Proteostasis, Structural Stabilization, Cell Cycle, Autophagy, Lipid Metabolism
GO Term: Gtpase Inhibitor Activity -> Biodomain: Proteostasis, Structural Stabilization, Autophagy, Apoptosis, Cell Cycle
GO Term: Gtpase Activator Activity -> Biodomain: Proteostasis, Synapse, Autophagy, Endolysosome, Cell Cycle
GO Term: Signaling Receptor Binding -> Biodomain: Immune Response, Synapse, Proteostasis, Lipid Metabolism, Vasculature
GO Term: Fibroblast Growth Factor Receptor Binding -> Biodomain: Vasculature, Cell Cycle, Structural Stabilization, Autophagy, Apoptosis
GO Term: Type 1 Fibroblast Growth Factor Receptor Binding -> Biodomain: Vasculature, Immune Response, Proteostasis, Autophagy, Apoptosis
GO Term: Frizzled Binding -> Biodomain: Synapse, Proteostasis, Structural Stabilization, Cell Cycle, Apoptosis
GO Term: Type 2 Fibroblast Growth Factor Receptor Binding -> Biodomain: Proteostasis, Synapse, Vasculature, Immune Response, Structural Stabilization
GO Term: Notch Binding -> Biodomain: Proteostasis, Synapse, Immune Response, Vasculature, Structural Stabilization
GO Term: Patched Binding -> Biodomain: Cell Cycle, Epigenetic, Lipid Metabolism, Vasculature, Proteostasis
GO Term: Type Ii Transforming Growth Factor Beta Receptor Binding -> Biodomain: Immune Response, Cell Cycle, Apoptosis, Structural Stabilization, Proteostasis
GO Term: Receptor Tyrosine Kinase-Like Orphan Receptor Binding -> Biodomain: Signaling, Receptor Interactions, Developmental Processes, Neuronal Signaling, Cell Surface Interactions
GO Term: Smoothened Binding -> Biodomain: Proteostasis, Vasculature, Lipid Metabolism, Cell Cycle, Epigenetic
GO Term: Toll Binding -> Biodomain: Immune Response, Proteostasis, Endolysosome, Apoptosis, Autophagy
GO Term: Death Receptor Binding -> Biodomain: Apoptosis, Immune Response, Cell Cycle, Proteostasis, Autophagy
GO Term: Scavenger Receptor Binding -> Biodomain: Immune Response, Endolysosome, Proteostasis, Autophagy, Lipid Metabolism
GO Term: Cytokine Activity -> Biodomain: Immune Response, Proteostasis, Apoptosis, Autophagy, Cell Cycle
GO Term: Cytokine Receptor Binding -> Biodomain: Immune Response, Proteostasis, Apoptosis, Oxidative Stress, Endolysosome
GO Term: Ciliary Neurotrophic Factor Receptor Binding -> Biodomain: Synapse, Signaling, Proteostasis, Apoptosis, Immune Response
GO Term: Erythropoietin Receptor Binding -> Biodomain: Immune Response, Vasculature, Mitochondrial Metabolism, Proteostasis, Apoptosis
GO Term: Granulocyte Macrophage Colony-Stimulating Factor Receptor Binding -> Biodomain: Immune Response, Apoptosis, Cell Cycle, Proteostasis, Autophagy
GO Term: Granulocyte Colony-Stimulating Factor Receptor Binding -> Biodomain: Immune Response, Proteostasis, Cell Cycle, Apoptosis, Structural Stabilization
GO Term: Growth Hormone Receptor Binding -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Proteostasis, Lipid Metabolism, Immune Response
GO Term: Type I Interferon Receptor Binding -> Biodomain: Immune Response, Signaling, Cytokine Signaling, Signaling Pathways, Immune Regulation
GO Term: Type Ii Interferon Receptor Binding -> Biodomain: Immune Response, Proteostasis, Structural Stabilization, Autophagy, Apoptosis
GO Term: Interleukin-2 Receptor Binding -> Biodomain: Immune Response, Proteostasis, Endolysosome, Autophagy, Apoptosis
GO Term: Interleukin-3 Receptor Binding -> Biodomain: Immune Response, Cell Cycle, Apoptosis, Proteostasis, Endolysosome
GO Term: Interleukin-4 Receptor Binding -> Biodomain: Immune Response, Proteostasis, Autophagy, Apoptosis, Vasculature
GO Term: Interleukin-5 Receptor Binding -> Biodomain: Immune Response, Proteostasis, Apoptosis, Cell Cycle, Oxidative Stress
GO Term: Interleukin-6 Receptor Binding -> Biodomain: Immune Response, Apoptosis, Autophagy, Lipid Metabolism, Oxidative Stress
GO Term: Interleukin-7 Receptor Binding -> Biodomain: Immune Response, Signaling, Cell Surface, Cell Growth And Proliferation, Cytokine Signaling
GO Term: Interleukin-9 Receptor Binding -> Biodomain: Immune Response, Signaling, Cell Cycle, Proteostasis, Autophagy
GO Term: Interleukin-10 Receptor Binding -> Biodomain: Immune Response, Apoptosis, Proteostasis, Autophagy, Endolysosome
GO Term: Interleukin-11 Receptor Binding -> Biodomain: Immune Response, Apoptosis, Cell Cycle, Proteostasis, Autophagy
GO Term: Interleukin-12 Receptor Binding -> Biodomain: Immune Response, Signaling Receptor Binding, Apoptosis, Proteostasis, Autophagy
GO Term: Interleukin-13 Receptor Binding -> Biodomain: Immune Response, Signal Transduction, Cell Surface Receptor, Cytokine Signaling, Immunomodulation
GO Term: Leukemia Inhibitory Factor Receptor Binding -> Biodomain: Immune Response, Cell Cycle, Apoptosis, Proteostasis, Endolysosome
GO Term: Oncostatin-M Receptor Binding -> Biodomain: Immune Response, Cell Cycle, Apoptosis, Vasculature, Proteostasis
GO Term: Prolactin Receptor Binding -> Biodomain: Immune Response, Lipid Metabolism, Proteostasis, Vasculature, Mitochondrial Metabolism
GO Term: Interleukin-1 Receptor Binding -> Biodomain: Immune Response, Signaling, Inflammation, Cellular Communication, Receptor Binding
GO Term: Interleukin-1, Type I Receptor Binding -> Biodomain: Immune Response, Apoptosis, Proteostasis, Vasculature, Endolysosome
GO Term: Interleukin-1, Type Ii Receptor Binding -> Biodomain: Immune Response, Apoptosis, Proteostasis, Vasculature, Endolysosome
GO Term: Interleukin-1 Receptor Antagonist Activity -> Biodomain: Immune Response, Proteostasis, Apoptosis, Autophagy, Endolysosome
GO Term: Interleukin-8 Receptor Binding -> Biodomain: Immune Response, Cytokine Signaling, Cell Signaling, Inflammation, Cell Adhesion
GO Term: Epidermal Growth Factor Receptor Binding -> Biodomain: Signal Transduction, Growth Factor Signaling, Cell Cycle, Cell Proliferation, Cancer Pathways
GO Term: Macrophage Colony-Stimulating Factor Receptor Binding -> Biodomain: Immune Response, Cell Cycle, Proteostasis, Apoptosis, Endolysosome
GO Term: Insulin Receptor Binding -> Biodomain: Mitochondrial Metabolism, Proteostasis, Lipid Metabolism, Oxidative Stress, Vasculature
GO Term: Insulin-Like Growth Factor Receptor Binding -> Biodomain: Signaling Receptor Binding, Growth Factor Activity, Protein Binding, Binding, Molecular Function
GO Term: Transforming Growth Factor Beta Receptor Binding -> Biodomain: Immune Response, Cell Cycle, Proteostasis, Apoptosis, Autophagy
GO Term: Platelet-Derived Growth Factor Receptor Binding -> Biodomain: Vasculature, Cell Cycle, Structural Stabilization, Lipid Metabolism, Apoptosis
GO Term: Nerve Growth Factor Receptor Binding -> Biodomain: Apoptosis, Synapse, Immune Response, Proteostasis, Autophagy
GO Term: Tumor Necrosis Factor Receptor Binding -> Biodomain: Immune Response, Apoptosis, Proteostasis, Autophagy, Oxidative Stress
GO Term: Neurotrophin Receptor Binding -> Biodomain: Synapse, Apoptosis, Proteostasis, Structural Stabilization, Immune Response
GO Term: Neurotrophin P75 Receptor Binding -> Biodomain: Synapse, Apoptosis, Proteostasis, Structural Stabilization, Immune Response
GO Term: Neurotrophin Trka Receptor Binding -> Biodomain: Synapse, Endolysosome, Proteostasis, Apoptosis, Structural Stabilization
GO Term: Neurotrophin Trkb Receptor Binding -> Biodomain: Synapse, Proteostasis, Autophagy, Myelination, Apoptosis
GO Term: Neurotrophin Trkc Receptor Binding -> Biodomain: Synapse, Signaling, Apoptosis, Structural Stabilization, Proteostasis
GO Term: Hepatocyte Growth Factor Receptor Binding -> Biodomain: Signaling Receptor Binding, Growth Factor Binding, Receptor Signaling, Cell Surface Receptor Binding, Protein Binding
GO Term: Vascular Endothelial Growth Factor Receptor Binding -> Biodomain: Vasculature, Immune Response, Structural Stabilization, Apoptosis, Endolysosome
GO Term: Stem Cell Factor Receptor Binding -> Biodomain: Immune Response, Cell Cycle, Apoptosis, Proteostasis, Vasculature
GO Term: Cd40 Receptor Binding -> Biodomain: Immune Response, Apoptosis, Proteostasis, Autophagy, Synapse
GO Term: Cd27 Receptor Binding -> Biodomain: Immune Response, Signaling Receptor Binding, Cytokine Signaling, Cell Surface Receptor Binding, Lymphocyte Activation
GO Term: Erbb-2 Class Receptor Binding -> Biodomain: Immune Response, Proteostasis, Epigenetic, Vasculature, Apoptosis
GO Term: Integrin Binding -> Biodomain: Structural Stabilization, Vasculature, Immune Response, Proteostasis, Cell Cycle
GO Term: Hormone Activity -> Biodomain: Signaling, Receptor Binding, Regulatory Processes, Lipid Metabolism, Cell Cycle
GO Term: Gonadotropin Hormone-Releasing Hormone Activity -> Biodomain: Hormone Activity, Signaling Receptor Binding, Signaling Receptor Activator Activity, Neurotransmitter Release, Molecular Function Regulator Activity
GO Term: Neuropeptide Hormone Activity -> Biodomain: Synapse, Signaling, Peptide Signaling, Hormone Signaling, Cell Communication
GO Term: Neurohypophyseal Hormone Activity -> Biodomain: Vasculature, Synapse, Immune Response, Proteostasis, Epigenetic
GO Term: Structural Molecule Activity -> Biodomain: Structural Stabilization, Synapse, Myelination, Proteostasis, Cell Cycle
GO Term: Structural Constituent Of Cytoskeleton -> Biodomain: Structural Stabilization, Cell Cycle, Proteostasis, Apoptosis, Mitochondrial Metabolism
GO Term: Extracellular Matrix Structural Constituent -> Biodomain: Structural Stabilization, Vasculature, Synapse, Metal Binding and Homeostasis, Proteostasis
GO Term: Structural Constituent Of Eye Lens -> Biodomain: Structural Stabilization, Proteostasis, Lipid Metabolism, Autophagy, Endolysosome
GO Term: Monoatomic Ion Channel Activity -> Biodomain: Metal Binding and Homeostasis, Synapse, Vasculature, Mitochondrial Metabolism, Oxidative Stress
GO Term: Intracellularly Ligand-Gated Monoatomic Ion Channel Activity -> Biodomain: Synapse, Metal Binding and Homeostasis, Proteostasis, Structural Stabilization, Endolysosome
GO Term: Ryanodine-Sensitive Calcium-Release Channel Activity -> Biodomain: Metal Binding and Homeostasis, Synapse, Vasculature, Apoptosis, Oxidative Stress
GO Term: Inositol 1,4,5-Trisphosphate-Gated Calcium Channel Activity -> Biodomain: Metal Binding and Homeostasis, Apoptosis, Autophagy, Oxidative Stress, Proteostasis
