Changed working directory to: /panfs/compbio/users/xran2/wen/JX/02-AI-BioDomain/git_folder
Processing array index 5: rows 4000 to 4999
GO Term: Detection Of Virus -> Biodomain: Immune Response, Endolysosome, Autophagy, Apoptosis, Proteostasis
GO Term: Negative Regulation Of Catabolic Process -> Biodomain: Proteostasis, Autophagy, Endolysosome, Mitochondrial Metabolism, Lipid Metabolism
GO Term: Positive Regulation Of Catabolic Process -> Biodomain: Proteostasis, Autophagy, Lipid Metabolism, Oxidative Stress, Endolysosome
GO Term: External Side Of Plasma Membrane -> Biodomain: Synapse, Vasculature, Immune Response, Lipid Metabolism, Proteostasis
GO Term: Cytoplasmic Side Of Plasma Membrane -> Biodomain: Structural Stabilization, Lipid Metabolism, Proteostasis, Apoptosis, Immune Response
GO Term: Auditory Receptor Cell Fate Commitment -> Biodomain: Proteostasis, Synapse, Structural Stabilization, Cell Cycle, Epigenetic
GO Term: Epidermal Cell Differentiation -> Biodomain: Structural Stabilization, Lipid Metabolism, Epigenetic, Cell Cycle, Autophagy
GO Term: Hormone Transport -> Biodomain: Vasculature, Lipid Metabolism, Synapse, Proteostasis, Immune Response
GO Term: Fatty Acid Elongase Activity -> Biodomain: Lipid Metabolism, Mitochondrial Metabolism, Oxidative Stress, Proteostasis, Autophagy
GO Term: Fatty Acid Elongase Complex -> Biodomain: Lipid Metabolism, Mitochondrial Metabolism, Proteostasis, Autophagy, Oxidative Stress
GO Term: Basal Plasma Membrane -> Biodomain: Structural Stabilization, Lipid Metabolism, Proteostasis, Cell Cycle, Autophagy
GO Term: Calcium-Dependent Protein Serine/Threonine Kinase Activity -> Biodomain: Synapse, Mitochondrial Metabolism, Metal Binding and Homeostasis, Vasculature, Proteostasis
GO Term: Cell Tip Growth -> Biodomain: Structural Stabilization, Synapse, Proteostasis, Lipid Metabolism, Mitochondrial Metabolism
GO Term: Proximal/Distal Axis Specification -> Biodomain: Structural Stabilization, Epigenetic, Vasculature, Synapse, Myelination
GO Term: Anterior/Posterior Axis Specification -> Biodomain: Epigenetic, RNA Spliceosome, Cell Cycle, Autophagy, Lipid Metabolism
GO Term: Polarity Specification Of Anterior/Posterior Axis -> Biodomain: Epigenetic, Cell Cycle, Autophagy, Apoptosis, Structural Stabilization
GO Term: Dorsal/Ventral Axis Specification -> Biodomain: Epigenetic, Structural Stabilization, Cell Cycle, Autophagy, Apoptosis
GO Term: Anterior/Posterior Pattern Specification -> Biodomain: Developmental Biology, Cell Differentiation, Pattern Specification, Morphogenesis, Embryonic Development
GO Term: Dorsal/Ventral Pattern Formation -> Biodomain: Structural Stabilization, Epigenetic, Vasculature, Cell Cycle, Autophagy
GO Term: Proximal/Distal Pattern Formation -> Biodomain: Structural Stabilization, Epigenetic, Cell Cycle, Autophagy, Apoptosis
GO Term: Radial Pattern Formation -> Biodomain: Epigenetic, Cell Cycle, Structural Stabilization, Synapse, Autophagy
GO Term: Epidermal Cell Fate Specification -> Biodomain: Cell Cycle, Epigenetic, Structural Stabilization, Proteostasis, Autophagy
GO Term: Regulation Of Signal Transduction -> Biodomain: Immune Response, Apoptosis, Cell Cycle, Autophagy, Proteostasis
GO Term: Positive Regulation Of Signal Transduction -> Biodomain: Immune Response, Apoptosis, Cell Cycle, Autophagy, Oxidative Stress
GO Term: Negative Regulation Of Signal Transduction -> Biodomain: Proteostasis, Immune Response, Apoptosis, Autophagy, Cell Cycle
GO Term: Pseudouridine Synthase Activity -> Biodomain: RNA Spliceosome, Epigenetic, Mitochondrial Metabolism, Structural Stabilization, Metal Binding and Homeostasis
GO Term: Cell Surface -> Biodomain: Structural Stabilization, Vasculature, Immune Response, Proteostasis, Synapse
GO Term: Cell-Cell Recognition -> Biodomain: Synapse, Structural Stabilization, Immune Response, Vasculature, Proteostasis
GO Term: Intracellular Water Homeostasis -> Biodomain: Endolysosome, Structural Stabilization, Autophagy, Proteostasis, Lipid Metabolism
GO Term: Oocyte Differentiation -> Biodomain: Cell Cycle, Cell Differentiation, Reproductive Process, Developmental Process, Cellular Developmental Process
GO Term: Glial Cell Differentiation -> Biodomain: Myelination, Synapse, Immune Response, Structural Stabilization, Proteostasis
GO Term: Cardioblast Differentiation -> Biodomain: Mitochondrial Metabolism, Cell Cycle, Proteostasis, Oxidative Stress, Vasculature
GO Term: Endosome Membrane -> Biodomain: Endolysosome, Proteostasis, Autophagy, APP Metabolism, Lipid Metabolism
GO Term: Cytoplasmic Side Of Endosome Membrane -> Biodomain: Endolysosome, Proteostasis, Autophagy, Lipid Metabolism, Apoptosis
GO Term: Amylopectin Biosynthetic Process -> Biodomain: Lipid Metabolism, Mitochondrial Metabolism, Structural Stabilization, Autophagy, Endolysosome
GO Term: Wax Biosynthetic Process -> Biodomain: Lipid Metabolism, Mitochondrial Metabolism, Autophagy, Structural Stabilization, Endolysosome
GO Term: Meiotic Chromosome Condensation -> Biodomain: Cell Cycle, DNA Repair, Epigenetic, Structural Stabilization, Proteostasis
GO Term: Response To Acetate -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Autophagy, Oxidative Stress, Proteostasis
GO Term: Response To Carbon Dioxide -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Proteostasis, Endolysosome, Autophagy
GO Term: Response To Metal Ion -> Biodomain: Metal Binding and Homeostasis, Oxidative Stress, Proteostasis, Autophagy, Apoptosis
GO Term: Response To Iron Ion -> Biodomain: Metal Binding and Homeostasis, Oxidative Stress, Mitochondrial Metabolism, Proteostasis, Endolysosome
GO Term: Response To Iron(Ii) Ion -> Biodomain: Metal Binding and Homeostasis, Oxidative Stress, Endolysosome, Mitochondrial Metabolism, Lipid Metabolism
GO Term: Response To Iron(Iii) Ion -> Biodomain: Metal Binding and Homeostasis, Oxidative Stress, Mitochondrial Metabolism, Proteostasis, Autophagy
GO Term: Response To Manganese Ion -> Biodomain: Metal Binding and Homeostasis, Oxidative Stress, Proteostasis, Autophagy, Endolysosome
GO Term: Response To Zinc Ion -> Biodomain: Metal Binding and Homeostasis, Oxidative Stress, Proteostasis, Immune Response, Endolysosome
GO Term: Response To Aluminum Ion -> Biodomain: Metal Binding and Homeostasis, Oxidative Stress, Proteostasis, Apoptosis, Autophagy
GO Term: Response To Nickel Cation -> Biodomain: Oxidative Stress, Metal Binding and Homeostasis, Proteostasis, Autophagy, Apoptosis
GO Term: Response To Mycotoxin -> Biodomain: Oxidative Stress, Proteostasis, Immune Response, Endolysosome, Autophagy
GO Term: Zygote Asymmetric Cell Division -> Biodomain: Cell Cycle, Structural Stabilization, Proteostasis, Epigenetic, Autophagy
GO Term: Polarity Specification Of Proximal/Distal Axis -> Biodomain: Epigenetic, Cell Cycle, Proteostasis, Structural Stabilization, Autophagy
GO Term: Specification Of Animal Organ Identity -> Biodomain: Epigenetic, Structural Stabilization, Cell Cycle, Apoptosis, Vasculature
GO Term: L-Arginine Catabolic Process To Proline Via Ornithine -> Biodomain: Mitochondrial Metabolism, Proteostasis, Autophagy, Lipid Metabolism, Oxidative Stress
GO Term: Phenylacetate Catabolic Process -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Oxidative Stress, Proteostasis, Endolysosome
GO Term: L-Proline Catabolic Process To L-Glutamate -> Biodomain: Mitochondrial Metabolism, Proteostasis, Autophagy, Oxidative Stress, Endolysosome
GO Term: Pyrimidine Ribonucleotide Salvage -> Biodomain: Mitochondrial Metabolism, Metal Binding and Homeostasis, Autophagy, Endolysosome, Cell Cycle
GO Term: Farnesyl Diphosphate Biosynthetic Process, Mevalonate Pathway -> Biodomain: Lipid Metabolism, Mitochondrial Metabolism, Proteostasis, Apoptosis, Oxidative Stress
GO Term: Regulation Of Proton Transport -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Endolysosome, Proteostasis, Metal Binding and Homeostasis
GO Term: Response To Chlorate -> Biodomain: Oxidative Stress, Autophagy, Apoptosis, DNA Repair, Immune Response
GO Term: Specification Of Animal Organ Position -> Biodomain: Structural Stabilization, Developmental Process, Regionalization, Organ Morphogenesis, Anatomical Structure Development
GO Term: Response To Cesium Ion -> Biodomain: Metal Binding and Homeostasis, Oxidative Stress, Proteostasis, Endolysosome, Apoptosis
GO Term: Response To X-Ray -> Biodomain: DNA Repair, Apoptosis, Cell Cycle, Oxidative Stress, Epigenetic
GO Term: Body Morphogenesis -> Biodomain: Structural Stabilization, Epigenetic, Cell Cycle, Apoptosis, Autophagy
GO Term: Embryonic Body Morphogenesis -> Biodomain: Structural Stabilization, Vasculature, Apoptosis, Cell Cycle, Epigenetic
GO Term: Fmn Binding -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Proteostasis, Metal Binding and Homeostasis, Lipid Metabolism
GO Term: Positive Regulation Of Cellular Defense Response -> Biodomain: Immune Response, Oxidative Stress, Apoptosis, Autophagy, Proteostasis
GO Term: Vitamin E Biosynthetic Process -> Biodomain: Lipid Metabolism, Oxidative Stress, Mitochondrial Metabolism, Proteostasis, Autophagy
GO Term: Response To Ozone -> Biodomain: Oxidative Stress, Mitochondrial Metabolism, Proteostasis, Autophagy, Lipid Metabolism
GO Term: Response To Ionizing Radiation -> Biodomain: DNA Repair, Oxidative Stress, Apoptosis, Proteostasis, Autophagy
GO Term: Response To Uv-B -> Biodomain: DNA Repair, Oxidative Stress, Apoptosis, Cell Cycle, Proteostasis
GO Term: Response To Uv-C -> Biodomain: DNA Repair, Oxidative Stress, Apoptosis, Cell Cycle, Proteostasis
GO Term: Response To Lithium Ion -> Biodomain: Metal Binding and Homeostasis, Mitochondrial Metabolism, Oxidative Stress, Proteostasis, Autophagy
GO Term: Establishment Or Maintenance Of Transmembrane Electrochemical Gradient -> Biodomain: Mitochondrial Metabolism, Endolysosome, Synapse, Metal Binding and Homeostasis, Oxidative Stress
GO Term: Glucose Mediated Signaling Pathway -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Autophagy, Endolysosome, Oxidative Stress
GO Term: Endomembrane System Organization -> Biodomain: Proteostasis, Endolysosome, Lipid Metabolism, Autophagy, Structural Stabilization
GO Term: Nadh Dehydrogenase Complex Assembly -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Proteostasis, Structural Stabilization, Autophagy
GO Term: Scf Complex Assembly -> Biodomain: Proteostasis, Structural Stabilization, Autophagy, Cell Cycle, Apoptosis
GO Term: Response To Vitamin B1 -> Biodomain: Mitochondrial Metabolism, Synapse, Myelination, Oxidative Stress, Immune Response
GO Term: Response To Selenium Ion -> Biodomain: Oxidative Stress, Proteostasis, Mitochondrial Metabolism, Lipid Metabolism, Metal Binding and Homeostasis
GO Term: Response To Silver Ion -> Biodomain: Metal Binding and Homeostasis, Oxidative Stress, Proteostasis, Endolysosome, Apoptosis
GO Term: Detoxification Of Copper Ion -> Biodomain: Metal Binding and Homeostasis, Oxidative Stress, Endolysosome, Proteostasis, Autophagy
GO Term: Response To Lead Ion -> Biodomain: Oxidative Stress, Metal Binding and Homeostasis, Proteostasis, Apoptosis, Endolysosome
GO Term: Acireductone Dioxygenase (Ni2+-Requiring) Activity -> Biodomain: Metal Binding and Homeostasis, Oxidative Stress, Mitochondrial Metabolism, Proteostasis, Lipid Metabolism
GO Term: Acireductone Dioxygenase [Iron(Ii)-Requiring] Activity -> Biodomain: Metal Binding and Homeostasis, Oxidative Stress, Lipid Metabolism, Epigenetic, Proteostasis
GO Term: Regulation Of Hydrogen Peroxide Metabolic Process -> Biodomain: Oxidative Stress, Mitochondrial Metabolism, Autophagy, Proteostasis, Lipid Metabolism
GO Term: Detoxification Of Zinc Ion -> Biodomain: Metal Binding and Homeostasis, Oxidative Stress, Proteostasis, Endolysosome, Autophagy
GO Term: Phosphatidylinositol-5-Phosphate Binding -> Biodomain: Lipid Metabolism, Endolysosome, Autophagy, Synapse, Proteostasis
GO Term: Membrane Invagination -> Biodomain: Endolysosome, Autophagy, Immune Response, Lipid Metabolism, Structural Stabilization
GO Term: Response To Gamma Radiation -> Biodomain: DNA Repair, Apoptosis, Cell Cycle, Oxidative Stress, Immune Response
GO Term: Lithium:Proton Antiporter Activity -> Biodomain: Metal Binding and Homeostasis, Mitochondrial Metabolism, Oxidative Stress, Proteostasis, Autophagy
GO Term: Lithium Ion Transport -> Biodomain: Metal Binding and Homeostasis, Mitochondrial Metabolism, Synapse, Oxidative Stress, Proteostasis
GO Term: Negative Regulation Of Anion Channel Activity -> Biodomain: Structural Stabilization, Synapse, Vasculature, Oxidative Stress, Proteostasis
GO Term: Chromocenter -> Biodomain: Epigenetic, Cell Cycle, Structural Stabilization, DNA Repair, Metal Binding and Homeostasis
GO Term: Perinucleolar Chromocenter -> Biodomain: Epigenetic, Structural Stabilization, DNA Repair, Cell Cycle, Proteostasis
GO Term: Double-Stranded Methylated Dna Binding -> Biodomain: Epigenetic, DNA Repair, Metal Binding and Homeostasis, Proteostasis, Structural Stabilization
GO Term: Cop9 Signalosome Assembly -> Biodomain: Proteostasis, Cell Cycle, Autophagy, Endolysosome, Structural Stabilization
GO Term: Regulation Of G2/M Transition Of Mitotic Cell Cycle -> Biodomain: Cell Cycle, Proteostasis, DNA Repair, Autophagy, Apoptosis
GO Term: Polyprenyldihydroxybenzoate Methyltransferase Activity -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Oxidative Stress, Autophagy, Proteostasis
GO Term: Methyl-Cpnpg Binding -> Biodomain: Epigenetic, Metal Binding and Homeostasis, DNA Repair, Structural Stabilization, Cell Cycle
GO Term: Fatty Acid Omega-Oxidation -> Biodomain: Lipid Metabolism, Oxidative Stress, Mitochondrial Metabolism, Metal Binding and Homeostasis, Autophagy
GO Term: Carotenoid Dioxygenase Activity -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Lipid Metabolism, Metal Binding and Homeostasis, Autophagy
GO Term: 9,10 (9', 10')-Carotenoid-Cleaving Dioxygenase Activity -> Biodomain: Lipid Metabolism, Metal Binding and Homeostasis, Oxidative Stress, Proteostasis, Autophagy
GO Term: Response To Alkaline Ph -> Biodomain: Oxidative Stress, Proteostasis, Endolysosome, Autophagy, Apoptosis
GO Term: Response To Acidic Ph -> Biodomain: Oxidative Stress, Proteostasis, Endolysosome, Mitochondrial Metabolism, Autophagy
GO Term: Regulation Of Cell Fate Commitment -> Biodomain: Cell Cycle, Epigenetic, Apoptosis, Autophagy, Structural Stabilization
GO Term: Negative Regulation Of Cell Fate Commitment -> Biodomain: Epigenetic, Cell Cycle, Proteostasis, Autophagy, Apoptosis
GO Term: Positive Regulation Of Cell Fate Commitment -> Biodomain: Cell Cycle, Developmental Biology, Epigenetic, Stem Cells, Signal Transduction
GO Term: Centriole-Centriole Cohesion -> Biodomain: Cell Cycle, Structural Stabilization, Proteostasis, Autophagy, DNA Repair
GO Term: Exit From Mitosis -> Biodomain: Cell Cycle, Proteostasis, Autophagy, Structural Stabilization, DNA Repair
GO Term: Negative Regulation Of Heart Rate -> Biodomain: Vasculature, Synapse, Structural Stabilization, Mitochondrial Metabolism, Oxidative Stress
GO Term: Positive Regulation Of Heart Rate -> Biodomain: Vasculature, Structural Stabilization, Mitochondrial Metabolism, Proteostasis, Oxidative Stress
GO Term: Mesenchymal Cell Proliferation -> Biodomain: Cell Cycle, Structural Stabilization, Vasculature, Immune Response, Apoptosis
GO Term: Regulation Of Mesenchymal Cell Proliferation -> Biodomain: Cell Cycle, Structural Stabilization, Immune Response, Epigenetic, DNA Repair
GO Term: Nerve Growth Factor Receptor Activity -> Biodomain: Apoptosis, Synapse, Mitochondrial Metabolism, Cell Cycle, Proteostasis
GO Term: Negative Regulation Of Peptidase Activity -> Biodomain: Proteostasis, Autophagy, Apoptosis, Endolysosome, Lipid Metabolism
GO Term: Gene Expression -> Biodomain: Epigenetic, RNA Spliceosome, Cell Cycle, Proteostasis, Immune Response
GO Term: Regulation Of Gene Expression -> Biodomain: Epigenetic, RNA Spliceosome, Cell Cycle, Immune Response, DNA Repair
GO Term: Regulation Of Signaling Receptor Activity -> Biodomain: Immune Response, Synapse, Vasculature, Proteostasis, Oxidative Stress
GO Term: Regulation Of Gastrulation -> Biodomain: Epigenetic, Structural Stabilization, Proteostasis, Autophagy, Cell Cycle
GO Term: Epidermal Cell Division -> Biodomain: Cell Cycle, Structural Stabilization, DNA Repair, Proteostasis, Epigenetic
GO Term: Regulation Of Epidermal Cell Division -> Biodomain: Cell Cycle, Epigenetic, Structural Stabilization, Proteostasis, Autophagy
GO Term: Histone H3 Acetyltransferase Activity -> Biodomain: Epigenetic, Proteostasis, DNA Repair, Cell Cycle, Autophagy
GO Term: Histone H4 Acetyltransferase Activity -> Biodomain: Epigenetic, Proteostasis, DNA Repair, Autophagy, Cell Cycle
GO Term: Cytoplasmic Stress Granule -> Biodomain: Oxidative Stress, Proteostasis, Autophagy, RNA Spliceosome, Immune Response
GO Term: Intercellular Transport -> Biodomain: Vasculature, Synapse, Immune Response, Proteostasis, Endolysosome
GO Term: Proteasomal Protein Catabolic Process -> Biodomain: Proteostasis, Autophagy, Apoptosis, Cell Cycle, Tau Homeostasis
GO Term: Proteasomal Ubiquitin-Independent Protein Catabolic Process -> Biodomain: Proteostasis, Autophagy, Apoptosis, Endolysosome, Oxidative Stress
GO Term: Regulation Of Autophagy -> Biodomain: Autophagy, Proteostasis, Endolysosome, Apoptosis, Oxidative Stress
GO Term: Negative Regulation Of Autophagy -> Biodomain: Autophagy, Proteostasis, Cell Cycle, Apoptosis, Endolysosome
GO Term: Positive Regulation Of Autophagy -> Biodomain: Autophagy, Proteostasis, Oxidative Stress, Mitochondrial Metabolism, Endolysosome
GO Term: Regulation Of Pyruvate Decarboxylation To Acetyl-Coa -> Biodomain: Mitochondrial Metabolism, Proteostasis, Lipid Metabolism, Oxidative Stress, Autophagy
GO Term: Negative Regulation Of Phosphatidylinositol Biosynthetic Process -> Biodomain: Lipid Metabolism, Autophagy, Endolysosome, Proteostasis, Mitochondrial Metabolism
GO Term: Positive Regulation Of Phosphatidylinositol Biosynthetic Process -> Biodomain: Lipid Metabolism, Autophagy, Endolysosome, Proteostasis, Mitochondrial Metabolism
GO Term: Positive Regulation Of Phospholipase Activity -> Biodomain: Lipid Metabolism, Proteostasis, Autophagy, Mitochondrial Metabolism, Endolysosome
GO Term: Telomerase Inhibitor Activity -> Biodomain: DNA Repair, Proteostasis, Cell Cycle, Apoptosis, Epigenetic
GO Term: Regulation Of Calcium Ion Transport Into Cytosol -> Biodomain: Metal Binding and Homeostasis, Synapse, Vasculature, Oxidative Stress, Proteostasis
GO Term: Negative Regulation Of Calcium Ion Transport Into Cytosol -> Biodomain: Metal Binding and Homeostasis, Endolysosome, Synapse, Apoptosis, Proteostasis
GO Term: Positive Regulation Of Calcium Ion Transport Into Cytosol -> Biodomain: Metal Binding and Homeostasis, Oxidative Stress, Apoptosis, Synapse, Proteostasis
GO Term: Transposable Element Silencing -> Biodomain: Epigenetic, RNA Spliceosome, DNA Repair, Proteostasis, Autophagy
GO Term: Regulation Of Platelet Activation -> Biodomain: Vasculature, Immune Response, Oxidative Stress, Proteostasis, Lipid Metabolism
GO Term: Negative Regulation Of Platelet Activation -> Biodomain: Vasculature, Immune Response, Proteostasis, Oxidative Stress, Lipid Metabolism
GO Term: Regulation Of Macromolecule Biosynthetic Process -> Biodomain: Proteostasis, RNA Spliceosome, Epigenetic, DNA Repair, Autophagy
GO Term: Positive Regulation Of Macromolecule Biosynthetic Process -> Biodomain: Proteostasis, Lipid Metabolism, Epigenetic, RNA Spliceosome, Cell Cycle
GO Term: Negative Regulation Of Macromolecule Biosynthetic Process -> Biodomain: Proteostasis, Epigenetic, RNA Spliceosome, DNA Repair, Autophagy
GO Term: Regulation Of Glycoprotein Biosynthetic Process -> Biodomain: Proteostasis, Lipid Metabolism, Immune Response, Endolysosome, Autophagy
GO Term: Positive Regulation Of Glycoprotein Biosynthetic Process -> Biodomain: Proteostasis, Immune Response, Vasculature, APP Metabolism, Structural Stabilization
GO Term: Negative Regulation Of Glycoprotein Biosynthetic Process -> Biodomain: Proteostasis, Structural Stabilization, Immune Response, Autophagy, Lipid Metabolism
GO Term: Regulation Of Cell Cycle Process -> Biodomain: Cell Cycle, Proteostasis, DNA Repair, Apoptosis, Structural Stabilization
