Running with TEMP=0.9, sub_array_index=5
Changed working directory to: /panfs/compbio/users/xran2/wen/JX/02-AI-BioDomain/git_folder
Processing array index 5: rows 2000 to 2499
GO Term: Endopeptidase Inhibitor Activity -> Biodomain: APP Metabolism, Proteostasis, Endolysosome, Immune Response, Tau Homeostasis
GO Term: Extracellularly Atp-Gated Monoatomic Cation Channel Activity -> Biodomain: Immune Response, Synapse, Proteostasis, Oxidative Stress, Apoptosis
GO Term: Adrenergic Receptor Activity -> Biodomain: Synapse, Immune Response, Proteostasis, Oxidative Stress, Vasculature
GO Term: Alpha1-Adrenergic Receptor Activity -> Biodomain: Immune Response, Vasculature, APP Metabolism, Tau Homeostasis, Oxidative Stress
GO Term: Alpha2-Adrenergic Receptor Activity -> Biodomain: Synapse, Proteostasis, Tau Homeostasis, Oxidative Stress, APP Metabolism
GO Term: Beta-Adrenergic Receptor Activity -> Biodomain: Synapse, Immune Response, Oxidative Stress, Apoptosis, Vasculature
GO Term: Beta1-Adrenergic Receptor Activity -> Biodomain: Immune Response, Synapse, Proteostasis, APP Metabolism, Oxidative Stress
GO Term: Beta2-Adrenergic Receptor Activity -> Biodomain: Synapse, APP Metabolism, Proteostasis, Immune Response, Oxidative Stress
GO Term: Angiotensin Type Ii Receptor Activity -> Biodomain: Vasculature, Immune Response, Oxidative Stress, Proteostasis, Synapse
GO Term: Bombesin Receptor Activity -> Biodomain: Synapse, Immune Response, APP Metabolism, Proteostasis, Oxidative Stress
GO Term: Bradykinin Receptor Activity -> Biodomain: Immune Response, Vasculature, Oxidative Stress, Proteostasis, Endolysosome
GO Term: Calcitonin Receptor Activity -> Biodomain: APP Metabolism, Synapse, Proteostasis, Immune Response, Oxidative Stress
GO Term: Cannabinoid Receptor Activity -> Biodomain: Immune Response, Synapse, Proteostasis, Oxidative Stress, APP Metabolism
GO Term: Chemokine Receptor Activity -> Biodomain: Immune Response, Proteostasis, Synapse, Endolysosome, Autophagy
GO Term: Cholecystokinin Receptor Activity -> Biodomain: Synapse, Tau Homeostasis, Immune Response, Proteostasis, Oxidative Stress
GO Term: Dopamine Neurotransmitter Receptor Activity -> Biodomain: Synapse, Proteostasis, Oxidative Stress, Immune Response, Tau Homeostasis
GO Term: Icosanoid Receptor Activity -> Biodomain: Immune Response, Lipid Metabolism, Proteostasis, Oxidative Stress, Endolysosome
GO Term: Prostaglandin Receptor Activity -> Biodomain: Immune Response, Lipid Metabolism, Oxidative Stress, Vasculature, Apoptosis
GO Term: Prostaglandin D Receptor Activity -> Biodomain: Immune Response, Lipid Metabolism, Proteostasis, Endolysosome, Oxidative Stress
GO Term: Prostaglandin E Receptor Activity -> Biodomain: Immune Response, Lipid Metabolism, Proteostasis, Oxidative Stress, APP Metabolism
GO Term: Prostaglandin F Receptor Activity -> Biodomain: Immune Response, Lipid Metabolism, Oxidative Stress, Vasculature, Endolysosome
GO Term: Thromboxane Receptor Activity -> Biodomain: Vasculature, Immune Response, Oxidative Stress, Apoptosis, Lipid Metabolism
GO Term: Thromboxane A2 Receptor Activity -> Biodomain: Vasculature, Immune Response, Lipid Metabolism, Oxidative Stress, Proteostasis
GO Term: Endothelin Receptor Activity -> Biodomain: Vasculature, Immune Response, Oxidative Stress, Proteostasis, Apoptosis
GO Term: Follicle-Stimulating Hormone Receptor Activity -> Biodomain: APP Metabolism, Tau Homeostasis, Immune Response, Proteostasis, Apoptosis
GO Term: Luteinizing Hormone Receptor Activity -> Biodomain: Immune Response, APP Metabolism, Proteostasis, Oxidative Stress, Synapse
GO Term: G Protein-Coupled Gaba Receptor Activity -> Biodomain: Synapse, Proteostasis, Tau Homeostasis, Oxidative Stress, Immune Response
GO Term: Galanin Receptor Activity -> Biodomain: Synapse, Immune Response, Proteostasis, Apoptosis, Tau Homeostasis
GO Term: Glucagon Receptor Activity -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Oxidative Stress, Proteostasis, Immune Response
GO Term: Gonadotropin-Releasing Hormone Receptor Activity -> Biodomain: Immune Response, Proteostasis, Apoptosis, Epigenetic, Lipid Metabolism
GO Term: Histamine Receptor Activity -> Biodomain: Immune Response, Synapse, Vasculature, Oxidative Stress, Proteostasis
GO Term: Glutamate-Gated Receptor Activity -> Biodomain: Synapse, Oxidative Stress, Apoptosis, Proteostasis, Structural Stabilization
GO Term: Ampa Glutamate Receptor Activity -> Biodomain: Synapse, Oxidative Stress, Proteostasis, Immune Response, Tau Homeostasis
GO Term: Nmda Glutamate Receptor Activity -> Biodomain: Synapse, Oxidative Stress, Proteostasis, Apoptosis, Immune Response
GO Term: Leukotriene Receptor Activity -> Biodomain: Immune Response, Oxidative Stress, Lipid Metabolism, Proteostasis, Vasculature
GO Term: Melanocortin Receptor Activity -> Biodomain: Immune Response, Synapse, Proteostasis, Oxidative Stress, APP Metabolism
GO Term: Corticotropin Receptor Activity -> Biodomain: Immune Response, Proteostasis, Apoptosis, Oxidative Stress, Synapse
GO Term: Beta-Endorphin Receptor Activity -> Biodomain: Synapse, Immune Response, Proteostasis, APP Metabolism, Tau Homeostasis
GO Term: Melanocyte-Stimulating Hormone Receptor Activity -> Biodomain: Immune Response, Oxidative Stress, Synapse, Proteostasis, Autophagy
GO Term: N-Formyl Peptide Receptor Activity -> Biodomain: Immune Response, Oxidative Stress, Synapse, Apoptosis, APP Metabolism
GO Term: Neuropeptide Y Receptor Activity -> Biodomain: Synapse, Proteostasis, Oxidative Stress, Immune Response, APP Metabolism
GO Term: Olfactory Receptor Activity -> Biodomain: Immune Response, Proteostasis, Synapse, Oxidative Stress, Endolysosome
GO Term: G Protein-Coupled Opioid Receptor Activity -> Biodomain: Synapse, Immune Response, Proteostasis, Oxidative Stress, Autophagy
GO Term: Oxytocin Receptor Activity -> Biodomain: Synapse, Proteostasis, APP Metabolism, Immune Response, Endolysosome
GO Term: Parathyroid Hormone Receptor Activity -> Biodomain: Calcium Signaling, GPCR Signaling, Receptor Signaling, Ion Homeostasis, Neurodegeneration
GO Term: Platelet Activating Factor Receptor Activity -> Biodomain: Immune Response, Signaling, Vasculature, Oxidative Stress, Apoptosis
GO Term: G Protein-Coupled Serotonin Receptor Activity -> Biodomain: Synapse, APP Metabolism, Proteostasis, Immune Response, Endolysosome
GO Term: Somatostatin Receptor Activity -> Biodomain: Synapse, Proteostasis, APP Metabolism, Immune Response, Endolysosome
GO Term: Tachykinin Receptor Activity -> Biodomain: Synapse, Immune Response, Oxidative Stress, Endolysosome, Proteostasis
GO Term: Thyroid-Stimulating Hormone Receptor Activity -> Biodomain: Oxidative Stress, Mitochondrial Metabolism, Synapse, Proteostasis, Immune Response
GO Term: Thyrotropin-Releasing Hormone Receptor Activity -> Biodomain: Synapse, Proteostasis, Oxidative Stress, Immune Response, Apoptosis
GO Term: Transferrin Receptor Activity -> Biodomain: Metal Binding and Homeostasis, Oxidative Stress, Endolysosome, Proteostasis, APP Metabolism
GO Term: Vasoactive Intestinal Polypeptide Receptor Activity -> Biodomain: Synapse, Immune Response, Vasculature, Proteostasis, Tau Homeostasis
GO Term: Vasopressin Receptor Activity -> Biodomain: Vasculature, Synapse, Immune Response, Proteostasis, Oxidative Stress
GO Term: Transmembrane Receptor Protein Tyrosine Phosphatase Activity -> Biodomain: Synapse, Tau Homeostasis, Apoptosis, Immune Response, Oxidative Stress
GO Term: Ephrin Receptor Activity -> Biodomain: Synapse, Immune Response, Vasculature, Structural Stabilization, APP Metabolism
GO Term: Gpi-Linked Ephrin Receptor Activity -> Biodomain: Synapse, Proteostasis, Immune Response, Structural Stabilization, APP Metabolism
GO Term: Transmembrane-Ephrin Receptor Activity -> Biodomain: Synapse, Tau Homeostasis, Immune Response, Apoptosis, Endolysosome
GO Term: Epidermal Growth Factor Receptor Activity -> Biodomain: APP Metabolism, Tau Homeostasis, Proteostasis, Autophagy, Apoptosis
GO Term: Fibroblast Growth Factor Receptor Activity -> Biodomain: Immune Response, Synapse, Proteostasis, APP Metabolism, Autophagy
GO Term: Hepatocyte Growth Factor Receptor Activity -> Biodomain: Immune Response, Synapse, Apoptosis, Autophagy, Oxidative Stress
GO Term: Insulin Receptor Activity -> Biodomain: APP Metabolism, Synapse, Proteostasis, Endolysosome, Lipid Metabolism
GO Term: Insulin-Like Growth Factor Receptor Activity -> Biodomain: APP Metabolism, Proteostasis, Synapse, Autophagy, Tau Homeostasis
GO Term: Macrophage Colony-Stimulating Factor Receptor Activity -> Biodomain: Immune Response, Oxidative Stress, Proteostasis, Apoptosis, Endolysosome
GO Term: Platelet-Derived Growth Factor Receptor Activity -> Biodomain: Vasculature, Immune Response, Proteostasis, Synapse, Autophagy
GO Term: Platelet-Derived Growth Factor Alpha-Receptor Activity -> Biodomain: Immune Response, Vasculature, Proteostasis, Oxidative Stress, Endolysosome
GO Term: Platelet-Derived Growth Factor Beta-Receptor Activity -> Biodomain: Vasculature, Immune Response, Tau Homeostasis, Proteostasis, Apoptosis
GO Term: Stem Cell Factor Receptor Activity -> Biodomain: Immune Response, Proteostasis, APP Metabolism, Synapse, Apoptosis
GO Term: Vascular Endothelial Growth Factor Receptor Activity -> Biodomain: Vasculature, Immune Response, Oxidative Stress, Proteostasis, Apoptosis
GO Term: Transforming Growth Factor Beta Receptor Activity -> Biodomain: Immune Response, Proteostasis, Apoptosis, Synapse, Oxidative Stress
GO Term: Transforming Growth Factor Beta Receptor Activity, Type I -> Biodomain: Immune Response, Apoptosis, Vasculature, Proteostasis, Oxidative Stress
GO Term: Transforming Growth Factor Beta Receptor Activity, Type Ii -> Biodomain: Immune Response, Apoptosis, Proteostasis, Cell Cycle, Autophagy
GO Term: Neurotrophin Receptor Activity -> Biodomain: Synapse, Apoptosis, Tau Homeostasis, Proteostasis, Oxidative Stress
GO Term: Tumor Necrosis Factor Receptor Activity -> Biodomain: Immune Response, Apoptosis, Oxidative Stress, Proteostasis, Endolysosome
GO Term: Osmosensor Activity -> Biodomain: Oxidative Stress, Apoptosis, Proteostasis, Tau Homeostasis, Immune Response
GO Term: Death Receptor Activity -> Biodomain: Apoptosis, Oxidative Stress, Proteostasis, Immune Response, Tau Homeostasis
GO Term: Low-Density Lipoprotein Particle Receptor Activity -> Biodomain: Lipid Metabolism, APP Metabolism, Endolysosome, Proteostasis, Vasculature
GO Term: Netrin Receptor Activity -> Biodomain: Synapse, APP Metabolism, Apoptosis, Structural Stabilization, Immune Response
GO Term: Netrin Receptor Activity Involved In Chemorepulsion -> Biodomain: Synapse, APP Metabolism, Proteostasis, Tau Homeostasis, Endolysosome
GO Term: Scavenger Receptor Activity -> Biodomain: APP Metabolism, Immune Response, Proteostasis, Endolysosome, Apoptosis
GO Term: Kdel Sequence Binding -> Biodomain: Proteostasis, Endolysosome, Autophagy, APP Metabolism, Synapse
GO Term: Signal Recognition Particle Binding -> Biodomain: Proteostasis, Synapse, Endolysosome, APP Metabolism, Lipid Metabolism
GO Term: Signal Sequence Binding -> Biodomain: Proteostasis, APP Metabolism, Endolysosome, Synapse, Tau Homeostasis
GO Term: Nuclear Export Signal Receptor Activity -> Biodomain: Tau Homeostasis, Proteostasis, Apoptosis, Epigenetic, DNA Repair
GO Term: Peroxisome Matrix Targeting Signal-1 Binding -> Biodomain: Proteostasis, Lipid Metabolism, Oxidative Stress, Endolysosome, Mitochondrial Metabolism
GO Term: Peroxisome Matrix Targeting Signal-2 Binding -> Biodomain: Lipid Metabolism, Oxidative Stress, Proteostasis, Autophagy, Endolysosome
GO Term: Laminin Receptor Activity -> Biodomain: Vasculature, Structural Stabilization, APP Metabolism, Immune Response, Apoptosis
GO Term: Transmembrane Receptor Protein Tyrosine Kinase Adaptor Activity -> Biodomain: Immune Response, Synapse, Proteostasis, APP Metabolism, Apoptosis
GO Term: Map-Kinase Scaffold Activity -> Biodomain: Proteostasis, Immune Response, Tau Homeostasis, Apoptosis, Oxidative Stress
GO Term: Protein Kinase C Binding -> Biodomain: APP Metabolism, Tau Homeostasis, Synapse, Apoptosis, Oxidative Stress
GO Term: Guanyl-Nucleotide Exchange Factor Activity -> Biodomain: Synapse, Structural Stabilization, Oxidative Stress, Proteostasis, Endolysosome
GO Term: Guanyl-Nucleotide Exchange Factor Adaptor Activity -> Biodomain: Structural Stabilization, Proteostasis, Synapse, Mitochondrial Metabolism, Autophagy
GO Term: Gdp-Dissociation Inhibitor Activity -> Biodomain: Synapse, Structural Stabilization, Proteostasis, Autophagy, Immune Response
GO Term: Rab Gdp-Dissociation Inhibitor Activity -> Biodomain: Endolysosome, Proteostasis, Autophagy, APP Metabolism, Synapse
GO Term: Rho Gdp-Dissociation Inhibitor Activity -> Biodomain: Synapse, Proteostasis, Structural Stabilization, Tau Homeostasis, Cell Cycle
GO Term: Gtpase Inhibitor Activity -> Biodomain: Proteostasis, Tau Homeostasis, Synapse, Structural Stabilization, Oxidative Stress
GO Term: Gtpase Activator Activity -> Biodomain: Synapse, Structural Stabilization, Endolysosome, Apoptosis, Cell Cycle
GO Term: Signaling Receptor Binding -> Biodomain: Signaling Receptor Binding,APP Metabolism,Synapse,Immune Response,Tau Homeostasis,Proteostasis
GO Term: Fibroblast Growth Factor Receptor Binding -> Biodomain: Synapse, Apoptosis, Proteostasis, Immune Response, Oxidative Stress
GO Term: Type 1 Fibroblast Growth Factor Receptor Binding -> Biodomain: Synapse, Proteostasis, Immune Response, APP Metabolism, Structural Stabilization
GO Term: Frizzled Binding -> Biodomain: Synapse, Proteostasis, Autophagy, Oxidative Stress, Immune Response
GO Term: Type 2 Fibroblast Growth Factor Receptor Binding -> Biodomain: Synapse, Proteostasis, Immune Response, Oxidative Stress, APP Metabolism
GO Term: Notch Binding -> Biodomain: APP Metabolism, Tau Homeostasis, Synapse, Proteostasis, Apoptosis
GO Term: Patched Binding -> Biodomain: Synapse, Proteostasis, Immune Response, Structural Stabilization, Endolysosome
GO Term: Type Ii Transforming Growth Factor Beta Receptor Binding -> Biodomain: Immune Response, Proteostasis, Apoptosis, Vasculature, Oxidative Stress
GO Term: Receptor Tyrosine Kinase-Like Orphan Receptor Binding -> Biodomain: APP Metabolism, Tau Homeostasis, Proteostasis, Synapse, Cell Cycle
GO Term: Smoothened Binding -> Biodomain: Synapse, Proteostasis, Immune Response, Autophagy, Tau Homeostasis
GO Term: Toll Binding -> Biodomain: Immune Response, Oxidative Stress, Proteostasis, Autophagy, Apoptosis
GO Term: Death Receptor Binding -> Biodomain: Apoptosis, Immune Response, Proteostasis, Oxidative Stress, Tau Homeostasis
GO Term: Scavenger Receptor Binding -> Biodomain: Immune Response, APP Metabolism, Endolysosome, Autophagy, Lipid Metabolism
GO Term: Cytokine Activity -> Biodomain: Immune Response, Oxidative Stress, Apoptosis, Synapse, Proteostasis
GO Term: Cytokine Receptor Binding -> Biodomain: Immune Response, Oxidative Stress, Apoptosis, Vasculature, Proteostasis
GO Term: Ciliary Neurotrophic Factor Receptor Binding -> Biodomain: Immune Response, Synapse, Proteostasis, Apoptosis, Autophagy
GO Term: Erythropoietin Receptor Binding -> Biodomain: Immune Response, Vasculature, Apoptosis, Proteostasis, Synapse
GO Term: Granulocyte Macrophage Colony-Stimulating Factor Receptor Binding -> Biodomain: Immune Response, Proteostasis, Oxidative Stress, Vasculature, Apoptosis
GO Term: Granulocyte Colony-Stimulating Factor Receptor Binding -> Biodomain: Immune Response, Proteostasis, Synapse, Endolysosome, Apoptosis
GO Term: Growth Hormone Receptor Binding -> Biodomain: Proteostasis, Synapse, Tau Homeostasis, APP Metabolism, Oxidative Stress
GO Term: Type I Interferon Receptor Binding -> Biodomain: Immune Response, Cytokine Signaling, Receptor Signaling, Proteostasis, Synapse
GO Term: Type Ii Interferon Receptor Binding -> Biodomain: Immune Response, Tau Homeostasis, Proteostasis, Autophagy, APP Metabolism
GO Term: Interleukin-2 Receptor Binding -> Biodomain: Immune Response, Oxidative Stress, Proteostasis, Apoptosis, Epigenetic
GO Term: Interleukin-3 Receptor Binding -> Biodomain: Immune Response, Oxidative Stress, Proteostasis, Apoptosis, Autophagy
GO Term: Interleukin-4 Receptor Binding -> Biodomain: Immune Response, Proteostasis, Autophagy, Endolysosome, Apoptosis
GO Term: Interleukin-5 Receptor Binding -> Biodomain: Immune Response, Oxidative Stress, Proteostasis, Autophagy, Endolysosome
GO Term: Interleukin-6 Receptor Binding -> Biodomain: Immune Response, Endolysosome, Proteostasis, Synapse, Oxidative Stress
GO Term: Interleukin-7 Receptor Binding -> Biodomain: Immune Response, Apoptosis, Proteostasis, Synapse, Endolysosome
GO Term: Interleukin-9 Receptor Binding -> Biodomain: Immune Response, Oxidative Stress, Apoptosis, Proteostasis, Vasculature
GO Term: Interleukin-10 Receptor Binding -> Biodomain: Immune Response, Apoptosis, Proteostasis, Oxidative Stress, Endolysosome
GO Term: Interleukin-11 Receptor Binding -> Biodomain: Immune Response, Apoptosis, Oxidative Stress, Vasculature, Proteostasis
GO Term: Interleukin-12 Receptor Binding -> Biodomain: Immune Response, Oxidative Stress, Proteostasis, Autophagy, Apoptosis
GO Term: Interleukin-13 Receptor Binding -> Biodomain: Immune Response, Proteostasis, Endolysosome, Synapse, Vasculature
GO Term: Leukemia Inhibitory Factor Receptor Binding -> Biodomain: Immune Response, Apoptosis, Proteostasis, Oxidative Stress, Synapse
GO Term: Oncostatin-M Receptor Binding -> Biodomain: Immune Response, Proteostasis, Oxidative Stress, Apoptosis, Synapse
GO Term: Prolactin Receptor Binding -> Biodomain: Immune Response, Oxidative Stress, Synapse, Proteostasis, APP Metabolism
GO Term: Interleukin-1 Receptor Binding -> Biodomain: Immune Response, Oxidative Stress, Proteostasis, Endolysosome, Apoptosis
GO Term: Interleukin-1, Type I Receptor Binding -> Biodomain: Immune Response, Oxidative Stress, Proteostasis, Synapse, Endolysosome
GO Term: Interleukin-1, Type Ii Receptor Binding -> Biodomain: Immune Response, Apoptosis, Oxidative Stress, Proteostasis, Vasculature
GO Term: Interleukin-1 Receptor Antagonist Activity -> Biodomain: Immune Response, Proteostasis, Apoptosis, Endolysosome, Oxidative Stress
GO Term: Interleukin-8 Receptor Binding -> Biodomain: Immune Response, Cytokine Signaling, Chemokine Signaling, Neuroinflammation, Vasculature
GO Term: Epidermal Growth Factor Receptor Binding -> Biodomain: APP Metabolism, Tau Homeostasis, Synapse, Immune Response, Proteostasis
GO Term: Macrophage Colony-Stimulating Factor Receptor Binding -> Biodomain: Immune Response, Proteostasis, Endolysosome, Oxidative Stress, Autophagy
GO Term: Insulin Receptor Binding -> Biodomain: APP Metabolism, Proteostasis, Synapse, Endolysosome, Lipid Metabolism
GO Term: Insulin-Like Growth Factor Receptor Binding -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Proteostasis, Synapse, Autophagy
GO Term: Transforming Growth Factor Beta Receptor Binding -> Biodomain: Immune Response, Vasculature, Tau Homeostasis, Apoptosis, Proteostasis
GO Term: Platelet-Derived Growth Factor Receptor Binding -> Biodomain: APP Metabolism, Proteostasis, Synapse, Immune Response, Vasculature
GO Term: Nerve Growth Factor Receptor Binding -> Biodomain: Synapse, Apoptosis, Immune Response, Proteostasis, Structural Stabilization
GO Term: Tumor Necrosis Factor Receptor Binding -> Biodomain: Immune Response, Apoptosis, Proteostasis, Oxidative Stress, Synapse
GO Term: Neurotrophin Receptor Binding -> Biodomain: Synapse, Apoptosis, Proteostasis, Tau Homeostasis, Immune Response
GO Term: Neurotrophin P75 Receptor Binding -> Biodomain: Apoptosis, APP Metabolism, Synapse, Proteostasis, Tau Homeostasis
GO Term: Neurotrophin Trka Receptor Binding -> Biodomain: Synapse, Apoptosis, Proteostasis, Autophagy, Tau Homeostasis
GO Term: Neurotrophin Trkb Receptor Binding -> Biodomain: Synapse, Proteostasis, Tau Homeostasis, Apoptosis, Oxidative Stress
GO Term: Neurotrophin Trkc Receptor Binding -> Biodomain: Synapse, Proteostasis, Apoptosis, Tau Homeostasis, Immune Response
GO Term: Hepatocyte Growth Factor Receptor Binding -> Biodomain: Synapse, Proteostasis, Immune Response, APP Metabolism, Apoptosis
GO Term: Vascular Endothelial Growth Factor Receptor Binding -> Biodomain: Vasculature, Immune Response, Oxidative Stress, Proteostasis, Lipid Metabolism
GO Term: Stem Cell Factor Receptor Binding -> Biodomain: Immune Response, Proteostasis, Apoptosis, Synapse, Autophagy
GO Term: Cd40 Receptor Binding -> Biodomain: Immune Response, Proteostasis, Oxidative Stress, Apoptosis, Vasculature
GO Term: Cd27 Receptor Binding -> Biodomain: Immune Response, Apoptosis, Proteostasis, Synapse, Endolysosome
GO Term: Erbb-2 Class Receptor Binding -> Biodomain: APP Metabolism, Synapse, Proteostasis, Oxidative Stress, Apoptosis
GO Term: Integrin Binding -> Biodomain: Synapse, Structural Stabilization, Proteostasis, Immune Response, Endolysosome
GO Term: Hormone Activity -> Biodomain: APP Metabolism, Proteostasis, Immune Response, Lipid Metabolism, Oxidative Stress
GO Term: Gonadotropin Hormone-Releasing Hormone Activity -> Biodomain: Immune Response, Proteostasis, Apoptosis, Endolysosome, Oxidative Stress
GO Term: Neuropeptide Hormone Activity -> Biodomain: Synapse, Immune Response, Proteostasis, APP Metabolism, Endolysosome
GO Term: Neurohypophyseal Hormone Activity -> Biodomain: Synapse, Proteostasis, Immune Response, Oxidative Stress, Endolysosome
GO Term: Structural Molecule Activity -> Biodomain: Structural Stabilization, Synapse, Tau Homeostasis, Proteostasis, Mitochondrial Metabolism
GO Term: Structural Constituent Of Cytoskeleton -> Biodomain: Tau Homeostasis, Structural Stabilization, Proteostasis, Synapse, Autophagy
GO Term: Extracellular Matrix Structural Constituent -> Biodomain: Structural Stabilization, Synapse, Proteostasis, Immune Response, Endolysosome
GO Term: Structural Constituent Of Eye Lens -> Biodomain: Structural Stabilization, Proteostasis, APP Metabolism, Endolysosome, Synapse
GO Term: Monoatomic Ion Channel Activity -> Biodomain: Synapse, Oxidative Stress, Apoptosis, Proteostasis, Tau Homeostasis
GO Term: Intracellularly Ligand-Gated Monoatomic Ion Channel Activity -> Biodomain: Synapse, Oxidative Stress, Apoptosis, Proteostasis, Metal Binding and Homeostasis
GO Term: Ryanodine-Sensitive Calcium-Release Channel Activity -> Biodomain: Synapse, Proteostasis, Oxidative Stress, Apoptosis, Metal Binding and Homeostasis
GO Term: Inositol 1,4,5-Trisphosphate-Gated Calcium Channel Activity -> Biodomain: Synapse, Oxidative Stress, Proteostasis, Endolysosome, Metal Binding and Homeostasis
GO Term: Intracellularly Cyclic Nucleotide-Activated Monoatomic Cation Channel Activity -> Biodomain: Synapse, Oxidative Stress, Proteostasis, Mitochondrial Metabolism, Apoptosis
GO Term: Intracellularly Camp-Activated Cation Channel Activity -> Biodomain: Synapse, Oxidative Stress, Endolysosome, Metal Binding and Homeostasis, Mitochondrial Metabolism
GO Term: Intracellularly Cgmp-Activated Cation Channel Activity -> Biodomain: Synapse, Oxidative Stress, Apoptosis, Mitochondrial Metabolism, Proteostasis
